[00:00] 歡迎收聽趙華宜古惑仔第1025集
[00:09] 今天是2026年的1月26號
[00:12] 好臺股得了不會跌的病
[00:14] 這件事情似乎還在繼續的演進當中
[00:18] 因為上個禮拜呢
[00:20] 我們就跌了一天
[00:21] 如果那一天沒有勇敢的進去
[00:23] 撿一些你喜歡的東西
[00:24] 後面又沒機會了
[00:25] 後面又沒機會了
[00:26] 當然以個股來說
[00:28] 一定會有個股自己的表現
[00:30] 但是以指數來說
[00:32] 今天盤中又見到新高點是32196
[00:36] 那收盤是站穩了3萬2哦
[00:39] 收在32064
[00:41] 不管是盤中高或是收盤高
[00:43] 都是在創歷史新高
[00:46] 我們一直都覺得這個行情漲上來
[00:49] 有沒有點過熱呢
[00:50] 你可以說有也可以說沒有
[00:52] 因為以成交量來說
[00:53] 上禮拜有連續幾次都是逼近這個兆元的成交量哦
[00:57] 上市加上貴
[00:58] 今天的量能是有小
[01:00] 那麼一點點下來
[01:02] 但我不曉得大家
[01:03] 有沒有更加的發現
[01:04] 最近真的叫做
[01:06] 你身邊比較不碰股票的朋友
[01:09] 都想要跟你討論股票了
[01:11] 我們常常講這個
[01:12] 不管是擦鞋筒效應也好
[01:14] 或者是這個上來之後
[01:15] 散戶瘋狂參與也好
[01:17] 現在真的有這個味道
[01:18] 但是這樣的味道就叫做
[01:20] 過熱或是要回擋嗎
[01:22] 不好意思
[01:22] 現在市場上還沒有看到
[01:24] 一個明顯要回擋的現象
[01:26] 好那今天的話
[01:28] 盤面上厲害的臺數四保
[01:31] 大漲連臺數又再度漲停
[01:34] 其實不是沒看過
[01:35] 去年偶爾也有發生這樣的情況
[01:37] 那今天記憶體也還是非常的強
[01:41] 很多人說記憶體漲了四五倍了
[01:42] 還是強
[01:43] 今天非常多檔的記憶體
[01:45] 不管出關的被關的
[01:47] 其實都是漲停板
[01:48] 那今天有些連線線的LED
[01:50] 相關的導線架的
[01:53] 還有像PCB板材
[01:55] 有一些像低軌衛星
[01:57] 盤面上熱鬧的狀況
[01:59] 還是非常的多
[02:00] 那這邊我也常收到
[02:02] 這個聽眾朋友最近資訊給我
[02:04] 甚至已經有人
[02:06] 這個聽到人
[02:07] 你應該知道我在講你
[02:08] 直接問我說
[02:09] A跟B我該買誰
[02:11] 這種很直接了當的問法
[02:12] 都出現了
[02:13] 好大家不要緊張
[02:15] 不要FOMO
[02:15] 我先來歡迎今天的達人
[02:17] 今天的達人就是一個
[02:19] 算冷靜派嗎
[02:20] 碎念派
[02:22] 先邀請他
[02:23] 今天來的是存股教父古魚
[02:25] 哈嘍各位聽眾朋友大家好
[02:27] 我是古魚
[02:28] 其實古魚啊
[02:29] 後來我有約古魚上幾次節目講產業
[02:32] 我覺得比較猛的是
[02:34] 其實記憶體你也講過
[02:35] 然後呢今天晚上到理財單秀
[02:38] 你還要講低軌衛星
[02:40] 就是久而久之
[02:41] 我會覺得你好像已經不是價值股達人了
[02:44] 你是標股達人
[02:46] 沒有
[02:47] 我覺得呢你們對這件事情有很大的一個誤會
[02:51] 什麼誤會
[02:51] 比如說我們之前去講
[02:53] 記憶體相關題材的時候
[02:55] 我們講群聯
[02:56] 對800
[02:57] 那群聯的話
[02:58] 它的題材是HBM跟HBF
[03:01] 那我們那時候的話
[03:02] 就已經跟你講過了
[03:03] 這個是AI演進的過程當中
[03:06] 它必須要去做的一件事情
[03:07] 它要把它的存取的路徑
[03:10] 說到最短
[03:11] 效率提到最高
[03:12] 所以在這個過程當中
[03:14] 其實臺灣能夠受惠的公司並不多
[03:17] 所以群聯它會是一個首選
[03:19] 只是說我印象非常深刻
[03:21] 我們在群聯800多的時候
[03:24] 討論這個話題
[03:25] 那個趙華在節目中
[03:27] 露出了一點半信半疑的一個表情
[03:30] 我就知道你想攻擊我
[03:31] 沒有
[03:32] 我沒有攻擊你
[03:34] 你那時候露出了懷疑的眼神
[03:36] 你說你這傢伙
[03:37] 這次總該會看錯了吧
[03:39] 沒有
[03:39] 我不是覺得你會看錯
[03:40] 真的嗎
[03:41] 群聯的話
[03:42] 我們其實有很多來賓會聊
[03:43] 你說是K線之神朱老師
[03:45] 對不對
[03:46] 這個產業隊長
[03:47] 對不對
[03:48] 但是你說純股教父
[03:50] 是
[03:50] 純骨教父講什麼群聯
[03:52] 其實可是我已經習慣了
[03:54] 因為你之前還有講過
[03:55] 什麼金山店
[03:56] 對
[03:56] 我印象很深
[03:57] 店員相關的
[03:59] 其實他們都長蠻多的
[04:00] 可是你一講之後
[04:02] 他們後面確實還有高
[04:03] 從那時候開始
[04:04] 我就知道了
[04:05] 你不單純
[04:06] 沒有我很單純
[04:07] 你不單純
[04:08] 對
[04:09] 我們在看產業的一個願景
[04:13] 我們會去想要去了解說
[04:15] 他這個產業跟這個技術
[04:17] 去對接的過程當中
[04:19] 它到底可以延續多久
[04:21] 當然因為我們以前有做過
[04:23] 研發相關的一個工作
[04:24] 那在這個研發的過程裡面的話
[04:28] 其實我們會去理解到一件事情
[04:30] 你有題材
[04:32] 跟你最後有沒有可能
[04:34] 真的匯入應用
[04:36] 這會是兩回事
[04:37] 所以我們在節目裡面
[04:40] 跟投資朋友在做分享的這些內容
[04:42] 其實有很多是
[04:43] 我個人認為
[04:44] 它已經快要跟我們的實務
[04:48] 去做對接的這個時間點
[04:49] 我們才來做這相關的一個介紹
[04:52] 那你有沒有發現
[04:53] 其實我們講完之後
[04:54] 你再去看它相關的一個題材
[04:56] 發現它可能有很多的客戶
[04:58] 真的開始在採用相關的一個內容
[05:01] 那你可能在後面
[05:03] 就會去發現到說
[05:04] 它的營收或是它的毛利
[05:06] 確實在後面就會出現
[05:08] 比較大幅度明顯的一個增長
[05:10] 所以你如果題材
[05:11] 走在太前面的時候
[05:13] 那我也沒有什麼興趣
[05:14] 因為我看不到
[05:15] 它基本面上面的一個變化
[05:17] 可是當你的基本面的變化
[05:19] 確實開始浮現了這個過程
[05:22] 那就非常值得我們來做一個討論
[05:24] 好
[05:24] 我們一項一項來說好不好
[05:26] 你還記得我們最早在討論的是景氣對策燈號
[05:29] 是
[05:29] 就後來沒有想到果然
[05:31] 對號它就出現了一個V轉
[05:33] 對不對
[05:34] 沒有錯
[05:34] 那接下來看來可能真的還有機會跑到紅燈去
[05:37] 是沒有錯
[05:38] 好黃紅燈跑到紅燈的路上
[05:40] 那我們這邊來探討一下一整體大環境
[05:43] 我想因為你也非常愛逛各個網路的平臺
[05:46] 社群討論
[05:48] 你也可以感受到
[05:49] 現在真的叫做全民參與了
[05:52] 因為前一陣子
[05:53] 雖然股市上三萬點
[05:54] 但我不許講
[05:55] 我身邊那種
[05:56] 對股票沒興趣的朋友
[05:58] 還真還沒有開始討論
[05:59] 我們也有注意到
[06:00] 前一波其實成交量增加
[06:02] 甚至所謂的融資增加好了
[06:04] 它可能是所謂的大戶
[06:06] 中石戶
[06:07] 並不是散戶的全民運動
[06:09] 但是當我今天就是
[06:11] 在路上遇到一個
[06:13] 跟我不熟的妹妹
[06:14] 也拿著她的股票APP
[06:15] 跟我說
[06:16] 趙曉傑你可以幫我看一下
[06:18] 我的股票嗎
[06:19] 的時候
[06:20] 我有意識到說
[06:21] 他真的叫做我們以前有體會到的
[06:24] 就是又全民熱
[06:25] 而這次的熱是熱在三萬點以上
[06:27] 對
[06:28] 好
[06:28] 那可是我們從整體的狀況來說
[06:30] 例如說我自己會跟大家分享
[06:32] 雖然融資股一直往上跑
[06:34] 可是因為前一波的融資股
[06:35] 看起來都是贏家
[06:36] 如果他們是所謂的聰明融資
[06:38] 或大戶融資
[06:39] 那也許這個盤就還有延續性
[06:41] 再來當然川普也是
[06:43] 這個位居要角
[06:44] 對不對
[06:45] 去這個達沃斯論壇在瑞士
[06:47] 就是登高一呼說
[06:50] 我們不會無取格林蘭
[06:51] 股市還要翻倍
[06:52] 就讓美股又再攻一波
[06:54] 那臺股現在又是做夢題才滿天飛
[06:57] 以整體的總經資料來說
[06:59] 你覺得現在有沒有哪一些
[07:01] 立即性的危機
[07:02] 還是我們就順勢而為
[07:03] 其實我們在看目前的市場
[07:07] 它是有很多面向
[07:09] 去做一個切入跟觀察
[07:11] 在這個時間點
[07:13] 你最大的一個問題
[07:15] 要麼是從美國那邊傳出來的
[07:17] 因為川普不知道什麼時候
[07:19] 又會搞一些
[07:19] 有的沒有的tackle出來
[07:21] 甚至開始在傳聞說
[07:23] 美國可能最近
[07:24] 又要開始要關門了
[07:25] 可是當你關門
[07:27] 開門
[07:27] 關門開門很多次的時候
[07:29] 其實大家就無感了
[07:30] 另外一個的話
[07:31] 其實我們在外面的實體講座當中
[07:34] 我們也是反覆的在跟投資朋友
[07:37] 在提醒一件事情
[07:38] 你今天股票市場能不能夠續漲
[07:43] 其實很大的一部分的
[07:45] 在你的錢夠不夠多
[07:47] 你如果今天資金不停的往
[07:49] 特定的市場去做流入的時候
[07:52] 那你千萬不要去預設
[07:54] 它的高點到底會在哪裡
[07:56] 所以呢你看哦
[07:57] 我們在之前討論的時候
[08:01] 我們有提到就是說
[08:03] 過去的臺灣有兩大資金池
[08:05] 一個是股票池
[08:07] 一個是房地產
[08:08] 那現在房地產這個池子的話呢
[08:12] 他被人家截斷了
[08:13] 那這些錢沒有地方去
[08:15] 事實上現在我們所瞭解的
[08:17] 他全部呢都在往股票市場
[08:19] 這邊來做一個移動
[08:20] 那另外一個的話呢
[08:22] 是關於融資融券的這個部分
[08:25] 各位你有沒有注意到
[08:26] 現在呢去借錢投資的人變很多
[08:30] 變得非常非常的多
[08:32] 而且他的融資的管道
[08:34] 除了說股票融資之外
[08:36] 像房地產掛市的融資呢
[08:38] 也非常的多
[08:39] 全部都往這個地方來做一個移動
[08:42] 而且我們有注意到
[08:45] 最近我聽到一個非常新的一個說法
[08:47] 像我們過去不是討論
[08:49] 融資餘額嗎
[08:51] 然後我們會看融資餘額的
[08:52] 那個絕對的數字
[08:53] 來看說
[08:54] 我現在融資的餘額
[08:56] 3000億 4000億好高好可怕
[08:58] 可是我最近聽到一個
[09:00] 很有趣的一個觀點
[09:01] 就是說你不能夠只看
[09:03] 融資的餘額的高低
[09:05] 來決定現在是不是過熱
[09:07] 你應該是要把融資呢
[09:09] 對應到目前的市值
[09:11] 把它換成一個融資市值比的角度
[09:14] 來看說呢
[09:16] 到底我們現在的融資
[09:18] 有沒有偏高的一個現象
[09:20] 就跟成交量一樣
[09:21] 對沒有錯
[09:22] 你不能夠因為成交量高
[09:24] 就覺得他可怕
[09:25] 你要看你現在對應的指數
[09:26] 跟市值的高低
[09:28] 來做一個比較才知道
[09:30] 那呢我當初呢
[09:31] 聽到這個講法的時候啊
[09:33] 我把這個數字
[09:35] 放到公司裡面去計算了一下
[09:38] 是
[09:38] 造華
[09:39] 怎麼樣
[09:39] 幸好有你這個表格狂公司狂
[09:42] 我赫然發現了一件事情
[09:44] 我剛才很擔心你沒算
[09:45] 你算了
[09:45] 我算了
[09:46] 我赫然發現一件事情
[09:48] 我們現在的融資餘額
[09:50] 如果跟前波高點的融資餘額
[09:54] 去比他的融資市值比的話
[09:56] 我們現在才走到一半而已
[09:58] 好
[09:59] 這個就是機生蛋
[10:00] 誕生機
[10:01] 也是剛剛我特別講的
[10:03] 雖然看到融資餘額現在3000
[10:05] 七八百億
[10:06] 但當然不可能是絕對值
[10:07] 因為剛剛古餘也有講了
[10:09] 透過股票質押
[10:10] 透過房貸借出來
[10:11] 各種的融資管道
[10:13] 這個充斥在市場上的融資
[10:15] 搞不好超過八千億
[10:17] 這個我們之前有初步的
[10:18] 跟大家分享
[10:19] 然後為什麼叫
[10:20] 寄生蛋誕生雞
[10:21] 因為這些借來的錢
[10:22] 目前是賺錢的
[10:23] 因為指數是往上的
[10:24] 你姑且說
[10:25] 他們推升的指數
[10:26] 或者指數讓他們賺錢
[10:27] 都可以
[10:28] 但總之指數來到三萬二
[10:30] 市值非常的大
[10:30] 所以目前以市值
[10:32] 跟融資的比較
[10:33] 現在臺股跟以前比是走到半山腰而已
[10:36] 對沒有錯
[10:37] 所以我們從這些角度上面來看
[10:39] 我覺得目前你說資金有過熱的一個現象
[10:44] 如果你用感覺的角度看
[10:46] 好像是過熱沒有錯
[10:48] 可是你如果換成數字上面來看的話這個離所謂的前波過熱的那個換算值來看還沒有到那個點所以我們對於指數的一個高點到底最終會落在什麼地方
[11:02] 我們可以擔心
[11:04] 我們可以邊走邊看
[11:05] 但是千萬不要預設高點
[11:07] 這是我要給所有投資朋友的一個提醒
[11:09] 我很認同
[11:10] 因為如果大家有點記憶的話
[11:12] 上一波比較瘋狂的牛市
[11:15] 應該是在2020到2021年
[11:17] 就是疫情囤這個半導體紅利的時候
[11:20] 其實那時候還不只是半導體紅利
[11:22] 所有需要的東西
[11:23] 包括在他們的貨櫃航運
[11:25] 都在狂噴
[11:26] 現在記憶體就非常像
[11:27] 當時的貨櫃航運
[11:28] 對沒有錯
[11:29] 就是運價一直往上走
[11:30] 然後缺船塞港
[11:31] 然後你不知道什麼時候
[11:33] 才拿得到檔期
[11:34] 所以大家就瘋狂的overbooking
[11:36] 雖然你知道overbooking後面
[11:38] 可能會帶來可怕的後果
[11:40] 對但管他的
[11:41] 那後果當然在2022你有出現
[11:43] 可是在後果出現之前
[11:44] 你每一個人來參與
[11:46] 而且知道是特定族群
[11:47] 你都會賺錢的時候
[11:49] 才會有後面的瘋狂
[11:50] 如果像臺股前面
[11:52] 你會覺得好難做
[11:53] 一下PCB
[11:54] 一下真的有記憶體
[11:56] 一下被動元件
[11:57] 然後一下又是A
[11:58] 一下又是B
[11:59] 一下老AI
[11:59] 可是因為現在
[12:00] 像我自己早盤的團隊
[12:02] 我都聽到他們在講
[12:03] 他們的記憶體
[12:04] 以及樓下在書畫的時候
[12:07] 他們都會去講記憶體
[12:08] 還有低軌衛星
[12:09] 就等於是
[12:10] 低軌衛星的好處
[12:11] 是有很多那一種
[12:12] 二三十塊的股票
[12:13] 那甚至像面板
[12:15] 雖然你對它充滿了
[12:16] 點點點回憶
[12:18] 對面板也在漲
[12:20] 對不對
[12:20] 所以大家會覺得
[12:21] 當有這種50塊以下的股票
[12:23] 是連續性的漲的時候
[12:25] 然後又有特定的族群
[12:27] 例如記憶體低軌衛星
[12:28] 是大家剛開始覺得買得起的時候
[12:31] 這個熱潮就反而會繼續的延燒下去
[12:34] 我們就不敢說它還到見頂
[12:36] 可是800塊的群聯
[12:38] 跟2000塊的群聯
[12:40] 對你來說
[12:41] 現在到底我們就一個一個來拆解
[12:43] 記憶體目前的狀態
[12:45] 你會怎麼樣建議大家
[12:46] 要不要再參與呢
[12:48] 其實記憶體的部分是這個樣子
[12:50] 記憶體我們目前看起來的話
[12:53] 它持續處於供不應求的狀態
[12:56] 而且它目前我們看到的各個伺服器的部分
[13:01] 他們對這邊的一個需求的量體
[13:04] 還算是非常非常的大
[13:06] 但是我想要跟各位做一個簡單的提醒
[13:09] 我們常常在講說
[13:11] 在供應的過程中如果有利可圖
[13:14] 然後大家就會一窩蜂的
[13:16] 想要去做擴產的一個動作
[13:18] 但是你要幫我記住一件事情
[13:19] 擴產的前提到底是什麼
[13:21] 擴產的前提是
[13:23] 你的產能不是被幾家特定的公司
[13:26] 給綁住的時候
[13:28] 你才有可能會出現了群魔亂舞
[13:30] 大家瘋狂的在做擴產的一個動作
[13:33] 我們回到記憶體的這件事情
[13:35] 來我就問你
[13:36] 全世界能夠供應記憶體的廠商
[13:39] 就那幾間公司而已
[13:41] 你說的三星
[13:43] 海力士
[13:44] 還有美光
[13:46] 大概就這幾間公司而已
[13:48] 你如果說談到SSDNetFlash的這個部分的話
[13:51] 大概就是像Sandisk
[13:53] 還有一些可能像大陸的一些公司
[13:56] 大概就這麼幾間而已
[13:58] 他可沒有讓你說可以達到遍地開花
[14:01] 大家都能夠生產的一個狀態
[14:03] 沒有
[14:03] 所以今天供補應求的狀況能不能夠解開
[14:08] 重點在於兩件事情
[14:11] 要嘛呢就是AI算力的需求突然衰退了
[14:15] 就是我們之前在節目裡面有提過
[14:18] AI目前我看不到盡頭在哪裡
[14:21] 可是呢如果當這一些CSP公司
[14:23] 發現了他的投入完全沒有辦法得到回收
[14:27] 或者說他投入他覺得五年十年都沒有辦法得到回收的時候
[14:31] 他把算力的追逐給中斷下來了
[14:34] 那這個時候呢
[14:36] 誒
[14:36] 市況就會反轉
[14:37] 要嘛另外一種的話就是
[14:39] 這一些
[14:40] 呃
[14:41] 記憶體的供應商突然呢
[14:43] 呃
[14:43] 良心開啟了
[14:44] 然後呢
[14:45] 積極的去做各種擴散的一個動作
[14:48] 去讓市場
[14:49] 的一個瓶頸被開啟
[14:51] 我是覺得這個可能性不太高啦
[14:53] 我覺得
[14:54] 現在看起來的話呢
[14:56] 他比較
[14:56] 有可能是說他可能過去在
[14:59] 記憶體的需求沒有那麼旺盛的時候
[15:02] 他把一些
[15:03] 舊的生產線
[15:05] 他慢慢的會做停掉的一個動作
[15:07] 但是因應這一波的需求
[15:09] 他把舊的產線呢
[15:10] 重新把它呢
[15:11] 把它重新運作起來
[15:14] 讓他可以再投入生產
[15:16] 但是呢
[15:17] 我覺得投資人
[15:18] 你可能不要去期待就是
[15:20] 他呢會去買新的裝置
[15:22] 然後呢去做大規模的擴散
[15:24] 然後呢去解決目前AI記憶體供應
[15:27] 供需異常的這個問題
[15:30] 我覺得可能性不太高
[15:31] 所以在目前這個情況上面來講的話
[15:34] 我會認為呢
[15:36] 像記憶體的一個需求跟瘋狂的話呢
[15:39] 可能你到年底的話
[15:40] 還會持續看到這樣子的一個現象
[15:42] 因為完全看不到
[15:44] 有任何緩解的一個跡象
[15:46] 因為像那時候貨客航運
[15:48] 還有說就開始訂船嘛
[15:50] 就會有這個所謂的產能擴充的問題
[15:53] 然後還有當然就是像這種
[15:55] 就是很多東西
[15:56] 囤到一定的數量之後
[15:58] 可能就會爆炸
[16:00] 就是庫存累積太多了
[16:03] 所以就不會再需要運那麼多東西了
[16:05] 這是當時傳的一個情況
[16:06] 那記憶體的話
[16:08] 現在我覺得大家是有意識的
[16:10] 不會瘋狂擴產
[16:11] 即使要擴產也要擴高階的嘛
[16:13] 就是所謂AI想要使用的
[16:15] 所以南雅科那時候被外資寫說
[16:17] 有500億元的資本支出
[16:18] 還緊急做澄清
[16:20] 因為總不能南雅科
[16:21] 自己在那邊瘋狂擴
[16:22] 大家要開始跟
[16:23] 然後都是擴這些
[16:24] 什麼DDR相關的
[16:26] 那就沒有意思了
[16:27] 就會跟當年的面板業
[16:29] 進入世代競爭
[16:30] 後面變件價這樣
[16:31] 那現在記憶體
[16:32] 我覺得它的恐怖平衡是在
[16:34] 要用到記憶體的消費性電子
[16:36] 其實快要撐不下去
[16:38] 有很多notebook廠商什麼的
[16:40] 也在努力吸收成本
[16:41] 那到底什麼時候可以達到平衡
[16:43] 像手機也是
[16:44] 這可能就會是在今年的一個課題
[16:47] 但是因為它不像當初的貨櫃航運
[16:50] 它可能承載的就是
[16:52] 如果各個東西的庫存都囤夠了
[16:54] 那就不需要了
[16:56] 那港也不塞了就沒有了
[16:57] 那目前記憶體是塞
[16:59] 會不到年底
[17:00] 當然現在看起來是有點籌碼被鎖住了
[17:02] 對
[17:03] 會不會到年底
[17:04] 看起來機會是有的
[17:06] 可是要不要介入
[17:07] 我覺得這個就是
[17:08] 看個人的風險意識
[17:10] 就像之前
[17:10] 有點開玩笑的說
[17:12] 跌停那一天
[17:13] 大家進去搶
[17:14] 後面都會再創高
[17:15] 目前是這個情形
[17:16] 是沒有錯
[17:17] 他們一定會有風吹草動
[17:19] 尤其是這個禮拜
[17:20] 大家要注意
[17:21] 美光又要開財報了
[17:22] 如果這個財報
[17:24] 又讓市場
[17:24] 這個沒有如預期
[17:26] 或什麼的
[17:26] 他一定會有
[17:27] 同樣的一天
[17:28] 其實上禮拜就發生過
[17:30] 團滅
[17:31] 對
[17:31] 那目前為止以市況來看
[17:34] 團滅去減
[17:35] 還沒有出現大的問題
[17:37] 如果今天報價趨緩鬆動
[17:39] 或者是我們發現產能上面
[17:41] 或者是這種恐怖平衡被打破了
[17:43] 那個時候再來擔心
[17:45] 對那至於個人能不能承受
[17:47] 我覺得那就看個人
[17:48] 至少我身邊的人士還蠻
[17:50] 蠻瘋狂
[17:51] 就是人手一張
[17:52] 有這種感覺
[17:53] 不講都不行
[17:54] 因為波動很大
[17:55] 你看他每天要麼漲5%
[17:58] 要麼跌5%
[18:00] 要麼漲停
[18:00] 要把它跌停的
[18:01] 這種感覺你在市場投入這個過程中
[18:04] 非常的驚險刺激啊
[18:06] 所以你看當你在市場中
[18:08] 得到一定的那種
[18:10] 上下波動的滿足感的時候啊
[18:13] 那你要把它很快的去停下來
[18:16] 我覺得這也是不太容易的事情啊
[18:18] 好
[18:18] 那這個是比較波動大的產業
[18:21] 古魚也講過
[18:22] 那我們反過來再講
[18:24] 波動比較小的
[18:25] 例如說像現在大家會來問的
[18:28] 也有很多一塊是都沒有漲到的
[18:30] 例如說消費性電子
[18:32] 就沒有什麼漲到
[18:33] NoBook相關的
[18:34] 然後還有所謂的老AI
[18:35] 沒有漲到
[18:36] 那這個裡面
[18:37] 難道以你價值投資的想法
[18:39] 不會想要去把資金
[18:41] 步往這型別的商品上嗎
[18:43] 其實我們以價值投資的
[18:46] 想法上面來看
[18:47] 我們會很喜歡放在這種
[18:50] 股價不太會動的股票上面
