[00:00] 歡迎收聽趙華宇古貨仔第1026集
[00:09] 今天是2026年的1月27號
[00:12] 自從2026年以來
[00:15] 臺股這個已經不是能說是得了不會跌的病
[00:19] 已經沒有辦法形容了
[00:20] 都不休息的
[00:22] 都不休息的
[00:22] 只有上個禮拜有一天
[00:24] 這個有大跌
[00:25] 我記得有500點吧
[00:26] 那一天算是稍微的休息
[00:29] 但就這麼一天
[00:30] 所以今天中場又上漲了253點
[00:34] 盤中有漲到300多點
[00:36] 所以今天的最高點有來到32428
[00:40] 不要說3萬3萬1 3萬2了
[00:43] 現在搞不好要3萬3了
[00:44] 一路往上漲
[00:46] 而且現在的量能真的很驚人
[00:48] 我們還記得12月的時候一度量比較窒息
[00:50] 但是到了因為我們說外資回來了
[00:53] 好外資回來
[00:54] 不管他有沒有買跟賣
[00:55] 我的意思是
[00:56] 因為大家看到還是以一個淨賣超比較多
[00:59] 會覺得回來了好像也沒加持
[01:01] 沒加持臺股還是繼續往上噴
[01:04] 那往上噴的情況下
[01:06] 今天上市加上櫃的成交量
[01:08] 如果盤後再加進來
[01:10] 應該也是一個兆元成交量
[01:13] 哇這個量非常大
[01:15] 到底是誰呢
[01:16] 很多人現在在討論
[01:17] 外資沒有買
[01:18] 投信也在賣
[01:20] 兆元成交量
[01:22] 臺股一直漲
[01:23] 到底這後面的資金來人是誰呢
[01:26] 那甚至呢
[01:27] 像今天盤面上
[01:28] 大家有知道
[01:29] 川普呢又不爽韓國了
[01:30] 說這韓國這個對於關稅
[01:32] 遲遲沒有辦法過
[01:33] 這個國會的簽署
[01:34] 所以直接又調高25%
[01:36] 就韓股大漲2.66%來欠注
[01:39] 到底怎麼一回事
[01:41] 川普好像做什麼
[01:42] 大家都不在乎
[01:43] 還當做是一個利多解讀
[01:45] 那當然這個禮拜
[01:46] 我們還會迎接來
[01:47] 美股的科技股超級財報周
[01:50] 那今天盤面上
[01:51] 厲害的我想大家一開盤
[01:52] 看到就是細光子
[01:54] 因為Alicia又來了
[01:55] 把光聖的目標價調高到3000元
[01:58] 以前Alicia我們都覺得她很會喊
[02:00] 所以她喊完以後
[02:01] 可能3% 5%就了不起
[02:03] 現在都不是
[02:04] 喊聯發科聯發科漲停
[02:06] 喊光聖光聖漲停
[02:07] 在多頭市場
[02:08] 現在的利多變得非常容易發酵
[02:12] 好 我先來歡迎今天來
[02:13] 彬玉今天要探討的事情很多
[02:15] 先來請她出場了
[02:17] 今天來的是古琪雙分析師
[02:19] 紀文明小明同學
[02:20] 哈嘍 各位聽眾朋友大家好
[02:22] 小明同學我們先從總經切入好了
[02:25] 因為你是當年的總經研究員出身
[02:27] 因為現在總經環境上面
[02:30] 你說有比這個12月1月好非常多
[02:33] 我覺得臺股的基本面真的很好
[02:34] 因為看我們的外銷訂單出口
[02:36] 都非常非常好
[02:37] 可是美股大概就那個樣子了
[02:39] 當然這禮拜有財報周
[02:40] 可以看一下對未來的展望有沒有更好
