[00:00] 歡迎收聽趙華宇股貨載第1028集
[00:09] 今天是2026年的1月29號
[00:12] 臺股不會跌的病
[00:14] 今天稍微好一點點
[00:15] 但是也跌不多
[00:16] 今天中場跌了267點
[00:19] 盤中是有一些震盪洗刷
[00:21] 不過說實話在開高之後
[00:23] 大家真的覺得是氣勢如虹
[00:25] 開高一度覺得
[00:26] 是不是現股市場也要來到33000了
[00:29] 不過今天差4點
[00:30] 昨天台紙期的夜盤
[00:32] 是有摸到33000點的
[00:33] 是有收在這個33000點以上
[00:35] 可是今天現股的話
[00:36] 最高來到32996
[00:38] 就差那麼4點
[00:40] 然後殺下去的時候
[00:41] 其實有一瞬間
[00:42] 因為成交量能突然放大
[00:44] 然後殺到快300點
[00:45] 我想說來了來了來了
[00:46] 大叢面來了
[00:47] 沒有就沒有
[00:48] 他殺下來之後
[00:50] 就在這邊進行一個橫盤
[00:52] 不過今天的量是歷史天量
[00:54] 光是上市量就9307億
[00:57] 上市加上櫃
[00:59] 不計盤後就已經1.16兆了
[01:03] 1.16兆
[01:05] 這個要是兩年前跟我說
[01:07] 你知道臺股成交量會到1兆以上的時候
[01:09] 我可能會覺得
[01:10] 怎麼可能
[01:11] 1.16兆成交量又是一個歷史的記錄
[01:15] 在那麼大的成交量中
[01:17] 說實話今天的震盪起伏
[01:19] 我個人覺得不算大
[01:20] 說真的不算大
[01:22] 而記憶體的洗刷有比較大一點
[01:24] 可是大多數其實強勢股還是恢復上漲
[01:27] 那今天的話看到聯電世界先進
[01:29] 是雙雙跌停的原因
[01:30] 是因為聯電昨天的法說
[01:32] 比較老實比較坦白
[01:33] 也是之前其實趙華跟大家分享的
[01:36] 聯電他其實目前還沒有漲價的計劃
[01:39] 這個是之前就有問到的
[01:40] 但是有沒有產能外溢
[01:42] 就臺積電只做先進製程
[01:44] 要把產能分出來
[01:45] 這個是有在談的
[01:46] 但不見得會在今年貢獻
[01:47] 因此角出第一季的成績
[01:49] 就是老老實實的一個成績
[01:51] 毛利率微幅上升
[01:52] 可是產能利用率是有點下滑的
[01:54] 所以可能大家有點失望
[01:56] 不過也因為聯電都漲一倍了
[01:58] 都漲一倍了
[02:00] 今天的跌停不代表它就沒有了
[02:02] 只是它反映的是昨天法書的狀況
[02:04] 還有昨天晚上美股的財報
[02:06] Meta的狀況是盤後漲
[02:08] 但微軟盤後跌
[02:09] 還有聯準會也開會了
[02:11] 所以今天的事情還蠻多的
[02:13] 尤其如果大家手上有黃金
[02:14] 今天應該會嚇到
[02:15] 黃金5600美元了
[02:18] 當初外資說5000美元
[02:19] 還覺得是什麼東西
[02:21] 對
[02:22] 現在是喊6000都覺得保守
[02:25] 什麼東西太奇妙了
[02:27] 大家家裡面如果有黃金
[02:29] 或是有買到黃金期貨
[02:30] 黃金ETF的
[02:31] 真的像做這個直線往上衝的
[02:34] 這個直升機上去了
[02:36] 真的是很猛
[02:37] 所以今天要討論的除了股票
[02:39] 還要討論貴金屬
[02:40] 以及討論聯準會
