[00:00] 歡迎收聽趙華宇古貨載第1031集
[00:09] 今天是2026年的2月3號
[00:13] 市場上除了0050之外
[00:15] 群翼投信也有一檔市值型的ETF00923
[00:20] 他在去年11月調整指數後
[00:22] 把臺積電的佔比拉高
[00:24] 和與大盤對齊的百分之四十幾
[00:26] 那此次調整後
[00:28] 首次公佈配息
[00:29] 預估配息金額是1.71元
[00:32] 年化配息率超過12%
[00:35] 是近期配息最好的市值型ETF
[00:38] 提醒有興趣的投資人
[00:40] 本次最後買進日是2月25號
[00:44] 還是要提醒大家哦
[00:45] 投資要注意相關的風險
[00:47] 投資人要依照自己的風險屬性
[00:49] 來謹慎的挑選商品
[00:51] 指數到了這個位階
[00:53] 每一次的震盪幅度
[00:55] 應該說點數看起來都很驚人
[00:57] 動不動六七百點就送給大家了
[01:00] 昨天盤中最多有跌到704點
[01:03] 那昨天的節目也跟大家分享了
[01:05] 因為有眾多的讓人擔心的事情
[01:07] 齊聚於一堂
[01:08] 股市就這樣漲多了
[01:10] 奇怪
[01:11] 之前也知道的事情
[01:12] 突然之間就變成不清楚了
[01:14] 之前在暴漲的商品
[01:15] 突然之間也就莫名的暴跌了
[01:18] 有時候不一定理由是百分之百
[01:20] 就因為這件事
[01:21] 而是它畢竟就叫做漲多了
[01:24] 那今天呢
[01:24] 你說是什麼理由呢
[01:26] 我當然也可以講出很多個理由
[01:28] 但總之今天又反攻了
[01:30] 昨天夜盤就已經大漲了
[01:32] 那今天收盤是漲了571點
[01:35] 好像傳過水無痕
[01:37] 但又好像有點怪怪的
[01:39] 昨天有提到
[01:41] 例如聯準會的新主席
[01:42] 這個華許到底是何許人也
[01:44] 其實也跟大家分享了
[01:46] 他並沒有就是會排斥降息
[01:48] 他反而是降息派的
[01:50] 但他並不想要QE
[01:52] 就他不想要一直用這個發行印鈔票啦
[01:56] 然後叫聯準會買債券啦
[01:57] 所以這個市場可能重新釐清之後
[02:00] 覺得這件事情沒那麼嚴重
[02:02] 那昨天還有什麼呢
[02:03] 就是到底NVIDIA要不要投1000億美元
[02:06] 給這個OpenAI
[02:07] 這個是個未定數了
[02:09] 這一塊可能大家要比較留意了
[02:11] 今天比較新的新聞呢
[02:14] 是日本的青森暴雪
[02:16] 暴雪怎麼樣呢
[02:17] 就說這個探針卡相關的系列
[02:19] 有一些這個裝置產能
[02:22] 可能會斷裂要轉單
