[00:00] 歡迎收聽趙懷古惑在地1034集
[00:09] 今天是2026年的2月6號
[00:12] 今天是週末咯
[00:14] 那這個本來以為過年前
[00:16] 大家會比較風平浪靜一點
[00:18] 但是這一週看來還是挺驚濤駭浪的
[00:22] 下個禮拜123
[00:24] 就三天的交易日
[00:26] 我們就要封關了
[00:28] 對於想要放假的我來說
[00:30] 我已經算是很工作狂了
[00:33] 對等一下會再跟大家分享
[00:35] 就是可能最近有很多人傳訊息
[00:37] 我有跟大家分享
[00:38] 當然問個股
[00:39] 會希望大家現在不要再一直追問個股了
[00:42] 但有很多是打氣
[00:43] 但裡面有一則
[00:44] 我會覺得讓我有點哇的
[00:46] 是說他希望我可以做更多錄更多
[00:48] 不行啦
[00:49] 我真的是
[00:49] 我已經是超人等級了
[00:52] 好不容易這個年假算是我難得可以的
[00:55] 這禮拜我已經套嗨浪
[00:56] 因為這禮拜我也在處理
[00:57] 過年期間可能要播出一些事情
[01:00] 所以真的天天都是忙到非常非常晚
[01:02] 那今天的盤也非常的戲劇性
[01:05] 今天其實盤一開始往下殺
[01:07] 為什麼因為美股真的不好
[01:10] 而且這個不好
[01:11] 讓大家現在有點莫名其妙的是
[01:13] 從哪邊點火的
[01:14] 從本來有很多的利空點火
[01:16] 但是其中有一條
[01:17] 我們有跟大家講
[01:18] 我們比較在意
[01:19] 就是OpenAI跟NVIDIA中間這個投資額
[01:22] 目前是從1000億美元
[01:24] 好像是降到200億美元
[01:25] 這可能對AI有動機
[01:27] 是會有影響的之外
[01:28] 你也看到
[01:29] 這個Google財報明明好到不行
[01:32] 就有市場卻說
[01:33] 哇塞
[01:34] 你的資本支出要調高到1800多億
[01:37] 哇
[01:37] 這個頭太多
[01:38] 無法回收
[01:38] 昨天亞馬遜再度重演同樣的問題
[01:42] 應該說今天凌晨
[01:44] 他的財報也是很好
[01:46] 也是告訴大家
[01:47] 資本支出要2000億美元
[01:49] 市場嚇到直接讓他跳水10個百分點
[01:51] 怎麼了
[01:52] 大家不是要這些大廠撒錢
[01:54] 不是說我們都在等他們的資本支出嗎
[01:57] 怎麼樣撒了錢
[01:58] 大家還不高興嗎
[01:59] 但臺股還是無敵強
[02:00] 怎麼講
[02:01] 今天旗幟盤中有跌到
[02:02] 這個我記得有四五百點
[02:04] 五百多點
[02:05] 就拉拉拉拉拉
[02:06] 尾盤大盤只跌了18點
[02:08] 這實在是超長超長的下影線
[02:11] 本來月線破掉了
[02:13] 那大家在今天有做什麼呢
[02:15] 大家心情是如何呢
[02:16] 我先來歡迎今天的來賓
[02:18] 因為今天早上在殺的過程中
[02:20] 哇我的訊息
[02:21] 又跑出來了
[02:22] 我覺得很有意思
[02:23] 等一下跟大家分享
[02:24] 好今天來的呢
[02:25] 當然禮拜五的固定來賓
[02:27] 我們的國家級基金操盤手
[02:29] 黃峰凱凱哥
[02:30] 早好各位聽眾大家好
