[00:00] 歡迎收聽趙華於古惑仔第1036集
[00:09] 今天是2026年的2月10號
[00:13] 這個今天真的猛啊
[00:16] 因為還剩下怎麼樣
[00:17] 明天最後一個交易日要封關了
[00:19] 今天台股真的好彩頭
[00:22] 給一個漲點668
[00:25] 這個漲點真的是有點意外中的多
[00:29] 因為昨天晚上我們看一盤
[00:30] 知道是大漲的
[00:31] 因為臺積電的ADR
[00:33] 在昨天晚上有創歷史新高
[00:35] 但是也沒有想到
[00:37] 今天整體大盤會漲到668點
[00:40] 這麼樣的多
[00:42] 所以今天收盤是收貸最高點
[00:44] 33072
[00:46] 創下歷史新高
[00:48] 當然漲臺積電有它的原因
[00:50] 其實臺積電在前幾天
[00:51] 有一些好朋友就一直在講說
[00:54] 這個要注意臺積電
[00:56] 那為什麼要注意
[00:57] 因為它的1月營收
[00:58] 真的太驚人了
[01:00] 它的1月營收破了4000億
[01:02] 來到歷史新高
[01:05] 在歷年應該很少看到說
[01:07] 在1月還能夠這樣子
[01:09] 創歷史新高的臺積電
[01:10] 當然2月我想當然困難度會比較高
[01:12] 2月要放年假了嘛
[01:14] 所以1月創了一個歷史新高
[01:15] 所以今天台股在昨天晚上
[01:17] 臺積電ADR的激勵下
[01:18] 以及今天大家越想越開心
[01:20] 漲了668點
[01:22] 不過今天中小型股
[01:23] 就沒有那麼樣的亮眼了
[01:25] 我們看到像記憶體
[01:26] 像這個PCB相關的上游
[01:29] 他們就在今天
[01:30] 甚至像低軌衛星
[01:31] 就沒有長勢這麼凌厲了
[01:33] 是不是有點點垃圾盤呢
[01:35] 那還剩下一個交易日
[01:37] 我們是要做大抉擇
[01:38] 還是我們來聊一下一些觀念
[01:40] 還是大家有一些疑惑
[01:41] 我們也一定在今天做解答
[01:42] 因為今天來的人
[01:43] 有非常多人私訊我
[01:45] 也私訊他
[01:46] 希望有一些問題要請他解答
[01:49] 而且很喜歡他
[01:50] 今天來的是我們的
[01:51] 國家級基金操盤手
[01:52] 黃峰凱
[01:53] 凱哥
[01:53] 早好各位聽眾大家好
[01:55] 今天是快過年前的最後一次了
[01:59] 所以趙大陽跟大家拜個早年
[02:02] 你不要忘記
[02:02] 你不是幹嘛還急著拜
[02:04] 好你拜你拜
[02:05] 那馬年臺語就是買嘛
[02:07] 所以我祝大家今年就是
[02:09] 買什麼都賺
[02:10] 買什麼都賺
[02:12] 這個應該不會有人講了
[02:14] 好那今天這個大盤呢
[02:16] 我們等一下交給趙好來提問
[02:18] 因為其實今天大盤很妙
[02:19] 就是一大早很多朋友跟我說
[02:21] 完蛋今天是垃圾盤
[02:22] 不過我覺得還好
[02:23] 因為今天中場
[02:25] 其實是看起來沒有想象那麼差
[02:27] 雖然貴買比較弱
[02:29] 不過也還好
[02:30] 今天大盤其實創一個新高
[02:33] 其實我上次來就有講過
[02:35] 我說大盤跟貴買月線都還在上彎
[02:38] 所以基本上還沒有到要結束的地步
[02:40] 只是今天這個OTC
[02:42] 因為大家都想過年
[02:44] 所以它稍微弱了一點
[02:45] 它沒有占上均價
[02:46] 雖然月線也沒占上
[02:48] 但是仔細看OTC的KD其實在低檔
[02:51] 所以我覺得應該年後
[02:52] 它就會勾上來
[02:53] 只要過年這段期間
[02:55] 川普都不要亂講話
[02:56] 應該就沒事了
[02:57] 而且你看到這個高市早苗的這個大盛
[03:01] 基本上讓整個資金開始往亞洲移
[03:04] 所以我覺得這個對臺灣也是相對有利的
[03:06] 但是其實這兩天其實有些奇怪的訊息
[03:09] 就是說HBM的高階
[03:12] 好像是隻有海里子跟Samsung拿到認證
[03:16] 目前這個美光是沒有認證的
[03:18] 不過我看美光好像股價也還好
[03:20] 美光好像有一個
