[00:00] 歡迎收聽趙華語股貨載第1037集
[00:09] 今天是2026年的2月11號
[00:12] 今天也是臺灣股市的封關日
[00:16] 也就是蛇年
[00:17] 到今天為止
[00:19] 我們的臺灣股市收了一個非常非常漂亮的關
[00:23] 這個我從來沒有看過這麼強的封關日
[00:27] 今天中場是大漲了532點
[00:30] 盤中一度有漲到600點之多
[00:32] 那今天的話又創了歷史新高
[00:35] 最高有來到33707
[00:38] 真的非常驚人
[00:39] 不是33000是33707
[00:42] 不到300點又要再跨一個階到34000
[00:44] 這樣的一個水準
[00:45] 那今天的量也在這樣的助長的公式下面
[00:49] 其實剛開盤的時候
[00:50] 以為今天的量應該會說
[00:52] 其實預估量大概5000多億
[00:54] 但中場上市量有到6740億
[00:57] 應該算是一個非常熱鬧的風光日
[01:00] 指數最後收在33605
[01:02] 好強那強在誰
[01:04] 我想強在臺積電
[01:06] 昨天絞出了歷史新高的一個記錄
[01:08] 讓這個市場依舊是非常的膨脹
[01:11] 不過我們當然有提醒
[01:12] 1月還是有提早拉貨的一個效應
[01:15] 2月又有比較多的放假天數
[01:17] 所以我們如果接下來要看
[01:19] 所謂的上市櫃公司的營收
[01:21] 記得一二月最好加在一起看
[01:24] 跟去年同期的一二月來做比較
[01:26] 會比較準確
[01:27] 會比較準確
[01:28] 但我認為希望大家都是開心的
[01:31] 因為昨天在拉臺積電的時候
[01:33] 我又看到不少人會留言說
[01:35] 這就只是個垃圾盤
[01:36] 如果今天指數來到了33000
[01:39] 一度到700點
[01:41] 這樣的位階
[01:42] 還認為只是垃圾盤
[01:44] 我覺得會有點可惜
[01:45] 代表在這個多頭裡面
[01:46] 第一可能您沒有去佈局
[01:48] 任何有關臺積電的東西
[01:50] 那第二也沒有參與到其他AI相關類股的上漲
[01:53] 我想我的聽眾不會啦
[01:55] 應該是不會
[01:56] 很多那些會留這樣言論的
[01:59] 看起來也不像是我們長期的聽眾跟觀眾
[02:02] 希望古惑仔的聽眾在十年都是一個
[02:06] 很有收穫的一年
[02:08] 不一定是獲利到最滿意
[02:09] 但一定是很有收穫的
[02:11] 先來歡迎今天陪我們一起聊風光的來賓
[02:14] 今天來的是報價天王幸福哥
[02:16] 哈嘍 趙晚美女還有各位聽眾朋友大家好
[02:19] 幸福哥在這個
[02:21] 十年尾
[02:22] 其實也做了一些決定
[02:23] 其實是
[02:24] 就是離開原本的投顧工作
[02:26] 先休息了
[02:29] 那這邊想來請教幸福哥
[02:31] 我想每一個人
[02:32] 在過完一年
[02:33] 當然新曆年是一個年
[02:35] 農曆年是一個年
[02:36] 但很奇妙
[02:37] 農曆年因為可能要接著
[02:38] 放一個很長的假期
[02:39] 大家就格外會去回想
[02:41] 尤其是今年的這個風觀
[02:43] 是非常的戲劇性的
[02:44] 完全沒有想到
[02:45] 在最後的幾個交易日
[02:47] 是每一天大漲幾百點的
[02:49] 一個衝的狀態往上衝
[02:51] 以前我們都說接近風關
[02:52] 會比較焦頭冷清嘛
[02:53] 那這次是一個
[02:54] 我常常看玩笑說
[02:55] 想尾蛇
[02:56] 尾巴特別想
[02:57] 那辛夫哥覺得
[02:59] 在整體的蛇年到
[03:00] 要銜接馬年
[03:01] 你對整個臺股發展到
[03:03] 用那麼高的點數風關
[03:05] 你覺得年後會再衝
[03:06] 還是說像今年有一些趨勢
