[00:00] 歡迎收聽趙華與古惑仔新春特別版
[00:08] 不過今天好像不是趙華與古惑仔
[00:11] 今天應該算是趙華艾倫說
[00:14] 嗨大家好
[00:14] 好久不見
[00:17] 大家聽到這一集的時候會發現
[00:20] 好久沒有看到艾倫了
[00:22] 沒有錯沒有辦法
[00:22] 因為趙華錄影的時間
[00:24] 剛好跟我自己直播的時間有點卡到
[00:26] 對那剛好新春節目
[00:28] 所以就可以來錄了
[00:30] 還不只是這個podcast
[00:32] 後來都沒有艾倫
[00:33] 是
[00:33] 那個二月
[00:35] 其實你休了蠻長的假
[00:37] 所以大家應該會覺得
[00:38] 有一段長長的時間
[00:39] 比較沒有看到你
[00:41] 沒有錯
[00:41] 這邊也跟大家正式公告一下
[00:43] 換公司了
[00:45] 跳槽了
[00:46] 本來在顧德
[00:49] 現在在大華國際投顧了
[00:51] 沒錯
[00:52] 因為剛好合約兩年時間到
[00:54] 然後也經歷過一番的思想鬥爭
[00:59] 決定還是繼續走分析師這個職業
[01:01] 剛好合約到
[01:03] 所以跟其他公司聊聊看之後
[01:06] 最後決定到大華
[01:07] 再繼續我的分析師職業
[01:10] 因為為什麼今天請艾倫來
[01:14] 在這個農曆年期間
[01:16] 我們可能不見得會著重在很多的行情
[01:19] 我會希望大家可以聊一下說
[01:21] 我們在人生的抉擇
[01:24] 職場的抉擇上面
[01:26] 往往有很多的德語師
[01:28] 對
[01:28] 然後我還記得
[01:30] 那時候艾倫
[01:30] 還有就是紀偉敏
[01:32] 小明同學
[01:32] 大概前前後後
[01:33] 來上理財達人秀的時候
[01:35] 我就有發現
[01:36] 因為以前我必須講
[01:37] 我對頭顧
[01:38] 頭顧老師
[01:40] 是
[01:40] 難免會有一點點的成見
[01:42] 即使我的來賓
[01:43] 後來也越來越多
[01:44] 這不是我講的
[01:44] 這照我來說
[01:45] 頭顧老師
[01:46] 幹嘛幫我挖坑
[01:48] 開玩笑
[01:49] 好 劉雨倫
[01:50] 我叫不你
[01:52] 好
[01:52] OK
[01:53] 然後但是因為我看到艾倫的時候
[01:56] 我會覺得說
[01:57] 他其實內心是想用一種不同的經營方式
[02:01] 做投顧的
[02:02] 做所謂的投顧老師的
[02:03] 那肯定有點辛苦
[02:05] 對那時候他第一次來上PARCAS的時候
[02:08] 我就心裡想說會不會過了一兩年
[02:11] 他的合約到期後他就陣亡了
[02:13] 說實話中間還蠻有可能的
[02:15] 一度自己也動搖過
[02:17] 還蠻有可能的
[02:17] 然後那一次我記得你來有特別聊說
[02:20] 你是這個經濟系畢業的嗎
[02:22] 經濟系沒錯吧
[02:24] 經濟系沒錯
[02:24] 金融業很煩
[02:25] 有什麼經濟系啊
[02:27] 什麼金融啊
[02:27] 財經啊
[02:28] 然後後來因為考上分析師執照
[02:31] 對
[02:31] 然後先做自媒體
[02:32] 做訂閱
[02:33] 才進來投顧嘛
[02:34] 沒錯
[02:35] 那其實當時的你
[02:36] 也不確定
[02:37] 自己能不能再投顧
[02:39] 這個領域活下來
[02:40] 是
[02:40] 對
[02:40] 那事隔兩年也換公司了
[02:42] 看來你是決定在
[02:43] 投顧事業活下來了
[02:46] 對不對
[02:46] 對
[02:46] 可不可以來聊一下
[02:48] 包括說
