[00:00] 歡迎收聽趙華與古惑仔之新春特別版
[00:09] 每年的農曆年過年
[00:12] 趙華還是會錄製一些古惑仔的節目
[00:15] 讓大家可以一邊開車啦
[00:17] 通勤啦
[00:18] 無聊啦
[00:19] 這個親戚長輩朋友們來亂問一些問題的時候啊
[00:22] 我們可以就是藉機躲避
[00:24] 回房間聽我的podcast就好了
[00:27] 非常好
[00:28] 我先來歡迎這一集的來賓
[00:30] 這一集的來賓是存股教父古魚
[00:33] 哈嘍各位聽眾朋友大家好
[00:35] 我是古魚
[00:36] 拜個年吧
[00:37] 各位投資朋友們
[00:39] 那個馬年如意
[00:41] 然後順利都能夠賺大錢
[00:43] 我要多想幾個
[00:45] 這個當然一定要馬到成功
[00:48] 立馬有錢
[00:49] 對不對
[00:50] 馬上發財
[00:51] 所以這個過年一定要有這型別的吉祥話
[00:55] 不過呢
[00:56] 每一年過年也是大家去統整
[00:58] 接下來長假之後
[00:59] 我們該如何重新做規劃
[01:02] 當然我們不希望說
[01:03] 每一年過年就像
[01:04] 我今年做得很爛
[01:05] 所以過完年
[01:06] 我要這個重新規劃的想法
[01:09] 但是因為我每一年
[01:11] 其實我問古魚
[01:11] 我好像都有找古魚
[01:13] 去聊什麼呢
[01:14] 聊他對小美人魚
[01:16] 也就是他女兒的存骨計劃
[01:19] 有沒有任何調整
[01:21] 那因為現在我們錄音的同時
[01:23] 是比較特別的
[01:24] 就是臺股的狀況非常的熱
[01:27] 那很多的存股編標股
[01:29] 或者是有些你過去覺得是存股的好標的
[01:32] 其實不會動
[01:33] 那又有很多新的商品加入
[01:35] 例如說主動型的ETF也加入了
[01:38] 各式各樣五花八門
[01:39] 古魚現在目前對小美人魚的存股計劃
[01:43] 最主要的核心是存哪一塊
[01:45] 其實我們最主要的核心的話
[01:49] 是存在美股的大盤
[01:52] 還有呢跟臺股大盤的這一塊
[01:55] 美股市值跟臺灣大盤市值
[01:58] 對那美股市值
[02:00] 那我不是去買什麼S&P500
[02:03] 或是像BOO這類的產品
[02:05] 其實我不是買這種
[02:07] 那我是呢透過銀行那邊
[02:09] 去幫我女兒去買的
[02:12] 那個美國的共同基金的這個部分
[02:15] 然後它主要的投資標的的話呢
[02:17] 就是鎖定在美國成長股
[02:20] 這方面的一個佈局
[02:22] 那還有另外一塊的話呢
[02:24] 則是放在臺股的ETF上面
[02:28] 那其實我們過去有討論過嘛
[02:30] 在臺股ETF的部分的話
[02:33] 其實我一開始是幫我女兒買的是0050嘛
[02:37] 那後來因為0050那個漲太多了
[02:41] 0050漲太多了
[02:43] 對
[02:43] 它漲太多了
[02:45] 因為你知道領到的壓縮以前
[02:47] 是不足以去cover買一張的嘛
[02:50] 所以呢你每次呢
[02:51] 要去做加碼的時候啊
[02:53] 那你是不是等同
[02:55] 這個老父親必須要貼一點錢進去
[02:58] 那就貼啊
[02:59] 老父親有錢啊
[03:00] 不是這樣子說的
[03:02] 而且會0050分拆啦
[03:03] 你在那邊裝
[03:04] 不要這個樣子嘛
[03:06] 但是你每次呢
[03:07] 幫他那個存的時候
[03:09] 都要補蠻多的嘛
[03:10] 是不是
[03:10] 所以我後來的話呢是
[03:13] 就存零股啊
[03:14] 不要
[03:14] 其實我們在投資的話呢
[03:17] 大部分都是
[03:17] 還是以整張為目標
[03:19] 所以你也是有這個想法
[03:20] 對
[03:20] 因為其實整張
[03:22] 我們坦白講
[03:23] 整張的話
[03:24] 你在長期的運用上會比較方便
[03:27] 比如我們講比較實際一點的
[03:29] 你今天你要做什麼融資
[03:31] 融券
[03:32] 借貸
[03:33] 還是幹嘛
[03:33] 任何財務槓桿上面的運用
[03:35] 其實他的單位都是張
[03:37] 沒有人在用零股
[03:39] 讓你來做這方面的一個選擇
[03:41] 所以在整張的部分
[03:44] 其實他的彈性還是比較大的
[03:47] 所以如果可以的話
[03:48] 我們還是以整張為主
[03:49] 那當然說後面
[03:51] 我是把它放在像00850
[03:54] 這樣子的一個產品上面
[03:56] 有這你有說過
[03:57] 對對對
[03:58] 那到目前為止的話呢
[04:00] 我們還是維持這個相同的基調
[04:03] 來做這方面的一個選擇
[04:06] 因為你看
[04:07] 我們過去有討論過這個問題
[04:09] 小孩子
[04:10] 他呢
[04:12] 最大的一個特色是什麼
[04:14] 他抗風險的能力特別強
[04:17] 所以呢
[04:18] 他在抗風險能力特別強的情況之下你去幫他買一個低風險低波動的產品我覺得是完全沒有必要的但是呢你買那個超高風險超高波動的
[04:29] 這個也不用了
[04:30] 所以我們在過去呢
[04:33] 去看完各個市場不同的一個時期的表現
[04:37] 那其實我們比較可以肯定的是
[04:40] 像這種整體的美股市場
[04:43] 或是整體的臺股市場
[04:45] 他隨著時間
[04:46] 它是一直往右上角這邊來做一個移動的
[04:50] 那像這型別的一個產品的話呢
[04:53] 它有適當的一個波動度
[04:54] 然後呢每年的話呢
[04:56] 它也有一個適當的一個報酬績效的一個表現
[04:59] 所以呢非常適合
[05:01] 把那個幫小孩子
[05:03] 那個存的這些壓稅錢啊
[05:06] 全部都往這個地方來做一個移動
[05:09] 那到目前為止的話
[05:10] 整體的績效表現也算是蠻不錯的啦
[05:13] 好 哎小美人魚現在幾歲了
[05:14] 小美人魚嗎
[05:15] 目前大概14歲
[05:17] 好14歲
[05:18] 你是同他幾歲做這件事情
[05:19] 我們大概一開始是買基金
[05:23] 那後來的話才改成用股票的方式來做
[05:28] 所以股票的部分應該到了6歲多才換過去的
[05:34] 但無論如何做這件事情
[05:36] 這樣夯不夯當
[05:37] 開始到現在有10年了
[05:39] 對沒有錯
[05:39] 10年了也歷經過臺股有上有下
[05:42] 對沒有錯
[05:43] 因為即使在3萬點以上
[05:44] 你拿到的壓歲錢
[05:45] 還是用這樣的方式做投入
[05:47] 不會因為指數
[05:49] 你自己預判高或低
[05:50] 而有改變嗎
[05:51] 沒有
[05:52] 完全沒有在做
[05:53] 所謂的任何的一個預判
[05:55] 因為其實很多
[05:56] 以前很多學員朋友
[05:57] 他都會問我類似的一個問題
[05:59] 比如說他常常會講說
[06:00] 老師你在投資的時候
[06:02] 你不是會用像登號法
[06:04] 來判斷目前未接的高低
[06:07] 然後來做一個投入的一個動作
[06:09] 那你幫女兒去做存股的話
[06:11] 那你會不會
[06:13] 也去看
[06:14] 比如說像登號法
[06:16] 然後呢
[06:16] 來幫他做一個加減碼的一個動作
[06:18] 我跟你講
[06:19] 完全不會
[06:20] 那幫女兒存股的這個
[06:23] 動作的話呢
[06:25] 是這個樣子的
[06:26] 在臺股
[06:28] 開市的第一個禮拜
[06:30] 我就會把這筆錢
[06:32] 全部都存到戶頭裡面去
[06:34] 這個在去年前年
[06:35] 有跟我們分享
[06:36] 你每年都是如此
[06:38] 對
[06:38] 那個每年
