[00:00] 歡迎收聽趙華與谷貨仔的新春特別版
[00:09] 今天來參與我們新春特別版的來賓
[00:12] 因為平常我們都在講投資
[00:14] 當然新春特別版
[00:15] 我們就要把它驚人的人生觀
[00:18] 因為以前他分享過一次
[00:19] 那一次有把我嚇到
[00:21] 這一次也在過年期間
[00:23] 跟大家來分享
[00:24] 不一樣的一些人生規劃的想法
[00:27] 好 今天來的是
[00:28] 國泰正期的蔡明翰明翰協力
[00:30] 趙華聽眾朋友大家好
[00:33] 那你要拜個年嗎
[00:35] 對當然啦
[00:36] 這過年的時間點啊
[00:38] 當然祝大家新年快樂
[00:40] 馬到成功
[00:41] 剛剛趙華在提喔
[00:43] 不要再講馬到成功
[00:44] 不要再講這些
[00:45] 沒關係我是重點
[00:46] 不要再壓住在這個
[00:49] 說我們前面的拜年
[00:50] 等一下後面內容會比較精彩
[00:52] 好好笑
[00:53] 我剛才陪他講說
[00:54] 不要再講馬到成功
[00:55] 很多來賓都喜歡講馬到成功
[00:56] 他就想不出心的
[00:57] 我先來幫大家前情提要一下
[01:00] 因為可能有人聽過
[01:01] 有人沒聽過
[01:01] 如果真的很有興趣的朋友
[01:03] 真的強力推薦
[01:05] 去聽我們的EP
[01:06] 334集
[01:08] 現在都1000多集了
[01:09] 那一集呢
[01:11] 其實很意外
[01:12] 我那時候請這個
[01:13] 明翰還是經理
[01:14] 來的時候
[01:16] 不知道為什麼就聊到
[01:17] 因為說實話
[01:19] 那個支付寶行情很熱
[01:20] 可是之前有一段時間
[01:21] 行情其實就溫溫無聊
[01:23] 所以我就剛才教大家
[01:24] 講自己的人生故事
[01:25] 就看起來
[01:26] 我以為是那種很邏輯很理性
[01:28] 可能高材生
[01:29] 就含著金湯匙出身
[01:31] 一輩子沒受過什麼挫折的名漢
[01:33] 就講出了他的故事
[01:35] 那一篇的標題叫做
[01:37] 二十六個英文字都寫不起
[01:39] 重考三次才上私立大學
[01:42] 二十七歲退伍咬牙下決心
[01:45] 挑戰金融最難證到CFA
[01:48] 翻轉人生
[01:49] 相信和拼命是唯一的路
[01:51] 這太猛了
[01:53] 因為那一集的內容真的太猛了
[01:54] 就是講到
[01:55] 這個標題就是他當時的寫照
[01:57] 但是後來他是一個CFA Level 3
[01:59] 這個臺灣根本沒有幾個人
[02:01] 考到的一個成果
[02:02] 所以知道這樣的一個背景下
[02:05] 我們也許沒有要再舊事重提
[02:08] 可是就聊一下繼續
[02:09] 就是當你進入到了金融業
[02:11] 因為明海協理
[02:12] 我記得住在信義區
[02:13] 那正好買了一個信義區的預售屋
[02:16] 然後明海協理就說
[02:17] 我常常上班都經過你家
[02:18] 未來的家這樣子
[02:20] 可是他自己卻
[02:21] 比較沒有想要買房子
[02:23] 到底對你來說
[02:25] 就是這一輩子這樣規劃
[02:27] 突然在27歲當兵的時候醒悟
[02:29] 然後去考金融證照
[02:30] 走上金融業
[02:31] 那你之後對你整體的人生規劃
[02:33] 你覺得什麼樣叫做
[02:34] 滿意和你的人生目標
[02:37] 好
[02:37] 這個真的題目蠻大
[02:40] 這個題目好硬
[02:41] 這個題目比投資還硬
[02:42] 也會不會啦
[02:42] 就對應該說
[02:43] 老實講我是蠻喜歡
[02:45] 跟大家分享這個觀念
[02:46] 有幾個比較重要的重點
[02:49] 就是我的故事其實也很簡單
[02:51] 就是退伍之前都在玩
[02:53] 然後要退伍的時候發現社會給我教訓
[02:57] 就是告訴我說其實你這不及格
[02:58] 你找不到工作的
[02:59] 那大概就是這種邏輯
[03:01] 所以花了大概五年的時間很認真去讀書
[03:04] 那這過程當中大概是我人生最認真的時候
[03:08] 就那五年
[03:09] 但是我回過頭來
[03:10] 我覺得那五年非常的值得
[03:12] 那也因為那五年我才能夠拿入場券
[03:15] 然後進到金融業
[03:16] 然後後續慢慢的在
[03:18] 大概在職場已經快二十年了
[03:21] 但是我在裡面也學到蠻多東西的
[03:24] 那我最後的
[03:26] 我自己的心得
[03:27] 最後我常就是
[03:28] 會可能跟小孩分享
[03:30] 結論就是要能夠
[03:32] 如果我以前做的這些
[03:34] 這些所謂的錯誤的方向
[03:37] 能夠盡量避開
[03:38] 第一個角度而言
[03:40] 就是我剛剛提到
[03:42] 我是27歲開始讀
[03:43] 我後來發現
[03:44] 其實要早點盡快回到
[03:47] 這個正確的軌道上
[03:49] 相對來講是
[03:50] 對自己是非常有利
[03:52] 因為當時我被灌輸的觀念
[03:54] 就是因為我的成績太差
[03:57] 所以我後來即使念研究所
[03:58] 學校都沒辦法太好
[04:00] 那後來很簡單
[04:01] 人家告訴我
[04:02] 很簡單你就去考這CFA
[04:03] 因為你即使最top的學校
[04:06] 就比如講臺灣的臺政大的財經系
[04:09] 甚至財經所出來
[04:10] 能夠最後能拿到的
[04:13] 畢竟也不是多數
[04:14] 那你只要考上
[04:16] 沒有人會懷疑
[04:16] 那我就說那我就可以接受
[04:18] 我就往這個方向去拼
[04:20] 那後來慢慢的就拿到這樣的成果
[04:23] 那我以為我就可以
[04:24] 跟著大家該有的路程就上去
[04:28] 後來發現我錯了
[04:29] 這市場上
[04:30] 就我最大的
[04:31] 這個我的
[04:32] 沒辦法跟著上去
[04:34] 有一個很大的問題
[04:35] 我的年紀
[04:35] 因為我
[04:36] 簡單上我出社會的時候
[04:39] 就已經31歲
[04:40] 那你那種比較大公司
[04:42] 一看到
[04:42] 怎麼可能31歲才來找工作
[04:45] 就是社會新鮮人
[04:46] 對對對
[04:46] 但是有一些博班畢業的
[04:47] 也有這樣的問題
[04:48] 對問題如果就不是博班
[04:49] 就是一看你的這個年紀掐指一算
[04:52] 就是你以前有問題
[04:53] 這是很簡單
[04:54] 我覺得人生這件事情很殘忍
[04:56] 對
[04:56] 我必須跟聽眾講一件事
[04:58] 就是也許學歷不是萬能的
[05:00] 可是可能真的要有一個基本的學歷
[05:02] 然後不要落後太多
[05:04] 因為像明太協理也證實這一點
[05:06] 即使後面拿到了超級難考的證照
[05:08] 可是年紀就讓透露出
[05:11] 你中間肯定有一些在虛度的
[05:12] 是
[05:13] 那我那時候覺得
[05:14] 這個有那麼重要嗎
[05:15] 那我後來進職場就知道
[05:17] 因為我們後來
[05:18] 可能會看人家的履歷
[05:20] 就很簡單
[05:21] 你三一拿到這些OK
[05:24] 可是問題是人家27 26
