[00:00] 歡迎收聽趙華與古惑仔的新春特別版
[00:08] 在這個新春特別版裡面
[00:11] 不一定會跟大家聊太多在投資上面的想法
[00:15] 因為已經在長假裡面了
[00:17] 但是平常大家耳熟能詳的達人們
[00:20] 也都是跟大家分享很多產業資訊故事
[00:23] 反而我覺得有時候可以來聊聊一些人生的規劃和想法
[00:28] 好我先來歡迎今天的特別來賓
[00:31] 今天的來賓是國家級基金操盤手
[00:34] 又稱暖男的凱哥
[00:36] 大家好各位觀眾大家好
[00:38] 祝大家馬年馬到成功
[00:40] 等一下凱哥你知道馬到成功
[00:42] 很多人用了想一個新的
[00:44] 那能不能讓達人秀
[00:46] 當大家的馬首試戰呢
[00:48] 做投資的這個
[00:50] 對潛望鏡
[00:51] 希望大家手上的四馬都難追
[00:54] 你買完之後就變成難追
[00:56] 買完就漲停鎖住
[00:58] 對 因為鎖住
[00:59] 別人都買不到了這樣
[01:00] 凱哥今天來
[01:02] 我想在平常的日子裡
[01:04] 凱哥在PARCADES
[01:05] 或是理財大人秀
[01:06] 都跟大家分享過
[01:07] 很多對產業的看法
[01:09] 因為他本身就是做研究
[01:11] 曾經帶過投信出身的
[01:14] 那現在當然也跟很多的投信
[01:16] 保持很良好的關係
[01:17] 所以都非常非常多的產業資訊
[01:19] 不過今天要聊的
[01:21] 還是凱哥的人生
[01:22] 是
[01:23] 因為我認識你
[01:25] 你就已經在金融界了
[01:26] 可是當年呢
[01:28] 就是曾經在
[01:29] 就求學的路上
[01:32] 對不對
[01:32] 那為什麼當初
[01:33] 你會想要走金融的這條路
[01:36] 是在唸書的時候
[01:37] 你就特別的有這樣的興趣嗎
[01:39] 其實如果大家去翻閱我的書啊
[01:42] 或者去Google我
[01:43] 你就知道說其實
[01:44] 凱哥本身不是念金融的
[01:46] 但是凱哥唸的科系
[01:48] 跟金融非常有關係
[01:49] 凱哥唸的是不動產投資
[01:51] 不動產投資
[01:52] 那我們等一下聊聊方式
[01:53] 對那不動產投資
[01:54] 當年我是
[01:55] 碩班是第一名畢業的
[01:57] 畢業的時候
[01:58] 基本上我有個老師
[01:59] 他就在美國的時候
[02:01] 他就在券商有待過
[02:03] 他就說
[02:04] Kevin啊
[02:05] 其實你知道嗎
[02:06] 很多海外的分析師
[02:08] 他們很需要
[02:10] 有一個對不動產瞭解的人
[02:12] 是
[02:13] 因為這樣才有辦法去估出
[02:15] 這個產業的
[02:17] 基本的
[02:18] 資產價值
[02:20] 就是我們常在做
[02:21] 這個樹地估價的部分
[02:23] 因為我們在唸
[02:24] 研究所的時候
[02:25] 其實有一門課
[02:26] 叫做不動產估價
[02:27] 是
[02:27] 對
[02:27] 所以我們才能去估
[02:28] 這個資產的價值
[02:29] 那時候老鄉話
[02:30] 講的話我也挺聽進去
[02:32] 因為那幾年
[02:33] 確實房地產
[02:34] 不是特別的好
[02:35] 然後那時候
[02:36] 畢業的時候
[02:36] 其實我也投了好幾家
[02:38] 這個契嚴式的工作
[02:39] 像住商
[02:40] 心意房屋
[02:41] 或是像冠德
[02:42] 基本上
[02:43] 也確實有收到一些over
[02:45] 但是
[02:46] 我後來就選擇進入券商
[02:48] 那我那時候也去印徵
[02:50] 就是印徵了亞洲證券
[02:52] 是
[02:52] 運氣很好
[02:54] 就是我去印證的時候
[02:56] 我也跟我老闆講同樣的話
[02:57] 老闆因為你要知道
[02:59] 亞洲證券是開國內研究的先河
[03:02] 亞洲證券是國內最早有研究部的一個券商
[03:06] 但是因為這家公司基本上
[03:07] 因為它背後是一行投資的
[03:10] 所以後來他們基本上在操作上
[03:13] 沒有像馬家這麼的積極
[03:15] 所以最後亞洲證券是賣給了
[03:17] 是嫁給了元大證券
[03:19] 就併入了元大
[03:20] 其實元大證券老實講是
[03:22] 研究裡面最晚進來的
[03:24] 就是他們不是研究開先河
[03:26] 最早其實是亞洲有開先河
[03:28] 所以我們在這樣的條件之下
[03:30] 就很運氣好的進入了券商
[03:32] 那進入券商啊
[03:34] 其實剛開始的路啊
[03:36] 基本上也跟一般的研究員一樣
[03:38] 就是因為你去券商
[03:40] 通常老闆都會叫你不要看股票
[03:42] 對
[03:42] 他叫你不要看股票
[03:44] 因為你就是好好做好產業研究就好了
[03:47] 你不要受太多外部的干擾
[03:49] 你也不要去看什麼籌碼
[03:50] 不要去看現行
[03:51] 不用
[03:51] 你就如實的跟老闆報告說
[03:54] 你看這家公司
[03:54] 你覺得產業面怎麼樣
[03:55] 什麼什麼的
[03:56] 所以我還記得
[03:58] 我們那時候去call完公司
[03:59] 當天的下午就要回公司
[04:01] 跟老闆先報告說
[04:03] 今天這家公司
[04:04] 看了初步的結論是什麼
[04:06] 那如果你跟老闆講說
[04:07] 這家公司覺得很有趣
[04:08] 很有意思
[04:09] 老闆會跟你聊一聊
[04:10] 然後老闆就說
[04:10] 好那你明天早上
[04:11] 再做一個更詳細的報告
[04:12] 所以我們早期在券商
[04:14] 其實很早就要上班
[04:15] 但是我老闆比我更早上班
[04:16] 我老闆是6點50就上班的人
[04:19] 現在也差不多
[04:21] 我跟你講我那天聽他們統一投顧在講
[04:23] 都六點
[04:24] 晚停都六點半就跑去
[04:25] 對
[04:25] 所以他們今天是開門的
[04:27] 開門的
[04:28] 那研究部基本上
[04:29] 研究廳基本上七點十五分就要
[04:31] 全部都要到期
[04:32] 因為像我們都很早來
[04:34] 所以我早上還要幫各部門發報紙
[04:36] 對
[04:37] 是
[04:37] 然後老闆會拿走一份
[04:39] 然後我們研究部就是看兩份報紙
[04:41] 是
[04:41] 而且那時候
[04:42] 亞洲這些還有幫忙
[04:43] 幫忙媒體寫一些陳報
[04:46] 然後也還會幫忙做一些盤後的解析
[04:49] 所以那時候就在這樣的歷練下開始進入券商
[04:52] 好那
[04:53] 所以我開始進來其實不是走電子業喔
[04:56] 其實我一開始是進來是看傳統產業是因為傳統產業比較需要看樹地價值嘛所以我是進來做傳統產業可是走走走走走有一天老闆就說那個Kevin啊其實我看你好像專科唸的是電機
[05:08] 你有沒有興趣看一下電子零元件
[05:11] 所以你是曾經念過武專是電機
[05:15] 你真的很不正義耶你
[05:16] 專科念電機
[05:18] 然後大學研究所才念不動產
[05:19] 那你為什麼不走電機
[05:20] 然後以後去臺積電呢
[05:22] 就是大學研究所
[05:23] 我確實有很多同學在半導體
[05:25] 對
[05:26] 什麼聯電臺機
[05:27] 什麼預創這種都有
[05:29] 雖然細格也有
[05:31] 還有網通也有
[05:32] 你不要說我不務正業
[05:34] 我的研究所同學才不務正業
[05:35] 我研究所畢業
[05:37] 我研究所畢業後進券商
[05:39] 我有三個同學
[05:41] 他們都進網通產業
[05:43] 是
[05:43] 對
[05:44] 他們都去D-Link
[05:45] 難怪現在你對網通
[05:47] 他們都去D-Link
[05:47] 有三個都在D-Link
[05:48] 然後都在D-Link的採購部門
[05:50] 所以他們對網通
[05:51] 基本上是非常的駕輕就熟
[05:53] 對
[05:53] 所以我說
[05:54] 你看他們是念不動產
[05:55] 就跑去網通產業
[05:56] 所以我還算蠻不正業的
[05:58] 因為我念不動產
[06:00] 我還是做跟不動產
[06:01] 有點相關的工作
[06:03] 所以那時候老闆就說
[06:04] 你要不要去看一些電子產業
[06:05] 我說好啊
[06:05] 我去看一些零元件
[06:06] 所以我就從這樣子
[06:08] 就慢慢的從原本的
[06:10] 看傳統產業
[06:11] 就跨進了科技業
[06:12] 所以我後來開始
[06:14] 抄基金的時候
[06:15] 其實是抄電子
[06:16] 是抄科技產業
[06:18] 其實我的人生
[06:20] 跟大家不太一樣
[06:21] 就是一般的投行出來的人
[06:25] 可能一輩子都在投行
[06:26] 就是你做法人
[06:28] 可能一輩子都在法人
[06:29] 可是我好像
[06:30] 內科有個不安定的心
[06:32] 所以我做研究員
[06:34] 做一做
[06:35] 後來到投信公司
[06:36] 當了經紀人之後
[06:37] 我以前不知道哪根筋不對
[06:38] 我想說
[06:39] 我們一直都站在打棋球
[06:42] 都沒有站在投手球
[06:43] 看過這個人家到底是怎麼投球的
[06:45] 所以我就覺得
[06:46] 有機會我也來上智慧公司
[06:48] 當一下發言人
[06:49] 所以就因緣結合這樣
[06:51] 我就去某一家公司
[06:52] 當了發言人
[06:52] 所以應該是全市場裡面
[06:54] 哪一家我們不講
[06:55] 一家叫慶騰精密的
[06:57] 對
[06:57] 就是全市場裡面
[06:59] 基本上我認為
[06:59] 有法人背景
[07:01] 又去產業當發言人的
[07:03] 除了我
[07:04] 還有這個
[07:05] 白先生
[07:07] 就是亞東的
[07:09] 是
[07:09] 對
[07:10] 然後
[07:10] 外資好像也會有一些
[07:12] 對
[07:12] 就是他們會從
[07:14] 外資廳挖人
[07:15] 對
[07:16] 其實這樣的人不多
[07:17] 應該不出五根手指
[07:19] 就是說
[07:19] 他既有
[07:20] 這個投手的
[07:22] 打棋球的經驗
[07:23] 也有投手的經驗
[07:24] 所以你到了
[07:25] 那產業就發現說
[07:26] 其實產業真的沒有
[07:28] 法輪圈想得這麼的快
[07:30] 就是他們其實真的是
[07:32] 步調沒有這麼的快
[07:33] 所以有時候我們幫老闆
[07:35] 或者是幫公司構思
[07:37] 怎麼樣的一個策略
[07:39] 或做什麼樣的合作
[07:41] 其實有時候發覺就是
[07:43] 想的好像比做的快很多
[07:45] 不是比較快而已
[07:47] 是快很多
[07:48] 就是我們要他們
[07:49] 要公司來做搭配
[07:52] 或者是
[07:52] 這個製造端來做搭配
[07:55] 其實他們都會
[07:56] 相對就沒有辦法這麼的
[07:57] 駕動這麼的快
[07:59] 或駕動這麼快
[08:00] 所以
[08:00] 這樣的情況之下
[08:02] 基本上我就覺得
[08:02] 這樣不行
[08:03] 因為這樣我覺得
[08:04] 我很快就會老去
[08:05] 因為我的時間都被用完了
[08:07] 老去
[08:08] 對
[08:08] 所以我在那邊待了兩三年
[08:10] 我就覺得
[08:10] 我還是回到法人圈好了
[08:11] 回到投資圈
[08:12] 所以回來的時候
[08:13] 你看人生就像
[08:14] 有這個
[08:15] 有低谷
[08:16] 有這個高峰
[08:18] 就是
[08:18] 我記得我從產業回到研究圈
[08:21] 法人圈
[08:22] 基本上是一個低谷的位置
[08:23] 因為你已經離開了
[08:25] 所以你回來沒有辦法
[08:26] 那你要回來
[08:28] 人家會覺得說
[08:28] 你還能嗎
[08:29] 你可以嗎
[08:31] 那時候覺得
[08:32] 這個英雄不怕出身低
[08:34] 我說沒有關係
[08:34] 我其實都可以
[08:35] 我說我從做研究開始
[08:38] 我也可以
[08:38] 所以回來就不是幹經營人
[08:41] 我回來是幹研究員
[08:42] 就是我原本已經是個經營人了
[08:44] 我又回來當研究員
[08:45] 只是我是這個研究廳的leader
[08:48] 就是我是幫忙帶電子的研究
[08:51] 對
[08:51] 那就這樣
[08:52] 老闆就說
[08:53] 其實你好像也還是可以的
[08:55] 所以就又回來
[08:57] 又開始超基金
[08:58] 老闆就說
[08:59] 其實你感覺還蠻願意跟人家溝通的
[09:02] 所以其實你不只可以當經理
[09:04] 你還適合當代操經理人
[09:05] 所以那時候我們就有代操
[09:07] 就是你要去跟客戶做溝通
[09:08] 要去跟客戶分析盤試的部分
[09:12] 所以這就註定我後來會來達人秀的原因
[09:14] 就是因為
[09:15] 其實我還蠻願意跟人家分享
[09:17] 就是客戶在問
[09:19] 就來來而談
[09:20] 就很願意講
[09:21] 有些經理人其實不太願意
[09:23] 其實我覺得
[09:24] 多數的經理人都有色恐症
[09:25] 真的
[09:26] 很多經理人基本上
[09:27] 他們去拜訪公司
[09:29] 基本上是席至如今
[09:31] 他們連多問問題
[09:32] 他們都不願意
[09:33] 他們覺得多問問題
[09:34] 就會多被騙
[09:35] 所以我有些法人同業
[09:37] 基本上是不去call公司的
[09:39] 他們會自己分析報告
[09:41] 他不去聽公司講什麼
[09:43] 因為他覺得
[09:44] 去大部分都是被騙的
[09:46] 比較多
[09:47] 不行
[09:47] 那就是他的溝通技巧
[09:49] 不是那一項
[09:50] 所以就是說
[09:50] 你的研究到底是怎麼做的
[09:52] 其實你應該是先做了功課
[09:54] 你去法稅會
[09:55] 是驗證你的想法對不對
[09:57] 而不是你都不做功課然後到了法稅會才聽公司怎麼講那你當然就有可能怎麼樣有可能就會被誤導所以基本上確實還是有很多法人
[10:08] 是到現在為止
[10:09] 都是屬於不看公司的
[10:11] 然後他們只看財報
[10:12] 對 因為我跟凱歌有一個共同朋友
[10:15] 就是公恰
[10:16] 公恰已經退休
[10:17] 跑去隱居了
[10:19] 他就很不喜歡上媒體
[10:20] 但他還在年輕的時候
[10:22] 有被我嘮叨過一次
[10:23] 後來我們就變成好朋友
[10:25] 他是很喜歡看公司的
[10:26] 大家看都冷門的公司
[10:28] 對我像凱哥應該也知道
[10:29] 所以確實凱哥講的
[10:30] 就是有一些
[10:31] 說實話做到這樣的程度
[10:33] 願意出來分享真的不容易
[10:34] 對就是有樂於分享的心情
[10:37] 才有辦法
[10:38] 要不然很多人的口才
[10:40] 是也沒有像凱哥那麼好
[10:41] 可能也真的沒有做
[10:43] 這麼多深入的研究
[10:44] 因為那時候我記得
[10:45] 有一位操盤人
[10:46] 但是因為他身體不太好
[10:47] 就不講是哪一位
[10:48] 他確實就是跟凱哥講
[10:50] 他都跟我說
[10:50] 他有接受我拜訪嗎
[10:51] 他跟我說他就是看財報
[10:53] 他就是在他的辦公室裡看財報
[10:55] 他一家公司都不想去看
[10:58] 那時候我就幫他跟這個公洽牽線
[11:01] 因為公洽很喜歡看公司
[11:02] 但公洽也說
[11:02] 跟他認識了之後
[11:03] 他都也不願意去看
[11:05] 所以凱哥講的是
[11:07] 真的很兩極
[11:07] 但是也有人非常愛看公司的啦
[11:09] 對
[11:10] 看著看著也有人就被公司撈去
[11:11] 做他們的人了
[11:12] 對對對
[11:13] 這真的是很有趣
[11:14] 不過呢
[11:15] 比較起來
[11:16] 我覺得果然
[11:17] 在這個投資圈
[11:18] 因為你可以接觸到各行各業各領域
[11:20] 這真的是一個很迷人的工作
[11:22] 是
[11:22] 這真的是一個很有趣的工作
[11:25] 當然
[11:25] 對
[11:25] 所以選擇這一行是不會後悔的
[11:29] 可是這裡面難道沒有你覺得
[11:31] 在你的直來或是人生裡面
[11:33] 真的覺得很大挫折的事嗎
[11:36] 不然凱哥看你好像就會
[11:37] 大家會覺得你一帆風順
[11:38] 也沒有啊
[11:40] 其實我人生的高峰
[11:42] 就看起來好像是很平順
[11:45] 但是我也曾經有這種
[11:46] 重壓某一檔股票
[11:47] 但是它一直都沒有表現
[11:49] 就好像我剛剛講庸子一樣
[11:50] 就是當年這個宏達店
[11:52] 還在一百出頭快的時候
[11:54] 我是重壓的
[11:55] 因為我那時候就很看好他
[11:57] 這個智慧手機的趨勢
[11:59] 曾經是很好啊
[12:00] 沒有錯啊
[12:01] 後來我就毅然決然決定離開之後
[12:03] 結果他就從一百多塊
[12:04] 就直接往一千塊去
[12:06] 這個是賣飛的痛苦
[12:07] 不是賠錢的痛苦
[12:08] 因為我就覺得說
[12:09] 算了我可能不適合
[12:11] 來當這個操盤人
[12:12] 因為我比較執著在
[12:14] 價值型的操作上面
[12:16] 但我覺得
[12:17] 其實做一個價值型的操盤人
[12:20] 其實你就
[12:21] 其實在市場上是很難生存
[12:23] 價值型的人
[12:24] 基本上不適合操盤
[12:26] 但是他很適合操自己的部位
[12:27] 因為他可以等
[12:28] 例如說我有幾個朋友
[12:31] 我舉個例子
[12:32] 例如說他們
[12:33] 像他們曾經持有花城
[12:34] 他們持有的時候
[12:36] 大概是三四十塊
[12:37] 三四十塊漲到一百多塊
[12:40] 其實已經是好幾倍了
[12:42] 已經好幾倍了
[12:42] 那你會怎麼樣
[12:43] 你就選擇下車
[12:44] 殊不知
[12:45] 這從一百多塊又漲到一千塊
[12:47] 所以你看起來好像這個魚尾
[12:49] 好像留給人家吃
[12:51] 但是殊不知魚尾才更大
[12:52] 一塊肉被人家吃走了
[12:54] 但是我覺得
[12:55] 在做價值型的選股上面
[12:57] 你有一些
[12:58] 你自己的定見跟想法
[12:59] 那我覺得它就比較
[13:01] 不容易被市場影響
[13:02] 不要被市場影響
[13:03] 其實你要能夠賺大錢的人
[13:05] 其實他都是對特定
[13:07] 有一些邏輯跟想法
[13:09] 例如說當年的航海王
