[00:00] 歡迎收聽趙華一股貨載第1042集
[00:09] 2026年臺股繼續強漲
[00:12] 主動式ETF是參與大多頭市場投資人的好選擇之一
[00:16] 群一頭線有一檔主動型的ETF00982A
[00:20] 是今年第一檔公告配息的臺股主動式ETF
[00:24] 不僅從去年5月份掛牌以來
[00:27] 僅8個月漲幅高達近6成
[00:29] 本次的預估配息金額為0.377元
[00:33] 年化配息率大概10個百分點
[00:35] 配息水準更勝高股息ETF表現亮眼
[00:39] 提醒有興趣的投資人
[00:41] 本次配息最後的買進日為2月25日
[00:45] 今天是2026年的2月23號
[00:49] 也是馬年的開工日
[00:51] 可能很多人初四初五已經開工了
[00:54] 那我們媒體呢是今天開工
[00:55] 臺灣股市也是今天開盤
[00:58] 那我們知道在這個我們可以觀測過年期間
[01:01] 復臺期的一個狀況
[01:03] 那復臺期隱含著今天台股有機會上漲800多點
[01:09] 不過我們也知道這個六日有一些新的情況
[01:12] 就是川普川普他這個對等關稅這件事情
[01:16] 被美國的最高法院判定是違法
[01:19] 而他顯然是不甘寂寞
[01:21] 不甘寂寞他也說他就要克徵全世界的關稅
[01:25] 只是現在這個關稅戰給大家的衝擊
[01:28] 似乎比去年對等關稅第一次公佈的時候來的小很多
[01:32] 大家有一點點覺得可能會是不是會tackle
[01:36] 是不是說說不一定會真的做到
[01:38] 管他的先長再說
[01:39] 尤其是過年期間韓股漲的真的非常多
[01:44] 韓股在我們的休假期間大概上漲幅度有超過9個百分點
[01:48] 那今天台股呢
[01:49] 今天台股其實開高
[01:51] 那中間有漲到500多點
[01:53] 但尾盤壓下來
[01:54] 大盤中場收漲167點
[01:57] 是有一點點差強人意
[01:59] 可是如果來看到產業的話
[02:01] 產業的話表態的公司非常多
[02:05] 大家一開始看到什麼
[02:06] 被動元件
[02:07] 因為這個春田製造所說要漲價了
[02:10] 我們的國具華新科
[02:11] 開盤沒有多久就立刻鎖漲停板了
[02:14] 今天載板三雄非常的厲害
[02:17] 錦若南店漲停板
[02:18] 真頂KY漲停板
[02:20] 那當然還有像這個
[02:22] 所謂的低軌衛星
[02:23] 所謂的PCB
[02:24] PCB上游
[02:25] 同步機板等等的
[02:27] 哇
[02:28] 漲停板的加速真的非常的多
[02:30] 而且是所有的熱門產業
[02:32] 都有派出代表作
[02:33] 還有細光子
[02:35] 這個華星光也漲停板
[02:36] 上泉也漲停板
[02:37] 熱門產業都開心的時候
[02:40] 當然今天有一些公司
[02:41] 下跌幅度也比較重
[02:43] 集中在例如像
[02:44] 碳真卡的高價股裡面
[02:45] 影威
[02:46] 或者是說基可的秦城
[02:48] 或是茂林KY
[02:49] 或是散熱的七紅
[02:50] 這樣子有一點點兩極化
[02:52] 但我想大多數人應該還是有感受到
[02:54] 今天的盤是比較舒適的
[02:57] 因為櫃買漲得比較多
[02:58] 來歡迎今天的來賓
[03:00] 今天來賓在過年期間
[03:02] 我們又有聽過他這個在投信業的一些小故事
[03:05] 那今天開盤的第一天
[03:08] 特別請他來繼續接續著
[03:10] 對今天盤面上這樣百花齊放
[03:12] 以及有部分熱門產業垂累的情形來做解讀
[03:16] 先來歡迎他
[03:17] 就是我們的國家級基金操盤手
[03:19] 黃峰凱凱哥
[03:20] 大家好
[03:20] 各位新同仁大家好
[03:21] 大家新年快樂
[03:24] 又要上工了
[03:25] 有很多人說
[03:27] 放了快兩個禮拜假
[03:29] 九天的假
[03:30] 覺得手好癢
[03:32] 不曉得大家今天
[03:33] 有沒有進去買股票
[03:34] 還是會覺得買不下手
[03:36] 但我們請凱哥
[03:38] 先來幫我們講一下
[03:39] 因為春節期間
[03:40] 我們常提醒
[03:41] 還是要觀測一些
[03:42] 國際的重大事件
[03:43] 以今天來看的話
[03:45] 我想大家可能最關注的
[03:46] 一定還是川普
[03:47] 沒有想到
[03:48] 他的對等關稅
[03:49] 是被判違法
[03:50] 但他有提到
[03:51] 他說現在要依照貿易法122條條款
[03:54] 對各國科徵15%的關稅
[03:56] 但也同時美國這邊有傳出訊息
[04:00] 就是原本的對等關稅
[04:02] 就是真的叫做正式要停課了
[04:05] 好這個互相糾結的一個狀況
[04:08] 那當然這個過年期間
[04:09] 如果看到產業的話
[04:10] OpenAI他又提高了他的資本支出
[04:13] 所以AI的氣氛在美股
[04:15] 看來還是放心危礙
[04:17] 那還有中國大陸的語術機器人
[04:20] 在春晚的表演
[04:21] 那請凱哥先來講一下
[04:23] 大的方向好不好
[04:24] 今天台股本來
[04:25] 以復臺期來看的話
[04:27] 有可能漲800
[04:27] 但後來沒有
[04:28] 只漲了167
[04:29] 你覺得原因是因為關稅嗎
[04:32] 我想第一個是
[04:33] 我們其實在封關前
[04:34] 其實大盤是連三紅棒
[04:36] 那所以今天其實
[04:38] 拉了一個第四根的紅棒
[04:39] 但是還好今天最終
[04:41] 還是收紅的
[04:42] 它不是收低
[04:43] 所以這個表示多頭
[04:45] 還是維持的
[04:47] 只是多頭在地方
[04:48] 開始進入一個休息
[04:50] 其實早上的第一盤
