[00:00] 歡迎收聽趙華宜股貨載第1044集
[00:09] 今天是2026年的2月25號
[00:12] 這個一開春
[00:13] 這個馬年一來就要把大家給嚇醒
[00:17] 很多人都覺得年假休得很開心
[00:20] 那慢慢來
[00:21] 沒有辦法慢慢來
[00:22] 股市根本就在一個趕進度跟趕火車
[00:25] 都還記得2026年
[00:28] 對不對
[00:28] 所謂的新曆年跨年的時候
[00:29] 覺得哇塞這個一月好猛哦
[00:32] 但是現在舊曆年跨年
[00:34] 哇塞這個馬年好猛哦
[00:36] 今天盤中最高的漲點有超過800點
[00:40] 那中場收在35413
[00:43] 正式站上35K
[00:45] 而且以盤中最高漲點來說
[00:47] 根本就是要往36K邁進
[00:49] 天天都是一個幾百點七八百點
[00:52] 甚至千點的漲勢
[00:54] 這個真的好驚人
[00:55] 我想大家也會覺得有點壓力
[00:57] 對不對
[00:57] 為什麼
[00:58] 因為很擔心這一波
[01:00] 是不是叫做史上前所未見的大多頭
[01:03] 如果是低持股呢
[01:05] 如果空手呢
[01:06] 應該不至於啦
[01:07] 應該不至於空手
[01:08] 或多或少都會有股票
[01:10] 而且今天的股票有一個特色
[01:12] 昨天前天大家知道中小型股百花齊放哦
[01:16] 第一天臺積電沒有漲嘛
[01:18] 那空間浪出來
[01:19] 第二天臺積電漲了
[01:21] 這個還有中小型股一起漲
[01:23] 不過今天就有一點點是叫做落後補漲盤
[01:27] 除了臺積電大漲
[01:28] 已經超過2000塊錢之外
[01:30] 老AI復活了
[01:32] 老AI復活了
[01:33] 那像臺達電這樣的大型股
[01:35] 也還是續強
[01:36] 但中小型股就有點輪動了
[01:38] 今天PCB可能相對就有點壓力
[01:39] 低軌衛星迴蕩比較多
[01:41] 機體也是
[01:41] 那就會輪迴到
[01:43] 有一些之前像重電
[01:44] 有一些朋友漲得像散熱
[01:46] 次族群開始做輪替的表現
[01:50] 往好處想
[01:51] 大家都輪得到
[01:52] 往比較麻煩的方向想
[01:55] 現在高檔了
[01:56] 到底是要追強還是在弱的地方等
[01:59] 會不會等不到看到別人賺得很開心
[02:01] 到底該怎麼樣來看待
[02:02] 那今天老挨的大漲
[02:03] 是不是因為很期待輝達的財報
[02:06] 能夠表現出比市場預期更亮眼
[02:09] 先來歡迎今天的來賓
[02:10] 今天來的是題材獵人漢偉哥
[02:13] 中華好 各位聽眾朋友大家好
[02:14] 漢偉哥老師突然想到
[02:16] 我們今天這一集的Project不能出問題
[02:18] 因為昨天這個蘋果系統又把我擺了一道
[02:22] 其實不是第一次了
[02:24] 就是蘋果的後臺
[02:26] 其實我們都上傳好了
[02:28] 對可是釋出的時候很奇怪
[02:29] 就會前臺跑不出來
[02:31] 那以前呢
[02:32] 其實大概一年多前也發生過
[02:35] 那時候發生比較頻繁
[02:36] 但說實話已經很久沒發生了
