[00:00] 歡迎收聽趙華宜古貨載第1045集
[00:09] 今天是2026年的2月26號
[00:13] 好接下來我們又要遇到三天的廉價
[00:16] 照理來說呢
[00:17] 當時是認為說過完年你又上四天班要廉價
[00:22] 感覺上應該大家在對交易的熱情
[00:25] 不會那麼的熱
[00:26] 但看來這四天顛覆了我們的想象
[00:30] 今天因為還有MSCI的季度調整
[00:34] 所以尾盤有爆量
[00:35] 那總體的上市成交量正式破兆
[00:39] 今天來到了1.137兆
[00:43] 我的時代來臨了
[00:45] 兆元時代來臨了
[00:47] 就算有MSCI的季度調整
[00:49] 但之前會看量價關係的達人們也有說
[00:53] 它就是量
[00:53] 不管怎樣它就是量
[00:55] 所以這個量就是一個創下了歷史記錄的狀況
[00:59] 而且不排除以後兆元量會不會變成一個新常態
[01:04] 因為今天的指數有在創歷史新高盤中來到了35579
[01:09] 那當然今天的盤大家如果有在看的話也會知道
[01:13] 它就有一點點不夠強
[01:15] 但你說不強嘛體感也不差
[01:17] 因為今天上漲加速是遠高於下跌加速的喲
[01:21] 那今天漲停板的公司也有大概70家左右
[01:24] 所以今天以中小型和貴買來說
[01:27] 非常的熱
[01:28] 那還有就是今天可能大型股
[01:30] 如果您持有比較多的大型股
[01:32] 會覺得比較波折啦
[01:33] 因為第一是臺積電
[01:35] 今天是繼續浪空間
[01:36] 其實這禮拜四天
[01:37] 臺積電分配的很平均
[01:39] 第一天浪空間
[01:40] 有沒有
[01:41] 第二天跟大家分享空間
[01:43] 一人500點
[01:44] 第三天哇
[01:45] 有一點點垃圾盤跟老挨挨復活
[01:48] 那今天的話
[01:49] 老挨跟臺積電又出現了一些休息
[01:52] 但是金融股有起來哦
[01:54] 所以今天在大型股的部分
[01:55] 金融股的表現是好的
[01:57] 那當然老AI跟臺積電
[01:59] 今天稍微比較沒有發揮
[02:02] 一改昨天的常態
[02:04] 可能跟輝達也有關係
[02:06] 昨天有講到大家在押寶輝達
[02:08] 那等一下也會聊
[02:09] 其實輝達的財報跟未來的指引
[02:12] 都優於市場預期
[02:13] 那為什麼不漲
[02:14] 為什麼還是漲不動
[02:17] 因為本來盤後有先漲
[02:18] 後來收斂
[02:19] 最後甚至是翻小跌
[02:21] 這也讓檯面上這些老AI股票
[02:24] 似乎就比較沒有辦法有利器了
[02:26] 那我想還有很多人關心的就是
[02:28] 這兩天有開法說的
[02:29] 有人又變法會了
[02:31] 就是光寶科
[02:32] 為什麼他幾乎每一次開完法說都會變法會
[02:37] 可是你看到他的EPS預估
[02:39] 其實內外資都沒有去調降
[02:42] 那到底問題在哪裡
[02:43] 等一下也會來聊
[02:44] 我們先來歡迎今天的來賓
[02:46] 今天來的是我們的黃金右下角選股教練
[02:49] 韋泰
[02:50] 早安好大家新年快樂
[02:52] 我一看到韋泰我就知道一件事
[02:54] 韋泰就是屬於在過年的時候呢
[02:56] 大家韋盧親戚來走訪的時候
[02:58] 會把你團團圍住
[03:00] 然後一直問股票的那種情況
[03:03] 今年其實我覺得不是隻有親戚啦
[03:07] 像我剛剛還在跟趙娃開玩笑說
[03:10] 連我這個小朋友的這個老師
[03:12] 小朋友的老師都來這個關心一下
[03:16] 這個很難回答
[03:19] 很難回答
[03:20] 他是直接問個股嗎
[03:22] 他就是說怎麼操作啊
[03:24] 什麼的
[03:25] 他就講錯了
[03:26] 糟糕
[03:27] 小孩子在人家手上
[03:28] 請他先股貨仔好了
[03:31] 對啊
[03:34] 我說但是我覺得
[03:35] 今年的這個行情
[03:37] 我這個禮拜
[03:38] 我的感受其實是蠻兩極的
[03:41] 怎麼說
[03:41] 很多人有在擔心
[03:43] 所謂的一個
[03:44] 插鞋童的一個情況發生
[03:47] 因為現在才太多人在討論
[03:48] 對
[03:48] 可是我也聽到在討論這些人裡面
[03:52] 有一些人是在覺得說
[03:53] 哎呀怎麼漲了六七百點
[03:56] 一千點怎麼都沒有漲到我的股票
[03:58] 在前兩天的確會有這樣子的一個聲音出來
[04:02] 所以其實這一波
[04:04] 尤其是最近這兩個交易日
[04:07] 成交量來到一兆以上
[04:09] 我覺得其實市場上面還沒有讓我覺得到
[04:12] 真的就是很瘋狂
[04:13] 然後過熱的情況
[04:15] 因為還有一些的一個個股
[04:17] 其實它真的沒有漲到
[04:18] 所以我們從今天的一個盤面上來看
[04:22] 我有特別關注到
[04:23] 像剛剛趙華友提到的金融股
[04:26] 其實今天指數的一個關鍵
[04:29] 我覺得金融股扮演了非常重要的角色
[04:32] 如果大家有去看盤的話
[04:35] 發現到今天的加權指數有兩波拉抬
[04:39] 第一波是在早盤十點半之前
[04:42] 那個是把加權指數從平盤下拉到平盤
[04:46] 的位置
[04:47] 然後在這個
[04:48] 12點之後
[04:50] 又第二波的拉高
[04:51] 那這一次的拉抬呢
[04:53] 也是
[04:53] 都是集中在
[04:55] 金融股的身上
[04:58] 那包括像國泰金
[05:00] 中信金元大金
[05:01] 當然富邦金有
[05:02] 但是它的一個
[05:03] 拉抬的幅度
[05:04] 沒有這麼的明顯
[05:06] 當然也不是說
[05:07] 電子股沒有表態
[05:09] 像今天的發哥
[05:10] 今天的聯發科
[05:12] 也就表現得不錯
[05:13] 它從早上
[05:14] 一開盤就有補量
[05:16] 而且創下波段的新高
[05:18] 所以其實嚴格講起來
[05:20] 我覺得這個盤式的一個變化
[05:25] 我只能夠說
[05:26] 它有點像是我們就是默契很好的臺灣隊
[05:29] 其實我也覺得
[05:31] 發哥其實歷史新高
[05:33] 好猛也要兩千了
[05:34] 我也覺得
[05:35] 因為剛剛錄音前
[05:36] 我跟韋泰講說
[05:37] 其實每一天可能大家都會有抱怨說
[05:39] 有沒有漲到自己的股票
[05:40] 但是禮拜一到禮拜四
[05:42] 其實我覺得該漲的
[05:44] 大部分都有輪到吧
[05:46] 對不對
[05:47] 就所謂的熱門
[05:48] 或者話題上
[05:48] 或者體質好的
[05:49] 對
[05:50] 像我們來看看
[05:53] 這個非電子股的部分
[05:54] 像昨天其實
[05:56] 碩化股表現很好
[05:58] 那碩化股我們在去年
[06:00] 有跟大家分享過
[06:02] 我是講臺碩私保
[06:04] 當時雖然說我的重
[06:06] 我自己重壓
[06:07] 沒有重壓在南亞上面
[06:08] 但是我覺得
[06:09] 這一波的臺碩集團
[06:11] 它的一個發展上
[06:13] 也算是符合我的原先的預期
[06:16] 就是它最壞的時間已經過去
[06:18] 然後公司有新的經營階層
[06:21] 有新人新氣象
[06:23] 所以在整個股價的表現上
[06:26] 就有另外一番的一個景象發生
[06:29] 傳承裡面像昨天的是碩化
[06:33] 但是碩化之外像今天是航運
[06:36] 大家可能沒有注意到
[06:38] 其實航運股默默的在動
[06:40] 那除了大家比較熟悉的貨櫃三雄之外
[06:44] 這一波其實漲的比較明顯的是散裝
[06:47] 包括像是2605的這個星星
[06:51] 還有2606的玉敏
[06:53] 他們的這個股價都默默的在走高
[06:56] 以這個2605的一個星星來說
[07:00] 他今天的這個股價
[07:02] 又創下了這個波段性的新高
[07:05] 我真的很佩服韋泰
[07:06] 因為我這個人很現實
[07:07] 就是我每次都覺得散裝超級魔人的
[07:10] 然後我就畫素化
[07:11] 其實這個我也很早就講了
[07:14] 但是我今天看到
[07:16] 現在這個是星星對不對
[07:17] 不是載板的星星
[07:19] 我習慣看到
[07:20] 我習慣看到3037載板的星星
[07:23] 就怎麼樣
[07:23] 右上角噴出
[07:25] 你就天天眼睛就追著它
[07:27] 但是散裝航運的星星
[07:29] 也在創一個波段高
[07:31] 我就沒有留意到
[07:32] 但它真的是
[07:33] 你看它的線圖是它有點魔人
[07:35] 就看到AAA或是像宅版矽光紙在噴
[07:38] 你就可能會忘記它了
[07:40] 但我也太沒有
[07:41] 我也太沒忘記
[07:43] 我今天在盤中
[07:44] 我還跟我的學生講說
[07:46] 長雲股我在動
[07:48] 因為我在上個禮拜
[07:50] 這個開網盤前一天
[07:51] 我跟大家做預先的這個
[07:54] 交戰手冊的時候
[07:55] 我有講到說
[07:56] 這個電子股會漲沒有
[07:58] 但是很多傳承的股
[08:00] 其實因為量很大嘛
[08:01] 量很大
[08:02] 它一定會有一些資金的外溢效益
[08:04] 然後會有一些就是地位階
[08:07] 然後有價值的這個傳參股
[08:10] 會被市場上面向重
[08:12] 那航運股已經我有看到
[08:13] 包括像是陽明
[08:15] 它其實股價上也都有突破
[08:17] 它的一個下降的軌道線
[08:19] OK
[08:19] 那我今天跟大家
[08:21] 跟我的學生講什麼
[08:22] 我說你們不要覺得
[08:24] 那個傳參股沒有漲停
[08:26] 就不要看它
[08:27] 因為傳參股通常在起漲的時候
[08:29] 不會漲停
[08:30] 是
[08:30] 它就慢慢慢慢的
[08:33] 對
[08:33] 然後等到大家注意到
[08:35] 開始拉中長紅的時候
[08:36] 反而你不能追了
[08:37] 是
[08:37] 對
[08:38] 這其實就是電子股跟傳單股
[08:40] 很不一樣的地方
[08:41] 對
[08:42] 市場上面的這個股性
[08:43] 或者是
[08:45] 其實股性跟關係的
[08:48] 就是主力的那個手法
[08:49] 我講明白就這樣
[08:51] 就主力的這個手法
[08:53] 他們是不太一樣的
[08:54] 就是電子股有電子股的主力
[08:55] 然後傳單股有傳單股的主力
[08:58] 所以他們其實會
[08:59] 各有各自的一個玩法
[09:00] 所以其實投資朋友在
[09:02] 選股的時候
[09:03] 其實我覺得
[09:04] 除了基本面看一看之外
[09:06] 其實比較
[09:08] 比較資深的投資人
[09:10] 大概都有這種感覺
[09:12] 就是說其實
[09:13] 做哪一類的股票
[09:15] 就要去符合
[09:16] 迎合那一類股票
[09:18] 它的一個主力的一個屬性
[09:20] 像電子股就很喜
[09:22] 我們剛剛說老AI
[09:24] 昨天像鴻海
[09:27] 也是往上走
[09:29] 往上漲完之後
[09:31] 像今天其實
[09:31] 以目前的位積來看
[09:33] 其實百分之七八十的機率
[09:35] 都是會震盪會回撤
[09:37] 但是今天的鴻海
[09:38] 如果你仔細去看
[09:40] 它其實賣壓並沒有很重
[09:41] 它今天的成交量才
[09:43] 跟昨天相比是量縮的
[09:45] 它其實就是有點開高走低
[09:47] 因為它今天還是有小創一個
[09:48] 比昨天小創一個高才回檔的
[09:51] 對
[09:51] 而且它今天
[09:53] 其實是因為最後一盤
[09:55] 爆了一萬四千多這樣的大量
[09:58] 它應該也是在這個
[09:59] 權重的調整上面
[10:00] 也有被拿來當做棋子之一
[10:03] 全支股嘛
[10:05] 所以其實如果說
[10:06] 摒除掉就是最後一盤的
[10:08] 這個異常大量
[10:09] 它今天的成交量
[10:11] 其實是比前一天
[10:13] 還要再少30%
[10:16] 所以算是一種
[10:17] 就是昨天漲了
[10:18] 然後今天再消化一下
[10:20] 短線上面的慢壓
[10:21] 我覺得是一個這樣子的架構
[10:23] 那就就是水電支股
[10:25] 他們比較容易發生
[10:28] 在這種所謂的偏大牛股的
[10:30] 一個股信身上
[10:31] 但今天電子股
[10:33] 我個人認為
[10:34] 最讓我鬆一口氣的是
[10:36] 記憶體
[10:38] 讓你鬆一口氣嗎
[10:39] 對
[10:39] 為什麼
