[00:00] 歡迎收聽趙華盈古貨載第1046集
[00:09] 今天是2026年的3月2號
[00:12] 度過了一個2283天的廉價之後呢
[00:15] 本來預期今天會跌
[00:17] 因為上個禮拜不是天天都大漲嗎
[00:20] 當然最後一天是漲一點
[00:22] 但也是一個大漲
[00:23] 那預期今天會跌
[00:25] 令人比較小意外的是
[00:27] 今天沒有跌多少
[00:29] 沒有跌多少
[00:30] 幾乎每一次在這個週末的時候
[00:33] 難免因為美國很喜歡
[00:35] 就川普啊什麼的
[00:37] 很喜歡在週末的時候進行一些
[00:39] 讓人意想不到的事情
[00:41] 那這個週末大家知道
[00:42] 就是伊朗以色列美國等等的
[00:44] 這個各方交戰就開始了
[00:46] 那比較大的兩條事情
[00:49] 一個就是伊朗的最高領袖哈米尼
[00:51] 據說已經身亡了
[00:54] 那第二個當然是這一次的戰火達到杜拜
[00:57] 大家都會覺得說
[00:58] 你之前在一些你比較不會去的國家打來打去
[01:01] 沒什麼
[01:02] 炸到杜拜的機場和杜拜的飯店前面
[01:06] 這個就有很多人在杜拜
[01:08] 是用度假的心情的時候感受就很恐慌
[01:11] 以及覺得事情很大條
[01:14] 但是因為哈米尼已經身亡的關係
[01:17] 所以大家也預期既然最高領袖已經身亡了
[01:20] 那這樣的戰火能延續多久呢
[01:22] 我想這個可能給市場一個相對比較冷靜的情緒就跑出來
[01:27] 所以今天開盤是有跌到800點
[01:30] 但是大概10分鐘後
[01:32] 指數快速的拉昇
[01:34] 盤中一度
[01:35] 跌大概只有一百點多而已
[01:37] 哇超級強
[01:39] 因為日股今天開盤
[01:40] 也是先跌了兩趴多
[01:42] 但最後日股也稍微拉起來
[01:44] 不過總體來說
[01:45] 因為今天韓股沒開盤
[01:46] 整個亞洲市場
[01:47] 臺股還是一個number one
[01:50] 非常之抗跌
[01:51] 再加上我們看到美股
[01:53] 雖然大型的一線AI龍頭股
[01:55] 我想回答兩三天可能就跌了快10%
[01:58] 不過他們有很多的這種像AOI這種矽光子
[02:02] 就中小型的熱門產業股在噴
[02:03] 所以我們今天盤面上的熱門產業股
[02:06] 漲停板的依舊非常多
[02:08] 以矽光子跟低軌衛星為首
[02:10] 還有鈣太礦
[02:11] 好我現在歡迎今天的來賓
[02:13] 那剛好上個禮拜三他又來
[02:15] 今天又來剛好幫大家來講一下這幾天的變化
[02:18] 今天來的是題材獵人漢偉哥
[02:21] 大家好哥們們大家好
[02:22] 今天我不曉得漢偉哥跟我一不一樣
[02:25] 早上因為我也是預期說
[02:26] 可能會跌到個八九百點
[02:29] 甚至如果悲觀一點會有千點
[02:31] 因為我的立場倒不是說
[02:33] 這個戰爭有多嚴重
[02:34] 第一個是戰爭對我來說
[02:36] 非經濟因素的下跌
[02:38] 肯定會是一個買點
[02:39] 第二個是臺股本來乖離就非常大
