[00:00] 欢迎收听赵华谀古惑仔第1049集
[00:09] 今天是2026年的3月5号
[00:12] 我今天突然有一个感想就是
[00:14] 该不会是因为进入到马年吧
[00:16] 所以现在我们有被下马威的感觉
[00:20] 今天的台股或是韩股
[00:23] 韩股比我们先开盘嘛
[00:25] 是一个大反弹大反攻
[00:27] 昨天我们跌了将近1500点
[00:30] 今天盘中
[00:31] 其实我们也涨了将近1500点
[00:35] 但今天的涨势
[00:36] 比较受到了一些压力
[00:38] 盘中就开始慢慢的涨点收敛
[00:40] 中场上涨844点
[00:42] 当然看到844点
[00:44] 还是蛮厉害的
[00:45] 可是今天是有留下一个
[00:47] 常常的上影线
[00:48] 而且今天的量
[00:49] 看起来追价的意愿就低了
[00:51] 可能有人早就已经下出场了
[00:54] 所以今天也不太可能
[00:55] 马上就回来
[00:56] 今天的上市量是7600亿左右
[00:59] 这个大涨跟大跌的情况下
[01:02] 大家要问了
[01:04] 难道就剩下昨天是买点吗
[01:06] 感觉上今天又怕说
[01:08] 昨天没买到
[01:08] 今天要来追
[01:09] 可是今天盘面上
[01:10] 看到很多热门族群
[01:12] 像低轨卫星
[01:13] 像CPO
[01:14] 确实反其道而行
[01:17] 尤其是CPO
[01:18] 开高走低
[01:19] 那个振幅是非常的大
[01:21] 有人说好像跟博通
[01:23] 公布的财报法说有关系
[01:26] 博通的财报非常的棒
[01:28] 可是博通的这个CEO讲说
[01:30] CPU的进展恐怕没有那么快
[01:33] 客户还是会想用铜线
[01:36] 可能到2028都还在用铜线
[01:39] 这句话可能真的有把CPU给吓到
[01:41] 但是是这样子吗
[01:43] 那不是辉达已经在做CPU
[01:45] 要用CPU了
[01:46] 还投资科西伦跟刘明光学吗
[01:48] 我们要听谁的
[01:49] 好今天的来宾很特别
[01:51] 今天的来宾
[01:52] 上个礼拜来的时候
[01:53] 我们两个欲言又止
[01:55] 因为想说他还没有
[01:56] 他还在原本的地方
[01:58] 但今天来他已经是一个全新的身份了
[02:02] 以前我都叫他写理
[02:03] 今天我们要重新取绰号了
[02:06] 我先来欢迎他出来好了
[02:07] 今天来的是我们对AI科技
[02:10] 总是有前瞻性看法
[02:12] 然后常常告诉大家说
[02:14] 没什么问题再度重生的明汉哥
[02:17] 赵华听众朋友大家好
[02:19] 你是蔡明汉
[02:21] 是我是蔡明汉
[02:22] 我等一下一定会脱口而出
[02:24] 什么协理啊什么的
[02:25] 没关系
[02:26] 慢慢的就会习惯了
[02:28] 我自己还在调整当中
[02:30] 因为明翰他已经离开
[02:32] 这个国泰争气了
[02:34] 对不对
[02:34] 三月开始就是一个全新的身份
[02:37] 就是蔡明翰本人
[02:38] 目前还没有花落哪家吗
[02:42] 对我现在就是散乎一鸣
[02:44] 就是负责投资而已
[02:46] 专业投资人
[02:48] 不敢这么说
[02:49] 就是有在持续为自己而投资
[02:52] 因为那天敏汉在他自己的频道
[02:54] 就有讲到说他失业了
[02:56] 哇塞
[02:57] 他失业了
[02:58] 我怎么会知道的
[02:59] 我不是一直在追踪他频道发现的
[03:01] 是我的私讯就开始进来了
[03:03] 为什么敏汉哥他离开这个国泰了呢
[03:07] 那赵华你还会再请他上节目吗
[03:09] 应该更加的请他上节目吧
[03:11] 希望还能看到他
[03:12] 我就想各位啊
[03:14] 你们太不了解我了
[03:15] 当我知道这个讯息的第一时间
[03:17] 他在我旁边我就说
[03:18] 那你一个礼拜至少来上两到三天的节目
[03:21] 他会快昏倒
[03:22] 他就说他要先稍微休息一下下
[03:24] 但是我看你频道更新的
[03:26] 虽然蛮勤劳啊
[03:27] 应该这样讲啊
[03:29] 就是说因为没办法
[03:30] 因为最近真的波动太大
[03:31] 所以我觉得这个投资人
[03:33] 总是心慌慌需要交代一下
[03:36] 那我确实就是说
[03:38] 毕竟在国泰工作十年
[03:40] 加上尤其最后这半年
[03:42] 真的是到处串场
[03:44] 所以压力真的是非常的大
[03:46] 那这一段时间
[03:47] 希望能够稍微沉淀一下
[03:49] 那重点就是
[03:50] 要记得就是
[03:51] 我整个研究分享的架构
[03:54] 是不会改变的
[03:55] 所以到底会不会来达恩秀
[03:56] 或古厚仔
[03:57] 应该说之前
[03:58] 因为真的比较繁忙
[03:59] 可能达恩秀还有在上
[04:01] 古厚仔的部分
[04:02] 确实就停了一段时间
[04:03] 未来我会尽量配合
[04:05] 老实讲
[04:06] 就是我个人觉得
[04:07] 对比来讲
[04:08] 节目当然是很喜欢来上
[04:10] 重点是我觉得
[04:11] Podcast可以轻松了
[04:12] 我会觉得更加的愉快
[04:14] 你讲的
[04:15] 对
[04:16] 真的
[04:16] 这个明翰哥
[04:18] 每一次我看到他
[04:19] 就是不停的说
[04:20] 给我什么什么时间
[04:21] 然后他就说
[04:22] 接近一点的时候再讲
[04:24] 但是呢
[04:24] 这一次为什么
[04:25] 我在上礼拜就提前知道
[04:27] 他要离职呢
[04:28] 就是因为我跟他
[04:29] 敲了一个时间的时候
[04:30] 他居然跟我
[04:30] 讲了一个比较远的
[04:32] 通常他都会说
[04:33] 接近再讲
[04:34] 很少跟我预约保留
[04:36] 我就想怎么可能啊
[04:37] 怎么转性了
[04:38] 他才说
[04:39] 因为他后面的时间
[04:40] 比较自由了
[04:41] 所以他可以先答应我了
[04:42] 哇
[04:42] 捡到了
[04:44] 好
[04:44] 那我们先来讲
[04:45] 盘面上大家关注的事情
[04:47] 昨天赵华也有说
[04:49] 到月线
[04:49] 其实我就进场布局了一些
[04:51] 不管是市执行的
[04:52] 或是主动式的ETF
[04:53] 而且也有把
[04:54] 我买了拿几档
[04:55] 都还蛮老实的跟大家交代
[04:57] 但我也必须讲
[04:58] 因为昨天刚碰到月线
[04:59] 我个人实在是觉得
[05:01] 乖离过大这件事情
[05:02] 不会只修正这么一两天
[05:04] 所以昨天我并不是说什么
[05:05] 哇什么all in啊
[05:07] 大幅的进场
[05:08] 但有基本的进场
[05:09] 那今天一反弹
[05:10] 势必就会觉得
[05:12] 昨天好像减的不太够
[05:14] 可是我对今天的反弹
[05:15] 事实上是有抱持着一些些戒心
[05:18] 所以这边的话就要请
[05:19] 明翰来帮我们讲
[05:21] 这个我也喊他的名字
[05:23] 后面就想要接直称
[05:24] 我要忍耐
[05:25] 好来帮我们讲一下
[05:27] 这一次源起于当然美伊的战争
[05:29] 到我们录音的此刻
[05:31] 其实伊朗都还是态度蛮硬的
[05:33] 并不像川普觉得
[05:35] 他可以很短的时间内搞定
[05:36] 这个是其一
[05:37] 而且油价不断的在上涨
[05:39] 那其二当然是我们讲到
[05:41] 韩股跟我们的乖离真的太大
[05:43] 这件事情
[05:44] 那这样两件事情的纷争
[05:46] 你的判断要到什么样的情况下
[05:49] 你会觉得叫做利空已经笑话了
[05:51] 好 我觉得这从两个层面角度出发
[05:54] 先讲到刚刚提到的乖离的问题
[05:57] 其实我们上礼拜在达恩秀就提到了
[06:00] 就是亚股能够明显强势
[06:03] 讲的就是台韩比较强势
[06:05] 是有基本面的
[06:06] 所以这表示不用过度紧张
[06:10] 但是我之前就提到
[06:11] 我们没办法脱离美股太远
[06:14] 一直以来都是这样
[06:15] 所以那时候提到一个礼拜的时间点
[06:18] 如果美股不涨
[06:19] 我们就得补叠
[06:20] 但是我那时候讲补叠
[06:21] 也没有说要像这种崩盘
[06:23] 那是因为补叠
[06:25] 照理讲只是未接的修正
[06:27] 刚好又遇到中东的战火
[06:29] 导致出现快速的一个下跌的过程
[06:33] 那所以其实就这几天
[06:35] 这种恐慌性的下跌
[06:37] 其实我觉得在乖离的修正
[06:39] 已经大致上不会差很多了
[06:41] 现在最重要的问题
[06:43] 回归本体还是美股
[06:45] 到底它的趋势要怎么走
[06:47] 那我建议投资人
[06:49] 就是说
[06:50] 这种战火的东西
[06:52] 其实你很难去做分析
[06:54] 我常常讲
[06:55] 我工作
[06:56] 无论关税战火
[06:58] 我都要把它拆得很细
[06:59] 可是我讲一句实在话
[07:02] 我在拆解的过程当中
[07:03] 我会觉得做这个事情很无聊
[07:05] 因为我觉得
[07:06] 这个对投资老实讲是没有帮助
[07:08] 但是投资人就想看一些
[07:11] 实际上里面的细节
[07:12] 但是其实在投资
[07:14] 你只要抓到主轴架构就好
[07:16] 记得一件事情
[07:17] 战火一定会影响
[07:19] 但是有很大的问题所在
[07:22] 就是这个的股市的低点
[07:25] 不会是战事消弥了之后
[07:28] 它才会往上走
[07:29] 它一定会在战火还在持续扩大
[07:32] 而且真正的最大的爆点还没来
[07:35] 它就已经慢慢开始往上走
[07:36] 所以如果你很专注在这个战火上
[07:40] 然后会发现一直还
[07:41] 也许就是说并没有明显消散
[07:45] 甚至还在扩大
[07:46] 那你会担心
[07:46] 然后呢你就持续减码减码减码
[07:49] 你会发现一个现象
[07:50] 股市已经慢慢的走多
[07:52] 我常常我在讲
[07:54] 这段时间因为战火的问题
[07:56] 大家认为油价上去
[07:58] 通膨经济衰退
[08:00] 所以现在正在提前反映
[08:01] 这样的一套逻辑
[08:03] 但是实际上
[08:04] 我就说大家分析会对比
[08:06] 之前以色列伊朗的战火
[08:09] 长什么样子
[08:10] 甚至在讲1970年
[08:12] 当时石油危机长什么样子
[08:15] 不斷的各種情境講給你聽
[08:17] 我個人覺得就現在的角度
[08:20] 對比你應該看一下
[08:21] 去年的對等關稅
[08:22] 因為真正的共通點
[08:25] 就是無論如何都是川普
[08:27] 弄出來的一隻黑天鵝
[08:28] 然後火是他點的
[08:32] 再反過來
[08:33] 滅火他隨時可以滅
[08:35] 當年的關稅他隨時可以停
[08:37] 現在正在交火
[08:39] 他只要他的心態一轉
[08:42] 隨時也可以停
[08:43] 所以概念几乎是一样的
[08:46] 去年的黑天鹅就是关税
[08:48] 然后关税该怎么投资
[08:51] 你自己应该心里有一把尺
[08:53] 我个人觉得今年的黑天鹅
[08:56] 就是这个战火
[08:57] 其实它就是一个投资的机会
[09:00] 因为去年也看到
[09:01] 只是我觉得战火对比关税
[09:04] 因为战火太常发生了
[09:07] 所以对市场冲击远不及对等关税
[09:10] 所以它在下跌的过程跟恐慌性
[09:13] 是沒辦法跟去年一樣
[09:14] 所以你也不用想要說
[09:15] 有這麼大的一個跌幅
[09:17] 當然我講的是一個
[09:19] 最後戰火在可控範圍之內
[09:22] 如果真的說全球因此
[09:25] 等於說涉入的國家不斷的擴大
[09:28] 那又是另外一回事
[09:29] 但我個人覺得那個機率
[09:31] 真的是很低很低
[09:32] 因為記得一件事情
[09:34] 回過頭剛剛提到
[09:35] 點火的是川普
[09:36] 整個控盤的也是他
[09:38] 能夠結束的也是他
[09:40] 他要的是什麼
[09:42] 要得到他的利益
[09:43] 要記得年底他們要選舉
[09:45] 現在所有的人最關心
[09:47] 那種美國民眾
[09:48] 對政治最關心的
[09:50] 其實是通膨
[09:51] 如果你只要誰把通膨弄上去
[09:53] 他們就會很不高興
[09:54] 所以目前來講
[09:56] 看得出來共和黨
[09:58] 就是川普這邊
[09:58] 其實民調是
[09:59] 目前是明顯的落後
[10:01] 就是因為他把
[10:03] 他用關稅搞得通膨
[10:04] 大家不高興
[10:05] 所以不要講其他
[10:08] 另外一個對
[10:09] 等於說在野黨的部分
[10:10] 包含自己的黨內
[10:12] 很多的議員其實都不敢
[10:14] 幫他
[10:15] 等於說幫他講到
[10:17] 這關稅是一個對的政策
[10:18] 因為現在只要講關稅
[10:20] 這個政策
[10:21] 其實民眾其實是很反彈的
[10:23] 包含現在這個戰火的部分
[10:25] 其實民眾也不是全然支持
[10:27] 所以他為什麼敢這麼做
[10:30] 其實我可以想像得到
[10:31] 川普他會有把握
[10:33] 他可以
[10:33] 整個都在他掌控之中
[10:35] 他認為他在很短的時間
[10:37] 他就可以把這個全部給解決
[10:39] 最后他可以
[10:40] 他可以现在的这个压力
[10:42] 变成一个成果
[10:44] 在年底11月的选举
[10:45] 他变成是一个加分项
[10:47] 就目前的角度是
[10:49] 你要记得
[10:49] 现在的角度是一个扣分项
[10:51] 他要在这么短的时间
[10:53] 要把它转为加分项
[10:55] 其实整个算盘都是他在打
[10:57] 所以其实老实讲
[10:59] 你不用过度担心
[11:00] 他一定最后选举前
[11:02] 他一定要把这个弄
[11:03] 把它全部弥平之后
[11:05] 而且股市要再回到正常的轨道之上
[11:08] 11月选举之前
[11:09] 他这个所有的碟
[11:11] 是一定会结束
[11:11] 那个时间点一定是在创高
[11:13] 他才有办法选举
[11:14] 整个都是他掌控
[11:16] 从头到尾如果你理解
[11:17] 你就不需要花那个时间
[11:18] 去了解
[11:19] 什么当时石油危机
[11:20] 长什么样子
[11:21] 什么什么什么
[11:22] 因为随时他可以结束的
[11:23] 所以不要把
[11:24] 这个最惨的状况
[11:26] 自己在脑补
[11:27] 我觉得这是很重要的关键点
[11:29] 好
[11:29] 不过我觉得
[11:30] 大家会拿中东的状况
[11:32] 来把以前的战争拿来比
[11:34] 可是对我来说
[11:34] 我可能比较思考到的
[11:36] 会是2022年
[11:38] 对不对
[11:38] 因为当时有两个事情
[11:40] 是交叠在一起
[11:41] 一个就是俄乌战的开打
[11:42] 虽然不是中东
[11:43] 但是也是把全世界
[11:45] 蛮多主要国家
[11:46] 有卷进去的
[11:47] 有人要声援俄罗斯
[11:48] 有人要声援乌克兰
[11:49] 那乌克战大家都觉得
[11:51] 可能很快结束
[11:52] 可是后来没有
[11:53] 甚至到现在都还没有结束
[11:55] 那当时就造成了
[11:56] 一波所谓通红的来源
[11:58] 这个是其一
[11:58] 那时候还有一个东西
[12:00] 就是疫情的红利
[12:01] 堆积到各科技厂的库存爆量
[12:04] 所以科技厂的荣景
[12:06] 在2022年就开始出现了
[12:08] 就算营收还没有下来
[12:09] 但是股价就先下来
[12:11] 两个事情加叠
[12:12] 我们有一个2022的空头年
[12:14] 那现在的话
[12:15] 当然是美伊战是川普主导
[12:17] 感觉上伊朗就是
[12:19] 真的是有点虾米对金鱼的
[12:21] 那个感觉
[12:22] 但是第一个还是有战争
[12:24] 然后大家也都担心通膨
[12:25] 那第二个当然就是
[12:26] 大家对AI发展到
[12:28] 这样的一个情况
[12:29] 它到底有没有会短
[12:31] 我们也许不会说
[12:32] 它是一个泡沫要破了
[12:33] 可是它可能会过热要退烧因为美股的这些科技戏剧头有这样一个味道会不会这两件事情交疊在一起也是要注意的呢對 因為確實如果這樣講應該說兩個都不是爆點
[12:45] 但是兩個假設互相加起來
[12:47] 力道也不小
[12:48] 大概是這種概念
[12:49] 我個人覺得其實剛才提到
[12:52] 其實對比而言
[12:53] 其實二屋其實對經濟的衝擊
[12:56] 反而會更大
[12:57] 到現在為止
[12:58] 其實也沒有發現
[13:00] 對經濟有任何的一個架構
[13:02] 如果這樣論點就知道
[13:03] 现在刚好在战火
[13:05] 现在最严重的时候
[13:06] 一定会有压力
[13:08] 但很快我觉得很容易就会慢慢的
[13:11] 如同当年俄乌开战
[13:12] 没多久就慢慢开始顿化
[13:14] 你会发现过一段时间
[13:16] 新闻就不再报道
[13:17] 现在你只要打开新闻
[13:19] 都是版面头条
[13:20] 每天都有新的
[13:22] 可是这种架构
[13:23] 如果我觉得最多两周
[13:26] 你没有再升级到很夸张的一个阶段
[13:29] 这个新闻慢慢就不会报道
[13:30] 那整个股市来讲
[13:32] 就会出现比较明显的动画
[13:34] 至于回到另外基本面
[13:37] 我觉得这个是很多的论点所造成的
[13:41] 回过头来
[13:43] 到底现在的动能是不是减弱
[13:45] 我个人觉得
[13:46] 所有看到的数字答案是否定的
[13:50] 其实基本面还是非常非常的强劲
[13:52] 我要不断的提醒投资人
[13:55] 我觉得真的要能够赚得到钱
[13:58] 真的养成一个习惯
[14:00] 对或错看数字
[14:02] 不要看股价
[14:03] 因为确实今年来
[14:05] 七巨头表现不好
[14:06] 然后就杂音很多
[14:08] 你会相信那些杂音
[14:10] 是因为你看到股价
[14:12] 所以才相信那些杂音
