[00:00] 欢迎收听赵华谕古货载第1053集
[00:09] 今天是2026年的3月11号
[00:12] 昨天我的parket上架
[00:14] 恢复正常了
[00:15] 而且我还发现一个有趣的事情
[00:17] 因为大家为了要听都先退了追踪
[00:21] 再加追踪
[00:22] 结果这些加的追踪数好像被演算法
[00:26] 视为一个是有人来追踪
[00:28] 是加分项
[00:29] 所以现在这个频道的总排名
[00:32] 陡然上升
[00:33] 因为我是一个成熟的频道
[00:35] PROCESS有一些新的频道红利
[00:37] 就是如果你刚新创立
[00:39] 有新的订阅户进来
[00:41] 排名会爬很快
[00:42] 但对我们这种很成熟
[00:44] 已经四五年的频道来说
[00:45] 排名要突然爬升
[00:47] 不是很容易了
[00:48] 我们都是在保持在前十
[00:50] 但是你说突然之间爬到
[00:52] 现在是总排第二
[00:53] 并不是那么简单的事
[00:55] 是因为大家退了再追
[00:57] 显然对我的演算法有利
[00:59] 这个也先谢谢大家对我的支持
[01:01] 但是台股今天有没有支持呢
[01:04] 有
[01:04] 但这个支持是否让大家觉得措手不及
[01:08] 因为昨天才在讲
[01:09] 川普一句话
[01:11] 说到跟伊朗的战事很快就会结束
[01:13] 油价先跌
[01:15] 但是难道一句话就可以落底吗
[01:17] 昨天其实留了一个很长的上影线
[01:20] 但今天不啰嗦
[01:22] 这个美股越走越高
[01:23] 因为现在美股是下令时间
[01:25] 晚上我们台湾九点半
[01:26] 我们就可以看到开盘了
[01:27] 真的是越走越高的情况下
[01:29] 台股今天也越走越高
[01:31] 中场竟然是上涨了1342点
[01:36] 也等于两天就把礼拜一的2000点
[01:40] 已经补回来了
[01:41] 月线也收复了
[01:43] 每天这样千点来千点去
[01:46] 大家在策略上面
[01:47] 难免应该会觉得有一点点无所适从
[01:50] 就像前两天我说破月线买
[01:52] 很多人会问说才破月线就要买吗
[01:54] 我说那破季线再买
[01:55] 但季线没来
[01:56] 谈上来是不是心情又不一样
[01:58] 心情又是
[01:59] 哇
[02:00] 那早知道
[02:01] 早知道
[02:02] 礼拜一应该买
[02:03] 或是上个礼拜有破约
[02:05] 现在一天我也应该买一点
[02:06] 好
[02:06] 我们不要永远在这个
[02:08] 早知道的感受里面
[02:09] 我们每一天都有跟大家去追踪分享
[02:12] 为什么大碟2000点那天可以买一些
[02:15] 为什么今天谈了1400点
[02:18] 可能就形态上来看
[02:19] 明明是站回所有均线
[02:21] 但是可能要谨慎一些
[02:23] 到底原因在哪里
[02:24] 我们先来欢迎今天的来宾
[02:25] 今天来的是我们的道老师
[02:27] 我们的新南谷神威良哥
[02:29] 大家好
[02:30] 我们刚刚也是
[02:32] 我们现在录影的时间比较紧凑
[02:34] 所以聊天的时间变短了
[02:36] 那刚刚有跟威良先小聊一下
[02:38] 我们这几天在干嘛
[02:40] 就威良在星期一大叠2000点的那一天
[02:43] 也是把子弹通通都打进去
[02:45] 好 不过我们先来讲整体盘试好不好
[02:48] 昨天其实反弹嘛
[02:50] 但是反弹留下一个上影线
[02:51] 那我们也觉得合理
[02:53] 因为第一个是融资才刚扫出去
[02:55] 对
[02:55] 对不对
[02:56] 然后而且前几天说实话
[02:58] 套牢量是有到三兆这么多
[03:00] 一天一兆的黑K
[03:01] 那所以要反弹
[03:02] 肯定会遇到一些压力
[03:03] 而且又只是川普的一句话
[03:05] 但万万没有想到
[03:07] 今天的反弹会这么的强劲
[03:09] 今天一口气就是1300多点了
[03:11] 所以现在大家到底要视为
[03:13] 危机正式解除
[03:15] 还是我们依旧会在大涨大跌中
[03:17] 要抓对节奏
[03:18] 我想我们先谈结论
[03:21] 好啊
[03:21] 大家可能很关心的就是
[03:23] 礼拜一创史上最大跌点
[03:25] 暂时是出现了
[03:26] 第二大第二大
[03:26] 对抱歉
