[00:00] 欢迎收听赵华宜古货载第1054集
[00:09] 今天是2026年的3月12号
[00:12] 虽然昨天前天两天就涨了2000点
[00:16] 但有跟各位听众有稍作提醒
[00:19] 最近的盘可能也不见得
[00:21] 马上就叫做危机解除
[00:22] 因为昨天有两件事情
[00:24] 一个是油价的快速下跌
[00:26] 连跌两天
[00:27] 不但川普喊话
[00:29] 也因为还有这个G7国家
[00:30] 还有IEA宣布要释出除油
[00:33] 所以这个油价昨天也下修
[00:35] 还有甲骨文的好财报
[00:36] 让大家觉得说
[00:38] AI的泡沫涌动机的问题
[00:40] 似乎可以得到解决
[00:42] 所以昨天台股是有迎来
[00:44] 史上的第二大涨点
[00:45] 但随即呢
[00:47] 昨天晚上美股的科技股表现
[00:49] 说实话是比较普通一点
[00:51] 那今天的话
[00:52] 因为荷姆兹海峡
[00:54] 有这个货轮
[00:56] 有受到攻击等等的
[00:57] 今天油价又往上冲
[01:00] 冲到了百元关卡
[01:02] 所以事情
[01:03] 尤其是战争导致的油价因素
[01:06] 是比较变动不安的
[01:08] 毕竟并没有真正的和谈
[01:09] 也还没有结束
[01:11] 那伴随着昨天
[01:12] 因为坦白讲
[01:13] 昨天的涨点有一点点超涨
[01:16] 因为前一天晚上的美股并没有涨
[01:19] 所以昨天的涨点是有一点点
[01:21] 欢欣鼓舞
[01:22] 今天冷却可以这么说
[01:24] 所以今天中场是下跌了532点
[01:27] 很多的股票
[01:29] 大家觉得昨天充满希望的
[01:31] 今天也随之开高走低
[01:33] 开高走低是大家真的是
[01:35] 比较不舒服的情况
[01:36] 不过我想有听股货仔的朋友
[01:38] 就可以理解这一次的节奏
[01:40] 最好就是在大跌的时候
[01:43] 破月线的时候
[01:44] 甚至往季线走的时候
[01:46] 着量的加码你信任的资产
[01:49] ETF也好
[01:50] 你喜欢的个股也好
[01:51] 但是上涨的时候就切记
[01:53] 事情还没有完全结束
[01:55] 所以也要保持着一点戒心
[01:57] 当然这中间有很多人
[01:59] 这两天因为我po文
[02:00] 可能po的比较多
[02:01] 讯息量也开始多
[02:03] 很多是问操作心法的问题
[02:05] 今天的来宾一坐下来
[02:07] 他就跟我说
[02:08] 他想来跟我探讨操作心法的问题
[02:10] 我觉得超级棒
[02:11] 因为我觉得有时候
[02:13] 也不见得只是标的
[02:14] 如果大家只在网路上问说
[02:16] 那赵华我可以跟着你买吗
[02:17] 或是跟着其他
[02:18] 有一些部落客网红达人
[02:20] 他们都有在直接讲股票的
[02:22] 跟着买
[02:23] 可是其实你不会卖
[02:25] 如果是你的时机跟别人不一样的时候
[02:26] 往往真的就叫做两头空
[02:28] 那你只有建立起自己真正的核心价值跟操作信念
[02:35] 才有办法在这样的行情里面赚钱
[02:37] 我先来欢迎他
[02:38] 今天的来宾是我们的冲股总编富旭哥
[02:41] 嗨股货仔的听众朋友大家好
[02:43] 富旭哥有很坦诚的讲
[02:45] 在去年的大多头
[02:47] 买价值股是真的比较吃瘪的
[02:50] 但是今年以来
[02:51] 其实很多的价值股是慢慢已经表现
[02:54] 是比较回稳之外
[02:56] 最近呢
[02:56] 因为三月四月了嘛
[02:58] 进入到所谓
[02:59] 大家开董事会公布股利哦
[03:00] 我们有发现
[03:01] 如果去年年报节出来
[03:03] 顺便公布了一下
