[00:00] 欢迎收听赵华一股货载第1055集
[00:09] 今天是2026年的3月13号
[00:12] 本来以为今天有可能变成13号星期五大崩盘
[00:17] 可是今天台股真的是可能叫做出乎预料的强
[00:23] 其实台股这一段时间大涨大跌中
[00:27] 有好几次是出乎预料的强
[00:29] 或是出乎预料的大杀都有
[00:31] 感觉上像我今天早上起来
[00:33] 看到夜盘跌了超过1000点
[00:36] 我的心里面已经没有那种震撼感了
[00:39] 会觉得有点
[00:40] 今天是不是气风苦雨
[00:41] 没关系
[00:42] 1000点好像可以捡点东西
[00:44] 已经先把盘算打好了
[00:46] 结果一开盘
[00:47] 现货市场其实跌大概500点
[00:50] 然后慢慢震荡震荡震荡震荡
[00:52] 中间还一度翻红
[00:54] 翻红
[00:56] 贵买跟上市都翻红
[00:58] 中场呢
[00:59] 我们的上市加权指数
[01:01] 跌181点
[01:03] 如果比起昨天
[01:04] 大家看收盘
[01:05] 这个夜盘跌了1000多点
[01:07] 这简直是一个奇迹日
[01:09] 简直是一个奇迹日
[01:11] 那如果大家是看
[01:12] 台子旗的K线更猛了
[01:14] 叫做头啊
[01:15] 脖子以下都是脚
[01:17] 都是下影线
[01:18] 因为台子旗今天开盘
[01:20] 还有跌800点
[01:20] 最后也收上来
[01:22] 好总之
[01:23] 我们也不要因为
[01:24] 今天台股很强
[01:25] 就觉得没事
[01:26] 当然我们也不要因为
[01:27] 台股跌2000点那天
[01:29] 像那天其实赵华友勇敢买东西
[01:31] 也不要觉得跌2000点是灾难
[01:33] 反而真的这段时间
[01:35] 要很冷静的思考
[01:37] 目前是景气上行中的回荡
[01:40] 我们要把握机会
[01:41] 好
[01:42] 那最新的进度是
[01:44] 川普其实现在说
[01:46] 美国可以买这个死对头
[01:48] 俄罗斯的原油
[01:50] 他希望把油价压下来
[01:52] 那下礼拜又有回答的GTC大会
[01:54] 今天盘面上有非常多
[01:56] 热门的AI科技股
[01:57] 掌听班
[01:58] 好今天来的来宾
[01:59] 很多人敲碗还私讯我
[02:02] 为什么
[02:02] 因为上礼拜呢
