[00:00] 欢迎收听赵华宇古惑仔第1057集
[00:09] 今天是2026年的3月17号
[00:13] 而今天呢GTC大会也正式的开展了
[00:17] 盘面上反映的显然还蛮关注GTC的哦
[00:21] 并没有出现先前有点小担心的是
[00:23] 会不会历经过反弹之后GTC大会历多出尽吗
[00:27] 目前没有
[00:28] 那在这一次的GTC大会上面
[00:30] 自然也有一些新的技术跟想法
[00:33] 那当然我们也不免觉得
[00:35] 台股真的是非常的厉害
[00:37] 因为呢
[00:38] 上个礼拜我们看到
[00:39] 这个川普跟伊朗之间的纠纷
[00:42] 看来是越演越烈
[00:43] 昨天其实看起来也是
[00:45] 而且周末的时候油价是上涨的
[00:47] 但是昨天台纸期的夜盘
[00:49] 就大涨500点以上
[00:51] 一度涨到600点以上
[00:52] 今天我们的现股市场收盘
[00:54] 是涨了494点
[00:56] 也是差不多500点的涨点哦
[01:00] 就蛮厉害的
[01:02] 而且今天上涨
[01:03] 涨停的加速有高达75加
[01:06] 跟昨天也差不了多少
[01:08] 中小新股还是非常非常的热哦
[01:10] 贵买指数一路的往上高
[01:13] 其实贵买啊
[01:14] 它的历史高点在非常久以前
[01:16] 可能在这一波有机会去突破
[01:18] 这个二十几年前的吧
[01:21] 的贵买高点哦
[01:22] 当然韩席是一定突破
[01:23] 但是如果实质上的突破
[01:25] 可能要看一下
[01:26] 真的有可能
[01:27] 所以我们的中小股
[01:28] 在内资点火上
[01:29] 是非常厉害的
[01:30] 那大家不免要问了
[01:32] 我们现在川普说
[01:33] 像现在股巴
[01:34] 川普说我随时可以占领股巴
[01:37] 然后呢
[01:38] 这个横浦自海峡的风港
[01:40] 也是越来越烈
[01:42] 还会炸邮轮什么
[01:43] 这些事情都还在持续中
[01:45] 那好像现在
[01:46] 大家都不理川普讲什么
[01:48] 而是把眼光看上了
[01:50] 黄仁勋在讲什么
[01:52] 黄仁勋的GTC大会
[01:53] 当然有讲到
[01:54] 这个最新的龙虾架构
[01:56] 以及下一代的费曼晶片
[01:59] 这个费曼
[02:00] 我非常的有感觉
[02:01] 因为他是一个物理学家
[02:03] 叫理查费曼
[02:04] 这个事情在我小时候
[02:05] 影响我很深
[02:06] 等一下也可以一起来聊聊
[02:08] 好 先来欢迎今天的来宾
[02:10] 今天的来宾是
[02:11] 选股教练黄金
[02:12] 又下酒 韦泰
[02:13] 嗨 照报好 大家好
[02:15] 好 韦泰这两天的抬股
[02:17] 还是一个强很强
[02:17] 其实上个礼拜五就很强了
[02:19] 上礼拜五
[02:20] 不晓得大家还有没有印象
[02:21] 因为本来在夜盘
[02:23] 是大跌的情况
[02:24] 所以本来预期上个礼拜五
[02:26] 会大跌
[02:27] 但完全没有
[02:28] 拉上来之后
[02:30] 就想说
[02:30] 嗯
