[00:00] 欢迎收听赵华与国货仔的周末特别版
[00:08] 会在周末开特别版
[00:10] 一定就有特别的大事
[00:12] 我们知道三月以来
[00:14] 我们受到美伊战争的影响
[00:16] 每一次油价上去
[00:18] 股市就大跌
[00:19] 但是台股也在这一波的大涨大跌里面
[00:23] 有展现出比美股更强的韧性
[00:26] 不过有很多的听众朋友有跟我反映
[00:29] 他说这一波下来就发现自己在操作上
[00:32] 有发生很多的盲点
[00:33] 而且就算台股相对于美股比较强
[00:36] 内心也常常是担惊受怕
[00:38] 对于买进卖出比较没有准则
[00:41] 所以今天赵华开这个周末特别版
[00:44] 就是请来两位
[00:45] 常常诉求怎么
[00:47] 就是请大家千万不要被套牢
[00:49] 千万不要被套牢
[00:50] 以及要找形态好的股票
[00:53] 这样子在这一波的千点振幅之中
[00:55] 相信是可以全身而退
[00:57] 甚至逆势赚钱的
[00:59] 我先来欢迎今天两位来宾出场
[01:01] 第一位大家很熟悉的
[01:02] K线之神朱家宏朱老师
[01:04] 大家好大家好
[01:06] 好久不见
[01:07] 好久不见
[01:08] 好久没有上PROCADES
[01:09] 那另外一位就是走途小天后林盈老师
[01:13] 赵华好大家好
[01:14] 也是好久不见
[01:15] 对好久不见
[01:16] 好很多人都问赵华
[01:18] 就说这个朱老师跟林盈老师
[01:20] 到底正确不是诈骗的开课在哪里
[01:23] 今天节目会跟大家分享
[01:25] 因为太多人来问了
[01:26] 事实上是的
[01:27] 因为技术形态是一门需要有系统性学习的东西
[01:31] 所以等一下也会来揭露说
[01:32] 就是要听我的频道
[01:34] 你才不会被诈骗骗走
[01:35] 不过呢
[01:36] 这边先来请教一下朱老师
[01:38] 因为最近的行情震荡很大
[01:40] 我想对你来说大风大浪都看过
[01:42] 可是对投资人来说
[01:43] 就会想说我到底该怎么评估
[01:45] 因为现在我们比美股强太多
[01:47] 我们是要预防补跌
[01:49] 还是我们就顺势操作
[01:50] 好
[01:51] 那最近这个股市
[01:54] 因为美益战争的不确定的因素
[01:57] 那股票市场最怕就是不确定因素
[01:59] 那它就会出现这个涨涨跌跌
[02:03] 几乎每一天开高就会走低
[02:05] 走低又拉到又翻红
[02:07] 好像看起来又有希望
[02:08] 收盘怎么又跌了
[02:10] 那实际上这个盘
[02:12] 现在是在一个区间震荡
[02:14] 那如果我们用技术分析
[02:16] 技术面去看的话
[02:17] 是很容易就可以抓到这个区间
[02:19] 因为在技术面
[02:21] 大家都可以看到
[02:22] 在3月11号有个红K上涨
[02:25] 那后来就没有再涨了
[02:27] 就一直在红黑的下面
[02:29] 可是在这个3月9号的时候
[02:32] 也有一个很低的低点
[02:34] 就那天大跌
[02:36] 拉了一个下雨线
[02:37] 那个到今天也没有跌破
[02:40] 所以短期我们的大盘
[02:41] 大概就在这个区间吧
[02:43] 大家都可以去看一下
[02:45] 大概31500点到34200点
[02:50] 在这个区间来回震荡
[02:51] 有的时候会大涨
[02:53] 有时候会大跌
[02:53] 这两天都算是比较小幅度的
[02:56] 慢慢的沉淀
[02:58] 然后我们再来看
[02:59] 最重要当然这个
[03:01] 还是要解铃还是要系里人
[03:04] 美伊战争到底会不会拖很久
[03:06] 你觉得会不会拖很久
[03:07] 如果依照川普来讲
[03:09] 可能还要四个礼拜到六个礼拜
[03:12] 那可能就要打到四月中去了
[03:14] 这个战争
[03:16] 跟以前的战争不一样
[03:19] 就跟川普去欺负其他小国家不一样
[03:22] 因为伊朗是一个大国
[03:24] 它在中东是一个很大的国家
[03:27] 而且是一个武力很强的国家
[03:29] 所以它要一下子
[03:31] 要它屈服可能不太容易
[03:34] 最近大家也看到战事的发展
[03:37] 可能要拖一段时间
[03:38] 所以大家稍微心里准备
[03:40] 就整个的
[03:41] 当然我们是讲指数大盘
[03:43] 个股归个股
[03:44] 指数大盘可能还会在区间
[03:47] 整理一段时间
[03:48] 然后看看战事的发展
[03:51] 那另外一个还要特别注意
[03:53] 就是川普月底要到中国大陆访问
[03:56] 这是他自己放话的
[03:58] 放了很久了
[03:59] 他要去中国大陆
[04:00] 那这个有没有变
[04:02] 如果这个有变化
[04:03] 也是一件影响世界的大事
[04:07] 如果没有变
[04:08] 当然最好他们两个人碰个面
[04:10] 把一些话讲一讲
[04:12] 但是如果有变也很难讲
[04:14] 为什么这样讲
[04:15] 因为今天就看到新闻了
[04:17] 川普说你中国大陆都不来维护
[04:20] 石油霍尔兹海峡
[04:23] 那我就不去大陆了
[04:25] 那实际大陆说
[04:26] 你不来就不来
[04:27] 对不对
[04:27] 并没有说我来邀请你
[04:29] 是你自己要来的
[04:30] 所以这个事情的演变
[04:32] 会不会影响到
[04:33] 两国元首的见面
[04:34] 也是一个大家要关注
[04:36] 也就是说
[04:37] 这个三月四月
[04:38] 就国际上就是一个
[04:40] 很不安定的
[04:41] 这个变动
[04:42] 所以大家稍微
[04:43] 持一个谨慎的态度
[04:45] 会比较好了
[04:46] 好 比较谨慎的态度
[04:47] 但我们也有发现
[04:48] 其实像去年
[04:49] 我们就常常讲台股是一个K型化的状态
[04:52] 会涨的就一路往上涨
[04:53] 不会涨怎样都不会涨
[04:54] 那这次战争
[04:56] 其实我有发现技术形态一个很厉害的地方
[04:59] 就是形态强势的热门股
[05:01] 真的就是回档一下就上去了
[05:04] 但是如果弱势的股票就会继续破底
[05:07] 所以很多投入朋友会问说
[05:09] 但是现在叫百花齐放
[05:10] 所以台股1700档1800档的公司
[05:13] 到底朱老师跟林盈老师
[05:15] 每天是会先做哪一些功课
[05:17] 因为最后一定要聚焦
[05:19] 聚焦可能10档都先多
[05:20] 到底要做哪一个SOP
[05:22] 可以让我们知道
[05:23] 现在盘面上的强势股是哪些
[05:25] 好
[05:25] 这是大家散户比较关心的
