[00:00] 欢迎收听赵华语古货载第1065集
[00:09] 今天是2026年的3月26号
[00:13] 昨天我们说这个台股呢
[00:15] 热门题材股又回来了百花齐放
[00:17] 那今天呢
[00:18] 今天就有一点点喜的大力起来了
[00:21] 今天本来开盘好端端的
[00:25] 一度大涨了四五百点
[00:27] 大概四百多点吧
[00:28] 这个气势如虹
[00:29] 而且早上的话
[00:31] 除了记忆体的走势比较分歧
[00:33] 我想这个大家多多少少
[00:35] 在昨天晚上的新闻也有看到
[00:36] 虽然南亚科引进了各国大咖
[00:40] 来参与他的私募
[00:41] 还包括这个所谓的Sendisk
[00:43] 可是因为昨天晚上
[00:45] 大家看一下美股的记忆体是跌的
[00:47] 那今天韩股一开盘
[00:49] 韩股的记忆体也跌很重
[00:50] 但南亚科就一直独秀还涨停板
[00:53] 但其他的记忆体模组就越跌越深
[00:56] 所以也代表今天可能
[00:58] 以记忆体整体的气温来说
[01:01] 其实在一开盘就不是很好了
[01:03] 好
[01:03] 这是记忆体的部分
[01:04] 那另外的话
[01:05] 当然昨天还气势如虹的设备股
[01:08] 今天雅祥刷到迭亭版
[01:10] 因为雅祥毕竟
[01:11] 昨天才在创历史新高
[01:12] 所以今天设备股
[01:13] 大家又觉得
[01:14] 不是在卡位下个礼拜的
[01:16] 腾电法说吗
[01:17] 怎么通通杀出来
[01:18] 感受怪怪的
[01:20] 可是有没有人厉害
[01:21] 也有人厉害
[01:22] 像PCB今天一早上去
[01:24] 是一个
[01:25] 不管是载板
[01:26] 低轨卫星版
[01:28] 或者是等一下
[01:29] 我旁边这位亲爱的来宾
[01:31] 他会跟大家细细的解释
[01:33] 这个金居
[01:34] 今天终于拉一根掌听
[01:36] 本来今天这种气势都非常非常好
[01:38] 然后还有谁呢
[01:39] 低轨卫星刚刚讲到的
[01:41] 低轨卫星相关族群都非常的厉害
[01:43] 那有好有坏的情况下
[01:45] 在十点钟
[01:46] 来了一个猪羊变色
[01:48] 风云变色
[01:49] 因为那时候我也在想到是哪一件事
[01:52] 因为我听到两件事
[01:53] 不过后来盘面上只有出现一件事
[01:56] 就是伊朗跟以色列又在那边射飞弹
[01:59] 让市场觉得说
[02:00] 这个美伊战争加上有以色列的缴获
[02:03] 看来真的没有办法像川普讲的
[02:06] 那么容易做解决
[02:07] 那至于另外一件事
[02:09] 因为后来发现在盘面上没有被证实
[02:11] 我就不说了
[02:12] 但是是跟AI大型股有关系的
[02:15] 那后来看起来应该还是战争的因素做影响
[02:18] 所以最后中场一直往下杀的情况
[02:21] 很多的股票红翻黑
[02:23] 那我们的大盘指数也收叠在101点
[02:26] 好大家会觉得难做
[02:28] 尤其是早上啊
[02:29] 如果你熟悉的热门题材股在涨
[02:31] 恐怕都会有一种非常想要追的心情哦
[02:35] 最后被修理
[02:36] 或者幸好庆幸自己没有追
[02:37] 或者刚好追在最高点
[02:39] 像我听到同事他们就在讲说
[02:41] 哇今天如果南亚科追涨停人怎么办
[02:43] 我先来欢迎今天的来宾
[02:45] 我的好姐妹哦
[02:47] 这个统一投顾的总经理
[02:48] 也是PCB女王婉婷
[02:50] 嗨赵华
[02:51] 嗨各位观众朋友大家好
[02:52] 因为婉婷这个上个礼拜
[02:55] 还是上上礼拜就跟我讲说
[02:56] PCB里面有新的题材
[02:59] 叫做光模块
[03:01] 然后她说相关的是像
[03:03] 真鼎跟华通
[03:04] 听了就非常的就是兴奋
[03:06] 因为我是对华通比较有兴趣
[03:07] 毕竟有个华嘛
[03:08] 所以今天这个华通真鼎在盘中
[03:11] 都是创历史新高
[03:12] 好厉害我也想追了
[03:15] 我也觉得说是不是该买一点回来
[03:17] 因为真鼎我也没有了
[03:18] 所以婉婷说的很对
[03:20] 婉婷说她今天早上
[03:21] 同事都有一种想追的心
[03:23] 可是盘中十点那个杀下来
[03:24] 我就胆小鬼
[03:26] 好可怕
[03:27] 明明杀下来便便宜了
[03:28] 我就从头观望到尾
[03:30] 但是我想请婉婷先来讲一下
[03:32] 这几天的市场气氛
[03:34] 真的还是被战争影响
[03:36] 我们都一直说地缘政治因素
[03:38] 不要就是
[03:39] 它不会像经济因素影响那么久
[03:41] 可是因为这一次的地缘政治因素
[03:43] 它包括了油价在里面
[03:45] 和母子海峡的封锁等等的
[03:47] 感觉上再下去通膨起来
[03:49] 景气可能就会被杀伤
[03:50] 没错
[03:51] 所以其实这个战争
[03:52] 这周我觉得牵动大家心情上上下下
[03:56] 从上周开始
[03:57] 因为上周就是看起来打得越来越严重
[03:59] 而且川普又放话
[04:01] 然后所以上星期五到星期一
[04:04] 今天这礼拜就是跌了上千点
[04:06] 好
[04:07] 然后星期二
[04:07] 星期一晚上
[04:08] 瞬间就是猪羊变色
[04:11] 就川普讲了一句说已经在和谈了
[04:13] 对
[04:13] 然后星期二瞬间大涨千点
[04:16] 所以后来就是三四到今天
[04:19] 都是持续上涨
[04:20] 所以大家会觉得
[04:21] 好像战争快要结束了
[04:23] 不过台股已经是第二次
[04:24] 涨点被没收
[04:25] 因为那天是夜盘千点嘛
[04:27] 后来白天就没有
[04:28] 然后再隔天
[04:29] 我记得就是有一天夜盘千点
[04:31] 然后白天到早上有维持
[04:34] 就我们一开盘
[04:34] 最后中场也是下跌
[04:36] 好像也是110点
[04:37] 这什么魔咒啊
[04:38] 就是100多点
[04:39] 可是感觉很差
[04:40] 因为今天感觉很差
[04:41] 今天也是500点被没收
[04:42] 其实我觉得这个要分析一下
[04:45] 为什么会有这种状态
[04:46] 那我顺便就是提醒大家一下
[04:48] 还是要注意一下风险
[04:49] 虽然就是AI的趋势
[04:51] 或者是经济面的状况非常的好
[04:53] 可是呢
[04:54] 战争导致了这个油价上涨
[04:56] 暂时性没有办法这么快回落
[04:59] 纵使赫姆这海峡
[05:00] 现在就是有一些船只过了
[05:03] 但是其实战争影响
[05:05] 这个油价的供给面的滞后性的影响
[05:08] 其实会继续的发生
[05:09] 它会有涟漪
[05:10] 所以所谓的蝴蝶效应
[05:12] 就是这样产生的
[05:13] 就是蝴蝶拍动翅膀嘛
[05:15] 所以可能其他地方就瞬间来一个龙卷风
[05:18] 就是这种概念
[05:19] 那因为HOME在海峡过去封锁这么多天
[05:22] 从三月初到现在
[05:23] 其实已经接近二十天
[05:26] 那它每天减少了两千万桶的油
[05:28] 那这样算起来的话
[05:29] 大概就是四亿桶
[05:30] 好
[05:31] 最近虽然就是其他国家增产
[05:33] 或者是有开放这个
[05:35] 俄国的这个海上的油可以做销售
[05:38] 可是没有办法完全的弥补
[05:40] 这四亿桶的油
[05:41] 所以油价暂时性很难的快速回落
[05:45] 然后再来就是天然气的部分
[05:47] 有些设施也受到冲击
[05:49] 就是损毁了
[05:50] 所以天然气的价格也很难快速回落
[05:53] 好 纵使现在赫姆治海峡完全开放的话
[05:56] 也是没有办法回到六七十块
[06:00] 坦白讲
[06:00] 那所以说未来这两三个月
[06:02] 油价或天然气在高档的情况下
[06:05] 其实通膨就会慢慢的出现
[06:07] 这也是为什么在FED
[06:08] 就是FOMC会议后
[06:10] 鲍威尔提到说
[06:12] 战争因素
[06:14] 我们目前无法判断
[06:15] 因为以现在来看
[06:16] 也确实是
[06:17] 今天好像瞬间
[06:18] 这个战争
[06:19] 好像又有一点
[06:20] 跟我们昨天想的不一样
[06:22] 昨天好像觉得
[06:23] 美伊谈的有
[06:24] 比较几乎有机会
[06:26] 慢慢的改善
[06:27] 我觉得在目前为止
[06:29] 就是可能像前两天
[06:30] 市场有比较乐观的时候
[06:31] 他那时候感受是
[06:33] 因为至少川普
[06:34] 好像是姿态放软了
[06:35] 因为我们有讲到
[06:36] 油价上涨
[06:37] 对他是一个非常大的杀伤力
[06:39] 也跟这个古惑仔听众分享说
[06:40] 因为他现在手上
[06:41] 可以用的工具变少了
[06:43] 你不可能在这个时候
[06:44] 做什么暴力升息了
[06:45] 对
[06:45] 因为利率已经非常的高了
[06:47] 然后如果像前一阵子
[06:49] 黄金爆点
[06:50] 美债大涨
[06:50] 油价大涨
[06:51] 这个对他来说
[06:52] 是一个极大的压力
[06:54] 所以他已经有点
[06:55] 怎么讲
[06:56] 他有点想要释然
[06:57] 但是昨天
[06:58] 就是我们有一个
[06:59] 标股上校朱老师
[07:00] 朱老师说
[07:01] 可是川普就是这样
[07:02] 嘴巴讲一讲
[07:03] 但私底下陆军
[07:04] 这边还有派兵在过去
[07:05] 所以伊朗肯定是会觉得
[07:07] 不要再骗我了
[07:08] 事情没有那么容易解决
[07:10] 那从今天看来
[07:11] 果然就是有这样一个情形
[07:12] 就是伊朗
[07:13] 好像川普说要和谈
[07:15] 可是伊朗的动作
[07:16] 根本没有停
[07:16] 还加上以色列
[07:17] 所以就发现说
[07:19] 这件事情是
[07:19] 川普虽然态度
[07:21] 好像想要和谈
[07:22] 可是我们好像不能信
[07:24] 就是也不能信川普
[07:25] 也不能信伊朗
[07:26] 也不能信以色列
[07:27] 都不能信
[07:28] 事情根本就解决不了
[07:29] 所以他们的这个放软
[07:31] 其实有可能是
[07:31] 另外一种谈判的手法
[07:33] 就是一下强
[07:34] 然后一下弱
[07:35] 他去试探你的底线
[07:36] 就是一种兵不厌诈
[07:37] 这样子
[07:37] 对
[07:38] 对
[07:38] 然后所以像这种
[07:39] 我们是投资专家
[07:41] 但我们不是战争专家
[07:42] 所以我有点难去分析
[07:43] 这个战争的状况情况下
[07:45] 它叫做不确定因素
[07:46] 不确定因素
[07:47] 其实就是一个很大的风险
[07:48] 而且最近美国十年
[07:51] 在直率反弹
[07:52] 弹到4.3 4.4
[07:53] 当然这个油价
[07:55] 引起通膨的可能性
[07:56] 担忧是有的
[07:57] 好
[07:57] 可是我们过去
[07:59] 在讨论评价怎么看的时候
[08:01] 如果直率反弹
[08:02] 我们就会说
[08:02] 本益比会被下修
[08:04] 所以最近跌
[08:05] 其实有一部分
[08:06] 是在跌本益比下修
[08:07] 这件事情
[08:08] 所以AI没有修
[08:09] 经济没有变差
[08:11] 企业获利
[08:11] 目前我们也没有看到变差
[08:13] 可是你光是评价下修
[08:14] 然后你还要预期说
[08:16] 如果战争拖下去
[08:17] 然后通膨延续更长
[08:19] 会不会不小心导致升息
[08:20] 其实这个FedWatch
[08:23] 我们会看这个市场
[08:24] 对于利率取货的这个波动
[08:26] 现在下一次降息的时间点
[08:30] 已经递延到2027年12月
[08:32] 本来大家认为
[08:34] 今年可能降一码两码
[08:35] 甚至我们最早
[08:36] 乐光预估今年会降三四嘛
[08:39] 结果今年不降息
[08:40] 然后下一次降息到十二月
[08:42] 明年十二月
[08:43] 其实这很夸张
[08:43] 所以其实川普在星期一晚上
[08:46] 其实我们觉得有他的必要性
[08:50] 因为在星期一白天的时候
[08:52] 我们家首席经济学家冲进来跟我说
[08:55] 他觉得流动性要出现问题
[08:57] 什么样的流动性
[08:59] 就是市场的钱
[09:00] 其实开始出现紧缩的这个状况
[09:02] 因为像美国他如果要打仗
[09:04] 他其实也是每天都在消耗
[09:06] 这个军事的成本
[09:07] 所以他需要用到钱
[09:09] 然后现在同时间
[09:10] 企业又在做AI的资本支出
[09:12] 所以整个市场的钱
[09:13] 其实是在收缩的
[09:15] 那我们在投资市场
[09:16] 我们只看到股价在上涨
[09:17] 可是你不知道
[09:18] 这些股价的推升
[09:19] 实际上是钱必须要进去的
[09:21] 所以你钱不可能
[09:22] 源源不绝地跑出来
[09:23] 你如果有一些钱
[09:24] 必须要挪向去做战争的时候
[09:26] 其实它会对市场
[09:27] 造成一个紧缩的效果
[09:29] 对
[09:29] 所以他如果这时候
[09:30] 不托口不松一下的话
[09:32] 会出现突然的过度紧张
[09:35] 它就会继续崩跌
[09:36] 所以它在这个时间点踏空
[09:38] 然后让投资市场
[09:39] 可能稍微舒缓一下
[09:41] 不要让
[09:42] 因为像私募基金
[09:44] 私募基金最近也有这个问题
[09:46] 就是要赎回
[09:47] 可是被停止赎回
[09:48] 因为股价在跌
[09:50] 可如果你继续跌
[09:51] 你可能会又引发更多的私募基金
[09:54] 可能会遇到这样的问题
[09:55] 然后就要抛售
[09:56] 抛售又会更跌更多
[09:58] 其实这个都跟资金紧缩
[09:59] 紧张有一些关系
[10:00] 所以它会变成是环环相扣的问题
[10:03] 对
[10:03] 好
[10:04] 就是等于是
[10:05] 如果今天当然
[10:06] 这个所谓的战争
[10:07] 它能够有一定的控制范围内
[10:09] 然后油价
[10:10] 我觉得重点还是
[10:11] 大家很注意在油价
[10:12] 像现在布兰特原油基金
[10:14] 一百块钱
[10:15] 那大家要记得一件事情
[10:17] 如果今天油价
[10:18] 它能够顺利的稍微下来
[10:19] 当然刚刚婉婷讲了
[10:21] 六七十块恐怕很难
[10:22] 可是假如在
[10:23] 例如说八十块
[10:24] 甚至八十几块九十块
[10:26] 不要再破百了
[10:27] 是下来的
[10:28] 可能大家的心情会好一点
[10:30] 可是如果一直在百元附近
[10:32] 持续一段时间
[10:33] 我觉得它就会造成景气的杀伤力
[10:36] 好那刚刚婉婷讲一个事情
[10:38] 我觉得叫古典学派
[10:39] 什么叫古典学派
[10:40] 就大家可能已经很久不去注意说
[10:42] 当今天美国公债殖利率往上跑的时候
[10:45] 它会杀伤所谓高本益比的科技股
[10:48] 这个是古典学派
[10:49] 为什么这么讲
[10:50] 是我觉得很久大家不太注意这个
[10:52] 因为很多的股票标起来
[10:53] 你管它有没有本益比
[10:54] 对不对
[10:55] 可是这个却是一个在总经环境上面
[10:59] 一个怎么讲
[11:00] 你不能说是100%的准则
[11:02] 可是它会发生
[11:03] 就是如果今天供应贷值率
[11:05] 当然你会觉得
[11:05] 持有债券很麻烦
[11:06] 持有债券就等于是债券本身跌了
[11:09] 可是那些高本益比
[11:11] 高平价的科技股会跌更多
[11:14] 对
[11:14] 这个事情是
[11:15] 以前到现在验证的一个资金流向的想法
[11:19] 那因为我们现在都预期战争不会打这么久
[11:22] 其实这个被预设立场
[11:25] 我觉得是市场资金在预设立场
[11:28] 我认为战争不会打很久
[11:29] 可是你打下去
[11:31] 你就会觉得
[11:31] 怎么跟我想的不一样
[11:33] 所以它会变成是加成
[11:35] 加成的蝶式
[11:38] 但还没发生
[11:39] 因为大家预判了
[11:40] 不会这么久
[11:41] 现在市场很讨人厌的一件事情
[11:43] 就是我们都悬在这个地方
[11:45] 虽然我们的频道
[11:47] 有一直跟大家讲说
[11:48] 就目前我们拿到的经济数据
[11:51] 企业获利来说
[11:52] 都是一个景气还在扩张的阶段
[11:54] 这个是不争的事实
[11:56] 但是有一个弹数
[11:58] 第一个我们不停强调的是油价
[12:00] 第二个是
[12:01] 这个战争会不会演变成有一些
[12:03] 你没有搞定的黑天鹅飞出来
[12:05] 所谓的黑天鹅
[12:06] 可能就不是说只有核弹
[12:07] 甚至有更严重的事情
[12:09] 其实市场现在并不确定
[12:11] 会不会有这个黑天鹅
[12:12] 只是因为我们前一阵子
[12:13] 都是多头气氛很浓
[12:15] 所以当然希望
[12:16] 往比较乐观的方向去讲
[12:18] 那这一次的跌
[12:20] 虽然我常讲说
[12:21] 在多头的气势下
[12:22] 可能回到月线
[12:23] 甚至说回到季线
[12:25] 它都会是一个你要买进的点
[12:27] 可是假如真的因为这个战争产生了黑天鹅
[12:31] 油价的居高不下
[12:33] 通膨的起来
[12:34] 资金的撤退
[12:36] 我觉得这个事情它就会变成
[12:38] 进一步演变到
[12:39] 对公司的评价会下修
[12:41] 甚至企业的扩张会受阻
[12:43] 因为利率环境就不友善
[12:45] 更不友善了
[12:46] 所以我觉得这个是我们现在在观察
[12:48] 到底会不会有这样的变化
[12:50] 虽然截至今天为止
[12:53] 没有
[12:53] 没有
[12:53] 还是必须这么讲
[12:55] 截至今天为止没有
[12:57] 对 这我讲得非常好
[12:59] 其实我觉得现在聪明钱
[13:01] 就是为了这个不确定性
[13:03] 因为它确实有个几率
[13:05] 对
[13:05] 那我们在赚钱
[13:07] 我们其实赚的是期望报酬率
[13:08] 是
[13:09] 所以当这个几率发生的时候
[13:10] 有些聪明钱
[13:11] 它就会适度的减码
[13:13] 对
[13:13] 它也许不会全测
[13:14] 但减码一部分
[13:15] 当减码一部分的时候
[13:17] 股价本来就会掉下来
[13:19] 钱就会变少
[13:20] 对
[13:20] 所以你会
[13:21] 像前几天我就会被问说
[13:23] 婉婷
[13:23] 星星到底有没有问题
[13:25] 我说没有啊
[13:27] 问你星星干嘛
[13:28] 应该问金居有没有问题
[13:29] 对因为
[13:31] 这个时间点
[13:31] 聪明钱在测
[13:32] 是
[13:33] 对那如果大家
[13:34] 暂时不敢买的时候
[13:35] 没有人买
[13:36] 那就跌停了
[13:37] 而且它又被限20分钟
[13:39] 你卖不掉
[13:40] 你就只好往下刮
[13:41] 所以就会变跌停
[13:42] 对所以这个时间点
[13:44] 其实很明显的
[13:44] 你看到一些聪明钱
[13:46] 它会抽一些出来
[13:47] 是
[13:48] 对
[13:49] 好所以昨天
[13:50] 因为昨天刚好是百花齐放
[13:52] 对
[13:52] 就是有点名好多产业
[13:53] 有什么细光子
[13:54] 低轨微星
[13:55] 昨天的PCB也很厉害
[13:57] 甚至昨天的机体也在反弹
[13:58] 就有提到说
[14:00] 个股真的很迷人
[14:01] 为什么大家离不开个股
[14:03] 因为我常常跟大家说
[14:04] 真的不太懂个股
[14:05] 或是在个股上
[14:06] 非常害怕去买ETF
[14:07] 可是个股
[14:08] 你看到它那种喷喷喷涨停
[14:09] 然后同族群都是亮一排红灯
[14:11] 你就会觉得
[14:12] 真的是非常非常吸引人
[14:14] 就像大家可能
[14:15] 对
[14:16] 就像大家可能跟我会传讯息分享当然有很大一部分的人是跟我说以前着迷在个股后来发现掌握不了就开始长期的去扣ETF
[14:26] 那现在反而觉得很心安
[14:28] 我觉得这是一个很好的
[14:29] 很好的一个经验
[14:31] 但是有不少人也会传讯息
[14:33] 给我是讲他的个股
[14:34] 例如说他很开心的就是
[14:35] 因为我一直说
[14:36] 婉婷让我一直抱得住宅版
[14:38] 抱住锦书
[14:39] 那他刚好听到又一起买
[14:40] 他就觉得对了对了
[14:41] 你看这东西可以赚个100%以上
[14:43] 那种感觉就是很兴奋这样子
[14:45] 也有很
[14:46] 也不少的一群人
[14:48] 会跟我分享
[14:49] 就是个股涨很多
[14:50] 很开心这件事情
[14:51] 但我这边还是要
[14:52] 语重心长地跟大家讲
[14:54] 即使我跟婉婷
[14:56] 可能我们都有
[14:57] 接触到很多的讯息
[14:58] 我们都觉得现阶段
[15:00] 他是有一点点走在一个
[15:01] 我们会觉得有点不确定
[15:03] 他要不要拐点
[15:04] 虽然现在拿到的资讯并没有
[15:06] 可是因为实在让人家
[15:09] 太不放心了
[15:09] 就川普这人
[15:10] 实在让人家太不放心了
[15:13] 但如果在这样的趋势里面
[15:14] 至少啦
[15:15] 我觉得如果有一个比较重的重挫下去
[15:18] 那景气状况还没有改变的情况下
[15:20] 我都还是会站在买房
[15:22] 但为了大家着想
[15:24] 大家优先可能买一些市值型的商品
[15:27] 对不对
[15:27] 像这类型会让你比较安心的
[15:29] 比较好
[15:30] 那另外我能抱得住
[15:31] 当然是因为我可以跟婉婷询问嘛
[15:33] 因为我们等一下就要进入到
[15:34] 她最擅长的PCB的领域
[15:36] 今天PCB很多是创历史新高
[15:39] 似乎没有反映到
[15:40] 我们刚刚讲的这些可怕的事情
[15:42] 会不会发生是历史新高哦
[15:44] 台光电历史新高
[15:46] 台耀历史新高
[15:47] 华通历史新高
[15:48] 真鼎历史新高
[15:49] 我还没有仔细去把我的APP打开
[15:52] 应该是超级无敌多
[15:53] 那今天婉婷本来就要在理财达人秀
[15:56] 跟我们分享说
[15:57] 其实PCB又有新的话题
[15:59] 所以我们如何来
[16:01] 这个产业每次你来都帮我们总体检
[16:03] 我们现在一块一块讲
[16:04] 从你觉得最有趣的新话题开始好了
[16:07] 好
[16:07] 就是现在在讲什么光进铜退
[16:10] 后来是光铜并进
[16:12] 那为什么一直要提到光
[16:13] 就是因为到Rubin的话
[16:16] 他的这个运算
[16:17] 黄荣勋这次在GTT大会有讲说
[16:20] 我们AI的运算效能已经很强大
[16:23] 但是讯号出不去
[16:25] 就是传输会是一个瓶颈
[16:27] 所以我要改成升级到光
[16:29] 我才能克服这个瓶颈
[16:31] 好 所以
[16:32] 就是Switch交换器这一段
[16:35] 就会往1.6T去跑
[16:36] 然后接下来可能再往3.2T跑
[16:38] 那这样的话
[16:39] 光的规格的升级
[16:41] 交换器里面的传输就导入光
[16:44] 然后规格升级之下
[16:45] 它会让通道变多
[16:48] 通道需求变多
[16:49] 所以我的这个光
[16:50] 收发模组的用量就会增加
[16:53] 然后再来就是因为
[16:54] AI现在的建制也越来越多
[16:55] 它本身数量就是增加
[16:57] 所以AI伺服器
[16:59] 或AI交换器数量变多
[17:01] 再加上现在通道数量也变多
[17:03] 所以就导致这个光的光模块
[17:07] 光模块其实就是我们讲的
[17:08] 这个光收发模组的这个transceiver
[17:10] 它的量就会变大
[17:11] 然后再来就是
[17:12] 过去我们通道可能是100G 400G
[17:15] 100G 200G 400G
[17:16] 那现在往800G 1.6T走
[17:19] 那它的
[17:19] 因为它里面放的这个雷射
[17:22] 雷射是光的发射源
[17:25] 它的雷射的克数变多
[17:27] 所以我们用一个比较白话的说法
[17:29] 就是里面看起来好像功能变多
[17:32] 或是你的雷射克数变多
[17:33] 你本身在PCB上的线路就要化的更多
[17:36] 好所以800G到1.6T
[17:38] 它的版程数就变得更多
[17:40] 那它的难度也变高
[17:42] 可以住的人变少
[17:43] 那PCB的价格也会变高
[17:45] 好
[17:46] 然后我最近在看
[17:47] 这个光模块的用量的时候
[17:48] 我在两三个礼拜前
[17:50] 我一直以为1.6T还没有很快
[17:52] 所以我抓明年的
[17:54] 1.6T的这个光模块的量
[17:56] 大概在两三千万颗
[17:58] 后来我跟我们家讨论完之后
[18:00] 因为最近就是GTC后
[18:01] 发表这个Rubin
[18:02] Rubin Ultra
[18:03] 然后严俊就跟我说
[18:04] 没有欸
[18:05] 明年的1.6T是要到7千颗
[18:08] 7千万颗
[18:09] 你看就是跟我抓的这个数量
[18:11] 落差差这么多
[18:12] 那颗数越多的话
[18:15] 下面的板子的用量就会变得更多
[18:17] 所以这样算起来的话
[18:18] 就是明年大概就会有1.3到1.5亿颗
[18:22] 那这个板子其实
[18:24] 它大概有点像我们两三只手指头
[18:28] 这么粗
[18:29] 对一个小小的板子
[18:30] 可是因为它的版权数高
[18:32] 还有它的制造难度比较高
[18:33] 所以它的单价其实是贵的
[18:35] 那它是用M7的制程
[18:37] 好那同样iPhone也是用M7的制程
[18:40] 可是iPhone的板子
[18:41] 因为它已经做非常非常多年了
[18:43] 然后它的板层数
[18:44] 没有像光模块的这么厚
[18:46] 好所以对比起来
[18:48] 这个整个总产值
[18:49] 市场规模的总产值
[18:51] 其实光模块很快就要追上iPhone
[18:53] 可是我们回去看
[18:55] 2025年或2024年
[18:56] 其实光模块这一块的PCB的产值很小
[19:00] 对所以对于能做光模块的厂商
[19:03] 星星划通
[19:04] 真顶
[19:05] 他们等于平白无故
[19:07] 也不能说平白无故
[19:08] 又多了一个新的东西可以做了
[19:10] 对
[19:10] 而且这个市场规模
[19:12] 在两三年内
[19:13] 瞬间变成一只iPhone的
[19:14] PCB版的市值
[19:16] 对
[19:16] 你可以想象这几年
[19:18] 过去几年
[19:19] 曾经我们追逐着
[19:20] iPhone PCB版的那个时间点
[19:23] 那你现在看到是光模块
[19:24] 而且光模块的这个成长性
[19:26] 在未来两三年
[19:27] 可能还是倍增倍增
[19:29] 不然为什么NVIDIA需要去
[19:30] 花钱去投资
[19:31] Lumentum跟Cohero
[19:33] 因为他要买这个光传输
[19:35] 所以现在看起来就是光模块的需求成长这么多的情况下
[19:40] 本身光相关的概念股
[19:43] 他的评价就比其他人贵
[19:45] 然后过去PCB啦
[19:47] 尤其下游
[19:48] 我们看到就是消费性电子产品的本益比
[19:51] 可能在15到20倍
[19:52] 然后卫星的话
[19:54] 我自己认为在20到25倍
[19:56] 所以当初华通就是受惑于最近卫星的题材
[20:00] 他开始涨的时候
[20:01] 我觉得很合理
[20:02] 因为卫星上修了
[20:04] 然后PE也上修了
[20:06] 可是我没有想到
[20:08] 它有光模块这一块的业绩
[20:10] 所以我加进来之后
[20:11] 我就会觉得说
[20:12] 它应该要对标AI的PCB
[20:15] AI PCB目前市场愿意给到30倍
[20:17] 甚至以上的这个PE
[20:19] 然后另外就是光模块本身
[20:22] 就是光通讯那一块的
[20:23] 像什么IT
[20:25] 然后联亚
[20:26] 或者是环宇
[20:28] 其实他们的PE有的到50倍到80倍
[20:30] 因为它就是趋势
[20:31] 然后他的梦很大
[20:33] 所以我就会认为说
[20:36] 这个故事也有
[20:37] 然后市值也有
[20:39] 然后大家也还不够清楚
[20:41] 然后再加上PE
[20:42] 还有RuRi的空间
[20:43] 所以综合上述来看
[20:45] 我就会认为
[20:46] 华通跟真定
[20:47] 今年下半年
[20:48] 进入到Rubin时代的时候
[20:50] 它其实是有一块
[20:51] 大家可能之前
[20:51] 有点忽略的商机
[20:53] 好
[20:54] 就是我对这个
[20:55] 我对这个光模块的故事
[20:57] 很着迷
[20:58] 我记得你是
[20:58] 两个礼拜前跟我讲的
[21:00] 但是那时候
[21:00] 我们只有匆匆讲
[21:01] 因为你还没有来上节目
[21:02] 没有办法深聊
[21:03] 对我也没有研究那么清楚
[21:05] 然后但是我当时有跟来宾说
[21:07] 我跟你们讲
[21:07] 婉婷要推一个东西
[21:09] 叫光模块滑通这样
[21:10] 后来滑通涨超多
[21:12] 它有下去
[21:13] 其实前一阵子股灾的时候
[21:14] 也不能说股灾
[21:15] 但是很多中小型股
[21:16] 一跌也就是跌到
[21:17] 季限的附近的时候
[21:18] 它也是
[21:18] 但后来就V上去
[21:20] 那大家都是V上去
[21:21] 才要去相信
[21:22] 但那时候我就觉得
[21:24] 哇这个掉下来
[21:25] 好有吸引力这样子
[21:27] 然后那今天在涨的时候
[21:28] 很多人都说
[21:29] 他们在涨低轨卫星
[21:30] 其实不是
[21:31] 我觉得他们背后
[21:31] 应该有隐藏了
[21:32] 这个story在里面
[21:33] 因为最近只要沾到光的
[21:35] 真的是很厉害
[21:36] 那大家还记得吗
[21:38] 博通这个光通讯展的时候
[21:39] 就这几天嘛
[21:40] 不是顺便帮忙加持了谁
[21:42] 他先讲台电的产能
[21:43] 恐怕是很紧绷
[21:44] 大家都跟台电要抢嘛
[21:46] 然后再还有讲到PCB
[21:48] 也是这个供货的时间
[21:49] 变得很长
[21:50] 大家都在抢PCB
[21:51] 事实上
[21:52] 这个时候你可能会想到的
[21:54] 就是全方位的PCB
[21:55] 可是如果
[21:56] 听到婉婷讲
[21:57] 她可能要聚焦在
[21:58] 刚刚讲的那几家公司
[22:00] 是可以跟细光子
[22:02] 就是搭在一起
[22:03] 做的光模块的PCB
[22:04] 就是这几家
[22:05] 那这个如果市场发酵起来
[22:08] 气氛比较乐观的时候
[22:09] 因为我们都会觉得
