[00:00] 欢迎收听赵怀古货仔第1071集
[00:09] 今天是2026年的4月7号
[00:12] 放了四天的廉价回来咯
[00:15] 不晓得大家在这四天的廉价里面在忙什么呢
[00:18] 除了扫墓啊
[00:20] 或是跟家人好友聚聚啊
[00:22] 可能也顺便会关心一下国际的大事
[00:24] 但说实话每一站
[00:26] 这个进度变化万千
[00:28] 瞬息万变
[00:30] 而且也不知道谁讲的
[00:31] 是真的
[00:32] 哪一件事情会影响
[00:34] 但我们可以看几个指标
[00:36] 包括说这个礼拜五
[00:38] 我们也看到美国公布了一些
[00:40] 所谓的经济数据
[00:41] 非农就业人数
[00:42] 失业率
[00:42] 还蛮意外的
[00:44] 是优于市场预期
[00:46] 就是在总经景气上面
[00:49] 美国现在拿到的数字
[00:51] 看起来并没有很差
[00:52] 那油价呢
[00:54] 其实油价居高不下
[00:55] 但是因为昨天我们在放假
[00:57] 但日韩股已经先开盘了
[00:59] 日韩股昨天是涨的
[01:01] 那美股昨天晚上
[01:03] 也是一个小涨的状态
[01:05] 所以就酝酿着今天台股
[01:07] 再怎么样不会是个大杀盘
[01:10] 至少我们知道
[01:10] 没有大家预期的说
[01:12] 过完廉价
[01:13] 怎么今天会崩盘
[01:14] 这件事情就没有发生
[01:15] 那不但没有发生
[01:16] 我们今天的加权指数
[01:18] 中场收涨了657点
[01:20] 这个算是相当亮丽的涨幅
[01:23] 涨势
[01:23] 那贵买也涨了2.43个百分点
[01:26] 所以今天有六七十档的公司
[01:29] 涨停
[01:30] 不管是PCB
[01:32] 不管是细光子
[01:33] 不管是低轨卫星
[01:34] 同样的还是在
[01:36] 我们已经讲了大半年的
[01:39] 这些热门题材上面
[01:41] 不过今天的量能是小的
[01:43] 我想大家难免
[01:44] 因为不是明天就是后天
[01:47] 因为川普一直在改
[01:48] 最后daylight的时间
[01:50] 所以大家就有点可能怕怕的
[01:52] 所以今天上市量只有5643亿
[01:55] 算是近期相对低的量
[01:57] 也对
[01:58] 可是也有一种感觉
[02:00] 就是廉价前
[02:01] 大家可能已经多多少少
[02:03] 缩手这样吃苦了
[02:04] 那廉价后的第一天又担心
[02:06] 明天搞不好川普
[02:07] 讲那个什么谈
[02:08] 又是一个谈崩
[02:09] 或者是怎么样了
[02:10] 难免会害怕
[02:12] 所以有一点
[02:13] 会不会有点被嘎空手了呢
[02:15] 因为今天六七十档涨停
[02:16] 都是热门股
[02:18] 还是就真的不要急
[02:20] 没有必要抢这个一天的短
[02:22] 我先来欢迎今天来宾
