[00:00] 欢迎收听赵华宜股货载第1073集
[00:09] 今天是2026年的4月9号
[00:12] 今天的股市它就有一点点从昨天的
[00:15] 大涨1531点的热情激情中
[00:19] 稍微冷静一下很正常
[00:21] 昨天晚上美股其实也涨得不错
[00:23] 但是因为我们已经先涨了1500多点
[00:26] 这个涨点真的相当的大
[00:28] 所以今天以指数来说
[00:31] 就比较冷静一些
[00:32] 比较冷静一些
[00:33] 但是今天还是有拉尾盘
[00:35] 所以本来这个盘中
[00:36] 大部分时间都是黑的
[00:38] 可是尾盘加权指数
[00:39] 是上涨了99点
[00:41] 而且今天也比较特别
[00:43] 其实今天的体感温度并不差
[00:45] 虽然盘中比较多时间是黑的
[00:47] 因为今天上市加上柜
[00:49] 涨停的加数还是有六七十加
[00:52] 这个加数也不少
[00:53] 以这个盘中如果说
[00:55] 是黑多于红的状态来说
[00:58] 这样的涨停加速
[00:59] 也代表所谓的中小型股
[01:02] 热门族群的表现
[01:03] 相对是好的
[01:04] 包括说矽光子
[01:06] 这个我们常常讲说
[01:08] 矽光子根本就是
[01:09] 也不管你有没有打仗
[01:10] 也不管你有没有营收
[01:11] 也不管你有没有获利
[01:13] 就是涨就对了
[01:15] 大家看到破罗威
[01:16] 从这个两三百盘了很久
[01:18] 现在是一千二
[01:19] 直接多一个一千块
[01:22] 涨到这样的成绩
[01:23] 那像友达这两天
[01:25] 就是因为号称他有矽光子
[01:26] 以及友达集团里面
[01:27] 有复彩定源
[01:28] 这类型的小LED转细光子
[01:32] 所以友达今天也是所涨停
[01:34] 之前是群创独领风骚
[01:36] 现在友达因为挟着集团之力
[01:39] 还有细光子的威名
[01:40] 现在也涨上来了
[01:42] 虚心KY今天也是涨停版
[01:44] 那当然下个礼拜台移电发说会
[01:46] 所以设备股在排面上
[01:48] 也还是很强
[01:49] 至胜再创历史新高
[01:51] 深阳办涨停版
[01:52] 之前一直在抱怨
[01:53] 深阳办很难做的朋友
[01:54] 可以趁这个涨停版
[01:56] 考虑一下
[01:57] 你要不要
[01:58] 你要不要减码
[01:59] 我是讲真的
[02:00] 因为市场卖
[02:01] 每次涨上来就下去
[02:01] 涨上来就下去的时候
[02:02] 就好多人一直抱怨
[02:04] 但是抓到他的节奏的人
[02:06] 必须讲低买高卖
[02:07] 低买高卖
[02:08] 就做得很开心
[02:09] 所以我们常常提醒大家
[02:10] 一件事情
[02:11] 投资没有对错
[02:12] 一档创新高的股票
[02:14] 你可能觉得理论上
[02:16] 所有的人都应该
[02:17] 在这个股票上是赚钱
[02:19] 没有赔钱
[02:20] 他创历史新高
[02:21] 但绝对不可能
[02:22] 对不对
[02:23] 实物上就算是一档
[02:24] 创历史新高
[02:25] 甚至涨了五六倍的股票
[02:27] 都是有人在里面赔钱
[02:28] 有人在里面赚钱
[02:29] 问题就是节奏感
[02:31] 你抓的对不对
[02:32] 因为我看到生产办长挺板
[02:33] 人不是啰嗦一下
[02:35] 就是每一次讲到他
[02:37] 大家就说长一半长一半
[02:38] 对啊
[02:39] 那既然他长一半
[02:40] 那你是不是低出高进
[02:41] 反而是一个很棒的
[02:42] 因为他一直会涨涨跌跌
[02:44] 他不是一直往下跌
[02:45] 的一个股票
[02:46] 那还有比较特别的
[02:49] 像大银尾
[02:50] 这个在工具机
[02:51] 机器人里面
[02:52] 真的是一枝独秀
[02:53] 他已经接近历史新高了
[02:55] 大家都觉得机器人没戏
[02:57] 但是你看大英伟的状况
[02:58] 却非常的好
[02:59] 似乎就隐藏着
[03:01] 这个族群它的活种
[03:03] 虽然并不是那么整齐
[03:05] 可是看来有人要表态的一个状态
[03:08] 那上柜的话
[03:09] 当然有什么威斯特
[03:10] 群翼这一种
[03:11] 大量等等的
[03:13] 这类型的设备股都表现非常好
[03:15] 所以今天的话
[03:16] 就是很集中在所谓的
[03:19] 特定族群热门股的表现
[03:21] 我也时常提醒大家的
[03:23] 手上有热门族群
[03:24] 你可能比较不会有失落感
[03:26] 今天来的来宾
[03:27] 我们刚刚有小聊了一下
[03:28] 因为我们有点久久没见面
[03:30] 他最近又在环游世界去出差
[03:32] 就是又去马来西亚
[03:34] 又去日本
[03:35] 他常常来
[03:36] 我们不管达人秀
[03:37] 或是podcast的时候
[03:38] 都是已经环游世界回来了
[03:40] 我很羡慕他
[03:41] 先来欢迎他
[03:41] 来的是基金医生志源哥
[03:44] 赵华各位金属盟大家好
[03:46] 我们刚才在讲说
[03:47] 现在最夯的就是主动型ETF
[03:50] 以前我们讲很多很厉害的基金
[03:52] 我们每一年还帮大家做一些讨论
[03:55] 会不会前一年最烂的基金
[03:57] 今年就翻身
[03:58] 最烂的市场
[03:59] 今年就会比较好之类的
[04:01] 现在好像选择变得非常多
[04:03] 因为这些所谓过去很厉害的主动式基金
[04:06] 它已经变成了主动式ETF
[04:09] 每天都在尬极小
[04:11] 每天
[04:12] 竞争很激烈
[04:14] 因为医生晚上他们有一个
[04:17] 就是Lipper
[04:18] 长期以来每年会举办的
[04:20] 李伯基金奖
[04:21] 那以后这个基金奖会把ETF纳入吗
