[00:00] 欢迎收听赵华与古破仔第1074集
[00:09] 今天是2026年的4月10号
[00:12] 其实在去年的4月10号也是非常有趣的一天
[00:17] 那一天是台股几乎所有的股票涨停板
[00:20] 也是所谓的史上第一大涨点
[00:23] 因为川普出来告诉大家对等关税要延后90天
[00:27] 那本来大家是预期这一次的清明廉价后会有很不小的动荡
[00:32] 没有想到台股却是连三红
[00:35] 那今天很特别的一天
[00:38] 因为今天不但红
[00:39] 红的呢你说涨500多点是不是很厉害
[00:42] 也许以涨点来说并没有觉得特别厉害
[00:45] 今天涨五六点
[00:47] 可是今天也是一个大小股非常均匀在涨的一个现象
[00:51] 今天我收到非常多的私讯
[00:55] 我等一下也会来跟大家做分享
[00:57] 也等于是
[00:59] 长到今天会来私讯的朋友
[01:01] 肯定在三月这种震荡折磨当中
[01:05] 第一个有信心
[01:06] 第二个逢低有做了加码
[01:08] 好
[01:09] 那今天的话量能也是不错的
[01:11] 量能有8295亿
[01:12] 连续三天量能都有8000多亿
[01:15] 量也是放出来的
[01:16] 那当然大家知道
[01:17] 今天台积电也公布了营收
[01:19] 好
[01:20] 三月再度创下历史新高
[01:23] 4151.9亿元
[01:26] 史上最强的三月
[01:27] 史上最强的第一季
[01:29] 这个第三月的营收
[01:31] 这个月增30.7%
[01:34] 年增45.2%
[01:36] 这就是我们台积电
[01:37] 所以今天台积电尾盘
[01:38] 也占上了2000元
[01:40] 那之前在17字头
[01:42] 买到台积电的朋友
[01:43] 恭喜啦
[01:45] 真的恭喜啦
[01:47] 真的回到2000元了
[01:49] 是不是反而在2000元
[01:51] 又特别想买呢
[01:52] 我不确定
[01:53] 因为我有看到有人留言说
[01:54] 之前三万二不敢买
[01:57] 现在三万五好想买
[01:59] 等一下这样就反了
[02:02] 这样就反了
[02:04] 昨天有跟大家讲
[02:05] 节奏真的好重要
[02:06] 一档创新高的公司
[02:08] 不是每个人都能在上面赚到钱
[02:11] 反而是搞不好有人在上面屡战屡败
[02:14] 有人却能每次掌握下来的时候
[02:16] 拿一个好的买点
[02:18] 上去现在是一个丰收的阶段
[02:20] 希望大家古惑仔的听众
[02:22] 在这个周末外面天气非常好
[02:24] 是一个丰收的日子
[02:27] 就如同传讯息给我的这些朋友
[02:29] 真的真心真心非常开心
[02:31] 好先来欢迎今天来宾
[02:33] 那他刚刚我们也聊了一下说
[02:35] 为什么这段时间可以给大家信心
[02:38] 我想这位来宾也是一个很重要的信心来源
[02:41] 先来欢迎他
[02:41] 就是我们的悬谷教练黄金右下角
[02:44] 韦泰
[02:45] 大家好
[02:45] 为什么说韦泰是很重要的信心来源
[02:48] 坦白说
[02:50] 我常常讲一件事情
[02:51] 就是我们都一定会预测的
[02:53] 因为我们在这个市场里面
[02:54] 我们一定都会做一些预测
[02:56] 根据各种的
[02:57] 包括像现在今天4月10号
[02:59] 三月营收要全数出炉
[03:01] 好不好
[03:02] 真的很好
[03:04] 这就是一个信心的来源
[03:06] 我们那时候就有讲
[03:07] 三月营收陆续那时候知道的都很好
[03:10] 所以景气有没有下去
[03:11] 如果以现在看到的数字
[03:13] 真的没有
[03:14] 我想这是一个基本面上面
[03:16] 很重要的信心来源
[03:18] 那当然在消息面上面
[03:20] 自然我们难免受到
[03:22] 美国 伊朗 油价
[03:23] 这些事情的影响
[03:25] 所以在这个上面
[03:26] 我们就必须去观察
[03:27] 市场的风向
[03:28] 到底现在对这件事情的想法是什么
[03:30] 那我不晓得大家还有没有印象
[03:32] 有一天韦泰来就讲说
[03:33] 他觉得第一个拐点已经出现了
[03:36] 可是那一天其实我还是有点
[03:38] 你知道有点怕
[03:39] 因为现在听节目人好多
[03:41] 我就有点怕说
[03:42] 我要传达出的
[03:43] 可能是尽可能让所有的听众
[03:46] 不会受伤
[03:47] 至少先以这个为基础
