[00:00] 欢迎收听赵华语古惑载第1075集
[00:09] 今天是2026年的4月13号
[00:12] 好当然这个周末大家还是关注
[00:15] 这个美国跟伊朗之间的谈判
[00:17] 那谈崩了
[00:19] 谈崩了好像也没有很奇怪
[00:21] 那上个礼拜五
[00:22] 美国有公布所谓的CPI物价指数
[00:25] 也是略略高于一点点市场预期
[00:27] 来到了3.3%
[00:28] 显见通膨或是油价上升这件事情
[00:31] 已经有一点反应在美国的CPI上面了
[00:33] 好那照理来说
[00:35] 今天应该会是一个比较受到压抑的盘
[00:38] 对不对
[00:39] 我们在周末听到这些的消息
[00:41] 但是你说会不会跌很多呢
[00:43] 又觉得似乎还好的原因是
[00:46] 也没有很意外啊
[00:48] 就这些事情也不是也不是很特殊
[00:51] 我觉得反而是相谈甚欢是奇怪的事情
[00:54] 谈崩了没有谈好
[00:57] 然后他又放话说
[00:58] 要让伊朗常常是进入地狱的滋味
[01:01] 然后呢你封锁和姆兹海峡
[01:03] 我美国也封锁和姆兹海峡
[01:06] 我不让人去了
[01:07] 哇真的是很有意思啦
[01:11] 这些话翻来覆去翻来覆去
[01:13] 但我也必须讲台股真的还是厉害
[01:15] 因为今天期货开盘是点200多点嘛
[01:18] 200多点差不多
[01:19] 差不多两三百点
[01:20] 我觉得总要反应一下嘛
[01:22] 结果现货市场却更加的厉害
[01:25] 今天中场是上涨了39点
[01:28] 盘中一度只差27点
[01:31] 我们就要创历史新高之外
[01:32] 贵买是续创历史新高
[01:34] 今天有一个东西很特别
[01:35] 今天上市加上贵的涨停加数是117加
[01:41] 什么意思呢
[01:42] 比那一天大涨1531点的那一天
[01:45] 我们的涨停加数还更多
[01:48] 比那一天还更多
[01:50] 所以台积电法说会前
[01:52] 台积电没有大涨
[01:53] 可是却让中小型股
[01:55] 个个如虎添翼
[01:57] 那为什么会有那么多涨停加速
[01:59] 有一个族群窜上来了
[02:00] 叫做被动元件
[02:02] 这个礼拜除了台积电法说
[02:04] 国巨也要公布年报
[02:06] 跟法说上礼拜外资买非常多国巨
[02:10] 所以到底被动元件
[02:12] 这一次常常讲说都在骗人
[02:14] 可是其实有蛮多人的形态
[02:15] 走得跟之前是真的不一样
[02:17] 好 先来欢迎今天的来宾
[02:19] 因为今天来宾在前一阵子
[02:21] 他是提醒我们说
[02:22] 他是在理财达人秀说啦
[02:24] 他就说他来回操作台积电
[02:26] 那到了今天呢
[02:28] 不一样了
[02:28] 他的部位大幅拉高在中小型股
[02:31] 台积电他已经算卖飞了
[02:33] 飞了就飞了
[02:34] 我先来欢迎他
[02:35] 今天来的是冠军操盘手云翔哥
[02:37] 大家好
[02:38] 云翔哥是大家都知道
[02:40] 食物上的高手
[02:42] 那现在他的库存水位
[02:44] 已经又破亿了
[02:45] 又破亿了
[02:46] 拉上来了
[02:47] 因为我们知道在三月份
[02:49] 是比较震荡的
[02:50] 那跌破月线
[02:51] 云翔哥的纪律就是要降水位
[02:54] 所以一度有把水位从七成持股
[02:57] 降到五成持股以下
[02:58] 但是随着大盘站回所有均线
[03:01] 我有问他了吗
[03:02] 他就说对
[03:03] 因为站回所有均线了
[03:05] 按照纪律就是要拉高持股
[03:07] 但是我觉得有一件事情很奇妙
[03:09] 等一下我会讲
[03:10] 云翔哥会买选择权放空来避险
[03:12] 就是选择权的put
[03:14] 他大概已经一个月来
[03:16] 他的选择权都是打水漂的
[03:18] 然后只要一打水漂就代表什么
[03:20] 代表指数变得非常的厉害
[03:22] 他今天又买了很多的put
[03:24] 所以会不会明后天就创历史新高了呢
[03:27] 好他还有讲一件事情
[03:29] 就是他现在把持股水位拉得那么高
[03:31] 是有他的想法
[03:33] 以及今天明明
[03:34] 我觉得大家应该不要在这边追
[03:36] 对不对
[03:36] 他说他就是捡
[03:37] 捡到忘我了
[03:39] 所以才会捡到像现在这么高的库存
[03:42] 那为什么会选在今天捡呢
[03:44] 我想请问一下云翔哥
[03:45] 先讲一下这段时间
[03:47] 你的操作策略的想法有改变
[03:49] 因为前一阵子
[03:50] 你是来回操作台积电
[03:52] 是比较保守
[03:52] 然后你的持股水位降下来
[03:55] 可是现在为什么
[03:56] 反而历经了六日
[03:57] 这个川普又叫伊朗去地狱的时候
[03:59] 你反而是变得比较偏乐观
[04:01] 我先讲一下
[04:03] 就是说基本上我在看这个多空
[04:07] 还有我持股的一些部位呢
[04:09] 大概之前一直讲说
[04:10] 就是真的依据这个技术的一个现行嘛
[04:13] 所以台股如果是站在季限之上
[04:16] 我就认定说
[04:17] 它还是在一个多头
[04:18] 只是说抢不抢而已
[04:20] 既然站在基线之上
[04:23] 我至少还维持一个
[04:24] 大概五成的资金量来运作
[04:26] 如果它能够站稳月线以上
[04:29] 那我就会比较强力的攻击
[04:31] 可能七成以上我都愿意投入
[04:33] 所以现在确实的
[04:35] 你不止七成
[04:36] 你就下得比较重
[04:39] 现在来讲就是说
[04:42] 很明显的
[04:43] 台股在这一块里面
[04:46] 在三月份
[04:47] 是完全受这个
[04:48] 美伊战争这个事情拖累
[04:51] 对不对
[04:52] 所以等于是在
[04:53] 那一个月里面
[04:55] 基本上大概台股的震荡
[04:57] 很大
[04:58] 大概已经到
[04:59] 这个4000点左右的震荡
[05:01] 包括台积电大概都回档
[05:04] 大概8到10%左右
[05:06] 大概8%多
[05:06] 对
[05:07] 所以上月份我曾经讲说
[05:10] 台积电我是来回操作
[05:12] 对
[05:12] 那来回操作就是说
[05:14] 因为台积电有底气
[05:14] 我就是用这个90块的EPS估值
[05:19] 然后用这个20倍的本益比
[05:22] 1800这个线
[05:24] 所以我接近1800我就买
[05:26] 跌破我更买
[05:27] 然后到1900左右我就把它卖掉
[05:30] 所以其实这一波下来
[05:32] 大概经历了大概六次
[05:34] 所以六次大概我算过
[05:36] 就大概是接近300万
[05:38] 好 因为云翔哥这样子也能赚钱
[05:41] 所以我就一直跟他说
[05:41] 不管了 我在旁边看
[05:43] 我跟你讲
[05:43] 大家有时候都会传讯息
[05:45] 跟我说什么
[05:46] 很羡慕人家赚多少
[05:47] 或者是自己有什么股票卖飞
[05:49] 卖飞就卖飞
[05:50] 卖飞真的
[05:51] 你有赚
[05:52] 我跟你讲
[05:53] 痛苦就去跟别人比
[05:54] 你有赚
[05:55] 人家赔
[05:55] 你有赚
[05:56] 人家赔得很惨
[05:57] 好不好
[05:58] 有赚就好
[05:59] 所以我在旁边看云翔哥
[06:00] 那样来回操作
[06:00] 因为我也有来回操作台积电
[06:02] 但我没有六次
[06:03] 我只有两次
[06:04] 对
[06:05] 我有一次还有在我的演出上写
[06:07] 我买小台积奇
[06:08] 有没有
[06:08] 那没关系
[06:10] 云翔哥赚六次我干嘛
[06:11] 我就說平常哥我要吃燒肉
[06:12] 沒有問題
[06:14] 對
[06:15] 因為我覺得是這樣
[06:16] 就是說
[06:16] 既然我出到大概五六次
[06:19] 三百
[06:20] 投入的金額大概是
[06:21] 我上次講大概是六張的話
[06:23] 就是大概部位大概是一千出頭
[06:25] 那等於是這樣
[06:27] 等於是獲利將近快三十趴
[06:29] 那對比那一波下來
[06:31] 台建等於是跌八趴
[06:33] 那現在就算台建回到接近兩千
[06:35] 也等同是回到原點
[06:37] 也就是說
[06:38] 基本上很多人可能在
[06:39] 那个位置点还没有涨
[06:41] 那其实我来讲
[06:42] 它涨
[06:43] 我是祝福啊
[06:45] 为什么
[06:45] 因为我觉得很好啊
[06:47] 对台股来讲
[06:48] 是有一个强力的
[06:49] 一个供许的讯号
[06:51] 那现在来讲就是说
[06:54] 卖肥没有关系啊
[06:55] 那既然卖肥代表说
[06:57] 整个市场是
[06:58] 在走向乐观的
[07:00] 很正向的
[07:00] 那我应该把这些资金
[07:02] 去投入什么
[07:03] 可以投入台积电门啊
[07:05] 对
[07:05] 那这个中小型股
[07:07] 可能它活泼度更高
[07:08] 所以我资金往这边走的话
[07:10] 基本上我觉得说
[07:11] 这个资金还是没有浪费掉
[07:12] 对
[07:13] 所以应该我觉得说
[07:15] 可以这样走
[07:16] 那可是在这样的一个行情里面
[07:19] 你说我会不会怕
[07:20] 还是会嘛
[07:21] 对
[07:21] 所以在上一周
[07:23] 我跟赵好友讲
[07:24] 就说
[07:25] 确实我买批了
[07:26] 对
[07:27] 买批
[07:27] 为什么
[07:27] 因为这个会谈呢
[07:30] 我觉得说
[07:31] 这个谈一定谈不出
[07:32] 很好结果
[07:33] 对不对
[07:34] 前面大家突然间爆冲一个
[07:36] 这个指数
[07:38] 等于是纳斯达克跟费半
[07:40] 都喷两三趴
[07:41] 那也代表说
[07:43] 大家可能趋向这个谈判是乐观
[07:45] 可我觉得说至少我买一个
[07:47] 这个月结算的P
[07:49] 我大概买在三万三
[07:50] 那我觉得说
[07:51] 买个十几万
[07:53] 那打水漂打水漂嘛
[07:55] 对不对
[07:56] 没想到
[07:57] 就打水漂了
[07:57] 不但打水漂
[07:58] 就是台股几乎要创高
[08:00] 我上礼拜就跟你讲了
[08:02] 我上礼拜就跟云翔哥说
[08:03] 你买吧
[08:04] 台股下礼拜可能要创高了
[08:06] 说我是台版的八叉叉
[08:08] 他是台版的八PP
[08:10] 因为是put
[08:11] 对
[08:11] 八PP
[08:13] 好
[08:13] 不过讲真的就是说
[08:15] 这个能够用这样的钱
[08:17] 去让台股走一个逆势
[08:20] 我其实自己还蛮开心的
[08:22] 我今天在加码
[08:24] 我今天等于是在
[08:26] 我们对明天的行情十分乐观
[08:28] 三万四千五
[08:30] 是
[08:30] 对我在加五十口
[08:31] 虽然我比较少跟大家分享
[08:33] 台股的神秘力量
[08:34] 但是有时候真的很有趣
[08:37] 我这边我有看到一位
[08:38] 应该就是大家都会讲巴尼尼
[08:40] 但是一开始就觉得有趣有趣
[08:42] 其实我有一个好朋友叫建长
[08:44] 建长真的非常喜欢巴尼尼
[08:45] 然后当然一位巴尼尼
[08:47] 他是在中沙
[08:49] 就是半导体的公司
[08:50] 设备公司上班
[08:51] 我觉得这也是很好的背景
[08:53] 其实我有看到有一个人
[08:55] 有稍微分享一下巴尼尼的操作
[08:57] 他说他有看过他的库存
[08:58] 其实他大部分的持股
[09:00] 是放在市值型类的商品
[09:02] 所以他的风险控管
[09:04] 其实做得很好
[09:04] 那小部分呢
[09:06] 他就拿来做这种公布
[09:08] 他买了一些
[09:09] 通常是涨得很高的股票
[09:11] 对
[09:12] 然后那就比较容易
[09:13] 遇到一个情况反转
[09:15] 但因为实在是频率太准确了
[09:17] 好
[09:18] 我觉得这一点是很棒的
[09:19] 为什么
[09:20] 他就是经营这样是很好的
[09:22] 就是他有一块核心
[09:23] 他绝对是控好风险的
[09:25] 对
[09:25] 可是他把他小部分
[09:26] 拿来做了一个有趣的人设
[09:28] 所以他就变得非常的红
