[00:00] 欢迎收听赵华宜古货仔第1078集
[00:09] 今天是2026年的4月16号
[00:12] 今天台湾股市又再创历史新高
[00:16] 其实一开盘的时候没有
[00:18] 而且台积电有受到一些法说前
[00:21] 有没有大家会觉得就算说得好
[00:23] 搞不好还是会压抑
[00:25] 所以一度都是在这个平盘以下
[00:28] 不过最后台积电拉起来了
[00:30] 而我们的指数也拉起来了
[00:32] 今天收盘收在37132
[00:35] 盘中最高点是37135
[00:38] 所以等于收盘几乎也收在相对高的位置
[00:42] 为什么
[00:42] 因为收盘的时候
[00:43] 大家台积电的数字
[00:45] 至少第一季的就先出来了
[00:47] 第一季的大家应该现在已经拿到数字
[00:51] 就是EPS22块以上
[00:53] 非常厉害
[00:54] 赚两个股本
[00:56] 那三绿都是一个历史新高
[00:59] 那营收自然也是历史新高的情况
[01:01] 不意外
[01:03] 因为毕竟我们已经在第一季
[01:05] 知道它的一个营收状况了
[01:06] 所以接下来就是等
[01:08] 等什么呢
[01:08] 等第二季的一个数字
[01:10] 以及大家很关心
[01:12] 所谓的资本支出要不要再提高
[01:14] 那全年的营收预期
[01:15] 是不是也要再提高
[01:16] 说实话
[01:18] 因为前两次提电的法说
[01:19] 真的开得太强了
[01:21] 所以这一次就需要比较猛的药
[01:24] 那这边赵华先做一个小小结论
[01:26] 这一次台电法说会
[01:28] 听到目前为止
[01:29] 比较属于中规中矩
[01:31] 而不是surprise
[01:33] 不是这个样子的一个情形
[01:35] 那今天的来宾
[01:36] 我想大家应该心里面有敲碗
[01:39] 敲碗知道是谁了
[01:40] 通常在台电法说会的时候
[01:42] 他会来到我们的节目
[01:44] 不容易
[01:45] 他现在真的好多地方抢子
[01:47] 要刚才跟他沟通说
[01:48] 多留点时间给我们
[01:50] 好 先来欢迎他
[01:51] 来的是AI达人
[01:53] 蔡明翰
[01:54] 赵华好
[01:55] 听众朋友大家好
[01:55] 有一段时间没有听到你的声音
[01:57] 因为你去休假
[01:59] 是
[01:59] 对
[02:00] 但前两天我都有看到你
[02:01] 好不提了
[02:03] 今天最重要来我们这边就好了
[02:05] 当然第二季才一定也讲了
[02:07] 他的一个目标
[02:08] 要激增10%
[02:10] 毛利率的上缘
[02:11] 甚至可以来到67.5
[02:12] 确实还是蛮厉害的
[02:14] 而且也谈到了
[02:15] 最近大家讲到马斯克要结盟intel
[02:18] 去做这个晶圆厂的一条龙
[02:20] 那他也说这件事情是不可能有捷径的
[02:23] 跟我们平常预估
[02:24] 其实差异不大
[02:25] 如果他们做得起来
[02:27] 如果CC会表达很恐惧
[02:28] 那才离谱
[02:29] 他都没有捷径
[02:30] 不太可能
[02:31] 很快速就能追得上台积电的脚步
[02:34] 但我们先从台积电这一次法说
[02:36] 截至到我们录音为止
[02:38] 截出来的成绩
[02:39] 你会给他一个什么样的评论
[02:42] 因为上一次的我们两个是很惊喜
[02:45] 觉得实在讲得有够好
[02:46] 对
[02:46] 应该说回头看
[02:49] 第一季就上一次
[02:51] 包含前一次
[02:52] 等于是去年第四季
[02:54] 他的特色就是大幅优异
[02:56] 回来我看的都是一个
[02:58] 法人对于EPS的预估值
[03:01] 他会有一个现象
[03:01] 就是结束之后
[03:02] 他突然大幅跳升
[03:04] 代表着整个法说展望
[03:07] 都是大幅优异
[03:08] 前两次都这样
[03:10] 那这一次如何
[03:12] 我结论来讲
[03:13] 我还是无论如何
[03:14] 都还是表现得非常优异
[03:16] 但是凭良心讲
[03:18] 对比以上次来讲
[03:20] 是明显的经验而言
[03:22] 这次主要的这个弱点
[03:25] 都在外资预期的这个高标处
[03:29] 当然我要帮他讲一句话
[03:31] 在法术会前
[03:33] 我看到外资那几份报告
[03:35] 我的结论只有说
[03:36] 外资真的很残忍
[03:37] 已经变残忍
[03:39] 对
[03:39] 就是他第一季已经讲的
[03:41] 这么夸张的数字
[03:43] 居然你还要要求更高
[03:45] 我当时看报告
[03:46] 我是有点意外
[03:47] 老实讲我个人有点意外
[03:48] 给一个数字就好了
[03:50] 就是对全年的营收展望
[03:53] 要记得一件事情
[03:55] 就是24年25年前两年
[03:57] 他第一季法说都给的
[03:58] 就是年增长25%
[04:00] 然后再沿路往上修
[04:02] 到年底都有三成
[04:03] 结果今年第一季
[04:05] 他一开口就说三成
[04:07] 所以老实讲非常惊艳
[04:10] 人家每年都
[04:10] 前两年都到年底
[04:12] 而且要有概念就是
[04:14] 两年来已经大幅增长了
[04:17] 所以你的基期这么高
[04:18] 所以如果你能够维持25
[04:20] 就已经很了不起了
[04:21] 就上一次一开口就说
[04:23] 今年就是三成
[04:24] 那我在前两天
[04:26] 等于说这个法术会要召开之前
[04:28] 我看到报告
[04:29] 我发现外资会怎么参议
[04:31] 我说上次在讲三成
[04:33] 你居然认为说还会再往上调
[04:35] 他的看法是30到35之间
[04:38] 等于是说30是基本
[04:40] 希望能够30的中位数
[04:42] 那刚刚法术会的内容
[04:44] 就是他有提到30他很有把握
[04:47] 他觉得应该有机会30以上
[04:49] 他当然后面数字没有讲
[04:50] 所以代表着他又符合外资讲的那个标准
[04:54] 就是全年的营收增长
[04:56] 他还在持续往上调
[04:58] 那所以我的结论就是提到
[05:01] 财报的一个部分
[05:02] 或者是展望的部分
[05:04] 其实都是非常乐观
[05:06] 包含无论是其他的这个市场的留言
[05:10] 杂音
[05:11] 或者有没有什么压力
[05:13] 当然我们从法人的角度而言
[05:15] 我都觉得我们简单而言
[05:18] 法人一定可以判断那些都不是压力
[05:20] 都不用紧张
[05:21] 但是有些投资者还是希望从公司的口中说出来
[05:26] 你今天是不管你今天是什么法案
[05:29] 不管内资外资
[05:30] 这毕竟是我们外面看的人的说法
[05:33] 那大家都希望从公司的角度说出来说
[05:36] 马斯克要进半导体或intel
[05:38] 甚至日本也要讲二奈米
[05:40] 对于他们来讲其实不会有太大的压力
[05:44] 我个人本来就觉得
[05:45] 这个本来就不会有太大的压力
[05:47] 就是说先有概念
[05:50] 就是这块半导体
[05:52] 它是集结大量的资金
[05:54] 跟大量的技术
[05:56] 跟很高阶的人力去结合出来的成果
[06:01] 还有一个很重要的关键
[06:03] 就是经验
[06:04] 过去他们长期以来
[06:06] 他们的良率拉升的经验
[06:08] 这就是他们最宝贵的资产
[06:10] 不然前段来讲
[06:11] 我们常常讲的
[06:12] 你無論是資源或錢
[06:14] 其實以台灣的角度
[06:15] 我們比錢比資源
