[00:00] 欢迎收听赵华与古破在地1081集
[00:09] 今天是2026年的4月21号
[00:13] 4月的传奇还在继续的上演中
[00:16] 今天台股再创历史新高
[00:19] 盘中最高点是37781
[00:22] 离这个38000点就是一个一步之遥了
[00:27] 一下子我们说跨到36000
[00:29] 跨到37000
[00:30] 跨到38000
[00:31] 而旗帜的收盘
[00:33] 事实上是占上38000点的
[00:36] 好 又超过历史新高了
[00:38] 盘中一度涨了800多点
[00:39] 真的很强
[00:40] 而且今天还是以一个中小型股
[00:43] 带头的一个状态
[00:45] 贵买非常的厉害
[00:46] 台积电又把空间让出来
[00:48] 今天上市加上贵的上涨加速
[00:50] 涨停加速
[00:51] 有到100加
[00:53] 也是非常的多
[00:54] 只要破百加就知道
[00:55] 这个盘非常非常热闹
[00:57] 好 不过今天呢
[00:58] 涨停板的公司就略略有一点点不同
[01:02] 今天发哥一马当先
[01:05] 涨停板
[01:06] 那他的股价如果跟台积电比的话
[01:09] 是正式超车台积电
[01:11] 很有趣很有趣
[01:12] 而发哥的涨停
[01:13] 大家也就不明所以的
[01:16] 来了一波IC设计的连环涨停
[01:19] 到底整体的IC设计
[01:21] 因为这个族群非常非常大
[01:22] 这族群贯穿到从AI到消费
[01:25] 什么都有
[01:25] 到底是涨真涨假
[01:28] 说缺这个CPU
[01:30] 是不是真的缺
[01:31] 那消费性电子相关的
[01:32] 也真的应该跟着涨吗
[01:34] 还有当然今天记忆体有回升
[01:36] 因为三星宣布
[01:38] 它真的DDR4是确定不做了
[01:41] 都不做了
[01:42] 那这样子当然对记忆体
[01:43] 终于跌了那么久
[01:44] 来了一个强心针
[01:46] 好
[01:47] 那到底台积电浪出空间这件事情
[01:49] 台股继续创新高这件事情
[01:51] 今天刚刚看到
[01:52] 筹码外资的空单还降
[01:53] 今天反而没有反向加空单
[01:55] 台股到底要开到哪里去
[01:58] 要开到哪里去
[01:59] 先来欢迎今天的来宾
[02:01] 今天来的是我们的国家集资基金
[02:04] 操盘手黄峰凯
[02:05] 凯哥
[02:05] 大家好
[02:06] 上礼拜来
[02:08] 有特别跟大家讲说
[02:10] 可以去买凯哥的书
[02:11] 已经快绝版了
[02:12] 结果据说就
[02:13] 真的
[02:14] 很多人抢着要买
[02:16] 抢着要买的话
[02:17] 不要找凯哥
[02:18] 因为还是要找出版社
[02:20] 是金周刊
[02:20] 所以凯哥在他的脸书
[02:22] 就是暖男凯生
[02:24] 带你看穿法人手法
