[00:00] 欢迎收听赵华业股货载第1089集
[00:09] 今天是2026年的5月4号
[00:12] 今天也是5月的第一个交易日
[00:15] 我们说4月已经创下台股不少的新记录了
[00:18] 包括涨点是史上第一大
[00:20] 那成交量也是史上第一大
[00:22] 但5月的第一个交易日
[00:24] 我们又开始继续刷新记录
[00:27] 今天中场上涨了1778点
[00:29] 盘中有涨到1800点以上
[00:31] 量能是没有在突破新高
[00:33] 可是今天的涨点是史上单日最大的涨点
[00:38] 上一次出现在对等关税
[00:41] 川普出来喊话
[00:42] 然后不是所有的股票都涨停板吗
[00:45] 那一天的涨点今天正式超越
[00:48] 可是位阶不一样
[00:49] 当时是不到2万点
[00:51] 那现在是4万点
[00:52] 所以位阶不一样
[00:54] 所以涨幅是没有那么大
[00:55] 可是涨点超过了
[00:57] 但无论如何
[00:58] 我最近可能听到的
[01:00] 或是您各位听众朋友身边的人在聊的
[01:03] 都是FOMO
[01:04] 真的FOMO了
[01:05] 我们从三万点就说FOMO
[01:07] 到现在真的是很怕自己的绩效疏忍
[01:12] 又好怕会反转
[01:13] 手上的股票来不及卖
[01:15] 又好怕自己没有上车
[01:16] 各种的情绪
[01:18] 其实很少有人是
[01:19] 让我听到说非常满足
[01:22] 非常快乐的
[01:23] 大家的贪婪
[01:24] 在这一刻
[01:26] 突然间都被放大了
[01:28] 可能在之前还会觉得
[01:30] 稳稳的买一些ETF
[01:31] 有赚钱已经很开心了
[01:33] 可是到了今天
[01:34] 我觉得真的好多旁边的人
[01:36] 会去计较说
[01:37] 为什么今天我的股票没有涨
[01:39] 涨了快2000点
[01:41] 为什么今天我的股票
[01:42] 却是没有大表现
[01:44] 今天涨停板的加速
[01:45] 也没有我的股票
[01:47] 那当然我想主动ETF
[01:48] 还是交出了很好的成绩
[01:50] 这个也毋庸置疑
[01:51] 对不对
[01:52] 因为他们还是主导着
[01:54] 今天盘面上
[01:55] 因为今天像联发科涨停
[01:56] 日月光涨停
[01:57] 台电六个百分点以上
[01:59] 掌握了这些之外
[02:00] 再找到一些中型标股
[02:02] 那就很不得了了
[02:03] 好
[02:04] 今天这种情况呢
[02:06] 要如何来解决这个问题
[02:08] 因为我觉得
[02:10] 现在只要在题材上的
[02:11] 都是多头趋势
[02:13] 只要在题材上
[02:15] 都是多头趋势
[02:16] 那到底要追上去吗
[02:17] 还是要获利了解
[02:19] 要怎么样来克服这个阵头
[02:21] 可能会比你了解产业
[02:23] 还更加的重要
[02:24] 先来欢迎他
[02:25] 今天来的是题材猎人汉伟哥
[02:28] 大家好 各位听众朋友大家好
[02:29] 我们刚刚也在讨论
[02:32] 就是像现在的压力是什么呢
[02:34] 现在压力就变成是
[02:35] 既然我们是财经界的达人或专家
[02:37] 我们选的标的就不能输给平均值
[02:40] 会有点这样的压力
[02:43] 那可能在之前三月的气氛
[02:46] 跟现在实在差异太大了
[02:48] 三月的时候请大家买股票的时候
[02:49] 大家会觉得为什么你破月线就要买
[02:51] 现在是什么时候才能回来给我买的感觉
[02:55] 又非常非常的强烈
[02:56] 先来请教汉玮
[02:57] 其实我们先把整个大盘的局势先讲一下
[03:01] 我觉得我们两个讨论很多了
[03:03] 讨论很多了
[03:04] 但好
[03:05] 我们就先从另外一个角度好了
[03:07] 突然之间涨那么多
[03:08] 到底有没有一个大回涨的疑虑
[03:10] 或是现在有没有过热的问题
[03:12] 还是它就是一个浓浓的多头趋势
[03:15] 我们顺势操作就对了
[03:17] 但第一个
[03:18] 就是说你现在看到美股也好
[03:21] 太古也好
[03:21] 没有看到太多的败相
[03:23] 没错
[03:23] 虽然说大家会觉得说
[03:24] 这个技术面乖离过大
[03:27] 融资水位过高
[03:28] 盘面上涨停板加速太多
[03:30] 然后整个市场的气氛过度投机
[03:33] 是
[03:33] 对 种种迹象都在发生当中
[03:36] 所以大家心里面
[03:37] 就是做多人也都有一个预期
[03:39] 哪一天可能会遇到一个比较大的回答
[03:40] 是
[03:41] 所以大家在这种又害怕又担心
[03:43] 但又在创高
[03:44] 又怕赚不到钱的环境里面
[03:46] 去创高
[03:46] 所以我们要跟大家讲就是说
[03:48] 第一件事情是先不要去预设说
[03:51] 指数会涨到哪里
[03:52] 没有错
[03:52] 对因为你看到今天
[03:54] 整个大盘涨了1800点
[03:56] 是创造到史上最大的单日涨点
[03:58] 那整个四月份
[04:00] 台股已经涨了7200点
[04:01] 所以今天再加上去的话
[04:03] 代表短短可能
[04:04] 我们大概五个礼拜之内
[04:06] 台股可以涨到1万点
[04:07] 所以这样的情况里面
[04:09] 你说台股到底4万2是高点
[04:10] 还是说5万点
[04:11] 可能五月份会到
[04:12] 因为大家都四月四万
[04:14] 五月五万
[04:15] 越来越夸张
[04:17] 糟糕了
[04:18] 这个事情一传出来
[04:19] 对
[04:20] 所以我觉得
[04:21] 这个但你说
[04:22] 这个势头上面
[04:23] 你说台股会马上反转向下
[04:26] 我觉得也不用这样去说
[04:27] 这个行情会不好
[04:29] 而是说你要看到是整个
[04:31] 格局跟趋势有没有改变
[04:33] 那我们跟大家讲
[04:34] 今天台股大涨了1800点
[04:36] 其实主要都是
[04:37] 这些大全职股票的贡献
[04:38] 所以代表说
[04:39] 这个结构是没有问题的
[04:40] 因为台积电涨了6.76个百分点
[04:43] 所以今天我觉得
[04:44] 盘面上撑得上是强势股
[04:46] 是代表它涨幅
[04:47] 必须要超越台积电
[04:48] 才敢说它叫做强势的股票
[04:50] 所以台鲜都涨这么多
[04:52] 日月光刚提到
[04:53] 志邦也涨停板
[04:54] 联发科也涨停板
[04:56] 所以这些大型的全职股
[04:57] 都在网上接棒这个创高格局
[05:00] 伴随着台湾的GDP上修
[05:02] 伴随着这个四月份
[05:04] 理论上上市柜公司的营收
[05:06] 也会创下历史的新高
[05:07] 再伴随着你看到
[05:09] 这个上个礼拜相关的科技巨头的
[05:12] 资本支出都已经确定了
[05:13] 那以这个法人的报告说
[05:15] 光在美国所谓的云端的大厂
[05:19] 今年资本支出上看8000亿
[05:21] 如果加上说中国跟主权基金
[05:23] 可能今年整个全球在AI的资本支出
[05:26] 有机会上看到9000亿到1兆
[05:28] 那明年直接突破1兆2000亿以上
[05:31] 所以在这样环境当中
[05:33] 我们会跟大家讲
