[00:00] 欢迎收听赵华宇股货载第1092集
[00:09] 今天是2026年的5月7号
[00:12] 台股每一天都开始在创新高
[00:16] 在4万点的时候
[00:17] 感觉上有来回要闯关的一个味道
[00:20] 但是闯上之后就一路上
[00:23] 今天中场是上涨了794点
[00:27] 盘中也是一度让大家感觉
[00:30] 哇又是一个近千点的行情
[00:32] 不回头不回头
[00:33] 今天台股的最高呢
[00:35] 又来到了42156哦
[00:38] 也等于是从要不要挑战4万
[00:41] 变成4万2000点
[00:42] 短短几天
[00:43] 现在几千点都是短短几天可以达成的
[00:47] 那照这样的一个加速度来看
[00:49] 你说5万是不是很远
[00:51] 似乎也不是
[00:52] 但我们也常常讲
[00:53] 涨到这里
[00:54] 我们看到的所有的利多
[00:57] 好了
[00:57] 例如说美国的云端大厂的资本支出很多
[01:01] 是利多
[01:02] 还不错嘛
[01:03] 有好几家是第一季的财报就已经不错了
[01:05] 财策更乐观
[01:06] 这不错
[01:07] 对不对
[01:07] 然后台湾自己第一季的所谓的出口数据
[01:11] 外销订单
[01:12] 上市柜公司的营收
[01:13] 全部都在创历史新高
[01:14] 而且年增率非常的惊人
[01:16] 很棒
[01:16] 好
[01:16] 那现在陆续结出来的四月营收
[01:19] 这边的话
[01:20] 我觉得就大家要开始稍微小小留意了
[01:24] 因为我陆续接到的四月营收都还是很好
[01:26] 可是已经有部分一直在创新高的公司
[01:29] 会出现有越减的现象
[01:32] 加上这两天大盘在大涨
[01:34] 还有一个原因
[01:35] 就是所谓的美衣看起来是真正在和谈
[01:38] 好那真正在和谈
[01:40] 那利多是不是就已经在发酵
[01:42] 那和谈完呢
[01:43] 和谈完还有什么利多呢
[01:46] 我觉得这些是台股涨到四万两千点
[01:49] 我这边反而会开始去思考的
[01:51] 当然因为整个多头气势
[01:53] 以及台湾上面所谓AI红利
[01:55] 吃好吃满
[01:56] 产业轮动
[01:57] 像今天被动元件又起来了
[01:59] 对不对
[01:59] 休息个几天
[02:00] 让别人发威
[02:01] 他们今天国具率先掌听板
[02:03] 广宝科
[02:04] 之前不长的广宝科
[02:05] 连续两天大喷
[02:07] 就如此类的
[02:08] 个股健康轮动
[02:10] 还是台湾很厉害的一个地方
[02:12] 所以也不是说轻易的看淡
[02:14] 只是会开始思考
[02:15] 那接下来什么事情
[02:17] 可以刺激美股台股
[02:19] 甚至韩股继续往上涨
[02:21] 先来欢迎今天的来宾
[02:23] 今天来宾比较少来我的podcast
[02:25] 因为他比较容易咳嗽
[02:27] 我比较不想要虐待他
[02:29] 但他接下来有很多这方面的议题可以讨论
[02:32] 还包括一个最有趣的
[02:33] 就是我常常讲我不太会做记忆体
[02:36] 可是我们每一集都讲记忆体
[02:38] 那他又是专门之前
[02:40] 长达一整年在推记忆体
[02:42] 可是今年他不推了
[02:44] 我先来欢迎他
[02:45] 接下来的就是骨科大夫
[02:47] 容医生Eason
[02:48] 好 各位听众朋友大家好
[02:50] 我是骨科大夫
[02:51] 是要讨论咳嗽的议题吗
[02:53] 你咳嗽真的好多年了
[02:54] 我有问我的那个健身教练
[02:56] 后来他帮我找出来
[02:57] 问题是横隔膜的问题
[02:59] 不是胃也不是什么喉咙问题
[03:01] 啊你确定是横隔膜的吗
[03:03] 应该是
[03:04] 因为他教我比较
[03:05] 可以顺的那种呼吸方式
[03:07] 是
[03:08] 然后那种运动方式
[03:09] 就会让那个气会比较顺
[03:10] 所以后来就有比较不咳嗽了吗
[03:12] 对就是
[03:13] 我也要调整讲话的方式
[03:15] 就包括录节目什么
[03:16] 对
[03:17] 可能话讲太多的时候
[03:18] 就会那个
[03:19] 类似像气急攻心那种感觉
[03:22] 哦
[03:22] 所以就是
[03:24] 其实长期这样
[03:25] 就不是喉咙或是胃的问题
[03:27] 那胃食道医療也会啦
[03:29] 就吃东西吃太多的时候
[03:30] 对我们换成这个保健频道
[03:32] 是不是
[03:32] 好
[03:33] 因为谷科为什么
[03:35] 比较少拗他来上podcast
[03:37] 就是因为他真的在讲话上
[03:38] 比较容易咳嗽
[03:39] 而且是很常了
[03:40] 也跟大家聊过
[03:41] 就是介绍过自己
[03:43] 好朋友医生给他等等的
[03:44] 那有好多的观众听众
[03:46] 一听到谷科咳嗽
[03:47] 九壳未愈
[03:48] 就会有非常多的资讯来说
[03:51] 谷科可能是胃的问题
[03:52] 因为我以前怎样怎样
[03:53] 骨科可能是气管
[03:55] 骨科可能要怎样
[03:56] 其实他都做了
[03:58] 他都做了
[03:59] 那现在看起来
[04:00] 健身教练觉得是很隔膜的问题
[04:02] 大家不要
[04:03] 大家可以晚上有机会看一下骨科
[04:05] 他要去参加健身比赛
[04:08] 没有没有
[04:08] 我本来那个说是要吃到大概85公斤
[04:13] 再瘦下来瘦到77公斤
[04:14] 那我从本来大概66 67
[04:18] 吃到现在已经75了
[04:19] 重大概快10公斤
[04:21] 可是还要再重10公斤
[04:22] 我觉得有点斤
[04:23] 那我现在这种体态
[04:25] 去可能还是暂时是炮灰
[04:27] 但是他还是往这个方向在努力
[04:30] 可能再过三年去比那个长青族
[04:34] 搞不好就一举得名
[04:35] 总之很特别
[04:37] 我也是第一次听到来宾
[04:38] 已经是喜欢健身的来宾有的
[04:41] 但是已经要练到
[04:42] 希望能够参加健美比赛
[04:44] 这个我是第一个听到
[04:46] 那个职业的都要饮食要控制
[04:48] 然后一周可能要四练五练
[04:51] 对总之那个是职业的
[04:53] 我们这种业余的
[04:54] 最好是还是不要拿兴趣
[04:56] 跟人家开玩笑
[04:57] 就好像有的这个
[04:58] 我们职业就是操盘
[05:00] 或是职业在看股票的
[05:01] 当然有一定的专业度
[05:03] 好
[05:04] 谷科如果他真的去参加
[05:06] 会来通知大家
[05:07] 但我们先回到台股身上
[05:09] 台股这个比这个健身还要猛
[05:11] 简直就是一飞从天
[05:14] 那今天呢
[05:15] 涨了
[05:15] 我记得盘中涨到900多点
[05:17] 对不对
[05:18] 真的是完全没有要回头的意思
