[00:00] 欢迎收听赵怀谷破载第1093集
[00:09] 今天是2026年的5月8号
[00:12] 今天算是近期罕见的有来做比较大的洗刷
[00:17] 也不能说罕见
[00:18] 因为说之前的洗刷
[00:20] 虽然是上下洗刷
[00:21] 但后来收红的几率比较高
[00:23] 那今天的洗刷是真的盘东就杀下去
[00:25] 有一种真的长得有够多了
[00:28] 不管是载板
[00:30] 不管是CPU
[00:32] PCB记忆体等等的
[00:34] 在盘中这些我们所谓的热门题材股
[00:37] 都出现蛮大的震荡
[00:39] 或是有很多的
[00:39] 早上本来涨停板的股票
[00:41] 也盘中打开
[00:43] 但是很厉害的一点是
[00:45] 因为我也不确定
[00:47] 到底有人说是
[00:48] 政府在这个时间点
[00:49] 会有很用力的一只手撑着
[00:51] 还或者是
[00:53] 很多人看了这一段上来
[00:55] 内心都会觉得
[00:56] 有跌就要减
[00:56] 有跌就要减
[00:57] 就马上进去了
[00:59] 所以这个盘中的震荡
[01:01] 虽然一路的下杀
[01:02] 但马上就V起来
[01:03] 马上就V起来
[01:04] 中场是下跌329点
[01:06] 你说这样的下杀幅度多不多
[01:09] 当然是不多
[01:10] 因为只跌不到一个百分点
[01:12] 那韩股甚至还拉回收红
[01:14] 所以可见着
[01:16] 以这个科技为主的台湾
[01:18] 韩国
[01:19] 我们还是在一个
[01:20] 非常抗跌的状态
[01:22] 那昨天晚上
[01:22] 当然就是有一个事情
[01:23] 就是本来我们讲说
[01:25] 美伊看来是确定要和谈
[01:27] 但又开始零星开打
[01:28] 不过这件事情
[01:30] 它再严重
[01:31] 也不会比刚开打严重
[01:32] 它再快乐
[01:34] 也不会比前两天说
[01:36] 确定要和谈快乐了
[01:37] 这件事情我看就这样子
[01:39] 是一个比较定案的状况
[01:40] 但大家现在呢
[01:42] 还是一样要问
[01:43] 已经到昨天
[01:44] 都摸到四万两千点了
[01:46] 那今天也只是
[01:47] 最后跌了三百多点
[01:48] 也没什么啦
[01:49] 但是这个盘中震荡起说的时候
[01:51] 我想今天又是给大家一个考验
[01:52] 到底在盘中
[01:54] 看到杀下去的时候
[01:55] 大家的想法是什么
[01:57] 做法是什么
[01:57] 后面拉起来你是想
[01:59] 幸好我刚刚真的有勇敢
[02:01] 还是说
[02:02] 你看就只有跌下去
[02:04] 可以捡的机会
[02:05] 就那么一下子
[02:06] 我都没捡
[02:06] 我们不管怎样
[02:08] 就要对自己的投资策略
[02:10] 有所信心
[02:11] 先来欢迎今天的来宾
[02:12] 上个礼拜五
[02:13] 他有特地讲
[02:14] 我们有把所有的热门产业
[02:16] 再数了一遍给大家听
[02:18] 如果以这个礼拜来看
[02:19] 都几乎是全数上涨的
[02:21] 到这个位阶
[02:23] 那下礼拜呢
[02:24] 先来欢迎他
[02:24] 就是我们礼拜五的
[02:25] 几乎是固定嘉宾
[02:27] 黄峰凯凯哥
[02:28] 超好
[02:29] 各位听众大家下午好
[02:31] 大家很多人非常喜欢听凯哥讲产业
[02:34] 那我觉得我这边换个角度
[02:36] 讲好了
[02:37] 我们先不讲整个大方向
[02:38] 我们先讲凯哥
[02:40] 最近你在拜访公司的时候
