[00:00] 欢迎收听赵华与古货在地1096集
[00:09] 今天是2026年的5月13号
[00:12] 今天台股终于跌了
[00:14] 也不是说都不会跌啦
[00:17] 但前几天呢
[00:18] 它的震荡
[00:19] 虽然是上下大概都有91000点
[00:21] 但最后通常跌的不多
[00:23] 今天盘中跌的算比较多一点
[00:25] 尤其是昨天如果看夜盘
[00:27] 夜盘有一度跌到900多点
[00:29] 就是近千点
[00:30] 我想说终于有一点像样的叠点出现了
[00:34] 那因为昨天是公布了所谓的CPI
[00:38] 这个消费者物价指数
[00:40] 那也不是很意外啦
[00:42] 因为三月的时候
[00:43] 我们就是面临到了这个美伊战争嘛
[00:46] 油价暴涨啊
[00:47] 所以三月的CPI势必应该是要往上跑的
[00:50] 3.8%比起在上一个月的3.3%
[00:54] 是明显的增长
[00:55] 我想大家都会有点担心的是
[00:58] 到底我们涨到这里
[00:59] 美股也在喷
[01:00] 费办在喷
[01:01] 台股在喷
[01:02] 喷啊喷啊
[01:03] 一定会有个什么事情
[01:04] 要踩点刹车的
[01:05] 对不对
[01:06] 通膨是一个
[01:07] 不能算是黑天鹅
[01:08] 应该算是灰犀牛
[01:10] 或是说
[01:10] 有点半育之道的
[01:12] 就是通膨有可能会杀伤
[01:13] 基金的成长率
[01:14] 这是一个
[01:15] 但如果既然是
[01:16] 以知之事实
[01:18] 那它是不是
[01:19] 会有严重的杀伤力
[01:21] 我想今天的台股韩股
[01:22] 就表现了相当大的抗性
[01:25] 好
[01:25] 今天我们中场只下跌了523点
[01:27] 中间有个很好用的工具
[01:29] 叫做台积电
[01:30] 因为台积电这段时间
[01:32] 没有随着大盘创高
[01:33] 但是你拉它一下
[01:35] 加上我们讲的产业都在轮动
[01:37] 大哥轮流做
[01:39] 二哥也轮流做的情况下
[01:41] 台股就显着是一种
[01:43] 有点跌不下去
[01:44] 我们来宾刚刚有形容
[01:46] 叫互相抵消
[01:47] 那韩股今天猛哦
[01:48] 韩股开低走高
[01:49] 中场是收涨的
[01:51] 好 我先来欢迎今天的来宾
[01:52] 今天来宾是我们的
[01:54] 型男股神 威亮哥
[01:55] 大家好
[01:56] 大家好
[01:57] 今天是不是本来在盘中
[01:58] 其实我有在想说
[02:00] 如果跌到1000多点我要捡东西
[02:02] 可是又没有
[02:03] 台股有一点点就是你刚有提到
[02:06] 互相抵消的概念
[02:08] 那这样互相抵消的概念
[02:09] 是不是我们只要有遇到跌
[02:11] 我们就要勇敢一点了
[02:12] 其实很好玩
[02:13] 我观察就是说
[02:15] 亚洲股市最猛的
[02:16] 就是刚才提到
[02:17] 韩国股市跟台湾股市
[02:18] 因为这两个市场
[02:20] 大概就是全球公认
[02:22] 吃AI商机最主要的两个股市
[02:25] 大概去年以来呢
[02:26] 韩国股市已经涨了超过两倍
[02:28] 那台股呢是涨幅接近一倍
[02:30] 但是我觉得
[02:31] 我们的内容跟结构不太一样
[02:33] 韩国股市可以说就是呢
[02:35] 非常集中的看就是
[02:37] 三星跟海力士的脸色
[02:39] 那当然台湾大家也知道说
[02:41] 有超级大的户口神山台积电
[02:43] 可是问题就在
[02:44] 有观察到最近这一段期间
[02:46] 其实台积电已经慢慢的就是呢
[02:48] 休息了
[02:48] 但是呢
[02:49] 取而代之的新神山很多
[02:52] 包括像联发科
[02:54] 包括像连电日月光
[02:56] 其实都有轮番上攻
[02:58] 那台湾的次族群也很多很多
[03:00] 所以其实呢
[03:02] 当记忆体如果很好的时候
[03:03] 那韩国股市的爆发力会特别猛
[03:06] 但是如果一旦记忆体
[03:08] 涨多休息震荡的时候
[03:09] 韩国股市呢
[03:10] 它的回挡的力道
[03:11] 相对也会更明显一些
[03:13] 但台股就是
[03:15] 有点属于族群百花齐放
[03:18] 像现在呢
[03:19] 可能一下子轮到被动元件
[03:21] 那一下子呢
[03:22] 可能又轮回到一些载板PCB
[03:26] 但是可能像今天的CPU就不太好
[03:28] 所以台湾其实有很多很多
[03:30] 不同的族群
[03:31] 有的是在跟美股联动
[03:33] 有的在跟日韩股市联动
[03:34] 那这个就会慢慢形成
[03:36] 就是说我们现在在4万多点以上
[03:38] 当然不太容易说出现重挫
[03:41] 因为毕竟台积电的成长性
[03:43] 就是摆在那边
[03:44] 它可以先稳住指数
[03:45] 让指数不至于说有大跌的风险
[03:48] 但是现在要往上攻
[03:49] 好像也有点难一点
[03:51] 因为不同的族群
