[00:00] 欢迎收听赵华依古惑仔第10101集
[00:09] 越来越难念了
[00:11] 今天是2026年的5月20号
[00:13] 520对很多人来说意义各自不同
[00:15] 当然今天大家可能会有点关注
[00:18] 就是所谓的赖总统发表的演说
[00:20] 但我看到更多人是跑到这个户政事务所登记结婚
[00:25] 希望选520这个谐音
[00:27] 那也许在今天也是很多人就趁着谐音梗
[00:31] 可以去跟身边喜欢的人做告白的日子
[00:33] 都有
[00:34] 但台股怎么样呢
[00:35] 当然台股这几天是比较辛苦一点的
[00:38] 今天开盘的时候觉得还蛮猛的
[00:41] 似乎很希望在520这一天收一个红盘
[00:44] 不过最后因为呢
[00:46] 韩国先开始跌
[00:47] 韩国跌就是这个韩媒社
[00:49] 他们的媒体就公布了
[00:51] 三星还是决定明天要罢工
[00:53] 不是啊
[00:55] 三星要罢工
[00:56] 到底跟我台股
[00:57] 有这么重大的关系吗
[00:58] 但不管了
[00:59] 韩股往下杀
[01:00] 我们也就往下杀了
[01:01] 所以中场我们今天
[01:03] 还是下跌了154点
[01:05] 勉勉强强
[01:06] 守在40,020点的大关门前
[01:11] 当然4万点
[01:12] 它是不是一个
[01:13] 非常重要的意义
[01:14] 不一定
[01:15] 当然4万点是整数关卡
[01:17] 往上攻的时候
[01:18] 要过整数关卡
[01:19] 可能有点辛苦
[01:20] 往下的时候
[01:21] 4万点能不能够
[01:23] 是一个支撑
[01:24] 它可能不一定
[01:25] 是一个意义上的
[01:27] 但是可能还是以均线为主
[01:29] 今天我们还是一样
[01:30] 是在月线下方
[01:32] 就不是一个很好的现象
[01:33] 不过呢
[01:34] 我们也常讲
[01:35] 台湾在这一波的AI红利
[01:37] 是吃好吃吗
[01:38] 今天来宾比较特别
[01:39] 他之前都没有来上我的podcast
[01:42] 他自己有一个podcast
[01:44] 叫小朋友学投资
[01:47] 大家可能多多少少
[01:48] 在这个投资理财的路上
[01:50] 也有听过他的频道
[01:51] 我先来欢迎他
[01:52] 我先来欢迎他
[01:53] 他就是小朋友学投资的布鲁
[01:56] 哈喽 赵华
[01:57] 哈喽 亲爱的朋友大家好
[01:58] 我是小朋友学投资的布鲁
[01:59] 我好像第一次
[02:00] 请另外一个Podcaster来上
[02:02] 我有来上过一次
[02:03] 有吗 什么时候
[02:04] 很少了
[02:05] 就是刚开始来上节目的时候
[02:06] 应该有上过一次
[02:07] 我们跟小朋友学投资
[02:10] 是很有趣的缘分
[02:11] 有渊源的
[02:12] 对 当然后面
[02:13] 大家有各自各奔东西
[02:15] 各自的理想这样子
[02:16] 有你 有爱德恩
[02:18] 怎么这样讲
[02:18] 好像分手了一样
[02:19] 一开始是疫情的期间
[02:23] 对耶
[02:24] 对
[02:24] 然后很快就是我们
[02:26] 那时候你们三位来嘛
[02:27] 然后我们聊一聊
[02:28] 就很快觉得说
[02:29] 清新的面孔
[02:31] 很适合在当时的财经环境下面
[02:33] 有一些新的做法
[02:34] 所以我们也派出了
[02:35] 年轻漂亮的主播
[02:37] 我都快忘记这个part了
[02:38] 年轻漂亮的两位主播都走了
[02:41] 都走了
[02:41] 一个严杰一个嘉轩
[02:43] 希望不是因为跟我们合作以后
[02:45] 所以就都走了
[02:46] 一个配布鲁
[02:47] 一个配爱德恩
[02:48] 录了一些
[02:49] 希望大家入门理财的小短片
[02:51] 对对对
[02:52] 然后很快就又疫情
[02:53] 很快的两位漂亮女孩走了
[02:55] 然后小朋友学投资也日渐的壮大
[02:58] 那爱德恩也成立了他的资产公司
[03:00] 对
[03:00] 很有趣
[03:02] 那现在布鲁是
[03:03] 我们有两个身份
[03:05] 一个就当初的结缘
[03:06] 一个是后来我们在台大EMBA
[03:08] 就是我先念
[03:09] 布鲁后面去念
[03:10] 因为最近翠上面
[03:11] 很多人在批评这件事情
[03:13] 这好像时不时的就会出现一下
[03:15] 好没事
[03:16] 这个我们等一下再聊
[03:17] 因为我还是深深的觉得
[03:19] 念这个台大的EMBA
[03:21] 给我人生非常多的帮助
[03:22] 那大家觉得
[03:24] 什么花大钱
[03:25] 社交什么的
[03:26] 真的要花钱
[03:27] 但是得到的帮助
[03:29] 恐怕不是大家会觉得
[03:30] 那么那么肤浅的
[03:32] 对
[03:33] 就到了变成学姐以后
[03:34] 就多了一层
[03:35] 说不出的亲切感
[03:37] 但是呢
[03:39] 刚忘了讲
[03:40] 不如在我们理财答案秀
[03:42] 有一个封号
[03:42] 叫外资补手
[03:44] 对不对
[03:45] 然后因为他有酒窝
[03:46] 所以我以前有一些
[03:47] 女性的姐妹
[03:49] 讨好朋友
[03:49] 就跟我说
[03:50] 那个人是谁
[03:51] 他长在我的审美上
[03:52] 我最喜欢他那个咪咪眼油酒窝
[03:55] 好 题外话啦
[03:57] 我们还是回到你
[03:58] 外资捕手的身份上面
[03:59] 布鲁士以前有在外资的交易室
[04:03] 对不对 待过
[04:04] 对 不同位置
[04:04] 但是交易室待最久
[04:05] 是
[04:06] 大概外资的经历多长
[04:08] 大概十年
[04:08] 因为外资的交易员跟业务
[04:12] 都是在交易室里面
[04:13] 那这可能就占了其中的七八年这样
[04:16] 是
[04:17] 好 所以对于外资
[04:18] 他常常来理财答案秀
[04:20] 就是解析外资到底写正份报告要干嘛
[04:23] 所以等一下我们一会儿也好好聊聊
[04:26] 因为今天台股市首四万
[04:28] 但是是不是这个通膨的疑云
[04:30] 供贷值利率的飙升
[04:31] 美股科技股的压力就此可以告终呢
[04:34] 我真的说实话不确定
[04:36] 因为我们常常讲预测归预测
[04:37] 我们要有对策嘛
[04:38] 但是今天我们也看到
[04:40] 例如说小摩就有喊台股市上看五万点的
[04:43] 这个五万点可能就很有玄机
[04:45] 以及前一阵子我想最夯的联发科
[04:48] 一旦被外资讲目标价5000
[04:50] 真的是从来没看过联发科
[04:52] 可以连续喷涨停
[04:53] 喷到被关
[04:54] 对
[04:55] 大立光外资也说要3000多块钱
[04:58] 3700多块钱
[04:59] 那台积电开完法说会后
[05:01] 也有外资把目标价调到3000块钱
[05:04] 我们就轮流来讲好了
[05:05] 因为现在的盘面
[05:06] 大家信心又开始有点流失了
[05:08] 所以我们要相信外资看的
[05:11] 台股五万点吗
[05:12] 还是你有其他的观测方式
[05:14] 我觉得外资的报告
[05:16] 我先讲我通常喜欢怎么观察这件事好了
[05:19] 因为我们会常看到
[05:20] 外资又上修
[05:22] 上调发什么报告
[05:23] 那通常呢
[05:25] 你看市场的资金嘛
[05:26] 因为我很喜欢看金流
[05:27] 讲金流
[05:28] 因为很多时候我们讲筹码
[05:30] 你可能会比较
[05:31] 不知道那到底筹码是谁
[05:33] 可是金流就很明确嘛
[05:34] 你很多成交的钱
[05:36] 大涨它就是金流流进嘛
[05:39] 那我就喜欢看说
[05:40] 外资一直上调
[05:41] 股价会反应吗
[05:43] 例如说最近外资一直上调
[05:46] 例如说被动元件
[05:48] 股价真的持续在反应
[05:50] 这代表市场上的资金是积极
[05:53] 并且愿意去追逐这件事情的
[05:55] 真的到你那盘市很不好的时候是
[05:57] 外资你怎么发
[05:58] 就是造跌
[05:59] 就大家俗称的
[06:01] 为什么外资发报告
