[00:00] 欢迎收听赵华谀古货载第1102集
[00:09] 今天是2026年的5月21号
[00:13] 哇这个辉达财报公布了
[00:16] 即使辉达本身并没有反映在他的股价上
[00:19] 但是他反映在全体AI的信心上
[00:23] 今天台股盘中大涨超过1500点
[00:28] 哇这个1500点把前几天连四黑
[00:31] 吃掉了一大半
[00:33] 吃掉了一大半
[00:34] 真的叫气势如虹哦
[00:36] 这个点数猛喷
[00:37] 当然今天的量呢
[00:39] 还是有一点点没有跟上
[00:40] 我想这个很正常
[00:41] 前几天大家的心情
[00:43] 都已经有点陷入到悲观了
[00:45] 但今天这样一涨
[00:47] 上涨的涨停加速有超过104家
[00:51] 几乎所有的族群都在遍地开花
[00:54] 今天我看了一下我的库存
[00:56] 也是一个古代全红日
[00:58] 就几乎库存里面
[01:00] 看不到绿色
[01:01] 那么猛
[01:02] 到底是已经危机
[01:04] 就在这几天化解了呢
[01:06] 还是说
[01:06] 有可能会像三月份一样
[01:08] 其实三月份也有过这样子
[01:10] 大家还记得吗
[01:11] 破月线了
[01:12] 对不对
[01:12] 破月线了
[01:13] 可能先不见一点部位
[01:14] 可是后来川普就自己喊
[01:16] 说这个跟伊朗已经和谈了
[01:18] 大喷特喷
[01:19] 过两天发现
[01:20] 没有和谈
[01:21] 没有真和谈
[01:22] 伊朗不承认
[01:23] 对不对
[01:23] 然后又跌下去
[01:24] 来回喜之后才上去
[01:26] 那这次呢
[01:27] 会不会有什么不一样的想法
[01:28] 我们先来欢迎今天的来宾
[01:30] 非常的应景
[01:31] 非常适合今天出现
[01:33] 就是我们的AI达人明汉哥
[01:36] 赵华好
[01:37] 听众朋友大家好
[01:38] 你到底是希望来的时候大跌
[01:40] 还是来的时候大涨
[01:41] 其实都有
[01:43] 我觉得蛮刺激的
[01:44] 对比而言来讲
[01:45] 我觉得大跌可能会再好一点点
[01:48] 因为我觉得大跌相对来讲
[01:49] 第一我觉得投资机会
[01:51] 第二呢
[01:52] 刚好这个投资人比较
[01:53] 需要信心
[01:55] 对需要信心
[01:55] 或不知道怎么做的时候
[01:57] 可以跟大家多分享
[01:58] 是但很不幸的
[01:59] 今天一来就大涨
[02:01] 其实我也有点小意外
[02:03] 因为前一天我记得是这个Google
[02:05] 对不对
[02:05] 这个产品开发大会
[02:07] 那本来也希望Google
[02:08] 可以再添一些柴火
[02:10] 但是看来整体的气氛不是很好
[02:12] 不过我那时候也有提到一件事情
[02:14] Google其实涨在前面
[02:15] 它前面涨一大段了
[02:17] 那新产品开发两个事情
[02:18] 一个Gemini的进化
[02:20] 还包含了很多软体的运用
[02:22] 还有Google眼镜
[02:23] Google的Google Glass
[02:25] 是最早的一代AI眼镜
[02:26] 当时没有怎么想
[02:28] 大鸣大放
[02:29] 没有普及
[02:29] 那现在在推陈初心
[02:31] 结合Gemini越来越成熟
[02:34] 可能就会有普及化的机会了
[02:36] 所以在Google的软硬结合上面
[02:38] 我们觉得AI这件事情的发展
[02:41] 毋庸置疑而辉达的财报
[02:42] 我想肯定是告诉大家
[02:45] 就算我没有去卖到中国
[02:48] 就算大家觉得我的付出
[02:50] 可能会受到困难
[02:52] 我依旧绞出一个非常惊人的
[02:55] 年增率极高的财报
[02:57] 好我们讲这个
[02:59] 刚刚提到两个重点
[03:00] 第一个讲这个
[03:01] Google开发者大会
[03:03] 其实没有太大激励的作用
[03:06] 其实比较重点
[03:07] 应该说在这个开会前
[03:09] 大家几乎能猜的都猜到
[03:11] 所以没有什么
[03:12] 特别惊艳之处
[03:14] 当然其实也不是说
[03:16] 这个了无新意
[03:17] 应该说还是
[03:19] 对比来讲
[03:20] 每年真的都有蠻
[03:22] 對於AI的進程都有蠻明顯的進展
[03:25] 只是在會前幾乎都被拆到
[03:28] 那畢竟呢
[03:29] 四月以來這個科技族群都漲蠻多了
[03:32] 那你沒有太大亮點
[03:33] 自然就沒有辦法有效的激勵股價
[03:37] 回過頭來
[03:38] 我這個回答的財報
[03:40] 雖然說財報過後
[03:43] 看起來股價是也一樣
[03:45] 沒辦法受到激勵
[03:46] 甚至我覺得
[03:47] 結論就我個人而言
[03:50] 直接讲结论就是财报真的是非常棒
[03:53] 应该这样讲
[03:54] 就我们以台积电的财报来讲
[03:59] 可以说表现很好
[04:01] 跟以前过往经验真的要大涨
[04:03] 通常都要用经验的角度下去看
[04:06] 我个人觉得以辉达这次财报
[04:09] 就可以套用经验
[04:10] 我觉得是可以套用经验
[04:13] 但是股价
[04:14] 我常常讲股价跟基本面
[04:16] 不代表能够马上去做反应
[04:21] 因为盘后的部分来讲
[04:23] 股价并没有往上
[04:24] 甚至稍微震荡拉回
[04:26] 那我个人觉得
[04:27] 我还是要提醒大家
[04:29] 长期而言
[04:30] 要在股市中获利
[04:32] 你一定要养成一个习惯
[04:34] 就是不要看图说故事
[04:36] 不要因为它跌了
[04:38] 就说其实它不好或怎样
[04:40] 其实数字会说话
[04:42] 为什么说经验
[04:44] 结论来讲就是
[04:45] 不是说他的财报数字
[04:48] 或展望数字有多厉害
[04:50] 当然他跟台积电这次的法说不同
[04:53] 是说台积电的数字
[04:55] 大家本来就给一个很严苛的标准
[04:58] 给一个相对来讲
[05:00] 一个无法达到的一个标准
[05:03] 最后他刚好摸到
[05:05] 所以应该说他那个数字非常棒
[05:08] 但是是在大家猜测的预期当中
[05:10] 但是挥达几乎他的数字
[05:13] 都是比预期的这个区间还要更高
[05:16] 我觉得这还只是一点
[05:17] 另外一点当然包含股力增加
[05:20] 或公司要回购相关的股票
[05:24] 我觉得这个都是一个加分之外
[05:26] 另外一个他就是告诉你
[05:28] 这个财报或展望的部分
[05:30] 完全没有加入中国这个市场
[05:34] 中国市场是零
[05:36] 原本这个目前前一段时间
[05:38] 这个川习会
[05:40] 当然有提到说H200要开放
[05:43] 结果最后又回马枪
[05:45] 就是中国的部分
[05:46] 看起来还是不开放
[05:48] 不愿意买
[05:48] 对 原本看起来是利空
[05:50] 但是现在就告诉你
[05:51] 他们家本来
[05:52] 从头到尾就没有把这个
[05:53] 加在里面
[05:54] 所以就是要告诉大家
[05:56] 未来要有一个习惯的
[05:58] 这个概念就是
[05:59] 这个所谓的挥达金片
[06:02] 就是不包含中国市场
[06:04] 那代表着就是
[06:05] 未来没有中国市场
[06:06] 代表不是利空
[06:07] 未来如果有中国市场
[06:10] 那就是很顯著的利多
[06:11] 那就是把這個標準明顯的往下放
[06:15] 所以我覺得這是正向的
[06:16] 除此之外
[06:18] 我覺得最最最重要
[06:19] 前面聽聽就好
[06:21] 他有個最重要的主軸
[06:22] 明顯的不同
[06:23] 告訴大家
[06:24] 他的AI的結構已經明顯的轉變
[06:27] 因為以前我們一直在講
[06:28] 就是四大雲端業者
[06:30] 我常常講四大雲端業者
[06:32] 只要資本支出增加
[06:34] 未來就有兩個動作
[06:35] 第一個就是
[06:36] 揮打的晶片就是在排隊
[06:39] 第二件事情就是灰達晶片要賣出去
[06:42] 就必須要台積電做晶片
[06:44] 回到台灣的這些供應鏈
[06:47] 散熱PCB到下面的組裝
