[00:00] 欢迎收听赵华与古货载第1105集
[00:09] 今天是2026年的5月26号
[00:12] 今天的台股稍微稍微有点空温了
[00:16] 其实外面天气真的非常热
[00:18] 昨天晚上美股没有开盘
[00:20] 然后我在家看夜盘
[00:21] 通常美股没有开盘
[00:23] 台股的夜指期会比较怎么样
[00:26] 清淡一点
[00:27] 就昨天就涨了500点
[00:29] 就昨天的夜盘
[00:30] 我就想说
[00:31] 白天的能量
[00:32] 可能到晚上
[00:33] 都还没有办法
[00:34] 完全释放掉
[00:35] 不过到今天早上
[00:37] 日盘开盘
[00:38] 就显得比较冷静些了
[00:40] 甚至盘中有一度下杀
[00:41] 把这个量预估量
[00:43] 我的APP
[00:44] 有显示到
[00:45] 几乎是1.7兆这么大
[00:47] 我就想说
[00:48] 这样不太好
[00:49] 下杀的时候爆量
[00:51] 好像大家对于居高
[00:53] 有一点思维的味道
[00:54] 不过中场下跌了119点
[00:57] 而量能以上是来说
[00:58] 是控制在这个1.5兆以内
[01:00] 贵马也还好
[01:02] 就控制在3000亿以内
[01:03] 所以量能看起来并没有失控
[01:06] 但今天上冲下洗的味道很重
[01:08] 不过盘面上还是有80几档的股票涨停板
[01:12] 说不好吗
[01:13] 也没有太不好
[01:14] 有一些跌的比较重的
[01:15] 包括像今天因为国巨大哥被关了
[01:18] 整体被动元件大回挡
[01:20] 但尾盘有好几档都拉上来
[01:23] 这个腰骨和身膛甚至还拉到快涨9个百分点
[01:27] 这也是很神奇的一个现象
[01:29] 那还有就是
[01:30] 细光子今天有回升
[01:31] 对不对
[01:32] 记忆体今天有回升
[01:33] 所以台股还是有呈现
[01:35] 有人休息
[01:36] 就会有人接棒的一个态势
[01:38] 不能说是不健康
[01:40] 可是震荡大
[01:42] 难免大家也会去思考
[01:43] 要怎么样停利
[01:44] 还是有没有可能回四万点
[01:46] 到底为什么台积电不涨
[01:47] 今天的这些问题
[01:49] 我看到有听众留言说
[01:52] 最喜欢这位达人来上节目了
[01:54] 因为我们会形成一个
[01:56] 双重奏
[01:57] 碎碎念双重奏
[01:59] 先来欢迎他
[02:00] 就是AI达人明汉哥
[02:02] 造化好
[02:03] 听众朋友大家好
[02:04] 我就跟这个听众开玩笑说
[02:06] 对因为我碎念
[02:07] 碎念到一半的时候
[02:08] 就看到明汉哥的脸
[02:09] 他已经准备
[02:10] 满腔的画
[02:12] 要准备接画了
[02:14] 好不过我们先来讲今天的盘式
[02:16] 因为上一个礼拜来
[02:17] 我们也聊到
[02:18] 真的涨得很急
[02:19] 然后回档才回一下下就上来了
[02:21] 所以今天的震荡
[02:23] 伴随着其实
[02:24] 还是有点放量出来
[02:26] 在这个地方
[02:27] 是不是又会产生
[02:28] 比较巨大的洗刷
[02:30] 有可能再回测4万吗
[02:32] 这样讲
[02:33] 其实我也不太
[02:35] 应该对我而言
[02:36] 就像刚刚赵娃提到
[02:38] 昨天晚上夜盘大涨
[02:39] 我是很意外
[02:40] 对啊
[02:40] 因为我昨天就讲了
[02:43] 昨天就是一日行情
[02:44] 今天震荡是非常正常的事情
[02:46] 为什么
[02:47] 因为先了解一下
[02:49] 昨天为什么大涨
[02:50] 已经两根
[02:51] 昨天居然有办法出现第三根
[02:53] 那当然绝对不是旧文
[02:55] 就是很简单
[02:56] 就是美伊的这个协谈
[02:58] 那赫姆斯海峡要开放
[03:00] 代表三月的整个闹剧
[03:03] 完全要结束
[03:04] 那昨天我的定义很简单
[03:06] 就是昨天那个就是最后的利多
[03:09] 这怎么说
[03:11] 最后啊
[03:11] 对最后的利多
[03:12] 简单的演说
[03:13] 未来你不可能再靠中东战火
[03:15] 去激励股市了
[03:16] 因为你要记得一件事情
[03:18] 就是如果今天在中东战火
[03:20] 它是在持续下跌
[03:21] 在昨天出现那个新闻
[03:23] 代表着后面会有一个非常长的波段
[03:26] 可是故事不是
[03:27] 三月底没多少
[03:29] 四月就近快速喷出
[03:30] 早就已经创高了
[03:32] 所以代表整个中东的战火
[03:34] 表示本来对股市就没有太大的压力
[03:37] 就是减单元都已经利空顿化
[03:39] 但是到最后
[03:41] 还有没有利空
[03:42] 有 唯一的最后利空就是油价
[03:45] 因为油价一直维持在很高的水位
[03:47] 你可以看到
[03:49] 美国的通膨数据都上来了
[03:51] 中间曾经通膨数字不如预期
[03:54] 科技类股确实台股都有跌
[03:56] 代表这个是真的利空还在
[03:59] 昨天出现的现象
[04:01] 就是告诉你赫姆斯海峡要打开了
[04:04] 代表油价要开始回落了
[04:06] 代表昨天一次就把这个利多给反映了
[04:09] 那再来要等什么
[04:12] 就等美股的角度
[04:13] 可是没想到因为昨天美股休市
[04:16] 所以代表着你是
[04:17] 今天本来就不该涨
[04:19] 那所以今天震荡整理
[04:21] 小涨小跌
[04:22] 我觉得都是合理的
[04:24] 所以今天小幅开高
[04:25] 最后小幅收低
[04:27] 我觉得都是合理
[04:28] 可是我也不太了解
[04:29] 为什么昨天夜晚可以
[04:31] 涨500点
[04:31] 对啊
[04:32] 有这么大的激情
[04:33] 我也老实讲
[04:34] 我也搞不太清楚
[04:35] 就白天的那种买利
[04:36] 好像没有办法宣泄这样子
[04:37] 对
[04:37] 我会觉得其实
