[00:00] 欢迎收听赵华语古惑仔第1107集
[00:09] 今天是2026年的5月28号
[00:13] 盘越来越震荡了
[00:15] 今天盘中有创下历史新高44954
[00:20] 也就是只差一咪咪
[00:22] 我们就要摸到四万五千点
[00:24] 但随即而来的就是上冲下袭展开
[00:28] 今天上市上柜量也是将近两兆
[00:31] 大量的洗刷有好有坏
[00:34] 为什么大量往上走
[00:35] 自然是买牌非常强劲
[00:37] 但今天收了一个长长的黑K
[00:40] 有上影线也有下影线
[00:42] 今天盘中的震荡超过1500点
[00:45] 以目前的指数位置来说
[00:48] 震荡1500点也还好
[00:50] 但是大家难免会有
[00:52] 如果追在比较高档的时候
[00:54] 体感温度就自然比较差
[00:56] 但再加上爆量
[00:57] 刚刚讲的上市加上柜
[00:59] 现在动辄是逼近两兆元
[01:01] 要记得如果今天是一路杀
[01:04] 杀破1000点
[01:05] 把这个前几天的低点都给破了
[01:07] 又伴随大量
[01:08] 那就不太妙了
[01:09] 因为前两天都是超大量
[01:11] 我们总不能是一堆超大量的套牢量
[01:14] 对不对
[01:15] 不过今天很猛的是
[01:17] 我们最后尾盘有收缴
[01:18] 中场收跌620点
[01:21] 守在五日均线之上
[01:23] 这些如果以技术形态来看
[01:25] 都是有它的意义在
[01:27] 但是我想对于一般的投资朋友
[01:29] 难免心慌慌
[01:30] 可能早上高上去的时候
[01:33] 觉得我又可以赚钱的一天
[01:35] 开开心心
[01:35] 尤其是台积电先领军
[01:37] 因为台积电其实前几天完全没有过高
[01:40] 都在整理
[01:41] 但今天台积电虽然有过高
[01:43] 有到所谓的2360
[01:45] 但尾盘也是杀下来的
[01:46] 这几天都有去跟大家分享
[01:49] 台积电的分红的争议
[01:51] 究竟告一段落了没有
[01:53] 为董事长对外的一些说法
[01:55] 有没有办法取得大家对于台积电的安稳
[01:58] 其实昨天夜盘台积电ADR表现是好的
[02:00] 好我们今天到底这样子该怎么做
[02:04] 我们也不能说今天有真正很大的利空
[02:05] 盘中当然有提到伊朗有重新对美国宣战
[02:10] 但这个宣战如果以今天的震荡来说
[02:13] 它也不能算是一个非常严重的事情
[02:16] 可见的市场对于战争并不是那种说完了
[02:19] 又来了然后就狂崩的一个状态
[02:22] 先来欢迎今天的来宾
[02:23] 今天来宾是我们的冠军操盘手云翔哥
[02:26] 大家好
[02:27] 云翔哥你今天做了什么样的事情
[02:30] 我们在十点之前还开开心心
[02:32] 十点之后安安静静
[02:34] 其实今天坦白讲
[02:37] 我在尾盘是加仓
[02:40] 你尾盘进去买
[02:42] 对对尾盘是加仓
[02:44] 因为总体来讲
[02:46] 我觉得说我还是比较偏向这个
[02:49] 因为市场其实现在来讲
[02:52] 當然這個漲勢太兇猛了
[02:54] 我倒覺得說目前只是一個
[02:58] 我們講說乖離真的是過大
[03:01] 因為勢必得要稍微修正
[03:03] 可你發現說其實離月線還有一段距離
[03:06] 所以以現在來講
[03:08] 你看到的黑K
[03:09] 坦白講我認為還正常
[03:11] 今天當然會有1000多點的黑K
[03:16] 也是因為說今天當然又開高
[03:18] 事实上在尾盘只收黑了大概600多点
[03:23] 其实你要想说现在4万多点
[03:24] 收黑600多点只有1点多吧
[03:26] 最主要就是说
[03:28] 如果还能收下影线
[03:30] 我倒觉得说
[03:31] 总体来讲还是有一点换手
[03:33] 而且就感觉尾盘
[03:35] 还是有一个相当大的买盘力道
[03:37] 把它拉上去
[03:38] 对对对 还是有
[03:38] 就是你啊
[03:39] 你不是说你尾盘有进来吗
[03:41] 我还好啦
[03:43] 可是就以现在来讲
[03:45] 你会发现现在的量
[03:48] 我们之前有讲过
[03:49] 这个量如果没有过一兆以上
[03:53] 基本上是不容易再创高
[03:54] 确实你会发现从创高
[03:56] 从一兆一兆二到一兆五
[03:59] 今天接近一兆六
[04:00] 以这样的一个量人来讲
[04:03] 我们讲说这是一种
[04:04] 所谓的资金推挤的一种盘式
[04:07] 其实这种盘式可能很多人
[04:09] 大概还没见过
[04:12] 原因是比较年轻
[04:13] 像我们这个年纪有一点了
[04:16] 事实上在过去
[04:17] 确实这种资金推几盘
[04:19] 我是见过
[04:20] 是
[04:21] 对
[04:21] 就是说你去推
[04:23] 你去推之前大概1989年
[04:25] 是
[04:26] 对
[04:26] 那时候台股在第一次
[04:29] 要喷万点的时候
[04:30] 你会发现说整个市场
[04:32] 大概只有400多只股票
[04:33] 问题这个量已经冲到大概千亿
[04:36] 也就是说你用1000亿去分配
[04:38] 那400只
[04:38] 你会发现说
[04:40] 每只股票基本上
[04:41] 大概你都怕抢不到
[04:42] 这味道有点像
[04:43] 现在你会发现
[04:44] 哇不得了
[04:45] 这个全脂股
[04:46] 怎么会连全脂股都抢到涨停
[04:48] 对
[04:49] 所以类似这样的一个盘式
[04:50] 我倒觉得说
[04:51] 以目前只要量能不急速萎缩掉
[04:54] 那我觉得说
[04:55] 这个震荡是难免的
[04:57] 对
[04:57] 好
[04:58] 因为有一次我们在吃饭
[04:59] 我记得云翔哥跟施工
[05:00] 就开始大聊当年的盛况
[05:03] 对不对
[05:03] 在耗子里面
[05:04] 已经不像我们现在是用手机
[05:06] 电脑那边看盘
[05:07] 是在现场排单子
[05:09] 排那些填单
[05:09] 然后呢
[05:10] 我就想云翔哥跟施工
[05:12] 应该还是有点差劲
[05:13] 但是云翔哥
[05:14] 真的叫做初到早
[05:16] 学生时代就在做股票
[05:17] 所以就有见证到
[05:19] 那一段时间
[05:20] 就是我听你们讲的
[05:21] 好夸张
[05:22] 还要大家抢着
[05:23] 下那档单子
[05:24] 然后因为下不到
[05:25] 所以那档股票
[05:26] 可能涨20根停板都有
[05:28] 对
[05:29] 因为施工那时候
[05:30] 已经在
[05:30] 好像有在券商了
[05:33] 是
[05:33] 对
[05:33] 所以他还是比较年长
[05:35] 我那时候是刚20岁
