[00:00] 欢迎收听赵华依古货载第1111集
[00:09] 四个一
[00:10] 今天是1111集
[00:12] 今天是2026年的6月3号
[00:15] 今天的台股继续上演创新高的行情
[00:19] 实在是不知道该怎么形容了
[00:22] 中场上涨了901点
[00:24] 盘中有涨到近千点
[00:26] 那最高点已经来到了46552
[00:29] 中场收在46459
[00:32] 已经是站上46000点
[00:35] 往47000点迈进
[00:37] 昨天晚上的夜盘只差6点
[00:39] 就到47000点了
[00:40] 现在台指旗啊
[00:42] 跟这个现货市场有一个明显所谓的正价差
[00:45] 就是台指旗涨得比较多
[00:47] 点数比较多
[00:48] 这也代表市场上看多的情绪
[00:51] 开杠杆的情绪是浓的
[00:53] 是很浓的
[00:55] 先人指入的意思就常常发现在这边
[00:58] 但到底有没有过热呢
[01:00] 大家可能最近常常在问
[01:01] 动辄就是1兆5左右的成交量
[01:04] 那今天是稍微小一咪咪
[01:06] 但是也是一个1.45兆的成交量
[01:08] 现在1兆已经不够看了
[01:10] 是超过1兆非常的多
[01:12] 那大家如果有发现
[01:14] 最近的证券股金融股也是大涨特涨
[01:17] 尤其是证券股
[01:18] 常常就是涨一涨就所涨停摆
[01:20] 因为这样的成交量
[01:22] 其实最近我跟很多证券业的高层
[01:24] 在聊天的时候
[01:25] 大家都说什么呢
[01:26] 前五个月
[01:27] 已经把今年定下的KPI
[01:30] 已经达标了
[01:31] 所以现在的老板在做什么呢
[01:33] 都在请同仁要调高KPI
[01:35] 那好这样
[01:37] 不是接下来下半年躺着赚吗
[01:39] 怎么都在调高KPI
[01:41] 钱永远不嫌多
[01:43] 那当然在多头的市场里面
[01:45] 我们也很高兴说
[01:46] 这一波我们提供给
[01:47] 古惑仔听众的
[01:48] 应该都是蛮正确的资讯
[01:50] 不会让大家在赚钱的行列里面
[01:52] 拉队
[01:53] 可是不代表没有风险
[01:55] 我们也不要因为每天涨1000点900点的
[01:58] 我们就失去了风险意识
[01:59] 今天可以看得出来
[02:01] 还是一个蛮健康的
[02:02] 为什么这么讲
[02:03] 前几天大牛股接棒
[02:05] 一线的AI接棒
[02:06] 那今天有很多低位阶转强上来的
[02:10] 甚至翻成多头的
[02:11] 重电股就是一个很好的代表
