[00:00] 欢迎收听赵怀股货载第1112集
[00:09] 今天是2026年的6月4号
[00:12] 今天的台股市场终于出现了一个比较明显的下跌
[00:17] 不说前几天没有
[00:18] 但前几天有时候发生的是所谓的盘中震荡非常大
[00:22] 那今天的话是一开盘就是往下走了
[00:25] 越走越低
[00:26] 中场收在最低点跌了781点
[00:30] 昨天的46000点
[00:31] 今天就所谓的得而复失了
[00:34] 今天来到了中场是45677点
[00:38] 那今天的量能呢
[00:40] 上市量是剩下1.2兆
[00:42] 现在1.2兆叫做量缩
[00:45] 叫做量缩
[00:46] 量缩的情况下
[00:47] 大家可能看盘面就会感觉
[00:50] 有一点无聊
[00:52] 很奇妙哦
[00:53] 量大的时候看什么都顺眼
[00:56] 大股也会涨
[00:57] 小股也会涨
[00:57] 量缩的时候
[00:59] 也说不上来一种
[01:00] 什么样的滋味
[01:01] 你说今天很恐慌吗
[01:03] 那今天的跌点
[01:04] 其实蛮多
[01:05] 就是被前几天大涨的
[01:07] 所谓的老AI
[01:08] 一线全职股
[01:09] 给扛走了
[01:10] 扛走了
[01:10] 那你会觉得想
[01:11] 对啊
[01:12] 有的老AI
[01:13] 突然就涨了三根停板
[01:14] 对于大型全职股来说
[01:16] 本来就有点夸张
[01:17] 所以今天突然一根回去
[01:18] 好像也不能说
[01:19] 什么很吓人
[01:20] 或是很离谱
[01:21] 比较没有这样的感觉
[01:23] 好
[01:23] 那另外一个
[01:24] 比较重灾区的话
[01:25] CPO
[01:26] 就让人家比较失望了
[01:27] 因为我们知道
[01:27] 今天我们凌晨在等的是
[01:29] 所谓博通的财报
[01:30] 那博通的财报呢
[01:32] 刚刚我跟来宾讨论
[01:33] 就跟今天早上的台积电的股东会
[01:36] 有一点异曲同工之妙
[01:38] 不能说不好
[01:39] 可是有点无聊
[01:41] 等一下会来细讲这个事情
[01:43] 那现在就会产生一个现象
[01:46] 如果接下来揭露的财报
[01:49] 或是说法
[01:50] 或是积极度成绩种种的
[01:53] 它只要只是符合市场预期而没有惊喜
[01:57] 那对应起这个已经创新高的台美股来说
[02:00] 它可能反而就会是一个压力哦
[02:03] 好那另外一个吹毛求疵的事情
[02:05] 是昨天有公布了所谓的
[02:07] ADP小非农就业数据
[02:09] 这个数据是好的
[02:11] 好是好的那不是很好吗
[02:13] 好不要忘记这件事哦
[02:15] 又牵扯到联准会没有机会降息这件事情了
[02:19] 6月17号联准会华许
[02:21] 第一次上任要开利率决策会议
[02:23] 如果还是一个没有降息的可能性
[02:26] 你以为市场麻痹了吗
[02:27] 不一定
[02:28] 从小飞龙的态度会让大家会觉得
[02:31] 现在基本面上面你要非常乐观之外
[02:35] 泡泡也就是资金的部分
[02:38] 你也要维持一定的充沛
[02:40] 要不然只要中间有一个地方稍微消掉
[02:43] 你可能迎来的就会是一个回档
[02:46] 当然我们还是强调
[02:47] 回档不代表会崩盘
[02:49] 不代表变空头
[02:50] 就是要有这样的心理认知跟风险意识
[02:53] 先来欢迎今天的来宾
[02:54] 今天来宾上次我们又一起在这边讲泡泡面的事
[02:57] 就资金面叫泡泡面
[02:59] 我们今天来的是黄金右下角选股教练韦泰
[03:03] 赵华好大家好
[03:04] 韦泰就是今天我们有好几件事情可以讨论
[03:08] 因为昨天晚上美股就已经相对比较弱势
[03:10] 比较弱势当然我们就会找一些理由
[03:13] 你也可以说掌舵回档
[03:14] 也可以说昨天公布了小飞龙的数据
[03:17] 就业又还不错
[03:18] 就业不错
[03:19] 通膨数据其实也有点高的情况下
[03:22] 那就是等于什么呢
[03:24] 联准会不会降息
[03:26] 大家想说联准会不会降息
[03:28] 这不是早知道了吗
[03:29] 讲好久了
[03:31] 最怕的还是年底搞不好还有升息的机会
[03:34] 但我们也常常强调一件事
[03:35] 我们看到台股跟美股创高
[03:37] 我们觉得非常开心
[03:38] 因为我们都知道台股跟美股的创高
[03:41] 它有非常强劲的AI需求
[03:43] 也就是基本面的支撑
[03:45] 这个没有什么好疑虑的了
[03:46] 但是上面的那一层泡泡呢
[03:49] 也就是可能评价的超额给
[03:52] 或者是资金的簇拥
[03:54] 这件事情它也是实际存在的
[03:56] 所以如果我们边走边看
[03:58] 什么时间点会有点小危机
[04:00] 那赵华常常讲第二季的基本面
[04:02] 能不能超出市场的乐观
[04:04] 以及所谓联准会在6月17号开的这个会议
[04:08] 市场到底对不能降息的接受度
[04:11] 或者是点阵图投票下去
[04:13] 就投出一个偏阴派的鬼东西的时候
[04:16] 大家会不会吓到
[04:17] 我觉得这个都是在高档难免会遇到的一个情况
[04:21] 那要想请教维泰的观察了
[04:23] 因为我们上礼拜不是两个在讲说
[04:25] 到底要买什么东西吗
[04:27] 我们两个就说要买这个基本面的成分高的
[04:30] 泡泡成分小一点的
[04:32] 现在不管哪一个地方都有泡沫
[04:35] 这个是真的
[04:36] 但是如果你基本面够厚
[04:38] 回档就是优先接这些基本面够厚的公司
[04:41] 对
[04:41] 这问题就好像我们去那个星巴克点咖啡的时候
[04:46] 你要喝Cappuccino
[04:47] 还是要喝那个拿铁
[04:49] 我有时候还蛮喜欢喝Cappuccino
[04:51] 但上面那一层泡泡
[04:52] 就消了之后
[04:53] 你就剩半杯
[04:54] 说得太好了
[04:57] Cappuccino它的比例就是
[04:58] 一比一比一
[04:59] 是
[05:00] 这咖啡奶跟这个泡泡
[05:02] 大概是一比一比一
[05:04] 所以换句话说呢
[05:05] 这个Cappuccino
[05:05] 它的奶泡占三分之一
[05:07] 是
[05:07] 可是喝起来就香啊
[05:09] 对
[05:09] 拿铁是占六分之一
[05:11] 所以都是有泡泡
[05:12] 是
[05:12] 但是就要选择
[05:13] 泡泡比较少的
[05:15] 是
[05:15] 也不一定
[05:17] 想喝Cappuccino就喝吧
[05:18] 有时候我还是会喝
