[00:00] 欢迎收听赵华宇古货载第1113集
[00:09] 今天是2026年的6月5号
[00:11] 台股涨到46000点以上之后
[00:14] 大幅的震荡开始出现了
[00:16] 这个震荡不是上下洗刷
[00:18] 是直接往下叠的震荡
[00:19] 往下叠的震荡
[00:21] 倒也不能说非常恐怖
[00:23] 因为46000点
[00:24] 昨天刚好是微态来
[00:26] 我们也提到
[00:27] 涨到这个地方
[00:28] 做一点向下的洗刷
[00:29] 尤其是市场会对一些稍微偏利空的东西反应特别大
[00:34] 例如说昨天叠什么呢
[00:36] 叠所谓的小飞农
[00:37] 相当热弱
[00:38] 就担心不会降息
[00:40] 担心不会降息
[00:41] 这事情不就是已经今年大概确定不会降息了吗
[00:44] 但市场还是要来下一下
[00:46] 就是因为已经涨得相当高了
[00:48] 然后再来博通的财报
[00:50] 市场也不满意
[00:51] 已经缴出来的是好的
[00:53] 但对未来的展望
[00:54] 你不能淡
[00:55] 你就是不能淡
[00:57] 只要有一点无聊就不行
[00:59] 那台积电的股东会
[01:01] 昨天也有稍微聊一下
[01:02] 就比较没有新的进展
[01:04] 不管是资本支出
[01:06] 营收
[01:06] 其实很合理啦
[01:08] 因为台积电以前
[01:09] 就是年初决定
[01:10] 今年要不要调涨金元的价格
[01:12] 除非特殊
[01:13] 特特殊的情况
[01:14] 才有可能再调嘛
[01:16] 所以你说他年初做的预测
[01:17] 到了开股东会
[01:18] 就有更新一步的发展
[01:20] 上调什么是不可能的
[01:21] 所以就是跟大家聊聊天
[01:23] 叙叙旧
[01:24] 有人说我相信魏哲家
[01:25] 所以我已经买新家
[01:26] 或者是说坐在台下
[01:28] 笑哈哈什么的
[01:29] 就有一点点轮于开心一下
[01:32] 所以它在刺激股价上面
[01:34] 也自然就比较平淡
[01:36] 那今天说实话是有点吓到的
[01:38] 因为昨天晚上又传出来一些
[01:40] 可能对记忆体相对比较不利的消息
[01:43] 我觉得这个事情还蛮值得
[01:44] 我们今天好好聊一下的
[01:46] 因为这也是我心里面的一个隐忧跟疑问
[01:49] 我刚好提到
[01:50] 接下来会让我觉得成为黑天鹅的
[01:52] 一定会从基本面上面出现
[01:55] 我不觉得战争或其他的
[01:57] 它会是一个更大的黑天鹅了
[01:59] 那基本面上面
[02:01] 现在我觉得整个AI科技发展里面
[02:03] 有一个东西就叫做记忆体
[02:05] 它占的成本实在是越来越高了
[02:08] 消费性电子付不起
[02:09] 也许AI的这些公司还付得起
[02:11] 可是能付到哪里呢
[02:13] 因为昨天晚上讲的就是
[02:14] NVIDIA有决定在机柜里面使用的记忆体
[02:18] 会把它的容量往下做挪移
[02:21] 做一些下调
[02:22] 不要用那么贵那么多
[02:23] 这件事情让今天韩股一开盘
[02:27] 就是一个直接往下杀
[02:28] 那台股盘中最多有杀到1100多点
[02:31] 真的蛮吓人的
[02:32] 不过尾盘也是算小小的V起来
[02:35] 收跌606点
[02:36] 合计呢
[02:37] 这两天又跌了1400点左右
[02:39] 以指数来说比例不算大
[02:42] 以感受来说
[02:43] 难免大家心里面毛毛的
[02:45] 先来欢迎今天的来宾
[02:47] 今天来宾
[02:47] 今天礼拜几呢
[02:48] 今天礼拜五
[02:49] 我们的礼拜五男孩
[02:51] 我们的国家级基金操盘手
[02:54] 黄鹏凯凯哥
[02:55] 大家好
[02:55] 每次礼拜五就是来救市场
[02:58] 哪有以前好几个礼拜
[03:00] 我都大涨好不好
[03:01] 但是说实话
[03:03] 这个礼拜四跟五不好过了
[03:05] 叠了比较多
[03:06] 而且像礼拜三也是一个上冲下洗盘
[03:08] 我们先来讲整个盘市涨到这里
[03:10] 接下来我们要面对像6月17号
[03:13] 有所谓联准会的利率决策
[03:14] 而电脑展也告一段落了
[03:16] 有人说随着黄仁勋飞走
[03:18] 似乎行情就会稍微的冷却
[03:21] 再加上刚刚提到的记忆体的问题
[03:23] 凯哥怎么看
[03:24] 下个礼拜之后的一个行情变化
[03:27] 其实应该这样讲
[03:29] 基本上黄文勋虽然离开
[03:31] 但是他们旗下人都还在会场里面
[03:34] 像我今天就遇到了
