[00:00] 欢迎收听造华与古惑仔第1116集
[00:09] 今天是2026年的6月10号
[00:12] 从礼拜一我决定把这个古惑仔的podcast
[00:15] 不但是有空中跟大家见面的声音
[00:19] 还包括了有录制影像
[00:22] 之后我就觉得我到底这个人怎么回事
[00:24] 我有什么毛病吗
[00:25] 因为加一个录影
[00:27] 大家觉得说可能是同样的录音时间
[00:29] 在做嘛
[00:30] 可是我就很多东西
[00:31] 就要收敛啊
[00:33] 对不对
[00:33] 不能抖脚啊
[00:34] 不能这个闪神啊
[00:37] 包括今天的来宾
[00:38] 他也有同样的感觉
[00:40] 没有关系
[00:41] 我们先来看一下
[00:42] 这三天的盘试
[00:43] 刚刚好就是非常刺激
[00:44] 非常精彩
[00:44] 我觉得刚好也呼应到
[00:46] 为什么礼拜一
[00:47] 我会想要做影片
[00:48] 到今天还是继续的
[00:50] 有做录影
[00:51] 不过今天一样
[00:52] 没有直播
[00:53] 今天也是直接会
[00:54] 影片的上架
[00:55] 但是podcast的部分
[00:56] 会比较早
[00:58] 让空中的朋友
[00:59] 先收听到
[01:00] 尤其是通勤啦
[01:01] 工作啦
[01:02] 或者是刚好是在做家事之类的
[01:04] 不方便看影片的
[01:05] 我想还是听Podcast会比较方便
[01:07] 喜欢觉得有温度的
[01:09] 很多人说看到影片觉得有温度
[01:11] 那就欢迎来
[01:13] 我目前把这个影片都放在
[01:15] 赵华爱伦说的YouTube频道
[01:17] 这个频道里面的内容
[01:19] 比较像是我自己
[01:21] 比较怎么样
[01:22] 发挥比较多
[01:24] 然后比较有自己的意见
[01:26] 然后自己的观点
[01:28] 然后会压榨我们可爱的来宾
[01:30] 今天的盘试是下跌的
[01:34] 这三天不晓得大家的人性
[01:35] 有没有受到考验
[01:36] 第一天好多人说
[01:38] 赵华我觉得跌不够啊
[01:39] 我觉得跌不够所以没有想剪啊
[01:41] 没有觉得真的跌得很惨痛啊
[01:43] 那昨天咧
[01:45] 昨天突然大涨
[01:46] 大家有点傻眼
[01:47] 早知道礼拜一就应该剪啊
[01:49] 昨天怎么会大涨成这样呢
[01:52] 但今天呢
[01:53] 一开盘觉得哇台股世界无敌强
[01:56] 觉得应该没事
[01:57] 因为昨天的夜盘有下杀到2700点
[02:00] 非常的惊人
[02:01] 又是台子期夜盘出现这样的状况
[02:03] 但今天越杀越低的时候
[02:05] 我不确定大家有没有觉得想减
[02:07] 但我不许承认
[02:08] 我一早就有发文说
[02:09] 我今天其实没有动作的原因是
[02:12] 礼拜一杀到低点有减嘛
[02:14] 那礼拜二大涨的时候
[02:15] 因为名牌就变得满天飞
[02:17] 信心回来了
[02:18] 我就买了一些个股
[02:19] 那个个股今天也有戏剧性的表现
[02:21] 例如过去
[02:22] 然后呢
[02:23] 那今天
[02:24] 今天说实话
[02:25] 你一开盘
[02:26] 你没有便宜减
[02:27] 然后跌下去的时候
[02:29] 你又没有跌到比礼拜一更低
[02:31] 所以我今天几乎就是从头看到尾
[02:33] 不过今天有一些好消息
[02:36] 也有一些要注意的事情
[02:37] 我先来欢迎来宾
[02:38] 今天的来宾是我们的选股教练
[02:40] 黄金右下角韦泰
[02:42] 大家好
[02:43] 今天我们是下跌了1478点
[02:48] 中场有一个比较不好的现象是
[02:50] 本来在守月线
[02:52] 但结局是月线没有守住
[02:55] 所以今天的收盘是破月线
[02:57] 那一开始盘面上
[02:59] 大家观望的气氛很浓
[03:01] 因为今天有两个事情
[03:02] 一个就是下午台积电的营收
[03:04] 那一个是晚上的
[03:06] 美国消费者物价指数CPI
[03:08] 所以今天观望气氛本来很浓
[03:10] 可是因为下沙越沙越多
[03:12] 沙破月线量就有点跑出来了
[03:15] 从本来预估量大概一兆左右
[03:17] 最后是成交量是1.3兆
[03:19] 好 今天盘面上
[03:20] 还有一个比较特别的事情
[03:21] 昨天我们有讲说
[03:22] 融资余额不是大减快250亿吗
[03:24] 结果我们昨天晚上看
[03:28] 又加回来大概多少
[03:30] 大概145亿
[03:32] 加回来145亿
[03:34] 大家也太冲了吧
[03:35] 我觉得这就是以前一直累积
[03:38] 股市一直向上
[03:39] 每次回档就会再向上
[03:40] 回档就会再向上
[03:41] 累积了一个信心和资金
[03:44] 大家也有钱加码了
[03:45] 所以现在一遇到回档
[03:47] 勇敢人真的变得相当多
[03:48] 所以我想今天的沙盘
[03:50] 反而对于这两天
[03:51] 感受上是有点出其不意的
[03:54] 对出其不意的
[03:56] 好
[03:56] 但台积电的营收是好消息
[03:57] 因为我早上本来以为
[04:00] 台积电的营收
[04:01] 不会创历史新高
[04:02] 会差一点点
[04:03] 当然是因为有消息来源
[04:05] 这个消息来源没有失准过
[04:07] 但是下午看到是
[04:09] 创营收历史新高
[04:11] 台积电真的很厉害
[04:13] 给了我们大盘一个信心
[04:14] 所以综合一下
[04:16] 想要请韦泰在这三天来看
[04:19] 你觉得这三天
[04:20] 你会做什么样的一个策略
[04:22] 那今天跌下去之后
[04:24] 你的信心是有
[04:26] 还是觉得要等一下CPI
[04:28] 好的
[04:29] 这三天的一个震荡
[04:32] 其实就像刚刚赵老师所说的
[04:34] 就是第一天
[04:35] 这个下跌的时候
[04:37] 大家会觉得
[04:38] 好像没这么恐慌
[04:40] 对
[04:40] 然后第二天
[04:42] 就是昨天
[04:42] 昨天这个大涨的时候
[04:44] 大家觉得说
[04:44] 怎么这么快就跌完了
[04:46] 我是觉得没有到跌完
[04:49] 但是确实蛮意外
[04:50] 怎么涨那么多
[04:51] 对
[04:51] 然后今天又把
[04:53] 昨天的这一个上涨
[04:55] 又把它叠回去
[04:56] 全部吐掉
[04:57] 对
[04:57] 那今天成交量
[04:59] 1.32兆
[05:01] 有比这个
[05:02] 昨天来还要多
[05:03] 所以我猜可能是因为
[05:05] 前面两天没有买到的人
[05:07] 今天又趁着拉回来的时候
[05:09] 去买
[05:10] 你觉得今天还是
[05:10] 大家勇敢去买
[05:12] 不是说沙沙沙
[05:13] 大家觉得有点恐怖
[05:14] 因为今天个股油的叠蛮重的
[05:15] 其实如果说
[05:17] 大家都很悲观的话
[05:19] 应该是量缩
[05:20] 就大家不会出手去买
[05:22] 然后跌停板的会很多
[05:24] 对
[05:24] 今天成交量稍微放大
[05:27] 代表说今天有人愿意去承接
[05:29] 但是像刚刚赵宝所说
[05:31] 这一波就今天拉回
[05:33] 其实并没有跌到6月8号
[05:35] 当时的低点
[05:36] 所以其实可能会有一些
[05:39] 之前没有抢到的人
[05:40] 那么这边可能会稍微去买一点东西
[05:43] 但是应该还不到
[05:45] 就是看到大家都是
[05:46] 疯狂去做强劲的一个时候
[05:49] 对
[05:50] 那至于我个人呢
[05:51] 这几天我其实没有加码
[05:54] 我维持着我上次跟大家分享
[05:58] 我就是拉高就去做减码
[05:59] 那原因其实有两个
[06:02] 第一个原因就是说
[06:03] 充满面的变化
[06:05] 因为其实我们在这个
[06:08] 前两天有跟大家分享
[06:09] 就是现在的这个融资余额的金额
[06:12] 还有就是ETF
[06:14] 这个发行的一个这个金额
[06:17] 其实上都比过去
[06:19] 我个人认知来的还要多
[06:21] 多很多
[06:22] 那我过去呢
[06:24] 没有碰过这样的情况
[06:25] 我还在思考
[06:27] 这个到底接下来
[06:28] 可能会有什么样的一个
[06:30] 情况发生
[06:31] 所以我稍微比较谨慎一点
[06:33] 然后第二件事情是说
[06:35] 以这一次加权指数来讲
[06:39] 从6月3号高点46552
[06:42] 一直到6月8号的这个低点
[06:45] 来到了就是42376
[06:47] 这一波的回涨
[06:49] 事实上是已经去回撤
[06:52] 就是之前从5月20号起涨以来的
[06:55] 那一个波段的0.618
[06:58] 换句话说
[06:59] 这一波的这个修正
[07:01] 它并不是简单的摸一下而已
[07:05] 我个人认为
[07:06] 所以它可能就算它这个空间
[07:11] 可能不会那么大
[07:12] 因为现在内支的一个威力
[07:15] 蛮强大的
[07:16] 但是至少我觉得
[07:18] 它这修正的时间
[07:19] 可能会拉长
[07:21] 那么从OTC的角度去看
[07:24] 更明显
[07:25] OTC其实这一波
[07:27] 就是我们在讲说
[07:29] 6月8号那一天
[07:30] 我刚刚说6月8号那一天
[07:32] 下均指数
[07:33] 是回撤0.618的一个位置
[07:36] 可是OTC
[07:39] 它的低点
[07:40] 来到了395.16
[07:42] 是OTC的波动是比上市难免来得大
[07:45] 对
[07:46] 它甚至几乎快要已经跌掉
[07:49] 就是在5月20号当时的起涨那一天的一个低点
