[00:00] 欢迎收听赵华一谷货载第1119集
[00:09] 今天是2026年的6月15号
[00:12] 今天最大的新闻应该是美衣这次真的签了
[00:17] 真的签了
[00:19] 所以这件事情真的很有意思
[00:21] 它造成了三月的一波动荡
[00:24] 它造成了上个礼拜也是来回喜
[00:27] 但是在今天它也造成了一个台股的大涨
[00:30] 甚至如果我们看到一些连结美股的ETF
[00:33] 大家也在预期晚上的美股应该也有庆祝行情
[00:37] 今天台股加权指数中场上涨了1227点
[00:41] 来到了45396点
[00:44] 说实话好像上个礼拜的事情就像是一场梦吗
[00:49] 或是船过水无痕
[00:52] 又回到所有的均线之上
[00:54] 又回到所有的均线之上
[00:56] 那我今天有看了一下我自己的库存
[00:58] 如果把上个礼拜
[00:59] 我跟大家挨好的
[01:00] 国具跟现场店卖飞了的损益
[01:03] 等等的加回来
[01:05] 事实上今天库存的损益
[01:07] 是逼近了一个高峰
[01:09] 逼近一个高峰
[01:10] 也代表手上如果持有的是一些
[01:12] 相对热门股
[01:13] 或自己比较熟悉的股票
[01:14] 成本拉得比较开的
[01:16] 上礼拜虽然很痛苦
[01:17] 来来回回洗
[01:18] 但是其实不太影响总部位的损益
[01:22] 包括上礼拜可能趁着杀千点破月线
[01:25] 有在捡一些ETFU一些些的帮助
[01:27] 不过大家一定很想问
[01:30] 都说这礼拜有大魔王
[01:32] 当然这个美衣是不是真停战
[01:34] 看来这一次应该是真的
[01:35] 我也不太把话讲死
[01:38] 但第40次提到这件事情了
[01:40] 另外联准会难道就不要担心了吗
[01:44] 联准会的事情
[01:46] 华许第一次上任
[01:47] 真的不会吓到大家吗
[01:48] 加上这个是礼拜四的事情
[01:50] 礼拜四之后我们又是端午廉价
[01:52] 难免大家会心里面有点毛毛的
[01:55] 礼拜一大涨
[01:56] 那如果礼拜三礼拜四又跌呢
[01:58] 会不会有这样的现象
[01:59] 先来欢迎今天的来宾
[02:00] 今天的来宾是我们的题材
[02:02] 猎人汉伟哥
[02:03] 大家好哥
[02:04] 大家好
[02:05] 所以这个难题就要丢给汉伟哥了
[02:08] 因为上礼拜五其实已经涨了嘛
[02:11] 所以我们其实有预言说
[02:13] 如果这个气氛好下来的话
[02:15] 今天涨是很合理的
[02:16] 但没有想到因为加上了
[02:18] 每一合谈的事情
[02:19] 市场是用大涨来做反应
[02:21] 今天日谈股开盘
[02:23] 就是直接往上跳空
[02:24] 所以我们就知道
[02:25] 台股不会太弱
[02:26] 只是大家可能有点半信半疑
[02:28] 所以今天的量
[02:29] 上市量是大概一兆
[02:31] 就是还是会有点觉得
[02:32] 不是你说接下来
[02:34] 这个华许要讲话吗
[02:36] 廉价后难道没事吗
[02:38] 行情就是这么有趣的东西
[02:40] 先来请教还有一个
[02:42] 今天的大涨
[02:43] 你会采取什么样的想法跟策略
[02:46] 我觉得今天
[02:47] 就是说
[02:48] 说加码一些强势股
[02:50] 看起来怪怪的
[02:51] 因为很多一开盘
[02:52] 就直接喷出去了
[02:53] 我的被动元件
[02:54] 但是你说去布局弱势的股票
[02:57] 我担心会等比较久
[02:58] 所以我们还是要回归到
[03:00] 那到底这一拜会不会是一个大魔王
[03:02] 行情这一拜
[03:03] 有没有端午变盘之后
[03:05] 往下补跌的一个情况
[03:06] 那首先当然今天整个排面上
[03:08] 最大的消息还是在于
[03:10] 这个川普的生日
[03:12] 愿望是世界和平
[03:14] 那果然他已经初步达成了
[03:17] 中东和平的一个协议
[03:18] 所以你说美国也会搞这一套
[03:20] 80大时候来一个大礼包
[03:22] 而且他们那时候说
[03:23] 不会想要在6月14号签面的给川普注售
[03:27] 但实际上还是真的帮他签了注售
[03:30] 虽然说这个纸面的协议要在6月19号
[03:34] 也就是我们这段文节当天才去日内瓦签署
[03:37] 但最好这段时间里面只要以色列不捣蛋
[03:41] 那我认为其实这个中东的和平协议
[03:44] 在目前来看达成率非常高
[03:46] 因为我们不是说你可以去看一下美国的赌盘网站
[03:50] 其实赌盘网站目前他的一个所谓赌注去压住
[03:53] 可能在所谓的八月底之前
[03:56] 荷姆斯海峡全面性通航的几率高达九成
[03:59] 所以代表说
[04:00] 为什么今天我觉得大家可以比较笃定
[04:02] 可能有和平协议的达成
[04:04] 大约如果去看这个所谓布兰特原油
[04:06] 跟西德州原油
[04:07] 他们价格都创下近期波段的低点
[04:10] 都回到八十美元附近了
[04:12] 八十美元就几乎是开打之前的一个价格
[04:14] 所以我们讲油市的反应
[04:16] 就油价的反应已经跟大家讲了
[04:18] 看起来市场对于这个中东的和平协议
[04:21] 在被推翻
[04:22] 在全面开打的状况
[04:24] 其实变得非常的低
[04:25] 所以我觉得这个
[04:26] 当然就代表说
[04:27] 整个市场最担忧的
[04:29] 通膨会升温的剧本
[04:31] 开始被改写了
[04:33] 所以大家原本担心
[04:34] 这个礼拜是超级央行周
[04:35] 从明天的日本央行会升息
[04:37] 到联准会的
[04:39] 这个华许的处女秀
[04:41] 会不会讲的比较偏鹰派
[04:42] 那现在你最少
[04:44] 如果说大家升息的理由
[04:45] 是因为油价的上涨
[04:47] 那川普已经把这个障碍
[04:48] 已经扫除了
[04:49] 那现在就把舞台
[04:51] 留给华许
[04:52] 怎么样表态他效忠的一个态度
[04:54] 怎么样讲出一个比较偏向
[04:56] 可能会符合川普预期的
[04:59] 一个政策的声明
[05:00] 我觉得变得非常重要
[05:01] 所以我觉得现在来看的话
[05:03] 你不管从经济的数据
[05:04] 从油价的表现来看的话
[05:06] 我觉得联准会这次要讲出
[05:08] 一个非常鹰派的声明
[05:10] 其实机遇不太高
[05:11] 那比较中性说
[05:12] 可能接下来因为达成协议
[05:15] 油价可能会降温
[05:16] 做一个持续观望
[05:18] 未来的一个政策改变
[05:20] 我觉得这机率比较高
[05:21] 所以只要市场不要有一个
[05:23] 比较大的一个意外的
[05:25] 可能联准会比较偏
[05:26] 鹰派的消息出来的话
[05:27] 我觉得这个中东的和平
[05:29] 带来联准会的鸽派
[05:31] 那当然对整个市场的
[05:32] 一个资金面来讲
[05:33] 都是一个正面的注意
[05:35] 好到底是不是狼来了呢
[05:37] 因为狼来了是三次嘛
[05:39] 这是四十次了
[05:40] 不过我非常认同一件事情
[05:43] 就是说至少在联准会开会前
[05:47] 油价大幅的回落
[05:48] 如果说这一切都是川普精心设计
[05:51] 那他真的太厉害
[05:52] 如果这一切有一点巧合
[05:54] 那他的运也太好了
[05:55] 我真的必须这么讲
[05:57] 因为上礼拜有一次川普吓到大家
[05:59] 大家还记得吗
[06:01] 是因为他突然又强势的说
[06:03] 要对伊朗展开军事行动
[06:05] 但是当时我们也有跟大家分享说
[06:07] 他比较像是以战逼合
[06:08] 就他终究是希望不要打了
[06:11] 那到底好好说可以不要打
[06:13] 还是给点什么互惠原则可以不要打
[06:16] 还是凶起来可以不要打
[06:18] 他也想了很多的方法
[06:20] 但无论如何
[06:21] 如果这份签署确定了
[06:23] 对不对
[06:23] 确定了
[06:24] 不管是不是他生日的大礼包
[06:26] 他都敢在联准会的会议之前
[06:28] 把这个消息释放出来
[06:30] 我觉得这样的操盘方式
[06:31] 是蛮猛的
[06:32] 我真的是这么
[06:33] 真的真心这么觉得
[06:35] 然后我们也常常提到
[06:37] 如果零价在
[06:39] 应该说基础在
[06:40] 现在的基本面的状况
[06:42] 还是很好的情况
[06:43] 而事情并没有恶化到
[06:44] 资金全数退潮
[06:45] 联准会只要在这次的开会
[06:48] 稍微比较平和
[06:49] 不会大幅偏阴
[06:51] 他现在有两件事
[06:51] 第一件事是
[06:52] 毕竟他是川普受益的人
[06:54] 你说他要完全讲出
[06:56] 让市场大惊吓
[06:58] 或是升息
[06:58] 我会觉得有点不可思议
[07:00] 即使华许之前的评论
[07:02] 是可能偏阴的
[07:03] 对
[07:03] 然后第二个是
[07:04] 敢在开会前
[07:05] 油价大幅的回落了
