[00:00] 欢迎收听 赵华语古惑仔第1126集
[00:09] 今天是2026年的6月25号
[00:12] 谈越来越刺激了
[00:14] 因为昨天呢
[00:16] 晚上不晓得大家晚不晚睡
[00:19] 其实我不太喜欢晚睡
[00:20] 晚睡很容易就真的会变睡不好
[00:23] 已经离开了能熬夜的年纪了
[00:27] 可是昨天晚上实在是
[00:29] 看着盘呢又杀下去了
[00:31] 从这个杀一千多点
[00:33] 其实晚上就是一千多点了
[00:34] 然后呢震荡
[00:36] 一下子哦
[00:37] 很短的时间
[00:38] 他会回弹个五六百点
[00:40] 又下去五六百点
[00:41] 瞬间哦
[00:42] 我就觉得哇
[00:43] 这盘到底怎么回事
[00:44] 结果等到我快睡觉的时候
[00:46] 已经杀下去到一千三百点左右了
[00:50] 我就想哇
[00:51] 好啦管他的
[00:52] 睡了再说
[00:53] 然后早上呢
[00:54] 一张开眼睛
[00:55] 变成收红五百点
[00:58] 仔细一看
[00:59] 一来一回是差了1800点
[01:02] 等于说可能假设做空闭闲的
[01:06] 或者认真想放空的
[01:08] 夜盘好开心
[01:09] 如果你手上满手多单的
[01:12] 夜盘好担心
[01:12] 但早上风云变色
[01:15] 那当然昨天我们也有提醒
[01:17] 有一个比较重要的事情
[01:18] 就是美光要公布财报
[01:20] 而这个财报是大受激励
[01:22] 所以美光公布之后
[01:24] 他这个财报
[01:25] 等一下也会跟大家来好好聊聊
[01:27] 他有讲了很多对于AI发展
[01:29] 跟记忆体产业的前瞻指引
[01:31] 华许不做前瞻指引
[01:32] 美光来帮大家做前瞻指引
[01:34] 这个指引让市场对于整体AI的气氛
[01:37] 还有记忆体又充满了信心
[01:39] 美光大涨之余
[01:40] 韩国大反弹
[01:41] 日股也开得相当高
[01:43] 所以我们今天现股市场是开盘的
[01:45] 但也必须讲
[01:46] 记忆体是韩国的强项
[01:48] 是美光的强项
[01:49] 对台股来说
[01:51] 它可能就是其中的一块
[01:52] 它是其中的一块
[01:53] 所以美光大概可以贡献半场的涨点
[01:57] 那我们毕竟昨天面临到什么呢
[01:59] 面临到外资大卖了1770几亿
[02:02] 面临到外资的空单水位在83000多口
[02:05] 还是在今天的盘面上隐隐有一些压力
[02:08] 所以中场是上涨了211点
[02:11] 大概把原本五六百点的涨点就砍一半下来
[02:14] 不过这样的情形也让大家在做多
[02:17] 或是放空避险上面颇具压力
[02:21] 那今天来的人很重要
[02:23] 因为他两边都做
[02:24] 他是高现货高挣多单
[02:27] 但是一定要做选择权避险
[02:29] 一讲到这个
[02:30] 大家就知道是谁了
[02:31] 来的是我们的冠军操盘手
[02:33] 云翔哥
[02:34] 大家好
[02:34] 我记得云翔哥前两天
[02:36] 也是晚上很晚了
[02:38] 应该11点12点
[02:39] 有跟我聊说
[02:39] 这批超级难买
[02:41] 这批很难买
[02:43] 批就是选择权放空
[02:44] 因为要避险
[02:45] 很难买
[02:46] 这价差好贵
[02:47] 然后没有买
[02:49] 就今天夜盘就下去了
[02:50] 怎样怎样
[02:51] 就抱怨
[02:52] 然后我就看着夜盘
[02:53] 然后我记得那天夜盘也是
[02:54] 忽然就勾起来
[02:55] 对我就说
[02:56] 没关系
[02:56] 完全跟他勾起来了
[02:57] 我说但这样真的好难搞
[02:59] 这个礼拜真的天天都难做
[03:03] 对因为
[03:03] 很妙啦
[03:04] 我觉得说这个
[03:05] 你可以看就是说
[03:07] 其实那天大概
[03:08] 当然就是
[03:09] 指数先大跌嘛
[03:11] 对
[03:12] 对不对
[03:12] 那天是日盘大涨
[03:13] 对不对
[03:14] 涨一千多点
[03:15] 礼拜一嘛
[03:15] 大涨以后
[03:17] 对
[03:17] 夜盘大跌嘛
[03:19] 对夜盘大跌
[03:20] 对
[03:20] 然后我想说
[03:22] 在大跌前
[03:23] 其实在大跌前
[03:24] 就是准备去收
[03:26] 所谓的这个P
[03:28] 你会发现
[03:29] 不对
[03:29] 我买的P是
[03:31] 买这个周五结算
[03:33] 按理讲是很合理
[03:34] 因为你说礼拜一去买
[03:36] 周五结算
[03:37] 还蛮合理的
[03:38] 可是礼拜五周五结算
[03:40] 我大概拉
[03:41] 大概2000点的waste点
[03:42] 基本上完全就是
[03:44] 你发现
[03:45] 五档根本就没有人在做价
[03:47] 也代表说
[03:48] 这个空
[03:49] 代表什么
[03:49] 对
