[00:00] 欢迎收听赵华谊古货载第1130集
[00:09] 今天是2026年的7月1号下半年的第一天来咯
[00:14] 那下半年的第一天是一个开门红
[00:17] 今天中场上涨了893点
[00:20] 当然是有点开蛮高的
[00:22] 慢慢的有一点点降下来
[00:24] 开的时候有超过1000点的涨势
[00:26] 真的叫复制贴上
[00:28] 昨天也有讲
[00:31] 这一次又像上一次
[00:32] 跌破月线一两天之后
[00:35] 站上来随机反攻
[00:36] 刚反攻的前两天
[00:38] 也都没有亮
[00:39] 今天的亮
[00:39] 又有再放大一咪咪
[00:41] 来到1.3兆的上市量
[00:43] 好
[00:44] 一该也有人想关心赵华
[00:46] 赵华您的副顶关
[00:47] 麦菲涨停第二天
[00:49] 没有关系
[00:50] 还有一半吗
[00:51] 还有就是回暖了
[00:53] 所以所有的部位
[00:54] 都有可能跟着一起回暖
[00:56] 不过今天的体感温度
[00:57] 跟昨天比起来
[00:58] 今天有略差一咪咪
[01:00] 昨天因为杀台积电尾盘
[01:02] 但中小股贵买的状况非常的好
[01:05] 今天是拉了一下台积电尾盘
[01:07] 所以反而有蛮多中小股
[01:09] 开高走低
[01:10] 甚至在尾盘是翻黑的
[01:11] 所以如果您手上的股票
[01:13] 刚好是尾盘翻黑
[01:14] 也许今天感受不到
[01:16] 大涨近千点的感受
[01:18] 不过上半年过去了
[01:20] 我也收到蛮多人的讯息
[01:22] 有很感谢的
[01:23] 有很满意的
[01:24] 也有很焦虑的
[01:26] 等一下我们再就这种心理层面的状况
[01:29] 来跟大家做分享
[01:31] 我先来欢迎今天的来宾
[01:33] 今天来宾是一个逻辑很好
[01:34] 很细心的人
[01:36] 为什么讲到很细心
[01:37] 等一下来跟大家讲
[01:38] 今天来的是寻南股神
[01:40] 威良
[01:41] 大家好
[01:41] 为什么很细心
[01:43] 因为我们今天有多一位小编在旁边
[01:46] 就是他们要做一些工作上的交接
[01:48] 那我就问了一下
[01:49] 因为原本的小编非常的细心
[01:51] 就是我的股货仔交给他
[01:53] 一点烦恼都没有就对了
[01:55] 所以我就问说
[01:57] 那新来的小编细心吗
[01:59] 小编说他细心
[02:00] 我就说
[02:00] 因为本人造法射手座
[02:03] 大家知道大啦啦的
[02:04] 是一个没有很细心的人
[02:05] 我就想
[02:06] 有人回答细心
[02:07] 就好像敲中我的心
[02:08] 你知道吗
[02:09] 我就问了微良
[02:10] 微良你细心吗
[02:11] 微良说非常细心
[02:14] 又重重再敲一次你的心
[02:16] 我就想说
[02:17] 幸好我今天没有什么改变发型
[02:19] 不然就要考陈微良
[02:20] 上次达人秀的制作人
[02:23] 揽了新发色
[02:24] 我马上就说
[02:25] 我跟你讲
[02:27] 上次我的制作人
[02:28] 染了一个新的发色
[02:30] 对其实我有看到
[02:31] 可是因为整天很忙
[02:32] 你不会特别想去赞美人家
[02:34] 就威良就赞美了对方
[02:36] 说你换的新发色很漂亮
[02:38] 然后制作人几乎要含泪的说
[02:40] 一整天只有你看到
[02:42] 好不准
[02:44] 我还没有考他
[02:45] 好了我们先回到这个盘面上
[02:49] 因为威良跟我讲说
[02:50] 假如我今天跟他约了一个明年的约
[02:53] 这中间即使过了三百天
[02:55] 我都不用提醒他
[02:57] 他绝对不会失约
[02:58] 所以我等一下要跟他约在
[03:00] 某年某月某日的某一天的
[03:02] 某个电影院前面
[03:04] 来试试看
[03:06] 好先来讲今天盘式
[03:08] 今天的盘式
[03:09] 其实最高点有涨超过一千点以上
[03:12] 真的是跟上次回到月线后
[03:15] 连续喷涨四天非常的类似
[03:17] 好像
[03:18] 对可是大家也会有一点余悸有存
[03:20] 因为上次涨到四万八千点之后
[03:22] 就是连跌四天
[03:24] 这一次会一样吗
[03:27] 例如说涨到第四天
[03:28] 我们就要提高警戒这样
[03:29] 其实当然半开玩笑
[03:31] 行情当然会有一些类似的走法
[03:34] 但是真的很难完全复制贴上
[03:36] 我想这一次
[03:37] 当然根本上有个很大不同是
[03:39] 台积电要来了
[03:40] 季度的法收会要来了
[03:43] 当然这个时候
[03:44] 有台积电来安指数来稳大盘
[03:47] 我觉得整个行情
[03:49] 是不至于说在这个时候
[03:50] 出现太大的乱流
[03:52] 只是说族群真的轮动非常快速
[03:56] 刚结束了上半年
[03:58] 我稍微去抓了一下
[04:00] 算了一下发现
[04:01] 从每个月份为单位来看
[04:04] 1月到6月
[04:05] 基本上每个月的主流族群
[04:07] 可以说都不一样
[04:09] 比方说可能1月2月的时候
[04:11] PCB载板很强
[04:13] 到了3月4月的话
[04:15] 类似像CPU公通讯
[04:16] 曾经是成为盘面的当红炸子机
[04:19] 5月6月又看到有记忆体
[04:22] 然后很明显的被动元件
[04:24] 是这两个月大概最火热的族群
[04:26] 所以大致上其实我觉得
[04:29] 整个AI是一个大方向
[04:31] 当然大家也都认同这个趋势
[04:33] 会让指数高还有更高
[04:35] 没有最高只有更高
[04:37] 但是其实族群在轮动的时候
[04:39] 说实在有时候很残酷
[04:42] 因为如果抱错股票
[04:43] 就如同好像像今天
[04:45] 如果手上是满满的记忆体
[04:47] 可能会以为今天好像是叠了1000点
[04:51] 但如果今天可能是细金元被动元件
[04:54] 可能感觉今天好像涨了1000点
[04:56] 所以这个时候我觉得
[04:58] 面对下半年今天正式开始了
[05:01] 那第三季呢
[05:02] 我是觉得指数应该会往上
[05:05] 但是呢
[05:06] 这个上去的角度应该相较于上一季第二季会有所修正
[05:11] 因为毕竟呢
[05:13] 第二季大盘指数是涨了14400点以上
[05:17] 涨幅呢
[05:18] 高达了46%
[05:20] 那这个是创下有史以来单季最大的涨幅
[05:23] 那当然第三季是没有看坏的理由
[05:25] 但是呢
[05:26] 指数你要他经常用这种高仰角的方式去做进攻
[05:32] 我觉得确实难度会很高
[05:34] 因为类似呢
[05:35] 如果我们用记忆体当做一个缩影来思考
[05:38] 就是呢
[05:38] 什么东西只要涨多了
[05:40] 很容易呢
[05:41] 好消息
[05:41] 他的影响就淡化
[05:43] 但是坏消息呢
[05:44] 会被放大
[05:45] 也就是说大家会发现呢
[05:47] 高危阶的股票呢
[05:48] 他的童话故事
[05:49] 好像只能留在过去
[05:50] 但是鬼故事会特别多
[05:52] 好
[05:53] 刚刚我也是在开录前
[05:55] 就有先跟我两个讲一下
[05:58] 因为像今天排名上
[05:59] 很强的族群
[06:00] 被动
[06:01] 主动
[06:01] 主被动还是非常的厉害
[06:04] 当然也是到尾盘的时候
[06:05] 有点层次不齐
[06:06] 很多有开高走低
[06:08] 但是至少
[06:08] 好
[06:09] 主动真的就是亮晶晶的
[06:11] 看到我们的附顶
[06:12] 被动像我手上看到的是凯美
[06:14] 今天也是在所谓一个掌庭版
[06:15] 也是国际巨头
[06:16] 而且创历史新高
[06:17] 所以这个还是蛮明显
[06:19] 细心源这类的
[06:20] 我两个讲过非常非常多次
[06:22] 这些应该都是在筹码上面
[06:24] 还没有到非常凌乱的
[06:26] 可是像记忆体
[06:27] 我们都一直讲说
[06:28] 我实在像我个人
[06:29] 我不太擅长做记忆体
[06:31] 因为我会觉得
[06:32] 我卡在一个事情上面
[06:34] 第一个是
[06:35] 因为我知道像AI用的记忆体
[06:37] 还是以韩国美国为主
[06:40] 就是海力士美光三星为主
[06:42] 那台湾就是有一点叫做
[06:44] 边际效应
[06:45] 对这件事情
[06:46] 我不是说以后
[06:47] 记忆体厂商不能克服
[06:49] 但是目前的现状
[06:50] 确实是如此
[06:51] 然后第二是
[06:52] 就像刚刚威良讲的
[06:54] 因为太多人在上面了
[06:55] 这一次的涨势
[06:56] 从去年的四五月开始到现在
[06:58] 已经超过一年了
[06:59] 筹码真的有点乱
[07:00] 所以一旦有一个风吹草动
[07:03] 你会觉得美光回得来
[07:04] 三星回得来
[07:05] 海力士回得来
[07:06] 可是南亚克跟华邦电
[07:07] 没有那么有把握
[07:08] 它一定回得来
[07:09] 我觉得这些都还蛮考验人性的
[07:12] 可是到目前为止
[07:13] 我也必须讲
[07:14] 每一次记忆体到重挫
[07:15] 不管是破了月线甚至到了季线
[07:17] 后面都有涨回来也是事实
[07:20] 所以在这种筹码凌乱的状况下面
[07:24] 大家可能还是去找
[07:26] 现在例如说投信法人
[07:28] 比较有共识的族群
[07:29] 其实集体投信也买很多
[07:31] 所以我还是会觉得说
[07:32] 以你喜欢的一种操作的特质
[07:36] 去找现在排名上的族群
[07:38] 为什么不要想什么族群都能赚得到
[07:42] 因为像我虽然把付顶卖废掉
[07:44] 可是我有其他的族群在涨的时候
[07:47] 你就会觉得
[07:48] 至少在这个行情里面
[07:50] 你没有错过什么东西
[07:51] 是用自己的认知
[07:52] 赚到自己认知的钱
[07:53] 原来记忆体涨了一年了
[07:56] 我还以为说
[07:57] 今天下跌是因为高盛提出三大警讯
[08:00] 原来是因为周年庆
[08:02] 难怪要打折
[08:03] 没有他跟你一样细心
[08:05] 就是约好今年的此时
[08:07] 可能要下跌
[08:08] 那我想
[08:10] 因为其实
[08:10] 我觉得记忆体比起
[08:12] 有一些族群来看的话
[08:14] 它当然起涨的时间真的是够久了
[08:18] 刚才提到足足涨了一年
[08:20] 那在过去这一季来看的话
[08:22] 因为很多的筹码
[08:25] 都已经开始流入到散户的手上了
[08:27] 不论是说高人气的南亚科华邦店
[08:30] 所以我想这个就算前景是好的
[08:33] 那这个时候呢
[08:34] 也会面临到就是筹码调整的压力
[08:36] 那除了有散户筹码进入之外
[08:39] 我觉得很现实的一个层面就是呢
[08:41] 记忆体虽然是有投信在撑腰
[08:44] 但是外资也一直无情的砍出
[08:47] 对 土羊对坐了
[08:48] 所以毕竟一个族群
[08:49] 如果两大法人
[08:50] 他没办法站在同一阵线
[08:52] 那常常这个你砍一刀
[08:54] 我踹一脚
[08:55] 那互相互殴的话
[08:57] 我觉得当然也会抵消掉
[08:58] 他上涨的一个力道
[09:00] 那更长远的一个格局来思考的话
[09:02] 我是觉得我们乐见这一波
[09:05] 很多国内法人也开始跟进外资
[09:08] 针对就记忆体的评价
[09:11] 从古今比改用本益比
