[00:00] 欢迎收听赵怀古惑仔第1136集
[00:09] 今天是2026年的7月9号
[00:11] 可能有很多人会觉得今天有周末周五的感觉
[00:15] 有在期待明天放台风假
[00:18] 不过在我们录音的这个时候
[00:21] 以这个台风移动的速度来看的话
[00:24] 几率是相当的低
[00:26] 不得不这么说
[00:28] 而且前几天
[00:29] 其实赵华跟同事在聊的时候
[00:31] 所有的同事都怪我
[00:33] 他们一定觉得超级累
[00:34] 都跟我说希望礼拜五放假
[00:37] 然后我就说对不起了各位
[00:39] 我觉得礼拜五要放的几率
[00:40] 是实在是比较偏低一点
[00:42] 大家脸上那种
[00:44] 想要跟我对抗的神情
[00:47] 就今天每个人都不想看我了
[00:49] 因为看起来台风走的速度
[00:51] 真的比较慢
[00:51] 那今天的盘呢
[00:53] 本来一开始是有一个
[00:54] 比较好的成绩
[00:55] 有往上跑哦
[00:56] 但是中场的话是下跌了
[00:58] 379点
[00:59] 等于杀了一个尾盘
[01:01] 好
[01:02] 这礼拜的体感温度
[01:03] 都不是太理想
[01:04] 尤其是量能
[01:05] 今天又缩到
[01:06] 只有剩下9443亿
[01:08] 又再更缩量了
[01:10] 观望的气氛
[01:11] 从上礼拜到这个礼拜
[01:13] 非常的明确
[01:14] 那观望什么呢
[01:16] 当然我们的节目
[01:17] 也跟大家分享过非常多了
[01:18] 除了这个研调机构
[01:20] 不断的有出一些
[01:21] 算是畅控AI
[01:22] 或者是说AI的
[01:24] 像NV的机会要延后
[01:26] 这类型的报告之外
[01:27] 川普重启了这个美益战火
[01:30] 也是市场比较关注的
[01:31] 而且这一次因为油价
[01:32] 是有一点点往上跑的
[01:34] 如果今天川普讲完以后
[01:36] 油价没有跑
[01:37] 我觉得市场也不会太担心
[01:39] 还有就是新台币的最近的弱势
[01:41] 虽然呢
[01:42] 这个对我们第二季所谓的
[01:44] 汇兑收益
[01:45] 以及到七月份
[01:46] 可能对外销出口都是有帮助的
[01:48] 因为赚美元进来嘛
[01:50] 但是对于台股
[01:51] 一直流出这件事情
[01:53] 今天连这个央行总裁彭金荣都有讲
[01:55] 他觉得外资有可能前一阵子是停利
[01:58] 汇出台股和台湾
[02:01] 他有提到这件事情
[02:02] 那央行是不会轻易的出手去干预汇率的
[02:06] 他觉得一切都还算是在正常的范围内
[02:08] 那当然盘面上今天中小新股是有反攻的
[02:11] 所以也许体感温度不能算是太差
[02:13] 只是尾盘可能有一点小失望
[02:16] 先来欢迎今天的来宾
[02:17] 今天来宾是新南股神威良哥
