[00:00] 欢迎收听赵华宜古惑载第1137集
[00:09] 今天是2026年的7月13号
[00:12] 今天恐怕大家是有一点点失望了
[00:15] 怎么讲呢
[00:16] 因为上个礼拜四我录Podcast的时候
[00:19] 一心以为这个星期五不会放假
[00:22] 所以一开场还说应该没有放假了
[00:24] 就星期五我们就空中无法相会
[00:27] 但也好我就想说
[00:29] 难得可以休息
[00:30] 大家知道我的工作量是蛮载的
[00:33] 难得可以休息
[00:33] 而且其实我的腰有点拉伤
[00:36] 已经快一个月了
[00:37] 快一个月
[00:38] 后来在这个台风假的最后一天
[00:40] 应该是没有台风了
[00:41] 礼拜天的时候
[00:42] 还特别去给那种整骨的师傅
[00:44] 就是拨了几下
[00:46] 哇塞
[00:46] 真的拨完之后
[00:48] 有点通体舒畅
[00:49] 想说自己到底
[00:50] 为什么要拖这么久
[00:51] 好
[00:51] 但是呢
[00:52] 虽然这个经过整骨师傅的整骨之后
[00:55] 自己有通体舒畅
[00:57] 但是今天的台骨的状况
[00:58] 就比较没有通体舒畅
[01:01] 本来以为想说没有关系啊
[01:03] 反正礼拜一开盘好就好了
[01:04] 这个礼拜又有台积电的法说
[01:06] 所以我们就礼拜一好
[01:08] 这个礼拜好
[01:09] 法之前就是叠掉的中小型股
[01:11] 可以补一些回来
[01:12] 不过今天我们的涨点
[01:14] 是几乎全数被吃掉
[01:16] 一开盘气势如虹
[01:17] 涨到快要1000点
[01:19] 但中场只收涨25点
[01:21] 而且盘中还一度翻黑
[01:23] 一度翻黑
[01:24] 再加上台积电在盘中
[01:27] 其实蛮硬挺的
[01:29] 就知道中小型股
[01:30] 今天又是一个开高走低
[01:33] 甚至一开始像被动元件类
[01:35] 主动元件类
[01:36] 就是直接杀低的情形
[01:37] 为什么
[01:38] 因为韩国的状况相当不理想
[01:41] 韩国今天在盘中又一度跌到停止交易
[01:45] 那海力士ADR挂牌大涨
[01:48] 可是今天在韩国的现股市场
[01:50] 却跌了十几趴
[01:51] 到底发生什么事
[01:53] 我们有点觉得
[01:54] 现在世界有点绕着韩国在转
[01:58] 韩国政府最近的态度也比较强硬
[02:00] 就提到说搞不好要升息
[02:02] 然后也一直对于杠杆型商品颇有为次
[02:06] 在货币政策紧缩的情况下
[02:09] 这个是政策
[02:10] 我们有多次提醒
[02:11] 不管是韩国
[02:12] 不管是美国
[02:13] 甚至是台湾
[02:14] 我们对货币政策或是贷款
[02:16] 这种杠杆的政策都有紧缩的现象
[02:19] 对应到的是台股的基本面
[02:21] 还是很好
[02:22] 它一定营收出来创历史新高
[02:24] 怎么样去看这两股PK的力量
[02:27] 很多朋友在最近都传讯息哀嚎
[02:30] 说账面回吐相当多
[02:32] 好 先来欢迎今天的来宾
[02:34] 今天来宾是礼拜一的常客
[02:36] 就是我们的题材猎人汉伟哥
[02:40] 大家好 各位听众朋友大家好
[02:41] 真的是账面回吐相当多
[02:43] 因为今天我也是想说休假三天
[02:46] 然后来看一下
[02:47] 搞不好今天我的账面就可以回来了
[02:49] 因为大概快两个礼拜前
[02:51] 有跟听众朋友分享
[02:53] 一度看到是账面的获利
[02:55] 创历史新高的时候
[02:56] 就觉得嘿嘿
[02:56] 这个时候是不是要给解码一下
[02:59] 通常后面没有好事
[03:00] 然后我大概才
[03:02] 可能十个交易日吧
[03:03] 我的账面大概也缩水
[03:05] 大概有两成以上
[03:06] 对两成到25%
[03:09] 所以可以体会到
[03:11] 蛮多朋友这段时间
[03:12] 会觉得体感温度一直好不起来
[03:14] 那今天的情形就是
[03:17] 显然我们强劲的基本面
[03:19] 有点不抵
[03:20] 这个韩国的政策面跟波动
[03:23] 怎么样来看
[03:24] 因为今天你要教大家
[03:26] 下去捡主被动元件
[03:27] 说实话我也不敢
[03:28] 你教大家去勇敢拥抱细金元
[03:31] 说实话我也不敢
[03:32] 怎么样来因应
[03:34] 现在盘面的对策跟想法
[03:36] 对那当然今天
[03:37] 应该蛮多人会觉得说
[03:38] 早知道礼拜五不放假
[03:40] 那一天把股票卖掉就好了
[03:41] 但因为我们都知道
[03:43] 市场没有早知道这件事情
[03:45] 是的
[03:45] 对啊所以今天我觉得
[03:47] 但盘面上会让大家觉得
[03:49] 有一点点很伤心
[03:50] 甚至觉得难过的一个主要原因
[03:52] 在于说今天盘面上
[03:53] 其实跌都是所谓的主流强势股
[03:55] 所以大家感受就会变得非常差
[03:58] 就像刚刚赵华所提到的
[03:59] 被动元件是出现了明显的跌停潮
[04:02] 那甚至说前一波上礼拜
[04:04] 还算强势的所谓主动元件
[04:06] 强茂啊大宗啊富鼎啊台办等等
[04:09] 竟然出现重瘦的发展
[04:11] 而且都跌破了月线的关卡
[04:12] 所以就代表说这一波原本大家这个
[04:15] 市场共同认同度最高的
[04:18] 所谓涨价概念的题材股
[04:19] 其实今天已经开始出现
[04:21] 很多的转落的一个态势
[04:22] 除了刚刚讲主被动元件
[04:24] 记忆体PCB
[04:26] 还有这个所谓的一个相关的
[04:28] 所谓的一些涨价的概念的题材
[04:30] 也都出现全面性的拉回
[04:32] 大概只剩下所谓的
[04:33] 吸星源跟载板
[04:35] 是相对今天排名上
[04:37] 还有在创业率挺高的
[04:38] 所以也就代表说
[04:40] 整个台股你会发现到
[04:41] 来到今天
[04:42] 其实排名最高
[04:43] 有到四万六千点的关卡
[04:45] 但是好像排名上
[04:47] 主流一个接一个的一个往下沦陷
[04:49] 所以大家感受上就会觉得说
[04:51] 那台股到这个位阶点上面
[04:53] 后面如果真的要在
[04:55] 往上去挑战历史新高的话
[04:57] 还有没有一些所谓多方的题材
[04:59] 可以做一个比较大的想象
[05:01] 所以今天当然大家会觉得说
[05:03] 蛮失落的是
[05:05] 好像盘面上涨的股票我不敢买
[05:08] 跌的股票我不敢接
[05:09] 那这个时间点到底可以做什么事情
[05:12] 我觉得还是可以一一来看
[05:13] 第一件事情就是说
[05:15] 我们去相比国际股市跟台股的位阶
[05:18] 你会发现到台股
[05:19] 其实相对国际股市来讲相对是强的
[05:21] 所以我觉得这一波也代表说台股
[05:23] 因为我们的类股结构算是相对比较健康
[05:27] 我们还有所谓的台积电
[05:28] 还有所谓的日月光
[05:30] 还有联电
[05:31] 还有这个相关的所谓的一个成熟制程
[05:34] 先进制程的股票
[05:35] 都能够撑在相对的高档区
[05:37] 所以你看到韩国股市
[05:39] 我们隔壁邻居
[05:40] 从高档回跌
[05:41] 我觉得今天看到这个媒体报道
[05:42] 好像跌了快要30%
[05:44] 这个就是非常明显的
[05:46] 就是类似所谓的坐头
[05:48] 甚至说有翻空的一个迹象
[05:49] 那日本股市
[05:51] 香港股市
[05:52] 大股市从高档也纷纷回跌了
[05:54] 那你看到美股的四大指数
[05:56] 但道琼还相对高档区
[05:57] 但在所谓的一个废办指数
[05:59] 也出现比较明显的拉回
[06:01] 所以相较台股
[06:02] 今天是月线失守的第四天
[06:05] 那你如果大家去看
[06:07] 这个今年台股的走势
[06:09] 大盘没有跌破月线
[06:11] 超过四天以上
[06:12] 所以我觉得这一波整个结构是有在转变的
[06:15] 所以投资人还是要小心一下
[06:17] 就是目前整个国际股市跟台股的一个格局
[06:20] 慢慢在转弱当中
[06:22] 所以这时间点
[06:23] 当然大家说我不知道该买强势股
[06:25] 还是要去把弱势股换掉
[06:27] 我觉得可能大家可以先以这种少做多看的一个方式
[06:32] 去看后面盘式的变化
[06:34] 那主要观察什么
[06:35] 就观察第一个国际股市的部分有没有回稳
[06:38] 那当然目前风暴的重心是在韩国股市
[06:41] 那就像刚刚赵老师所说的
[06:43] 你大概从7月份看到韩国股市
[06:45] 不是在上涨的熔断
[06:48] 不然就在下跌的熔断
[06:49] 所以代表他们的一个波动
[06:51] 非常的剧烈
[06:52] 也脱离他们本身应该有的基本面
[06:54] 但是最近看到一个报告
[06:56] 就是说以韩国股市目前
[06:57] 它的本益比
[06:58] 在全球股市里面
[06:59] 还是相对比较低的
[07:00] 对那主要还在说
[07:02] 因为他们有机体的大厂
[07:03] 所以机体真的赚太多钱了
[07:05] 所以就算股价这样跌下来
[07:07] 大家我觉得后续对韩国股市
[07:09] 也不用太过于悲观
[07:10] 因为他们的一个本益比的
[07:12] 低本益比的情况
[07:13] 加上基底的后市还是可以看好
[07:15] 所以我觉得整个韩国股市
[07:16] 如果能够先回稳
[07:18] 也就是说它能够出现这种
[07:20] 连续两天的上涨
[07:21] 那股价能够回到重要的基线
[07:24] 或回到月线支撑以上的话
[07:25] 我觉得全国股市的一个
[07:27] 这一波的修正麦押
[07:28] 或去干杆的状况
[07:30] 就能够慢慢的缓解
[07:31] 好 确实是真的回来看韩国股市
[07:34] 我们也在开玩笑说
[07:35] 很少有机会看到
[07:37] 全球投资市场
[07:39] 是看韩国股市的脸色
[07:41] 因为韩国的组成
[07:43] 跟台股美股毕竟还是比较不一样
[07:45] 两大的记忆体公司三星海力士
[07:47] 就占他们的市值大概有50%
[07:49] 我们有台积电
[07:51] 我们台积电也占市值40%
[07:53] 可是我们台积电
[07:54] 至少我们缴出来的成绩单
[07:57] 跟他的稳定度是不一样的
[07:59] 刚刚也提到
[08:00] 今天本来礼拜五说要公布台积电的营收
[08:03] 还想说可能在家就可以看
[08:05] 结果没有公布
[08:06] 那同仁很可爱
[08:07] 同仁说没有公布应该是好消息
[08:09] 没有公布应该是希望
[08:10] 大家不要在礼拜五买不到
[08:12] 今天公布我觉得算好消息吧
[08:16] 4426亿创下历史新高
[08:19] 如果单以六月来说
[08:20] 跟去年的同月比的话
[08:23] 年增超过60%
[08:24] 整个上半年的年增超过三成
[08:27] 是一个非常厉害的成绩
[08:28] 是一个厉害的成绩
[08:29] 那再加上这个礼拜四
[08:31] 台电又要开法说会了
[08:33] 也期待所谓第二季
[08:35] 也没有可能跟去年对比之下
[08:36] 搞不好在汇率上面也是有利吗
[08:39] 虽然去年我记得台积电在汇兑避险上面做得很好
[08:43] 我记得我们还大幅探讨了一番
[08:45] 他怎么样做到汇兑避险
[08:47] 所以也许也不见得是期待汇兑收益
[08:49] 而是大家都有去注意说
[08:51] 像毛利率等等的一些状况
[08:53] 好
[08:53] 不过台积电虽然在这个法说会前没有大涨
[08:57] 但他相对抗跌
[08:58] 相对抗跌是不是也是一种涨
[09:02] 因为毕竟目前的中小型股的状况不太理想
[09:05] 这个也值得观察
[09:06] 还有就是他第二季的毛利率
[09:09] 坊间有很多人在猜
[09:10] 有没有可能看到70%
[09:12] 不过目前掌握到的情况是
[09:14] 应该是不要想得这么乐观
[09:16] 如果用这么乐观去想会失望
[09:19] 如果用正常一点去想会高兴
[09:21] 大概是这样的一个情形
[09:23] 对啊
[09:23] 所以我觉得
[09:24] 但目前大家对于台积电的
[09:26] 礼拜四法收费
[09:27] 还是有比较乐观的期待
[09:28] 因为光就所谓今年的上半年的营收
[09:31] 应该是来到所谓法人预期的高标
[09:35] 那比较可惜的是
[09:36] 在所谓6月营收
[09:37] 原本市场预估说
[09:39] 应该是有机会
[09:40] 超过他们所谓的预估的上限
[09:42] 也就是本来应该是有机会到
[09:43] 4470以上
[09:45] 结果公布出来是4426亿
[09:47] 所以代表说
[09:47] 整体上来看的话
[09:49] 营收是有一点点miss
[09:51] 但是并没有影响到
[09:53] 整体的台积电的一个
[09:54] 后续的一个想象空间
[09:55] 所以你可以看到
[09:56] 今天在所谓的一个台积电
[09:58] 在现货跟期货表现
[09:59] 尤其是在期货的尾盘
[10:01] 虽然说没有来到
[10:03] 今天盘中的高点
[10:04] 但尾盘大概还是维持一个持平的状况
[10:07] 所以也代表市场对于这个六月营收的成型单
[10:10] 还是比较正面来看待
[10:13] 那只是说今天盘市光靠台积电的一个力度
[10:17] 好像撑不太起来
[10:18] 所以你可以看到像台股的贵买指数
[10:21] 今天盘中也回撤到季线的关卡
[10:23] 那贵买指数大家注意到的是
[10:26] 今年贵买指数并没有正式跌破季线过
[10:28] 所以如果说这一次是真的有效跌破季线的话
[10:32] 那你搭配上融资水位偏高
[10:34] 那外资在礼拜三结算之前
[10:36] 又有8万口的空单
[10:37] 也会让大家对于指数的一个后市
[10:40] 有一定的一个阴霾
[10:42] 那刚刚提到嘛
[10:43] 你看韩国股市今天是重挫了
[10:45] 8个百分点左右
[10:46] 那加上说今天这个美股的
[10:49] 起止电子盘
[10:50] 原本早盘大概台股要涨1000点的时候
[10:53] 大概是小跌
[10:53] 我记得纳达克指数大概是
[10:55] 持平左右
[10:56] 那随着韩国股市的熔断之后
[10:59] 在所谓的纳达克指数的期货
