[00:00] 欢迎收听赵怀谷货载第1138集
[00:09] 今天是2026年的7月14号
[00:12] 昨天才在讲说
[00:13] 千点的涨点被没收
[00:16] 今天跟昨天比起来
[00:18] 昨天就不算什么了
[00:19] 昨天是被没收
[00:21] 今天直接盘中
[00:22] 我看到有跌到大概1600多点
[00:25] 后来变成一个下影线
[00:27] 这个下影线也非常的长
[00:29] 这个下影线也是八九百点的下影线
[00:32] 好最后收叠六百四十二点
[00:35] 如果没有前面这一番的狂风暴雨
[00:38] 可能会觉得哇叠六百四十二点好多
[00:41] 但是因为反正有叠到一千六百点
[00:43] 你会觉得只叠六百四十二点
[00:45] V起来咯
[00:46] V起来想法就会不一样
[00:48] 其实大家可以去
[00:49] 检视一下今天的心情
[00:52] 今天越叠越深的时候
[00:54] 我觉得会有非常多的人
[00:56] 有一个感受是完了
[00:57] 子弹早就打完了
[00:59] 现在要减吗
[01:00] 现在感觉上
[01:01] 虽然是所谓的破重要均线
[01:05] 因为月线早就破了
[01:06] 如果看个股或是个ETF
[01:08] 有很多都是破月线
[01:10] 甚至跑到季线去了
[01:11] 好 迭千点
[01:13] 破月季线这样的情况下
[01:15] 照理来说
[01:16] 应该要找东西来买
[01:17] 可是我想今天盘中
[01:18] 可能大家有一点点
[01:19] 会有点狡猾
[01:20] 会觉得
[01:21] 好恐怖
[01:22] 发生什么事情了
[01:23] 哇 前两个月全部都做
[01:25] 白宫获利大回吐
[01:28] 可以在今天保持镇静的人
[01:31] 那就是这段时间的操作节奏
[01:33] 有抓到对的点上
[01:35] 因为我们有常常提醒
[01:36] 这段时间
[01:37] 其实各国的紧缩资金政策
[01:40] 在持续
[01:41] 不是什么黑天鹅
[01:42] 不是什么奇怪的事
[01:44] 就是你今天政策来了
[01:46] 总要有反应
[01:47] 有反应来回测试
[01:49] 洗一下福额
[01:50] 洗一下融资
[01:51] 是一个正常的
[01:52] 只是每一次都没有洗得很干净
[01:55] 他就会来回的洗
[01:57] 好那问题来了
[01:59] 今天这样子算OK吗
[02:01] 那收缴了算OK吗
[02:02] 可能大家也会想说
[02:04] 那今天捡东西真的妥吗
[02:06] 那今天难道找盘
[02:08] 是应该要处理一下自己的股票吗
[02:10] 今天会慢慢来聊
[02:11] 这些有关操作心态面的问题
[02:13] 先来欢迎今天的来宾
[02:14] 今天来的是我们的
[02:15] 股期双分析师
[02:17] 纪委名小明同学
[02:18] 哈喽各位听众朋友大家好
[02:20] 有一天小明同学也会长成小明老师
[02:23] 会啊会
[02:24] 会从小明弟弟变小明哥哥
[02:26] 听起来越来越好
[02:29] 没有因为今天
[02:31] 我就是很久
[02:32] 我都没有在我的脸书发文了
[02:34] 然后我觉得今天
[02:35] 好像不说点什么不行这样子
[02:37] 然后我就发文了
[02:39] 但是我有跟大家聊
[02:40] 真的叫闲聊
[02:41] 我就说其实今天让我最担心的
[02:43] 不是我买了ETF成交比较多
[02:45] 因为我今天有低挂ETF
[02:47] 我在叠1000点的时候
[02:48] 我就觉得总是要贯彻一下
[02:50] 自己讲的嘛
[02:51] 对不对
[02:51] 叠1000点了
[02:52] 大盘不但破月线了
[02:53] 还往季线走
[02:54] 那更遑论
[02:56] 其实有很多的主动式的ETF
[02:58] 是比大盘弱
[02:59] 因为这段时间台积电比较强
[03:01] 所以大盘相较于贵买
[03:03] 或相较于这些主动式买中小股
[03:05] 是反而大盘强
[03:06] 主动式很多都已经回到
[03:08] 这个一个半月前的一个低点
[03:10] 所以我就想说
[03:11] 我今天就低挂了不少的主动ETF
[03:14] 结果后来叮叮叮叮都成交
[03:16] 但是在这个时候
[03:18] 我在跟人家讨论什么
[03:19] 我在讨论我的体重
[03:20] 我刚才跟小明讲
[03:23] 小明最清楚
[03:24] 因为我们就是会一起吃饭什么
[03:26] 他应该知道我都不忌口
[03:27] 就是吃很多
[03:29] 应酬又很多
[03:30] 我觉得当然讲讨厌一点
[03:33] 就是以前那个艾伦常常就很讨厌我这一点
[03:35] 就是我都不做体重管理
[03:37] 他超级讨厌
[03:38] 因为他有段时间饮控超级严格
[03:40] 他就非常讨厌我会讲说
[03:42] 类似吃了不容易胖
[03:44] 其实没有很瘦
[03:45] 我一直都是五一五二
[03:46] 对
[03:47] 多的时候可能五二多一点这样子
[03:49] 但最近我有想到
[03:50] 最近我就突然之间
[03:52] 大概两个月吧
[03:53] 因为我99才量一次体重
[03:55] 我就赫然发现
[03:56] 我从52
[03:57] 因为我前阵子有做大场镜
[03:59] 那时候是51多将近52
[04:01] 就赫然发现我已经变54
[04:03] 这个数字
[04:05] 我很多年没看到
[04:07] 所以我有吓一大跳
[04:09] 体重跟着财富一起争执
[04:11] 两个月前maybe
[04:13] 两个月中发生什么事
[04:16] 发生了其实我的资产
[04:19] 在最近也是有所谓的获利回吐
[04:21] 回吐不少
[04:22] 回吐不少
[04:23] 但体重却逆势增加了
[04:25] 所以我有点吃惊这个情况
[04:26] 而且我很不喜欢做什么饮食控制
[04:29] 因为之前没在做
[04:30] 所以我就想说
[04:31] 那我就每一餐少吃一点
[04:33] 就每餐少吃一点
[04:34] 以前有效
[04:35] 以前其实稍微有过重的时候
[04:36] 少吃一点真的有效
[04:38] 现在少吃一点
[04:39] 还是一样五次
[04:40] 然后我就想
[04:40] 是怎样
[04:42] 然后所以我今天在脸书发文的时候
[04:44] 就先把最近的局势
[04:45] 再跟脸书的朋友报告一下
[04:47] 因为大家如果听古惑仔
[04:48] 应该不需要再报告
[04:49] 可是可能还是有一些朋友
[04:51] 是没有仔细听的
[04:52] 对
[04:53] 然后最后一段就写了一下
[04:55] 我最近的体重问题
[04:56] 结果果然70%的留言
[04:58] 都在讨论我的体重问题
[04:59] 对不对
[05:00] 整个歪掉
[05:00] 比较有共鸣
[05:02] 好我们先回到今天的盘面
[05:04] 今天说实话我自己观察
[05:06] 也没有什么大事
[05:08] 他还是延续了我们前几周
[05:10] 不停的聊到的
[05:11] 就是各国政府都在收缩资金
[05:13] 这个问题
[05:14] 那我们其实这一波台股修正
[05:17] 一方面你跟韩国股市比起来
[05:19] 这个叫小巫见大巫
[05:21] 台股没有跌多少
[05:22] 虽然这样讲
[05:23] 大家心里会觉得
[05:24] 不对啊
[05:25] 我好像觉得最近的操作难度很高
[05:27] 可是你从跌点来讲的话
[05:29] 其实台股真的没有修正多少
[05:31] 所以你说到底问题出在哪里
[05:33] 一定是个股
[05:34] 或者是大家在操作上面的那种心态跟逻辑
[05:37] 我们可以后面来聊
[05:38] 我认为以目前全球来讲的话
[05:41] 韩国股市是真的杠杆跟泡泡累积的很大
[05:45] 但我们在一个多月以前也跟大家聊过
[05:48] 台股你说有泡沫
[05:49] 或者是这种杠杆太严重的问题吗
[05:51] 我们拿数据出来讲
[05:53] 其实并没有
[05:54] 因为融资的绝对金额
[05:56] 大概就是回到2000年
[05:57] 那个时候Docon Bubble的水位
[05:58] 可是当时的指数是1万多点
[06:01] 现在是4万多点
[06:03] 因此你要说我们现在的杠杆
[06:06] 跟2000年那个时候比
[06:08] 我觉得完全不一样的环境
[06:09] 所以台股我个人自己判断
[06:12] 不会跟韩股一样经历过这种
[06:14] 这么严重的去杠杆的阶段
[06:17] 当然杠杆还是得去
[06:18] 而且我们看到今天
[06:19] 应该晚上的融资
[06:21] 希望是能够有明显减少
[06:23] 希望250亿以上
[06:24] 看看有没有
[06:25] 而且不要马上就统统加回来
[06:28] 因为过去这几次
[06:29] 我们也有看到那种
[06:30] 台股一天减了100多亿
[06:31] 减200亿
[06:32] 就隔没几天就全部都加回来
[06:34] 所以这一波台股
[06:36] 它在修正的过程里面
[06:37] 没有那种真的
[06:38] 哇我把筹码清得很干净的
[06:41] 这种状况
[06:41] 所以每一次的反弹
[06:43] 或者是涨了一下子
[06:44] 感觉还涨过去
[06:45] 怎么又跌下来又跌下来
[06:47] 但多头的架构还是没改变
[06:49] 至少我的信念是你的季线还在上扬
[06:52] 季线还在上扬
[06:53] 我们应该是第一次
[06:55] 在这一个几个月里面
[06:57] 看到指数准备要往季线回撤
[06:59] 所以代表在短线上面
[07:01] 这种修正的幅度
[07:02] 对我来讲已经算满足
[07:03] 至于说今天这一种修正的行情
[07:06] 有人会说是不是空头M头
[07:09] 因为我们跌破了前面的低点
[07:11] 但我要告诉大家
[07:12] 不会因为今天一天的下跌
[07:14] 整个形态就坏掉
[07:16] 然后台股就自此走上空头
[07:18] 我不认为
[07:19] 我还是蛮期待7月中下旬
[07:21] 看到5万点的
[07:22] 这个5万点
[07:23] 我们当然还是要期待
[07:25] 台积电的法税会
[07:26] 能不能给一些利多
[07:27] 或者是在这个月的下半个月
[07:30] 我们会看到很多美国的科技股财报
[07:32] 也要陆续公布
[07:33] 所以有很多正在
[07:35] 援兵正在路上
[07:36] 大家一定要撑住
[07:37] 我会觉得面对今天这一个大跌
[07:40] 很多的个股融资维持率
[07:42] 特别是跌得很深的光通讯
[07:44] 我会发现应该融资会清的蛮干净的
[07:48] 所以等于是先蹲后跳的行情
[07:50] 会是我在这一个月下半个月
[07:53] 期待看到的一个剧本
[07:55] 所以今天的话对小明同学来说
[07:58] maybe是一个满足点
[07:59] 那当然我们还是得看一下
[08:01] 因为明天台指旗结算
[08:02] 很多人说怎么搞的
[08:04] 今天是不是提早结算
[08:05] 而且刚刚我初看了一下盘后
[08:08] 当然要以正齐交所公布的为主
[08:10] 空单还增加
[08:11] 刚刚一看这样子的空单还增加
[08:14] 所以到底想干嘛
[08:16] 现在的话
[08:18] 其实期指的正价差
[08:19] 也没有那么明显了
[08:21] 对不对
[08:21] 所以套利的单
[08:22] 应该是有变得比较少
[08:24] 那就是避险单
[08:25] 现货市场又一直卖
[08:27] 当然现货市场一直卖
[08:28] 是因为我们的汇率
[08:29] 一直在贬值的关系
[08:31] 最近韩环跟我们都是在走贬
[08:34] 可能理由各自不一
[08:35] 但无论如何
[08:36] 因为美元有走强
[08:37] 美元走强
[08:38] 它就是全世界
[08:39] 有一点避险的味道跑出来
[08:41] 以及联准会
[08:42] 真的上次在讨论
[08:44] 这个要不要升息
[08:45] 是这个华许开会前
[08:47] 其实从华许开会
[08:48] 那个时候大家觉得
[08:50] 是不是要利空出尽
[08:51] 因为开完会端午节后
[08:52] 不是先大涨吗
[08:53] 但其实那个问题
[08:54] 它一直有点卡在那里
[08:56] 这个礼拜有所谓的CPI要公布
[08:58] 当然六月的CPI
[09:00] 小明同学应该也认同
[09:01] 就是不太可能再往上跑
[09:03] 因为油价下来了
[09:04] 但是华许也有放话
[09:06] 他也有说
[09:07] 如果CPI再出现有任何失控
[09:09] 那就是不排除升息
[09:10] 所以我的意思是说
[09:12] 这段时间
[09:13] 它一直都还是在资金紧缩的
[09:17] 这个压力之中
[09:18] 它没有改变
[09:19] 那因为这样的关系
[09:21] 所以美元一直都相对强势
[09:23] 那我们台股很容易就会变成说
[09:25] 资金跑出去
[09:26] 跑出去那现在台积电又要法说
[09:28] 所以你虽然是觉得
[09:30] 跑出去你提款台积电最快
[09:32] 可是台积电人家要法说了
[09:34] 人家6月份收创业体新高
[09:35] 不太容易狂砍台积电
[09:37] 就会一直在砍这些中小股
[09:40] 所以外资从台湾市场流出
[09:43] 那为什么从韩国市场流出呢
[09:44] 一方面呢
[09:45] 他们自己也在去杠杆
[09:47] 另外一方面呢
[09:48] 像昨天那个基金医生有来
[09:50] 他就跟我说
[09:50] 很多人把钱汇到香港去
[09:52] 因为香港就有两倍做多的
[09:54] 三星海力士
[09:56] 他很过分就疯狂把钱汇到香港
[09:58] 去买这些这个杠杆型商品
[10:01] 所以这个是很有意思的一个资金流向
[10:04] 通常如果资金是从国家流出的话
[10:07] 那股市就不容易好
[10:08] 所以这段时间就是笼罩着这些问题
[10:12] 但是当然我没有办法像小明这么笃定的说
[10:15] 今天已经算是一个满足
[10:17] 但是这么长的下影线
[10:19] 我觉得也是要尊重
[10:20] 这么长的下影线
[10:22] 然后又已经往际线侧过上来
[10:25] 我觉得短线上面确实已经有消化掉
[10:28] 就是最近这些不确定因素造成的问题
[10:31] 因为在如果说联准会
[10:34] 我个人你要把它拆成两部分来讲
[10:36] 一方面AI它会
[10:37] 现在联准会担心
[10:39] AI可能会推升通膨
[10:40] 但另一方面AI也能降低通膨
[10:42] 推升通膨的部分
[10:43] 是因为你AI的资本支出
[10:45] 花太多钱了
[10:46] 所以当今天企业投资
[10:48] 你一个国家反正你有学过
[10:49] 国民所的会计横等式
[10:51] 那你就知道投资增加
[10:53] 好讨厌
[10:54] 就容易带动通膨
[10:56] 可是另一方面
[10:57] 因为你AI带动的是
[10:58] 技术生产力的提升
[10:59] 这一个部分又会把通膨给压下来
[11:02] 所以联准会现在面对到的课题
[11:04] 是一个它跟我们一样
[11:05] 我們都在看一個新的世界
[11:07] 那他現在也不知道要怎麼做
[11:09] 所以他必須要觀察
[11:10] 那你要觀察一定就是從CPI的數據
[11:13] 當然這個月的CPI數據
[11:14] 我自己也不太擔心啦
[11:16] 畢竟你油價有跌
[11:17] 所以很直接的會反映在CPI上面那既然CPI他不會是一個失控引爆的因子我会觉得今天这根下影线它对我来讲真的是一个感觉要买股票的那个时间点
[11:29] 对 然后再来的话
[11:30] 除此之外
[11:31] 我个人会认为现在其实
[11:33] 这一波的修正
[11:34] 大家要用一个比较乐观的方式去看待
[11:36] 我们先讲一下外资的空单好了
[11:38] 因为在达仁修上面时间有限
[11:40] 我没办法讲得太多
[11:41] 但是我们在观察像现在8万多口的空单
[11:45] 我一直强调你不需要担心
[11:46] 因为外资的空单
[11:48] 它有分成三个结构
[11:49] 我们讲过它有避险
[11:50] 它有套利
[11:52] 然后也有方向性的交易
[11:54] 只有方向性的交易
[11:55] 是真的看空
[11:56] 那避险的单子
[11:58] 你一定会随着你指数
[11:59] 从原本的1万点
[12:01] 涨到2万点
[12:01] 再涨到4万点
[12:02] 它一定口数会越来越多
[12:04] 那再来的话
[12:05] 套利的部分
[12:06] 最近正价差也蛮明显的
[12:08] 所以套利的单子
[12:09] 我觉得近期的数量
[12:10] 规模也有在放大
[12:12] 真正在做方向性的空单
[12:14] 我反而认为
[12:15] 比较少一点
[12:16] 因为如果大部分都避险单
[12:18] 那我觉得外资也不会
[12:21] 真的希望台股下跌
[12:22] 就像我上次举的例子
[12:23] 你做避险就有点像是
[12:25] 你买了一栋房子
[12:25] 你帮他买了火险
