[00:00] 欢迎收听赵华业股破载第1139集
[00:09] 今天是2026年的7月15号
[00:12] 今天的状况是一个回血啊
[00:15] 昨天看到大家的血条
[00:18] 有没有那种打电动的血条
[00:20] 我个人好了
[00:22] 以我个人来说
[00:22] 如果比起前一阵子就是账面获利高的时候
[00:26] 大概血条剩一半而已
[00:28] 血条剩一半
[00:30] 那今天的话
[00:31] 真的还蛮有感回血的
[00:33] 因为今天的热门股的反弹幅度都不小
[00:35] 都不小
[00:36] 所以今天如果看我的血条
[00:37] 我觉得是有回到大概65%到70%
[00:41] 有这样的一个感受
[00:42] 不晓得大家的感受是如何
[00:44] 好
[00:45] 昨天的话
[00:46] 当然现在回头来看的话
[00:48] 是一个好像不错的加码日
[00:50] 不过我们常常讲
[00:51] 这种预测
[00:52] 也不用说什么早知道不早知道
[00:54] 总之我们按照纪律走
[00:55] 在基本面的状况
[00:57] 明明还是很好的情况下
[00:59] 遇到乱流
[01:00] 下跌了千点以上
[01:01] 那破了重要的均线
[01:03] 大家如果不敢买个股
[01:05] 好歹可能也可以减一点ETF
[01:07] 不敢买主动市
[01:08] 觉得最近主动市的波动
[01:09] 也变得很大
[01:10] 那至少买一点市值
[01:12] 那还有就是明天
[01:14] 台积电的法说要来了
[01:15] 我想今天盘面上
[01:17] 有一个比较好的状态
[01:18] 就是台积电相关的供应链
[01:20] 今天是有暖身的态度
[01:23] 跟前一阵子
[01:25] 明明我们都知道
[01:26] 大家例如说
[01:27] 这个风策股
[01:29] 或者是设备类股
[01:30] 订单很满
[01:31] 这个扩厂的单都接不完了
[01:35] 对不对
[01:35] 那大家都互相验证
[01:36] 说我扩厂的
[01:38] 投标投到五标
[01:39] 都没有厂商愿意
[01:41] 接我们家的案子
[01:42] 好
[01:43] 明明就是这个样的情况
[01:44] 所以他们叠下来
[01:46] 大家可以比较放心
[01:47] 但相对于有一些
[01:48] 可能业绩成长
[01:49] 没有那么确定的
[01:51] 或者是股价涨得比业绩
[01:53] 真的已经走非常非常多倍的
[01:55] 那我们可能就要谨慎一些些
[01:57] 好不过无论如何
[01:58] 今天是一个反弹的格局
[02:00] 我们常常讲1000点被没收这件事情
[02:02] 今天盘中有回来
[02:04] 但中场又微微的压尾盘
[02:05] 所以是上涨了893点
[02:08] 那当然工程有两大外界因素
[02:11] 一个就昨天晚上的CPI
[02:12] 我们也跟大家聊了
[02:14] 6月的CPI不太可能太高
[02:15] 那果然写出来低于市场的预期
[02:18] 所以昨天晚上夜盘就已经先涨了
[02:20] 然后接下来美股开盘也不错哟
[02:23] 再来是韩国
[02:24] 因为这一波的震央
[02:26] 事实上是韩国
[02:27] 韩国真的恐怖了
[02:29] 我们等一下会来聊一下
[02:30] 但韩国政府
[02:32] 可能不太对劲了
[02:33] 从之前的警告
[02:34] 打压
[02:35] 紧缩
[02:35] 告诉大家说
[02:36] 大家现在先不要担心
[02:38] 我们开会
[02:38] 研拟一些方案
[02:40] 股民莫慌
[02:41] 不要再杀了
[02:41] 好 先来欢迎今天的来宾
[02:43] 今天来的是我们的
[02:45] 黄金右下角
[02:46] 选股教练
[02:47] 韦泰
[02:47] 嗨 教宝好
[02:48] 大家好
[02:48] 我觉得两三个礼拜前
[02:51] 韦泰来有一次
[02:52] 有特别提到
[02:52] 这一次的修正
[02:53] 他比较不积极的参与
[02:55] 说跌身就立刻去买
[02:57] 他觉得要多观察一下
[02:59] 因为台股涨
[02:59] 上一波涨到48000点的现货
[03:02] 其实有点急
[03:03] 急行军之下的挥荡
[03:05] 要稍微留意一下
[03:07] 可能就要洗筹码
[03:08] 洗得清楚一点
[03:09] 因为我们常常讲
[03:10] 各国都卡在
[03:11] 所谓杠杆开太大这件事情
[03:14] 所以如果按照维泰的想法
[03:16] 那个时候不太做动作
[03:18] 到现在也是完全正确
[03:20] 就免于像我们被丢进洗衣机里面
[03:24] 就免于这一番的风浪跟风波
[03:29] 但我刚刚在录音前
[03:31] 有稍微跟韦泰聊了一下
[03:32] 说好那CPI开出来了
[03:33] 至少连准会前两天还放话
[03:36] 他也放话说
[03:37] 如果这次的CPI有超标的话
[03:40] 就升息
[03:40] 其实是有点虚张声势
[03:43] 因为他们一定知道
[03:44] 六月不会
[03:45] 六月油价下去
[03:46] 然后韩国刚刚也讲了
[03:49] 现在一个转弯
[03:50] 就是说大家稍安勿躁
[03:52] 我们今天早上看到一个新闻
[03:53] 有一个财经频道的YouTuber
[03:55] 被民众尾随拿刀捅
[03:58] 然后我跟韦泰说
[04:00] 我们出入小心
[04:02] 幸好台湾没有那么严重
[04:04] 请大家不要到东森的楼下
[04:06] 要去就去友台的楼下
[04:08] 不要堵我们
[04:09] 因为韦泰几乎每天都来东森
[04:12] 我干嘛讲出来
[04:14] 不会的
[04:15] 黄金右下角从不害人
[04:17] 没有问题的
[04:18] 好那经过两三礼拜了
[04:20] 韦泰觉得经过这一番的洗刷
[04:22] 昨天甚至有盘中出现跌1700点
