[00:00] 欢迎收听赵华谊古惑仔第1140集
[00:08] 今天是2026年的7月16号
[00:12] 今天是一个很特别的日子
[00:13] 不只是台积电在开法说会
[00:16] 今天的古惑仔是有影片版的
[00:19] 而且今天我请到了一王一后
[00:22] 哪一王哪一后呢
[00:24] 我前面前言先不讲
[00:25] 我先把名字报出来
[00:26] 第一位是我们的AI达人蔡明翰
[00:29] 赵华 婉婷
[00:32] 听众朋友 观众朋友大家好
[00:33] 你看他给我爆雷
[00:34] 第二位就是我们的PCB女王婉婷
[00:39] 嗨赵华 嗨敏翰 大家好
[00:42] 因为今天是个大日子
[00:44] 所以我前面前言先不讲
[00:46] 先介绍来宾
[00:46] 刚刚敏翰还愣一下
[00:48] 对 我本来想说应该是Lady first
[00:50] 应该先介绍婉婷
[00:51] 但是因为我讲了一王一后
[00:52] 我没有讲以后一王
[00:54] 所以就只好先从敏翰介绍起
[00:56] 为什么今天这么大的阵仗呢
[00:59] 当然是因为这段时间
[01:00] 我想投入朋友一定内心有点压力
[01:03] 今天台积电开法说
[01:05] 今天在现货市场台积电是红盘的
[01:08] 可是整体的中小型股的体感
[01:10] 还是非常的不好
[01:12] 所以一次请来两位重量级的达人
[01:15] 好好的来帮大家
[01:17] 送信息也好
[01:18] 拆解基本面
[01:19] 还有法人的动向也好
[01:21] 希望大家能够对这段时间的变动
[01:23] 心里面能够更有一个底气在
[01:25] 因为像今天以这个PCB女王在嘛
[01:29] 同博基板台要打到迭亭板
[01:31] 载板的南电本来很强
[01:32] 今天也打到迭亭板
[01:34] 然后有很多人就说
[01:35] 救救金像电啊金居怎么了
[01:37] 那看到民汉大家也要说
[01:40] 不是讲说7月还有好行情吗
[01:43] 可是好像AI股
[01:44] 现在并没有说太多的利多支撑
[01:47] 他们继续往上走的一个态势
[01:49] 其实最近的国际股市有一些动荡
[01:52] 明明感觉上也拆弹
[01:53] 例如CPI的年增率并没有很高啊
[01:55] 还越减了
[01:56] 所以本来想说
[01:57] 美国升息的状况
[01:58] 应该可以压下来
[02:00] 然后韩国
[02:01] 今天下午他们也要开会
[02:02] 因为韩国已经很严重
[02:04] 韩国有很多人
[02:05] 已经想不开了
[02:06] 去杠杆到
[02:07] 他们的政府觉得很严重
[02:08] 可能要来开会
[02:09] 也以为可以拆弹
[02:10] 可是今天的记忆体
[02:11] 还是一个暴跌的状态
[02:12] 所以到底这些风风雨雨
[02:15] 要什么时候才能过去
[02:16] 还有台积电
[02:17] 已经公布了第二季的季报
[02:18] 可能看到毛利率只有
[02:22] 67.7%
[02:23] 大家好像不满意
[02:24] 所以台积电不但杀尾盘
[02:26] 夜盘这个所谓台积电的ADR盘前
[02:28] 已经又开始继续跌
[02:30] 这些事情我们到底怎么来解读
[02:33] 我们一项一项来好不好
[02:34] 我们先从总体环境好不好
[02:37] 两位都在
[02:37] 看两位谁要翻个零吗
[02:40] 第一个当然是总体环境
[02:43] 我们都觉得既然CPI六月没有报表
[02:46] 感觉上美国升息的压力应该解除了
[02:48] 再来就是南韩的问题
[02:50] 南韩现在看来他们要紧急开会
[02:52] 去解决去杠杆
[02:53] 去到好像大家皮都脱掉的这种问题
[02:56] 这样的国际事件的干扰
[02:59] 到底什么时候可以告一段落
[03:01] 或是其实根本已经不用在意了
[03:03] 其实CPI就是比较好
[03:12] 这件事情是好事
[03:13] 但是因为最近美伊战争
[03:15] 又开始有一点纷扰
[03:16] 然后油价要重新上去
[03:17] 所以如果大家看
[03:19] 因为其实CPI它是一个当下的值
[03:22] 就上个月的值
[03:22] 所以我反而会开始思考说
[03:25] 那下个月的CPI
[03:26] MOM是不是又会上去
[03:28] 对
[03:28] 所以这个
[03:29] 暂时可能开信一两天之后
[03:32] 你又要开始担心下一次
[03:34] 然后再来就是
[03:35] 美债殖利率也反弹了
[03:37] 所以升息预期
[03:39] 这件事情又会重新被讨论
[03:41] 这个我觉得还是
[03:42] 对盘面有一点点小小的影响
[03:44] 但坦白讲
[03:45] 我觉得最近盘面总经的干扰性并不重
[03:48] 对
[03:49] 我觉得AI的杂音
[03:50] 然后第三季业绩的订单的杂音等等
[03:54] 反而是真的很多
[03:55] 超级多
[03:57] 对今天可以好好来聊
[03:59] 好所以等一下来聊第三季的杂音
[04:02] 那明翰这边怎么看呢
[04:04] 我看法还是维持不变
[04:05] 我觉得我个人看法
[04:08] 我觉得没有利空
[04:09] 完全没有利空
[04:11] 基本面完全都不变
[04:12] 应该这样讲
[04:13] 第二季股市不断涨
[04:14] 大家都觉得很乐观
[04:16] 七月到现在应该这样讲
[04:19] 七月的基本面跟五六月有什么差别
[04:21] 答案完全没有
[04:23] 只有更好
[04:24] 完全没有任何修正的地方
[04:26] 所有讲的我个人觉得
[04:27] 只有一个最大的利空就是涨多
[04:31] 这是不真的事实
[04:32] 结论上半年指数能够涨超过五成
[04:36] 那应该说重点是在第二季
[04:38] 一季就可以涨超过四成
[04:40] 指数涨一万四千点
[04:42] 这是一个不可思议的数字
[04:43] 所以你必须得付出代价
[04:45] 那结论而言
[04:47] 我常常讲的就是
[04:48] 我跟他聊天
[04:49] 他会讲说
[04:50] 其实台股最近对比来讲还不差
[04:52] 因为对比韩国
[04:53] 韩国比我们更惨
[04:54] 那对不对
[04:55] 我说一分钱一分货
[04:56] 你要知道
[04:57] 在上半年在涨的时候
[04:59] 非半跟韩国涨了一倍
[05:01] 我们只有他一半
[05:02] 所以呢
[05:02] 就是涨的时候我们只有他一半
[05:04] 在跌的时候我们也只有他一半
[05:06] 是一个非常合理的现象
[05:07] 那我们现在压回感觉有压力
[05:10] 你要思考一下
[05:11] 韩国人的压力一定是我们两倍大
[05:14] 这个是可以直觉想象
[05:16] 那我会觉得
[05:16] 最後我常常講不要看著股價去影響心情
[05:21] 因為現在七月的架構跟第二季是完全沒有任何改變
[05:26] 我看到只有更好的數字
[05:27] 幾乎沒有數字出現任何的惡化
[05:30] 那大家在講韓國的事情
[05:32] 我的結論就是大家要有一個概念
[05:36] 就是我自己賭
[05:37] 就是我不是因為台灣人
[05:39] 就是說如果今天韓國股市跟台灣股市一直爆到明年底
[05:44] 我還是覺得韓國漲的會比台灣多
[05:46] 这个架构是不会改变的
[05:48] 他们主要就两大这个低润厂
[05:51] 所带动这个整个时数
[05:53] 这两大低润厂
[05:54] 因为这两年的获利持续
[05:56] 盆除现在本益比连十倍都不到
[05:58] 台积电本益比真的也很低
[06:00] 但毕竟还二十几倍
[06:02] 所以韩国现在最大的问题
[06:04] 就是涨跌速度太快
[06:06] 所以你涨的速度太快
[06:07] 一拉回不好意思
[06:08] 就是你有杠杆的
[06:10] 你都得付出代价
[06:11] 那你没杠杆的
[06:13] 其实未来一定还会再往上
[06:15] 现在就是把那些
[06:16] 当时压得太满的人
[06:18] 全部洗出去
[06:19] 未来还是会走高
[06:20] 所以回过头来
[06:21] 无论韩国台湾或非半
[06:24] 其实这个趋势
[06:25] 第二季唯一的弱点
[06:27] 就是真的涨的速度太快
[06:28] 那基本面
[06:29] 大家现在就会放大减势
[06:31] 那我个人觉得
[06:32] 记得基本面不变
[06:34] 不要永远用股价来说话
[06:36] 那数字只要能够持续往上
[06:38] 都要维持乐观
[06:39] 好 因为第二季的话
[06:40] 我们相信季报的状况一定很好
[06:43] 等一下也会来帮大家
[06:44] 大家做一下抢先报
[06:45] 可是最近韩国人有一个说法
[06:48] 他们很羡慕台积电
[06:49] 他们说你看海力士叠成这样
[06:52] 然后三星叠成这样
[06:53] 然后人家台积电是撑在那里
[06:55] 不过我们是不是自己
[06:57] 不认识自己台积电有多好
[06:59] 因为就在我们录音的同时
[07:01] 台积电就公布了
[07:02] 所谓第二季季报
[07:03] 现在正在开发说
[07:04] 目前听到的是资本支出
[07:06] 要上调从560亿美元
[07:08] 现在要上调到600亿到640亿美元
[07:10] 这可能是对设备厂的一个好消息
[07:13] 但是你可以看到台积电的盘前
[07:16] 还是在跌
[07:17] 尤其是今天一公布之后
[07:18] 台积电的期货
[07:19] 就直接杀尾盘杀到黑
[07:21] 到底怎样
[07:22] 上半年赚50.05元EPS
[07:25] 三绿三生在第二季
[07:27] 请问到底有什么不开心吗
[07:31] 还是市场有什么样的误解
[07:33] 也许晚上美股ADR那边开盘的时候
[07:36] 会有不一样的想法
[07:37] 好
[07:39] 台积电其实我觉得应该是
[07:42] 过去这两三周之前
[07:45] 大家对于毛绿的期待性太高
[07:47] 对
[07:47] 然后公告出来
[07:49] 其实这样六七点七蛮好的
[07:51] 但是因为法人圈
[07:53] 已经乐观先预期了
[07:55] 所以变成稍微有一点点不如预期
[07:57] 然后另外一个我觉得还有
[07:58] 就是其实大家会害怕
[08:00] 因为这几天公告财报
[08:02] 过去这两三周财报从美光
[08:04] 然后到那个韩国的
[08:07] 其实三星公告财报都非常好
[08:09] 可是然后掌握也还OK
[08:11] 但是后面都傻
[08:13] 对
[08:13] 所以大家就会觉得
[08:15] 力度不涨
[08:15] 很怪
[08:16] 很怪
[08:17] 对
[08:18] 所以也
[08:18] 我相信
[08:19] 也一样会害怕说
[08:22] 明天会不会台积电也力度不涨
[08:24] 他其实刚刚公告
[08:25] 不论是资本支出
[08:26] 跟全年的营收展望的目标
[08:29] 看起来都是上修的
[08:30] 所以也是很好的
[08:31] 所以其实我也认同明翰讲的
[08:33] 基本面
[08:33] 尤其是AI这块没有变
[08:35] 但是里面可能变的是
[08:37] 其他的东西
[08:38] 或者是大家担心
[08:39] 会不会
[08:40] 现在看到的没有变
[08:42] 未来会变
[08:44] 对
[08:44] 因为我觉得股价
[08:44] 有时候反映的是
[08:45] 市场预期这件事情
[08:47] 那实际值可能没有动
[08:49] 但是预期在波动
[08:50] 所以股价才会上上下下
[08:52] 对
[08:52] 所以这个预期
[08:54] 是我们可能要去拿捏的东西
[08:56] 是因为预期吗
[08:58] 是因为市场
[08:59] 因为刚才明翰看到
[09:00] 我就跟我说
[09:00] 哪里有不好
[09:01] 哪里不好
[09:02] 我说我觉得没有不好
[09:04] 对
[09:05] 我这样讲
[09:06] 有没有好
[09:06] 我觉得好或不好
[09:08] 你不要等到看到股价
[09:10] 不要看到股价
[09:11] 对 不要看股价就去解读
