[00:00] 欢迎收听赵华仪古货载第1144集
[00:09] 今天是2026年的7月22号
[00:12] 在进行今天的节目之前
[00:14] 我突然想到
[00:15] 因为昨天在这个内容中
[00:17] 有特别提到说某家银件股
[00:19] 买了国巨在1000多块钱
[00:22] 结果我口误我说成心复发
[00:24] 事实上这家银件股是皇祥
[00:27] 我又把这个资讯
[00:28] 我在第一时间就更正在我们的文字说明栏
[00:31] 可是大家可能听了不一定会去看文字说明栏
[00:34] 所以赶快在一开场就先还新乌发一个清白
[00:38] 那包黄翔就QQ一下
[00:41] 不过今天黄翔应该好一点了
[00:44] 因为今天国剧有反弹
[00:46] 虽然并不是被动云键里面弹最多的
[00:48] 但终究是反弹了
[00:50] 迭醉惨的华星科弹到掌停板
[00:53] 好那像这样的一个情形
[00:55] 今天的盘是比我们想象中
[00:58] 可能还要再好一点哦
[00:59] 因为毕竟呢
[01:00] 我们昨天历经了史上最大的涨点
[01:02] 想说今天就算是平盘震荡
[01:04] 也是合理的
[01:05] 但今天依旧一开盘有涨到1000点以上
[01:09] 尾盘有点压下来
[01:10] 所以中场是上涨592点
[01:13] 那贵买因为涨了3%多
[01:15] 我想中小型股反弹的体感是好的
[01:18] 大家应该也是有感回血
[01:20] 我刚刚有看了一下我的账面
[01:22] 账面从礼拜五
[01:24] 真的是打25折到3折的获利
[01:28] 到今天是五折
[01:29] 就等于回来到原本
[01:31] 最高获利水位的一半
[01:33] 当然每个人因为持股的状况不一样
[01:35] 所以不一定是这样的成绩
[01:37] 有人可能更好
[01:38] 甚至有人愿意在前两天
[01:40] 是勇敢进去多买抄底的
[01:43] 可能感觉会更好
[01:44] 但我们都不是神
[01:45] 我们有时候会做一些对策
[01:48] 但有做就好
[01:49] 不过我觉得今天是很有意思的一天
[01:52] 因为今天既然再度的反弹
[01:54] 很多人也会问
[01:55] 那弹到这边
[01:56] 是不是人到走廊第二天要卖吗
[01:59] 谈到这边
[02:00] 我本来前两天要买
[02:02] 就是没有买
[02:03] 今天要买吗
[02:03] 又是同样的一个问题
[02:05] 不要一直轮回在这样的问题
[02:06] 我们要把我们自己操作的想法
[02:08] 真的厘清一下
[02:09] 先来欢迎今天来
[02:10] 比他比较少来
[02:11] 但每次来我觉得
[02:12] 都有给我很多的启发
[02:15] 先来欢迎他
[02:16] 就是外资不熟布鲁
[02:18] 哈喽大家好
[02:19] 我是小朋友学投资的布鲁
[02:20] 小朋友学投资
[02:22] 也是我们的友台
[02:23] 友台对
[02:24] 我很谢谢布鲁
[02:26] 因为那个时候
[02:27] 我跟阿格力有另外一个频道
[02:28] 叫做赵华与阿格力之友求Bing
[02:30] 那个频道的话
[02:31] 是真的有帮大家解决
[02:33] 各式各样的疑难杂症
[02:34] 然后那个是一个付费订阅的频道
[02:36] 钱也不多
[02:37] 就390块钱一个月
[02:38] 但是当时台湾Parkhead
[02:40] 做收费真的很少
[02:41] 小朋友做学投资
