[00:00] 欢迎收听赵华宜古惑仔第1146集
[00:09] 这个集数怎么已经跟叠点快要接近了
[00:12] 今天是2026年的7月24号星期五
[00:17] 上一个星期五真的是黑色星期五
[00:19] 因为那一天是史上最大的叠点
[00:22] 那今天当然没有创下史上最大叠点
[00:25] 可是叠了1195点
[00:28] 也算叠了蛮多
[00:29] 就是一个千点以上
[00:30] 那因为之前我们在投资上面的惯性
[00:34] 觉得台股真的很厉害
[00:35] 跌破月线马上站回来
[00:37] 那这次跌破季线
[00:38] 大家也希望跌破季线马上站回来
[00:40] 那事实上前两天有仕途
[00:43] 以大盘来说
[00:44] 仕途反攻到月线的附近
[00:46] 但是被盖头压
[00:48] 那今天再一根下去
[00:50] 自然有所谓的国际市场的一些因素
[00:53] 大家也不免要问
[00:54] 感觉不舒服了吗
[00:57] 因为本来以为我的持股
[00:58] 已经算是有点回血了
[01:00] 结果今天又杀一个1000多点
[01:02] 而且今天中小型股的状况
[01:04] 还是不理想的
[01:05] 所以很多人又觉得
[01:06] 今天又吐血了
[01:07] 大概有这样的感觉
[01:09] 而且今天的量能
[01:10] 如果没有杀的话
[01:11] 刚开盘的时候
[01:12] 是一度预估量不到7000亿
[01:15] 我那时候还在想说
[01:16] 会不会叫做窒息量
[01:18] 其实窒息量也不错
[01:19] 因为我们也知道
[01:20] 如果是跌下来窒息
[01:22] 有时候它反而是一个
[01:23] 落底的讯号之一
[01:25] 大量也可以
[01:26] 窒息也可以
[01:26] 但后来跌跌
[01:27] 还是稍微出了一点点的量
[01:29] 所以我们就一直在低量
[01:31] 然后盘起不来的状态下
[01:33] 折磨着我们
[01:34] 折磨着我们
[01:35] 那要如何保持信心呢
[01:37] 我们今天来的呢
[01:39] 我们刚刚算了一下
[01:40] 他上次来竟然是7月3号星期五
[01:43] 这样就有辱你星期五男孩的名号
[01:47] 先来欢迎他
[01:48] 今天有影片版
[01:49] 今天来的是我们的国家级基金操盘手
[01:52] 黄峰凯 凯哥
[01:53] 早好 各位观众大家好
[01:54] 因为中间有台风架
[01:56] 然后有一周刚好我们有调动班次
[01:58] 然后结果就到今天
[02:00] 7月3号我刚才特地看了一下
[02:02] 那一天还有46000多点
[02:04] 今天剩下43000多点
[02:06] 一来一回凯哥没有出现的
[02:08] 星期五差了3000点
[02:10] 而且这个3000点说实话
[02:12] 因为台积电很沉
[02:13] 所以都杀在中小型题材股上面
[02:16] 有够痛苦
[02:17] 当然以赵豪来说
[02:19] 今天其实你还没有破
[02:20] 所谓礼拜一的低点
[02:21] 甚至也没有破礼拜五的低点
[02:23] 很多股票应该是没用
