[00:00] 欢迎收听赵华依国货载第1148集
[00:09] 今天是2026年的7月28号
[00:13] 今天又跌了超过2000点
[00:16] 今天中场下跌2030点
[00:18] 收在41603
[00:21] 哇很快耶
[00:22] 一下看到4万1000点的这个指数了
[00:25] 有没有可能还要看到4万点
[00:28] 还要看到缩点一下呢
[00:30] 我不能确定
[00:31] 我们常常讲
[00:32] 预测是很重要的一件事情
[00:35] 以现在的基本面来说
[00:36] 确实觉得这一波杀得有点重了
[00:39] 但是因为这一波的来源
[00:41] 又是有包含了去杠杆的这件事情
[00:44] 所以也要观察一下
[00:46] 邻近国家对我们的影响
[00:49] 韩国
[00:49] 韩国今天跌超过10个百分点
[00:53] 盘中又再度的停止交易
[00:55] 那美国
[00:56] 美国昨天晚上有新的AI鬼故事
[00:59] 哇
[01:00] 两件事情加在一起的威力
[01:02] 真的不小
[01:03] 真的不小
[01:04] 但是这边也要跟这个各位听众朋友
[01:06] 打打气
[01:08] 因为像我们的节目
[01:09] 是从2021年的11月开播到现在
[01:13] 这中间有历经过空头年
[01:15] 就是2022年
[01:16] 也历经过好几次的回荡
[01:18] 也历经过对等关税
[01:19] 所以像现在这样的情形
[01:21] 说实话并不是到天崩地裂
[01:25] 但是也因为中小型股的回档幅度
[01:27] 真的深
[01:28] 会有种感觉
[01:29] 叫做利空出不进
[01:31] 捞底就被套
[01:33] 真的最近是一个这样的情况
[01:35] 像昨天一开场
[01:36] 也有跟天文朋友分享说
[01:37] 昨天我是买大鱼卖
[01:39] 那昨天买的
[01:40] 今天看起来也是跌个6%左右
[01:43] 也是受伤的
[01:45] 今天有没有买
[01:46] 今天必须也跟大家谈成
[01:48] 还是有
[01:48] 因为跌2000点
[01:50] 根据我的布局策略的话
[01:52] 今天在ETF上面
[01:53] 确实也出现了
[01:55] 我觉得应该要加码的一个讯号
[01:57] 不过还是一句老话
[01:59] 这是我个人的资金配置
[02:00] 我本来就留了一些现金
[02:03] 那你说赵华不会怕吗
