[00:00] 欢迎收听赵怀古惑载地1152集
[00:09] 今天是2026年的8月3号
[00:11] 哈喽哈喽要跟大家宣布好消息喽
[00:15] 理财大连秀的实体讲座又要举办了
[00:18] 就在9月12号要登场
[00:21] 地点在台北国际会议中心
[00:23] 那这一次我的来宾是
[00:24] 型男古神陈伟良
[00:26] 存古教父古于
[00:28] 总经学霸纪伟明
[00:30] 还有安联投信的投资长张伟敏
[00:33] 安联投信的执行董事肖慧中
[00:36] 为您带来AI关键资源的实战攻略
[00:39] 解密重量级的神队友
[00:41] 这个讲座依旧是完全免费的
[00:44] 大家赶快上东森财经的官网报名
[00:47] 我们现场见哦
[00:49] 真的要手速手速
[00:51] 提醒大家投资一定有风险
[00:53] 基金投资有赚有赔
[00:54] 申购前因
[00:55] 享月公开说明书
[00:57] 进入到八月啦
[00:58] 好快哦
[00:59] 这个年
[01:01] 一下子就进入到八月
[01:03] 当然在七月
[01:05] 我们是不舒服的
[01:07] 不舒服的一个月
[01:08] 那上个礼拜五
[01:09] 有大反弹
[01:10] 大反攻
[01:11] 夜盘的时候呢
[01:12] 又回吐了一千点
[01:14] 那个时候大家讲说
[01:15] 哎呀
[01:15] 这个暴力是回吐
[01:16] 其实也没有啦
[01:17] 其实大家真的要
[01:19] 平心而论
[01:20] 因为上礼拜五的
[01:21] 那一根大红K
[01:22] 真的是有点可怕夸张
[01:24] 时尚最大涨点涨了3800多点
[01:27] 那今天呢
[01:29] 今天本来预期是不会太强
[01:32] 因为日韩股都是虽然开高
[01:34] 但后来走低
[01:35] 那再加上夜盘那时候灰土
[01:37] 但没有想到的是
[01:38] 今天我们还算不错
[01:40] 我们在整个牙股里面算是不错的
[01:43] 尤其是贵买
[01:44] 贵买中场有撑到上涨4.32%
[01:47] 等于是这个开低
[01:49] 也不能说开低
[01:50] 开小红
[01:51] 慢慢拉
[01:52] 然后平平的高原区
[01:54] 没有什么真的掉下来
[01:56] 今天上涨涨停的加速
[01:58] 也有110加
[01:59] 所以呢总体来说
[02:02] 如果大家手上
[02:03] 是属于中小型热门股
[02:05] 比较多的话
[02:06] 今天应该还是叫做
[02:07] 回血的一天
[02:08] 但是今天这样子
[02:10] 难免大家心里面
[02:11] 还是会有一点叫
[02:12] 余记犹存
[02:14] 对不对
[02:14] 可能在之前
[02:16] 已经把自己融资断掉了
[02:18] 可能在之前已经觉得
[02:19] 为了要减压
[02:20] 已经卖出一些股票
[02:21] 或者是还来不及处理
[02:24] 刚好连续两天
[02:25] 股票都有反弹
[02:27] 要不要处理了呢
[02:29] 这些都还是一样
[02:31] 每个人都不是神
[02:32] 都会在这样的行情里面
[02:34] 依旧自己迷惘的地方
[02:35] 所以我们来好好的聊一下
[02:37] 我想行情在基本面上面
[02:40] 确实没有非常大的变化
[02:42] 可是在处理股票和心态上面
[02:44] 大家还是依旧需要一些安慰跟鼓励
[02:47] 先来欢迎今天的来宾
[02:48] 今天来的是我们的题材猎人汉伟哥
[02:50] 大家好 各位听众大家好
[02:52] 为什么说需要安慰和鼓励
[02:54] 在这一波台股刚起跌的时候
[02:57] 我知道中小型热门股
[02:59] 真的就是像被动元件好了
[03:01] 可能真正带头杀
[03:02] 细光子更在被动元件之前就杀了
[03:05] 连续几种的热门族群开始往下杀
[03:09] 尤其是杀到怎样呢
[03:10] 杀到被分盘交易的时候
[03:12] 今天不是有立委
[03:14] 在立院也提出说
[03:15] 分盘交易制度也许在上涨的时候
[03:18] 是抑制过热的买气
[03:19] 说实话我们没有赚到
[03:21] 不会怎么样吗
[03:22] 对不对
[03:22] 但是在赔钱
[03:24] 或是融资要断头了
[03:26] 我却卖不掉的时候
[03:27] 它可能就成为一个
[03:29] 值得讨论的事情
[03:30] 好
[03:31] 那因为这一波的下杀
[03:32] 被动元件有非常多
[03:33] 是杀到被关
[03:35] 对不对
[03:35] 那矽光子是很早就开始杀
[03:37] 那主动元件
[03:39] 就所谓的分离式元件
[03:40] 也跟在被动元件后面杀
[03:41] 甚至到后面
[03:43] 我们讲
[03:43] 手上有订单的设备股
[03:45] 我们知道今年扩产
[03:46] 和明年需求
[03:47] 非常旺盛的风策股都照杀
[03:49] 就等于没有差别
[03:51] 没有任何差别的杀
[03:52] 大家的情绪上
[03:54] 真的会有一种
[03:55] 我就算想处理
[03:56] 也来不及处理的恐惧
[03:57] 所以刚开始跌的时候
[03:59] 我收到的讯息还是
[04:00] 赵豪我有做分散配置
[04:02] 我觉得跌就加一点ETF
[04:04] 我是不担心的
[04:05] 可是这两天在周末
[04:06] 我收到的就还蛮多是丧气的
[04:09] 包括我自己跟好朋友在聊天
[04:11] 他都不听我节目
[04:12] 他喜欢听
[04:13] 他喜欢跟东姑老师
[04:15] 就他有买会员的那一种
[04:17] 不是说错哦
[04:18] 但是他之前顺风顺水嘛
[04:20] 所以他很沮丧的跟我说
[04:22] 他想把所有的钱都抽出来
[04:25] 他问我一次买一千万台积电
[04:27] OK不OK
[04:27] 是不是文掌
[04:29] 对
[04:29] 然后也有人说
[04:30] 他不想再做任何的个股了
[04:32] 什么谢谢节目这几年来的陪伴
[04:34] 他要全部去all in在ETF上
[04:36] 好
[04:37] 所以六日的时候
[04:38] 大家在家消化
[04:39] 反而是不舒服的
[04:41] 反而那个情绪
[04:42] 没有办法得到很大的平复
[04:44] 还有就是有人说
[04:45] 他礼拜四才砍掉
[04:46] 礼拜五就涨了
[04:48] 所以今天才会讲说
[04:50] 虽然今天是反弹第二天
[04:51] 可是可能要处理的
[04:52] 依旧不见得是产业面上
[04:54] 很明白的大型变化
[04:56] 也许大家的心情或怎么配置
[04:59] 可能从新来从
[05:01] 反正已经修正那么多了
[05:03] 对不对
[05:03] 那配置上该怎么样来处理
[05:05] 也许会是一个重点
[05:06] 当然周末有一些好消息
[05:08] 例如说川普又讲了
[05:10] 不要打伊朗
[05:11] 我佩服他
[05:12] 因为我没有想到这个梗
[05:14] 可以用这么久
[05:15] 然后韩国的去杠杆的问题
[05:17] 也有更多的外资机构出具报告说
[05:20] 真的差不多了
[05:21] 海力士的会长
[05:22] 你自己砸钱想要护盘了
[05:24] 诸如此类的
[05:26] 当然让现在国际局势是缓和不少了
[05:29] 对啊
[05:30] 所以我觉得当然这两天
[05:32] 上礼拜我跟今天
[05:33] 应该蛮多人心情就比较稳定一些
[05:35] 因为我们会看到
