[00:00] 欢迎收听赵华宇古货仔第1153集
[00:09] 今天是2026年的8月4号
[00:12] 以贵买来说
[00:13] 今天是强谈的第三天
[00:15] 但今天的上市指数就稍稍的有点压抑了
[00:18] 遇到越线了
[00:19] 没有办法马上突破站上去
[00:22] 那今天我们是有影片版的
[00:25] 我们是有影片版的
[00:27] 因为我久违的老朋友
[00:29] 我刚刚看到他跟他讲说
[00:30] 我好辛苦哦
[00:32] 这段时间
[00:32] 我都一直跟大家心灵鸡汤
[00:34] 你出国
[00:35] 你出国的期间
[00:37] 跌了9000点
[00:38] 好
[00:39] 那我先来欢迎他好了
[00:40] 我现在前面什么都不讲了
[00:42] 因为太多事情
[00:42] 我们刚刚在录音前
[00:43] 已经Re过了
[00:44] 要来问他的
[00:45] 好
[00:45] 今天来的就是我们的AI达人
[00:47] 蔡明翰
[00:48] 赵华
[00:49] 观众朋友
[00:49] 听众朋友大家好
[00:50] 你回来了
[00:51] 你终于回来了
[00:52] 好
[00:54] 我刚刚有先问明翰
[00:55] 我说因为他之前很诉求
[00:57] 就是高持股
[00:58] 高AI比重
[00:59] 然后不要随便的被甩出去
[01:01] 可是说实话
[01:03] 甩了9000点下来
[01:04] 而且很多的热门股是腰斩
[01:07] 打四折
[01:08] 打三折
[01:09] 很多人就算是再有信心
[01:11] 看到企业的财报再好
[01:12] 都没有办法承受市场这样的一个洗刷
[01:15] 虽然我们在过去一段时间
[01:17] 不断的跟大家分享说
[01:18] 基本面真的没问题
[01:20] 但是市场的情绪很大
[01:22] 你看谷歌跟亚马逊
[01:25] 都是财报好
[01:26] 都是资本支出要提升
[01:28] 都是自由现金流要转付
[01:29] 那为什么一个是大跌
[01:31] 一个却创新高呢
[01:33] 它跟市场的气氛
[01:34] 或者是当然里面细项
[01:36] 我们可以来慢慢拆解
[01:37] 但市场的气氛决定了很多事
[01:39] 还有韩国的去杠杆
[01:40] 对不对
[01:41] 韩国人的民族性
[01:42] 造成这一次
[01:44] 我们可以说是去杠杆风暴
[01:46] 它都不见得跟基本面有直接关系
[01:48] 但我们的持股已经受伤了
[01:51] 甚至觉得我已经被迫出场了
[01:53] 怎么办呢
[01:55] 好
[01:55] 这个说来压力大
[01:57] 因为这两个礼拜
[02:01] 这两三周以来确实压力很大
[02:04] 但我觉得投资人
[02:06] 你会压力很大
[02:07] 其实你都是从很短的角度来看
[02:10] 其实如果就今年的角度到现在
[02:12] 其实还是很乐观的
[02:13] 是吧
[02:14] 今年指数还是有涨超过四成
[02:16] 从年初到现在
[02:18] 一年指数能涨四成
[02:20] 回过头来
[02:21] 其实还是很不可思议的数字
[02:23] 纯粹我觉得
[02:24] 应该说在我没出过钱
[02:27] 就一直跟大家强调
[02:28] 拉回你不要每天跟着市场
[02:31] 去想办法去找理由
[02:32] 当然根本就没有理由
[02:34] 根本就没有任何原因
[02:35] 纯粹是涨多了
[02:37] 你有没有想
[02:37] 我不断地附送
[02:38] 上半年费办跟韩国股市
[02:42] 涨了100%
[02:43] 台股涨超过5成
[02:44] 这很多都是创了历史记录的
[02:47] 这种喷出
[02:48] 然后回过头来
[02:50] 7月开始修正
[02:51] 每个人都问我说
[02:52] 为什么会涨这样
[02:53] 这样不对吧
[02:54] 我说不是
[02:54] 这个不太对
[02:55] 是第二季不对
[02:56] 应该说本来就不可能永远都有这么强势的丈夫
[03:01] 每天只要进场做多单稳赚不赔
[03:04] 那就是第二季的感受
[03:05] 比的是什么
[03:06] 就是看谁的胆子大
[03:08] 谁的杠杆越高赢得越多
[03:11] 我就常常讲这个绝对不是常态
[03:14] 现在才是一个常态的过程
[03:16] 那什么时候会回答
[03:19] 老实讲常常我就附送
[03:21] 我觉得给大家一个观念
[03:23] 我觉得这是我自己的中心思想
[03:26] 跟大家分享
[03:27] 就是说记得一件事
[03:28] 不管自己或者是任何人
[03:31] 这世界上没有一个人
[03:33] 这我自己的观念
[03:34] 仅供分享
[03:34] 也没什么好赞的
[03:36] 我例如说我自己认同
[03:37] 这世界上不会有人
[03:39] 看得懂短线的高点跟低点
[03:41] 这是我个人认同的
[03:42] 当然就是有些人说
[03:44] 他可以从哪里看到
[03:45] 技术面什么什么
[03:47] 看到低点在哪
[03:48] 高点看到哪里
[03:49] 我个人的论点
[03:50] 就是我以前各个角度都尝试过了
[03:54] 我的自己的结果就是发现
[03:56] 没有一个东西可以抓准
[03:58] 高点在哪里跟低点在哪里
[04:00] 一切都是事后才讲
[04:02] 就简单来讲
[04:02] 6月22是最高点
[04:04] 回过头来
[04:05] 也有人留言跟我讲说
[04:07] 当时在高点的时候
