[00:00] 欢迎收听赵华谊股货载第1159集
[00:08] 今天是2026年的8月12号
[00:12] 台股依旧在一个温水区
[00:14] 今天的加选指数涨了大概400点
[00:17] 贵买的话呢涨了2.64%
[00:20] 看到贵买这样的涨幅就知道
[00:23] 今天的体感温度应该是蛮不错的
[00:26] 今天上市上柜上涨的加速
[00:28] 有超过1100家
[00:30] 涨停六十几家
[00:31] 也许大家的手上的股票
[00:33] 不一定涨停
[00:33] 可是打开库存
[00:35] 应该照理来说
[00:37] 70%以上会是红的才对
[00:40] 就算跌也跌不中
[00:42] 是一个这样的体感温度
[00:44] 那到这边
[00:45] 昨天也聊了
[00:46] 除了前几天
[00:48] 有一天大涨盘中大涨千点
[00:50] 有一些加持之外
[00:52] 最近的话
[00:53] 这种温涨盘也蛮舒适的
[00:55] 也蛮舒适的
[00:56] 可以让大家比较有时间做决定或做决策
[01:00] 那当然也会有不少人觉得
[01:02] 反弹上来到现在没有办法补满货
[01:05] 都是事后才知道
[01:07] 谁知道会一路的慢慢的涨上来
[01:09] 那也不用太担心
[01:10] 因为其实肋骨的位阶
[01:12] 就算已经弹了一段
[01:14] 比起在前面的高点来说
[01:16] 绝大多数其实还是在山腰
[01:19] 甚至是山脚到山腰中间的位置而已
[01:21] 而目前我们看到的美股财报都还是好的
[01:25] 例如说刘明光学
[01:27] 虽然光通讯在台股的盘面上的波动
[01:29] 真的很大
[01:30] 美股更大
[01:30] 没有涨跌幅
[01:31] 限制都十几趴的上下泡
[01:33] 但刘明光学缴出来的财报是好的
[01:36] 代表本梦比的
[01:38] 也缴出好成绩的时候
[01:40] 这一块还蛮重要的
[01:41] 另外当然就是比较大的
[01:44] 像美超为
[01:45] 他缴出来的财报也是好的
[01:47] 盘后也是大涨八个百分点
[01:49] 今天下午我们有鸿海的财报
[01:51] 虽然不见得大家对鸿海都很有兴趣
[01:54] 不过鸿海在最近的股市
[01:56] 股票的走势
[01:58] 却是呈现一个
[01:59] 不断的往右上慢慢跌
[02:00] 总体看来位积不高
[02:03] 可是慢慢往上跌
[02:04] 是让人家舒服的
[02:05] 那走到这边
[02:06] 在选股上面
[02:07] 到底我们要选还没谈的
[02:10] 还是谈的不错的
[02:11] 形态转好的
[02:13] 或者是另有一些对策
[02:15] 晚上有一个重要的事情
[02:16] 就是CPI要公布
[02:18] 会不会所谓要打脚
[02:19] 要压回
[02:20] 要靠这个CPI呢
[02:21] 先来欢迎今天的来宾
[02:22] 今天来的是我们
[02:23] 型男股神
[02:25] 我两个
[02:25] 大家好
[02:26] 我们刚刚一样
[02:27] 在录音前有些小讨论
[02:29] 晚上的CPI
[02:30] 到底是会利多出尽
[02:32] 还是造成突然的利空
[02:34] 我们要预测也可以
[02:36] 可是重要的
[02:37] 其实是我们要做的对策
[02:39] 对
[02:40] 那这一波从这个
[02:41] 破四万点一路拉上来
[02:43] 也拉了六千点
[02:44] 那今天的体感温度是好的
[02:46] 几乎可以说是一个
[02:47] 百花齐放的状态
[02:49] 要是你的话
[02:50] 在这样百花齐放的状态里
[02:52] 你会优先看哪一些的指标
[02:55] 或是迹象来判断你的对策
[02:57] 其实我蛮喜欢看运动比赛
[03:01] 所以有一个选秀理论
[03:03] 怎么说呢
[03:05] 比如说每年NBA的赛季结束之后
[03:08] 都会有新年度的选秀大会
[03:11] 一票潜力的球员坐在底下
[03:14] 这时候开始各队就会开始
[03:16] 按照手中的一个选秀的顺位
[03:18] 开始第一个选择叫状元
[03:21] 然后依序第二名
[03:22] 第三名依序选下去
[03:24] 其实这一波的无差别下杀过后
[03:27] 台股将近2000档股票
[03:29] 其实好的坏的
[03:30] 大的小的
[03:31] 通通都跌了
[03:33] 所以重新回到一个股底再出发的时候
[03:35] 就像谁是第一个被唱名选中的
[03:38] 谁是第二个
[03:38] 谁是第三个
[03:39] 谁是到第一百顺位了
[03:40] 所以这个所谓的选秀理论
[03:42] 我认为市场正在用聪明钱在投票
[03:46] 指数已经反弹了5000点以上
[03:50] 然后也已经涨了一个多星期了
[03:53] 所以这一个多星期
[03:55] 五千多年过程当中
[03:56] 大家同时开始起跑
[03:58] 哪些已经先弹回所有均线
[04:01] 哪些已经站上了季线
[04:03] 哪些可能还在守年线
[04:06] 或者是底部在这边
[04:08] 窄幅窄成的挣扎
[04:10] 当然这个就是大家从不同的视角去分享
[04:14] 或者是切入
[04:15] 我会认为现在已经涨上来的
[04:18] 反而这就代表是
[04:20] 选秀会的顺位
[04:21] 它是前面
[04:22] 先被市场的大户
[04:24] 法人所挑中的
[04:26] 聪明前青睐的标的
[04:28] 那相对来说
[04:29] 可能涨势比较落后的
[04:31] 我知道应该很多投资朋友
[04:34] 甚至是大部分比例的投资朋友
[04:36] 喜欢这一种
[04:36] 会觉得说他们有涨到
[04:38] 比较安全
[04:38] 但是如果以我的视角来看的话
[04:41] 我会觉得他们就是
[04:42] 比较慢才会被市场
[04:45] 开始去留意跟青睐到
[04:46] 那通常这种股票
[04:48] 不是没机会
[04:49] 但是一旦动起来的时候
[04:50] 就是大家讲的轮到落后补涨
[04:52] 那落后补涨通常它会有一些条件要配合
[04:56] 比方说市场的氛围更好
[04:58] 市场的资金呢
[04:59] 可能就不是在8000多亿了
[05:00] 扩大到1.2兆1.3兆以上
[05:03] 更多的资金去加持到更多的标的
[05:06] 所以这个时候我觉得
[05:08] 一方面先从位阶上面去做判断
[05:10] 看看哪些呢是优先被挑中的
[05:14] 那再来就是刚好呢
[05:16] 因为第二季的财报跟7月份营收的公告
[05:18] 那这时候如果呢
[05:19] 看到业绩的数字
[05:21] 也是比较亮眼的
[05:22] 那我觉得就会
[05:22] 相对更有底气
[05:24] 好
[05:25] 因为7月营收
[05:25] 我们昨天有跟大家聊
[05:26] 平均的年增率是47%
[05:29] 所以也可以用营收
[05:31] 作为一条线
[05:32] 例如说
[05:32] 虽然已经谈上来了
[05:34] 可是离前高
[05:35] 还是有距离
[05:35] 大部分是这样
[05:36] 当然你说没有人
[05:37] 率先过高
[05:38] 有啦
[05:39] 有创历史新高的
[05:40] 像我记得今天
[05:41] 严华川湖这种的
[05:42] 川湖这两天有压回
[05:43] 可他们都是率先大盘
[05:44] 创历史新高的
[05:46] 好
[05:46] 但大多数没有嘛
[05:48] 所以如果他的7月营收的状况
[05:50] 还是好的
[05:50] 我觉得他就可以成为一条线
[05:52] 昨天讲的是一个均值概念
[05:53] 他的年增率超过这个47%
[05:56] 可是股价未接确
[05:57] 相对还是蛮低档的
[05:58] 这可能就是一个标准
[05:59] 那当然如果大家用技术形态
[06:01] 做标准也是可以
[06:03] 那还有就是
[06:04] 如果大家自己本来就有锁定
[06:06] 有信念的一些产业
[06:09] 像我讲来讲去
[06:10] 大家知道我要讲了
[06:12] 像什么封测设备类
[06:13] 就订单我非常确定的是一种
[06:15] 还有像细光子
[06:16] 对不对
[06:17] 细光子虽然在他们的营收上面
[06:19] 表现参差不齐
[06:20] 可是在利多消息跟美股财报上面
[06:24] 这个表现出来的强劲成长
[06:26] 却是毋庸置疑
[06:27] 所以细光子这一波
[06:29] 我觉得就算是本益比看起来还是偏高
[06:32] 可是你会对他比较有信心
[06:34] 是全面复苏的一个状态
[06:35] 所以现阶段选秀
