[00:00] 欢迎收听赵华与古惑仔的周末特别版
[00:09] 通常周末我们会加开特别版
[00:11] 就是因为有特别的来宾
[00:13] 因为这一次我们的台股
[00:15] 真的是很戏剧性的一个表现
[00:18] 往下也戏剧性
[00:19] 往上反弹的时候
[00:21] 也算是有某种戏剧性
[00:23] 这一次我们有一次特别不一样的体验
[00:26] 是因为在下跌过程中
[00:28] 储值股的条款
[00:29] 让很多的公司
[00:30] 它呈现无量下跌
[00:32] 导致有一些
[00:33] 买中小型股的朋友
[00:34] 是受伤惨重
[00:35] 那这一次的反弹
[00:37] 又急又快
[00:37] 而储值股的调整
[00:39] 也让这个流动性
[00:40] 开始变得比较好
[00:41] 所以到底算不算是
[00:43] 利空已经顿化
[00:44] 或是过去
[00:45] 而只会反应利多了呢
[00:47] 那一下子
[00:48] 从看到39000
[00:50] 好害怕
[00:50] 到现在46000点
[00:52] 左右的未接
[00:54] 会不会已经谈过了
[00:56] 来不及了呢
[00:57] 当然不会
[00:58] 我们今天要讲的就是
[00:59] 当这样的一个变动发生
[01:01] 在台股市场是非常经常性的
[01:04] 可是如何能够提早做到预防
[01:06] 以及在底部出现的时候
[01:08] 能够勇敢的进场
[01:10] 他会需要非常好的一些知识
[01:13] 可是他并不难学
[01:14] 我先来欢迎今天的特别来宾
[01:16] 大家很熟悉的
[01:17] 第一位是K线之神朱家宏朱老师
[01:20] 大家好
[01:21] 朱家宏老师
[01:23] 这熟到不行了
[01:24] 第二位当然是走图小天后
[01:27] 我們的林盈老師
[01:28] 大家好 我是林盈
[01:29] 每次在關鍵時刻兩位出現
[01:32] 突然之間還沒有開始訪談
[01:34] 就已經覺得吃了一個定心丸
[01:36] 不過我們先就現況來講好了
[01:38] 因為這一次一訪談又是6000點上來
[01:41] 大家心境很可愛
[01:43] 前面在殺的時候
[01:44] 每一個人都覺得完了
[01:46] 這一次可能會一直跌
[01:47] 就會很多預測
[01:48] 35000點
[01:49] 30000點這種言論都會跑出來
[01:51] AI泡沫化
[01:52] 可是談的時候又會說
[01:54] 哇 早知道就抄底
[01:56] 对不对
[01:57] 那如果现在这样的未接46000.1
[01:59] 目前的技术图来说
[02:01] 是一个什么样的水位
[02:03] 现阶段的操作模式
[02:06] 是我们继续等会打脚
[02:08] 还是觉得我们就从里面找好的股票就对了
[02:11] 大盘这一阵子的变化
[02:14] 其实大家虽然有经历过大涨大跌
[02:18] 实际上我相信大家也可以感受到很多经验
[02:23] 原来股票不是只会涨也会大跌的
[02:27] 但大跌完了它也会大涨也会反弹
[02:30] 所以在这个变化中要怎么样掌握
[02:33] 这才是大家比较关心的
[02:35] 我怎么知道它要大跌了
[02:38] 如果我知道我一定先跑了
[02:40] 根本不知道哪一天
[02:41] 或者是就算我跑了
[02:44] 那我又怎么知道什么时候还可以再来买
[02:47] 所以这个才是大家所要关心
[02:50] 或者想要知道的
[02:52] 那實際上在我們股票市場技術分析上
[02:57] 會反映市場的所有的訊號訊息啦
[03:01] 可能市場上有人早知道了這個大盤可能要殺了
[03:06] 所以市場就會去賣
[03:08] 那賣的話在技術分析上就會出現一個黑K的下跌
[03:12] 那這個是正常來講這叫多頭的回檔
[03:16] 因為檔多了本來就是有人獲利啊就想跑了
[03:19] 我們比較重要的是說趨勢不要改變
[03:23] 本來多頭找到好好的
[03:25] 回黨以後每一次都創新高
[03:29] 所以大家就失去了一個警戒
[03:32] 說這次回黨應該還會再創高
[03:35] 所以就一直抱著
[03:36] 結果抱著抱著怎麼這一次就一直跌
[03:39] 所以就損失慘重
[03:40] 其實大家去回頭看一下
[03:43] 我們的7月7號
[03:46] 7月7號今天是8月十幾號
