[00:00] 歡迎收聽《照華語股貨載地1163集》,今天是2026年的8月17號。
[00:12] 今天就加權指數跟櫃買指數來說,看起來都在平盤附近震盪,櫃買弱一些,都一直在盤下。
[00:18] 但是加權指數上上下下之後,最後只收漲了46點,不過這個是加權指數的部分。
[00:25] 在類股的部分,等一下我們在內容裡面會來聊今天有精彩表現的類股還是蠻多的,而且已經率先創下歷史新高的指標性意義股票也挺多的哦。
[00:37] 不過今天勒,今天是一個,我剛才有跟同仁和等一下會出場的,其實就題材獵人啦,等一下再介紹他,說今天是一個我覺得大家都沒有那麼想討論財經的日子,對不對?
[00:51] 對,今天有很多奇奇妙妙的新聞啦,包括從上禮拜延燒的到今天大家都想要吃牛肉麵,到其實我自己個人比較關心啦,就是花蓮消防局有一個搜救犬,Wilson,到底是不是被虐死掉了,這個事情,其實我看得蠻難過,我今天被這個事情影響心情蠻大的,希望這個花蓮消防局這個事情,這一隻才三四歲的搜救犬,有立下功勞的,不要死得不明不白啦,
[01:21] 這個難得在我的頻道前面先講了一個這個事情
[01:24] 因為造法喜歡小動物大家也知道
[01:26] 好那我先歡迎今天來賓
[01:29] 我們還是要來討論盤面
[01:31] 今天來的是我們的題材獵人漢偉哥
[01:33] 大家好各位觀眾朋友大家好
[01:35] 好那你自己最關注今天的新聞是什麼
[01:38] 應該是牛肉麵
[01:39] 也是牛肉麵
[01:41] 對啊因為今天整個所謂的社群媒體都被那個洗版了
[01:45] 是
[01:45] 對那當然我覺得今天盤面上說真的啊
[01:48] 你光看指數或看櫃馬也會覺得有點無聊
[01:50] 不去關心一些花邊的消息,好像感覺比較有趣一點。
[01:55] 對,因為今天大家知道前一陣子股市很熱,幾乎所有跟財經沒有關係的節目都被要求要做財經,然後我也挺罰的,因為就前後左右全部都在想辦法討論股票這樣子。
[02:09] 但是今天終於前後左右有人來投票了,有人說你會選Jomain還是你會選趙建明,我想說那我還是來看我的選股好了,這有什麼好選的。
[02:19] 好,還是回到我們的選股,還是回到我們的選股,剛剛特別提到說,雖然大盤還沒有創高,那大盤今天也看來從上禮拜五開始就漲到這邊嘛,四萬六千點了,也有一點在這邊做震盪了,以盤帶跌也好,也許有人覺得會打腳,有人覺得不會打腳,都好,可是我們要看的是盤面上的變化,例如說像我們上禮拜也是漢偉哥來,我們在聊川湖對不對,哇,一馬當先一個月EPS可以賺50塊,
[02:48] 群聯會覺得群聯很委屈,我們會在裡面慢慢跟大家聊。
[02:55] 像機器人,這禮拜開始有所謂的展覽,很多人會覺得會不會展覽完就沒有。
[03:00] 但無論如何,像蒙利創了歷史新高,像今天大力光、預金光、光學概念噴漲停。
[03:05] 像索羅門第一代的背板鼓今天噴漲停,林化英的概念,聯亞今天漲停,全新漲停。
[03:14] 還有像貨櫃航運、萬海漲停之外長榮也大漲,也是他們的旺季來臨。
[03:20] 所以雖然在指數上看起來很平平無奇,可是在AI股上是有表態的,在非AI股上也有表態的。
[03:29] 這個盤並不無聊,只是其他的新聞可能更為吸睛。
[03:34] 那我們就一項一項,還有記憶體,明明美股的記憶體表現很好,可是我們是不是因為已經領先漲過了,今天有點殺尾盤的問題。
[03:42] 好,那換你哥要從哪一條先拆解?
[03:45] 我覺得還是先從牛肉麵
[03:47] 4點吃牛肉麵真的有點對胃不太好
[03:51] 好凌晨喔
[03:52] 對啊,我覺得如果大家去台南的話應該可以早一點吃那個牛肉湯
[03:56] 對,那個是真的比較麵健康一點
[03:59] 對耶,那個湯又好喝,肉也比較好
[04:02] 聽了聽了肚子又餓
[04:03] 但我覺得回到盤面上來看
[04:05] 我覺得大家還是要先把整個趨勢跟架構來做一個定義
[04:09] 目前來看我覺得對於大盤指數我覺得還是可以樂觀來看待
[04:14] 因為我們先看到季線已經收穩一個禮拜了
[04:16] 那目前季線上彎連月線轉為上彎
[04:19] 所以以大盤指數來講多頭格局還在
[04:23] 所以簡單去講我覺得大盤只要沒有跌破無限關卡
[04:26] 應該有機會維持金鷹帳
[04:28] 那什麼時候會開始做補量
[04:30] 我覺得可能就觀察禮拜三的台資期結算
[04:33] 那因為外資的空單大概是8.3萬口左右
[04:36] 但大家如果注意到外資在8月份已經買超台股大概2300多億,那今天可以看到其實台幣匯率也轉為升值。
[04:45] 所以我覺得在這個上個禮拜陸陸續公布出來的美國的CPI、PPI到零售銷售數據都跟大家講,9月份目前聯準會的升息距離大概不到三成。
[04:55] 所以整個資金行情對於整個亞股來講都相對有利。
[05:01] 大盤指數雖然是一個量縮金銀漲的格局,但只要維持一個多方慣性沒有改變,我覺得你就可以回歸到現在盤面上的主流個股族群到底在哪裡。
[05:13] 那我覺得今天盤面上其實很明顯高價股先發動,那當然最強的還是那個川胡。
[05:20] 那川胡因為上個禮拜我自結7月份的單月獲利是賺了50塊,那這個50塊如果大家去算一下,可能他第三季我們乘以3,
[05:29] X3就是單季150塊的EPS
[05:32] 所以目前網路討論區雖然說大家在討論牛肉麵
[05:35] 但如果說以這個財經討論區來講
