[00:00] 歡迎收聽趙懷股貨載地1165集
[00:09] 今天是2026年的8月19號
[00:12] 今天台股是一個持續回檔
[00:14] 昨天晚上費辦有跌了5個百分點
[00:18] 到底發生什麼事
[00:19] 等一下可以跟大家來聊一聊
[00:21] 因為這個事情它又牽涉到所謂高利率環境
[00:26] 而 AI 巨頭們在舉債擴張這個循環的問題跟疑慮。
[00:32] 市場正向的時候舉債擴張,台灣的訂單等等,我們都可以非常的正向表列。
[00:39] 可是其實我也不止一次在節目中提到高利率環境對於產業發展的殺傷力,
[00:46] 這個事情在最近三年因為 AI 的高速發展,
[00:49] 它一直沒有辦法被彰顯是一個隱性的炸彈。
[00:54] 實不實就冒出來一下到底現階段我們要不要關心呢?
[00:59] 但無論如何呢,短短幾個交易日呢,大家又從可能覺得哇好厲害哦,談到這個4萬6千點以上,到今天一度呢是看到了4萬4千多點。
[01:10] 這樣一下子也是2千點耶,所以現在股海的震盪真的是非常大。
[01:15] 我們也常聊到到底要不要打所謂第二隻腳呢?有那麼重要嗎?
[01:18] 對於技術形態來說,有打第二隻腳是重要的。
[01:22] 而對於我們一些比較做中長期投資的人來說,有回檔總也會是一個下一次佈局的好事嘛。
[01:29] 先來歡迎今天的來賓,今天來賓也有腳喔,哪一隻腳?黃金右下角,我們的選股教練,韋泰。
[01:37] 早啊好,各位聽眾朋友,大家情人節快樂。
[01:41] 對耶,哇,你好細心喔。
[01:43] 真的。
[01:44] 我完全沒有想到。
[01:47] 很多人都說今天什麼日子?今天是結算日啊。
[01:50] 對嘛,財經人要說結算日啊。
[01:53] 那情人節有什麼梗呢?
[01:55] 就是大家今天應該很希望沒人陪。
[02:04] 股票市場當然是最好是打兩隻腳三隻腳,這樣子底部才紮實。
[02:10] 但是身為情人就千萬不能過兩隻腳跟三隻腳。
[02:14] 還有最好不要今天很多人陪好不好?
[02:18] 沒人陪是今天比較好的一個結果。
[02:20] 是是是
[02:50] 好,那問題出現在哪裡呢?問題就是出現在一個我確實個人會有一點擔心的,就是美國他一直都沒有辦法進入到真正的降息循環。
[02:59] 沒有辦法進入到降息循環,你說一直維持在一個一定的利率下,而企業的成長性可以cover這樣的一個利率環境也許是沒有問題。
[03:08] 這就是前兩年我們遭遇到的情況。
[03:11] 這就是我們所謂的資本支出的擴大。
[03:15] 大家都不是拿我們真正賺來的錢來做投資。
[03:19] 因為你還有各項營運,不可能就是賺來的錢全部投資。
[03:23] 所以一定要舉債。
[03:25] 舉債,當然像之前輝達發行債的時候,
[03:29] 你會發現他可以用比較低的利率就把債賣完。
[03:33] 因為大家都信得過輝達,
[03:35] 可是不是所有的企業都這樣子。
[03:37] 大家要記得甲骨文就發生過,
[03:39] 股價跌更嚴重,因為代表它接下來要再借錢,如果是非投等的評級,它的利率就要拉到非常高。
[03:55] 對於一家公司的發展,你要把錢拿去還債的時候,你就會產生現金流上的一些疑慮。
[04:01] 這個前提一直都存在,可是因為我們看到實在是企業的獲利太好了,以及台灣我們是受益者嘛,我管你要不要花錢,我們就是領訂單就好了。
[04:15] 但在昨天晚上不曉得為什麼這個警鐘又被敲開來了,說美國的各大巨頭現在隱形的債務有三兆美元,這三兆美元如果在這樣的利率環境下都遲遲不能降息,
[04:27] 然後美國的公債殖利率又跑上去,公債殖利率跑上去就代表說,大家的錢你現在如果去放公債放其他的那種高利率債券也可以啊,我不一定要投資你的股票,它已經有所謂的資金排擠效益了。
[04:41] 然後它也代表著大家在發債上的時候,你的對標的基準,公債都那麼高了,那你一定不可能低嘛。
[04:50] 總之就會拉高大家在舉債上面的壓力,也就是形成了企業發展上的很大的一個阻礙喔。
[04:59] 高科技股最怕公債殖利率往上走,這個邏輯我想我們講過蠻多次。
[05:04] 今天囉嗦一點,再跟大家講到底華爾街昨天晚上怕的是什麼。
[05:08] 這件事情也想請韋泰解析一下,我們要如何看待這件事?只要基本面好,好像都不用擔心了嗎?
[05:16] 其實這個事情大概在一兩個禮拜之前,因為那個時候我們看到一個消息,就是美國跟日本的兩行共同去做了一個干預。
[05:32] 那我就覺得很奇怪,為什麼要去做這個事情?
[05:35] 我後來聽了一些專家的分析,主要原因就是因為日本是美國公債最大的持有者,應該是至少前三名。
[05:48] 如果說持續的就是日元走弱的話,很可能他們為了要去應付一些所謂的國內的財政支出,他就必須要想辦法把自己手中的美債去做一個出脫。
[06:02] 這會更進一步壓低美債價格,使得公債殖利率往上篡高。
[06:12] 所以美國這麼做並不是真的要去幫助日本,而是為了維持國內債券市場的穩定。
[06:22] 剛才趙法楚提到的這件事情,當然其實一直都是在做這種所謂的一個總經研究的人員目前很關心的一件事情。
[06:32] 我覺得這個也的的確確是一個問題,但是我們在看資本市場的時候,所有的事情我們都要把它做一個區分,區分是短期的影響還是中期影響跟長期影響。
[06:47] 以總經來講,它比較像是長期面的影響。
[06:53] 它不會說馬上的對於所謂的資本市場造成立即實際上面的影響。
[07:00] 但是往往造成資本市場會有短時間之內的反應的,通常是人們的預期心理。
[07:08] 像之前聯準會還沒有正式開會之前,大家就會猜,猜會不會降息,會不會升息。
[07:15] 這兩者的分別是在市場上的反應,而不是在市場上的反應。
[07:45] 這幾個股市的成長和成長期間,會否有其他性能的條件?
[08:15] PODCAST 推出的股價表現有多大?
[08:45] 很讓我意外的事情是大量它的一個股價在昨天還漲停板
[08:49] 是 現在波動都常常出現 一天漲停 一天跌停 同樣的一間公司
[08:54] 對 還有前陣子那個 例如說載板 新興電 然後南電 今天也是呈現拉回
[09:02] 然後還有包括像是矽晶圓 包括像合晶 包括像環球晶 還有那個波段上漲幅比較大的 像南亞科這一類的
[09:11] 這些記憶體族群都處於相對高檔。
[09:15] 這些個股要嘛就是短線上有過一波反彈,要嘛就是破綻上跌得還沒那麼深,容易被人家拿來當作提款機。
[09:25] 所以像這樣子的個股,我覺得今天是排名上從弱勢族群中看得出來大概會有這樣的特性。
[09:33] 但是今天其實排名上,早盤我就跟我的學生講說,今天大概就小紅小黑而已。
[09:40] 小吳小黑不是指點數,是他的K棒,因為今天其實早盤一開盤就開得很低,今天收盤收44719,他開盤開45071,所以其實這個K棒並不算長,他還是一個小黑K的架構。
[09:57] 那會有這樣子的一個指點線,然後留下影線,其實跟盤面上面,這樣我今天觀察到IC設計相對的抗跌。
[10:07] OK,那IC設計相對抗跌是因為他們有寄到訂單嗎?其實我覺得還好。
[10:14] 我覺得大部分原因是因為我觀察到這些IC設計公司,他們的本益比都偏低,十幾倍的本益比的公司一堆。
[10:22] 曾幾何時我們的IC設計被維泰說出是低本益比,最早期的時候在整個半導體裡面哇IC設計哇!
[10:31] 四五十倍。
[10:32] 對啊,都是正常的,股本小小的,股價高高的。
[10:35] 對阿,這個叫思念河東,思念河西,以前PCB15倍算多了。
[10:40] 對,以前PCB也是10到15,然後設備股也是。
