[00:00] 歡迎收聽《造華於股貨載地1166集》,今天是2026年的8月20號。
[00:12] 昨天前天我們講說台股似乎往下稍微修正一下下,做一個腳也好,或者說談到這裡,大家難免在共識上或有點不能凝聚的時候,做修正都是極度合理的哦。
[00:25] 不過昨天晚上美國財政部做了一件事,因為昨天我們也花了相當大的篇幅跟大家聊為什麼美國的公債殖利率飆升上去,大家對於所謂的科技巨頭們舉債啦或是還沒有去付錢的這些租約啊訂單啊壓力感到如此之大,他們是一個連動的狀態。
[00:45] 所以公債殖利率因為他在教科書上叫做無風險利率無風險的這個商品,所以他會對比一些高估值的高科技股造成壓力。
[00:54] 好,那有興趣的朋友昨天可以再聽一下。
[00:57] 所以呢,美國昨天財政部就出手了,先買了40億美元的公債,來扭轉一下殖利率的狀況,把它壓下來。
[01:07] 那當然今天我們台股還是不錯啦,尾盤拉上去漲了214點,但是量能呢是縮到以上市來說還不到8000億哦,是近期的一個相對低量哦。
[01:18] 等於焦頭上面大家也面臨到也許沒有大漲大跌可是情緒上比較觀望比較觀望等什麼呢可能要等一個市場信心的回來市場信心有時候說來就來那怎麼樣有信心我們很久沒有深入的一個一個產業仔細聊了那好不容易把這位專家請來了我覺得我超級久沒有看到他
[01:44] 好,剛剛有話加長了一陣子,我們先來歡迎他,就是產業隊長莊傑!
[01:50] 哈囉,大家好,各位股貨長的聽眾朋友大家好,我是隊長。
[01:53] 真的欸,你連slogan都不講了。
[01:55] 我是贏在深入,勝在最高的產業隊長。
[01:58] 太久沒來了,太久沒來了,slogan都忘了。
[02:01] 我今天還跟同仁說,因為晚上隊長還要上達人秀嘛,
[02:04] 我說我好懷念隊長的金句喔,可不可以幫隊長做一頁金句。
[02:09] 然後同仁就回我說,可是隊長的資料給很多欸,
[02:12] 在做金句的話可能放不下,我說沒關係那我下午聊。
[02:17] 下午跟晚上都聊就雙管齊下了。
[02:21] 我們先從大的架構,因為你不在的時間,我們台股受傷了,但台股又彈回來了。
[02:28] 彈回來了可是股民的信心還蠻明顯,在這一次我覺得是受挫的,尤其像最近一個禮拜啊,可能大家也覺得一下反彈6000點,也許要打角也許要修正,那也許超底的人也真的順勢賣了。
[02:41] 我必須講,我看到各大平台所謂財經內容的流量都有下降,然後沒關係啊,這就是常態嘛。
[02:50] 我們以前,其實現在的股市比以前刺激多了,好像在講股。
[02:54] 以前的話我們常常講,股市在盤整是一個最常出現的常態,不像現在,不是大漲就是大跌,現在有點誇張。
[03:03] 所以這幾天比較這種平穩或是略微修正,也是股市的一個常態。
[03:08] 我們有講這個時間點最適合來仔細的檢驗到底等市場公示回來的時候比較容易聚集在哪些領域。
[03:17] 所以歷經這一波,雖然散戶現在看起來有點受傷,我覺得也不錯,因為去槓桿嘛,大家不要急,就是休養生息一下。
[03:25] 那隊長覺得現在以這個大概在4萬5左右,不高不低的這個位階開始展望明年了,對不對?
[03:33] 我們要用什麼樣的合理的狀態來評估目前這些市場上的紛紛擾擾、利多跟利空?
[03:39] OK,我想從大方向來給大家解析一下,其實呢,行情其實都在絕望處誕生,然後半信半疑中成長,憧憬中成熟,希望中幻滅。
[03:50] 但照法講很好,以前我們其實大概有七八成的時間都在盤子,但是現在尤其是到整個五月,其實從韓國開放兩倍槓桿以來,那個波動變很大。
[04:02] 全球最大跌點是7月29日,股災的重大回歸到錯則與經驗的學習。
[04:32] 聽眾,你說我們答案就聽眾,你就有可能在每一次的學習跟經驗當中變得更強。
