[00:00] 歡迎收聽趙懷古惑仔第1167集,今天是2026年的8月21號,又是星期五啦!
[00:14] 那這個禮拜呢,以周線來看的話,是一個小黑K,也等於是反彈到46000點以上的時候出現了一些些的壓力。
[00:25] 好,出現壓力我們常講沒有什麼關係,因為也不是什麼暴跌啦。
[00:29] 市場氣氛會轉變,例如最近利空出來的時候就比較容易反應。
[00:38] 當然今天中場還是上漲,上漲了290點,但是上漲的族群可以看到航運一馬當先。
[00:46] 幸好我們還持續有算是幫大家follow航運股,航運一馬當先是漲比較多的,這種傳產類的塑化紡織漲得比較多。
[00:55] 還有之前在同族群中比較落後的也長比較多,但是幾乎所有的熱門的、比較領頭羊似的、漲價題材概念的,今天都有相當程度的回檔哦。
[01:06] 尤其像載板,今天傳出一個消息,是日本的未知素載板材料的供應大廠,他說要斷供給中國,可能會影響到30%的產能的時候,台廠也跌得亂七八糟。
[01:23] 這個時候我常常會不懂,欸?他是段工中國,到底跟我們的關聯是利是弊?我們等一下也會請我們的新起舞男孩,凱哥黃峰凱先歡迎他。
[01:36] 大家好,趙華好。
[01:37] 好,抱歉今天就沒有影片版,因為趙華上次有跟大家聊到說,我們希望可以,之後我們有比較能夠規律產出,或者是人力上沒有那麼吃緊的時候,而且我最希望的是大家連貫式的收看跟收聽啦。
[01:51] 有時候大家在YouTube看到一集影片就覺得那是全部,但是我們一到五每天都有不同的達人都非常厲害的,有的負責像昨天張杰隊長來產業就講了非常多,有的在新法觀念上講了特別多,那凱哥也是偏產業派的,所以我們等一下就來好好聊為什麼這幾天感覺上呢談上來之後遇到一點點的壓力了,所以產業面的利空就開始又被放大解讀了,前兩天比較講到的是公債指利率往上跑,
[02:19] 這些科技大廠們的隱藏負債讓大家擔心越來越高。
[02:25] 現在的話產業上面有很多人想問像我剛才也特別跟凱哥請教啊
[02:30] 例如說像旺系碟、庸智碟更多
[02:33] 例如說像這個谷歌要跟Maville合作
[02:37] 大家覺得哇那這個聯發科博通是不是被踢出去
[02:41] 這些就叫做產業面上現在又來了一些似乎影響到盤面的
[02:46] 還有剛剛也請教,未知數,如果你今天相關材料斷供中國,不是以前都會直接覺得台廠有利嗎?可是我們今天不只載板,所有的PCB,包括銅箔、基板什麼,是全部都疊滿多的。
[02:59] 所以來請教凱哥,以整個大概念來說,現在已經又出現了所謂利空會反應,而且還有油價也跑上來,怎麼樣來看待氣氛是不是在轉變?
[03:10] 我覺得第一個是確實這個盤從低點上來其實也彈了不少
[03:15] 大家其實不要忘那一波上漲是很兇的
[03:18] 當然就是上漲在彈的過程其實前兩三天大家是買不到
[03:22] 買不到買到後來其實等你買到了好像這幾天又跌回那個位置
[03:26] 其實你可以看大盤那時候融資大概是降了900億
[03:29] 櫃買降了400億
[03:30] 其實這幾天的大盤的融資已經回到400多億了
[03:33] 櫃買也回來了200多億
[03:34] 所以告訴你其實有一些融資慢慢再回來
[03:37] 但是沒有全面的回來
[03:38] 所以就這個角度來看基本上指數再回到前低的機率是非常的低的
[03:43] 只是目前看起來
[03:45] 全世界好像都在等待一件事情
[03:48] 就是大家看著油價
[03:49] 好像覺得美益就在今天晚上就要發生戰爭了
[03:53] 所以就有點害怕
[03:54] 你可以看到其實連投信都是這樣
[03:56] 其實投信最近其實它的大型的AI科技股其實都沒有什麼著力
[04:01] 其實它都是放緩的
[04:03] 它買比較多的金融
[04:04] 你去看一下ABF它是買錦碩它賣真頂
[04:07] 基本上它就感覺是一個悄悄板
[04:10] 再來就是操作上也變得很奇怪
[04:13] 就是說前幾天賣旺系
[04:14] 然後昨天又突然買回來
[04:16] 就是告訴你說其實市場現在
[04:18] 一人是法人
[04:19] 其實他都沒有一致性的看法
[04:21] 那這樣情況下當然對散戶就一個很不好拿捏
[04:25] 就是說我不知道投信到底在想什麼
[04:28] 會不會有今天跟單進去
[04:29] 然後隔兩天他又殺出來
[04:31] 那我又要承受他殺出來的股票
[04:33] 但是我們基本上講說
[04:34] 因為盤道這邊基本上有一點利多
[04:37] 這幾個事件的反彈,在反彈一開始的階段,所有利空基本上是視而不見的。
[04:52] 那到了現在是只要是利空不管是真的假的他都先殺給你
[04:57] 所以剛我們在開始之前其實趙娃就問我說
[05:00] 欸凱哥能不能就最近的幾個利空事件先來跟大家解釋一下
[05:05] 因為其實大家現在對這些消息其實還有一點不是很清楚
[05:09] 例如說我們想說旺系最近有什麼大跌
[05:11] 其實旺系的大跌其實應該先從影威開始
[05:13] 因為漢珍最高股價其實是影威
[05:18] 影威什麼時候開始跌
[05:19] 從他的毛利率開始下滑開始跌
[05:22] 他毛利開始下滑,大家就開始講一些有的沒有的,但其實他為什麼毛利率會下跌呢?主要是因為他的業績很好嘛,所以他探針多出一點,那探針多出一點,因為探針跟探針卡,探針的毛利率相對是比較偏低的,探針卡毛利率相對比較高,所以探針多出一點的時候,他的毛利率自然就會下滑一點,所以他不是不好,但是這個東西剛好就發生在什麼?他的毛利率開始有點下降的時候,剛好某一個經營經理人又離職,所以他持有很多的隱微,就被新的經理人,
[05:52] 做慢慢剔除的動作。
[05:53] 所以就是買盤沒有了,賣盤出現了,法人的賣盤出現了,大家不明就理,就會覺得什麼?先賣再說。
[06:00] 這就把影威往下壓,影威往下壓就變成是旺系要撐這個盤,可是旺系最近也發生一些事情,就是他第二屆業績太好了,所以他第三屆的展望變得沒有這麼樂觀。
[06:12] 對,因為他本來第三屆的展望是10%以上的增長,可是他因為第二屆太好了,所以他說第三屆可能只有5%的增長。
[06:20] 欸你看一樣是增長可是大家覺得說我是這個什麼早上吃四顆猕猴桃晚上吃三顆就朝三暮四了你就覺得說好像不好其實就不行對其實都是七顆猕猴桃但是你就覺得不行你就覺得說欸這股價要下修所以旺系因為這個就先跌了跌了接下來又傳出來了嘛這兩天就傳出來義大利的探偵廠可能要控告旺系侵權但其實東西其實老實講啦義大利探偵廠這家公司跟旺系
[06:50] 這兩家公司的關係是好的,因為他們在一些產品上是有合作的。
[06:53] 所以理論上,義大利這個TP公司是不太可能去告旺系侵權。
[06:58] 如果真的要告,我覺得比較擔心的是金策,因為金策跟這家公司的關係比較沒那麼好。
[07:04] 其實你要知道,其實有探針這個角度來看,全球最大是日本的豐飛特,第二大就是義大利的這家TP公司,第三大是日本的公司。
[07:17] 台灣大概就是4、5、6、7、8這樣排下來
[07:20] 所以這些大廠他們在幹什麼
[07:22] 其實市場其實都有一個角度在看
[07:24] 都有一個角度在看
[07:25] 但是其實大家各有各的領域
[07:27] 但是當利空來的時候呢
[07:30] 有消息來的時候
[07:30] 其實市場都會先做負面的解讀
[07:32] 所以旺系就因為這樣跌了一兩天
[07:35] 那你看昨天
[07:36] 欸 投信就開始又回來買旺系了
[07:38] 昨天我記得是00981A跟00403A
[07:42] 他們就率先開始買回旺系
[07:44] 因為他們覺得好像是假消息
[07:46] 那股價卻是殺到這邊來,確實其實這個根本就不是真的,但是因為我剛剛講嘛,他的第三屆營收的成長幅度不如預期,所以我們也只能忍了,就是說你是看好旺系的,你也只能先忍耐這件事情,或者你是看好影威的,你也只能先忍耐經理人離職,投信先殺出來這件事情,因為其實他們對基本面沒有什麼太大的變化,純粹就是一個就是籌碼的問題,一個就是心裡面的問題。
[08:12] 接著就是剛剛講說擁置為什麼也跌了?因為昨天不是也傳出來這個Marvell要跟Google簽一個策略合作?Google要買Marvell的股權,一定的比例。
[08:24] 所以市場擔心說Marvell進來會不會就把原本要主導這個Google TPU的聯發科踢走?那如果聯發科被踢走了,那是不是擁置什麼都沒有了?
[08:34] 大家都是用想當然而的去推論,但是你要知道,就Google TPU,現在是很多人都要真的要跟他合作,對,就是你要知道是說應該講說,其實應該說Google的位階其實是被市場看好的,他是被高舉的,所以你從早期,這個輝達是愛理不理他,到現在他覺得他要自研TPU,他要自研晶片,好,那其實除了Mavile之外,其實在Mavile前一天就傳出來,AMD想要去跟Google TPU,
[09:04] 這就是我們在Google進行合作,他想幫Google做下一代的TPU。這個產品是什麼時候?大概就是聯發科的下一個世代。
[09:11] 所以告訴你說,其實大家都想跟Google做合作,但你去想一件事情,如果Google當初願意用AMD的,那他就用AMD就好,為什麼他要自研自研TPU?因為他自研TPU的好處是什麼?他他成本大幅下降,成本大幅下降兩到三成,而且對市場非常有利,因為他本來就是一個使用者。
[09:29] 他是個使用者,他本來就是一個買牛肉麵的專家,吃牛肉麵的專家,他自己煮的牛肉麵當然就是有一定的口味的特殊性,會很符合市場的需求。
[09:38] 所以他這顆晶片是推理能力很強的。
[09:41] 你說AMD今天要進來,或是馬費要進來,其實我個人覺得,其實只是Google TPU的方式多出來了,而不代表是聯發科要被提出來,這是第一個角度來看。
[09:53] 所以昨天聯發科就被誤殺了,今天聯發科就,因為他是大型權值股嘛,所以相對就法人進去撐他,可是擁志很可憐啦,因為他昨天被殺了,今天沒有人要理他,他就在路邊躺著,還繼續在流血。
[10:05] 對,擁志的現形已經從反彈又走回一個聖誕季。
[10:09] 其實他就蠻可憐的,但是我說基本面其實沒有什麼改變,你去想一件事情喔,假設今天是聯發科或者是馬貝爾,你要知道今天的聯發科、馬貝爾其實他們主要都不是跟雍智合作啦,他們主要都跟誰?跟豐菲特合作。
[10:26] 豐菲特是什麼?全球第一大探針場,對,他全球第一大探針場,他未來的產品,因為豐菲特自己在公開說明,公開新聞稿上講喔,他跟雍智策略合作。
[10:38] 他的探針要結合擁置的板子,不論是現在的S-Core或是未來的矽光子,他都會深度的跟擁置合作。
[10:46] 所以擁置其實他覺得說,搞不好現在要關黑了,但是我莫名其妙被砍了兩刀。
[10:52] 他現在還在計在擴敞,他目前的CP發完之後,未來明年的擁置的產能應該會增加一倍到一倍以上。
[11:00] 所以基本上你要知道目前所有的探針卡的廠商沒有產能是閒置的。
