[00:00] 歡迎收聽《照華語古惑》在第1169集,今天是2026年的8月25號。
[00:12] 南部還是有下雨的問題,好雨成災,希望南部的朋友可以平安。
[00:18] 北部的話,現在反而是雨勢並不大,聽說颱風是已經北轉而且縮小了,我們就靜觀其變。
[00:27] 今天早上一開盤的時候,還是受到放假以及美股動盪的關係,量能依舊縮起來。
[00:36] 只是今天跟昨天又完全相反,昨天沙尾盤跌了400多點,因為南韓沙下去,今天我們拉尾盤,拉了400多點。
[00:47] 所以我們就發現,如果把K線圖打開來看,我們呈現一個有點橫盤,當然這個橫盤在今天有一度碰到所謂的月線。
[00:56] 大盤有碰月線,櫃買有差點破月線,但最後都收上來,震盪的區間不能算大,可見的漲上去量縮起來,大家追價有一點點顧忌,但是跌下來又有一隻看不見的手默默在撐著,例如說像今天的基金股非常強,也許今天的基金股非常強,也呼應到美國政府也出手,也在喊話,大家都要學我們,喊話是一個很厲害的事情。
[01:25] 有可能會動用財政部的TGA戶頭,裡面有一兆美元,說可能要拿來買美債。
[01:34] 我們等一下會來聊聊,有時候喊話的效果很好,不一定真的要掏錢。
[01:40] 先來歡迎今天的來賓,今天是我們的AI達人蔡明翰。
[01:44] 照啊,聽都沒有,大家好。
[01:46] 今天沒有影片版,sorry,因為我們兩個想自在一點。
[01:50] 我們兩個剛剛在錄音前花了很多時間在討論如何放過自己這件事。
[01:55] 明海已經是一個非常積極、非常嚴謹、每天做資料到三更半夜的人。
[02:01] 但他說他感覺我比他還要猛,我說沒有沒有沒有,猛的地方不一樣,所以我們兩個今天都放過自己。
[02:08] 對,休息一下休息一下。
[02:10] 對,所以我們今天要好好的在Podcast單純的跟大家空中會面。
[02:15] 那大家知道最近的量能說不只台股,其實美股的交易量也是下滑的。
[02:21] 有一個很大很大的原因,跟大家也分享過好幾天了。
[02:24] 就是所謂的美國公債殖利率往上跑這件事情。
[02:28] 公債殖利率往上跑,我想長期聽我們的朋友應該已經理解了,資金會從高評價的科技股離開,因為美國公債教科書上叫做無風險的利率,無風險的商品。
[02:43] 那在這樣的情況下就會有些資金選擇停泊在這些商品上面。
[02:47] 尤其是像昨天漢委也有提到,30年期的公債殖利率破5個百分點,剛好有朋友可能30年期房貸,他就去直接申購美國公債,覺得用這樣的利息,用無風險的來cover房貸利息,這個是一個做法,但是必須講,直接去申購這件事情,你就是要長期抗戰的打算,它沒有那麼容易做買賣。
[03:10] 以我們來講的話,因為我們畢竟是以高科技為主的,所以我們的市場是比較壓抑,但我也必須說,我們跟韓國、美國比起來,我們相對是強的,我們還在等他們,我們在等他們上來。
[03:24] 所以現在最新的消息是美國財政部長貝森特有提到他想要財政部一個帳戶叫TGA帳戶裡面現在有9500億相當於一兆美元拿來買公債
