[00:00] 歡迎收聽《照華於股貨載地1170集》
[00:09] 今天是2026年的8月26號
[00:12] 今天的盤,哇,這個體感溫度相當的不錯哦
[00:16] 今天的上漲加速是遠遠的高於下跌加速
[00:20] 上漲加速大概有1400加之多
[00:23] 而且點數上面大家可能也有點意外哦
[00:26] 因為昨天夜盤是不錯,夜盤是不錯
[00:29] 但是因為我們一開始開低還開黑所以就想說怎麼搞的漲點被吃掉了
[00:35] 但後來越漲越高中場上漲了663點指數又再度的接近了46000點
[00:45] 難道前一陣子的修正昨天打到月線算是交代完了嗎
[00:51] 這是一個再來大家都知道今天晚上到明天的凌晨有一個很重要的事情就是回答的財報
[00:57] 其實我們之前統計過,輝達的財報已經連續10季,它都是超乎市場預期,每一次喔!
[01:07] 但是超乎市場預期帶給輝達的確實財報後幾乎無一幸免的下跌,只是下跌的天數不會太多,大概3天、5天。
[01:16] 這次回答有點不同了,因為回答他把他的VRubin交貨給微軟,坊間也開始大肆的去宣傳這些VRubin的規格多滿,例如PCB的材料升級,今天排名上PCB的材料也是大漲,當然到了後半場的時候,所有相關的AI升級電子股幾乎都在大漲,比較垂淚的就是前幾天大家在當航海王,今天航運、船產、金融就有點資金整個被電子重新吸引了。
[01:46] 會不會這一次輝達能夠逆轉前面十季開完法說會後跌呢?但也不要忘記,開完法說會後跌也是三五天的事,通常拉長到一個月還是漲喔!
[01:58] 所以台股的所謂的正式起工的號角,有沒有機會在這個禮拜做一個預備備?
[02:06] 先來歡迎今天的來賓,就是我們的選股教練,黃金右下角,韋泰!
[02:11] 預備備,GO!大家好,我是韋泰!
[02:13] 是不是預備備了?
[02:14] 預備備,對!
[02:15] 前兩天都量很低,6000多億,不到7000億,今天有稍微放量到8000億。
[02:22] 那本來這個禮拜啦,我是不敢說太滿,但是因為颱風看起來真的飄很遠了。
[02:28] 因為上一次我有跟大家講說,我自己跟淑莉問了,淑莉說風速不用放假,但後來台北就放了颱風假。
[02:35] 但這次真的飄遠了啦,本來我們團隊都抱持著,禮拜一都抱持著這禮拜上班四天的心情。
[02:41] 後來發現是五個交易日的時候心情會不同嘛,我覺得市場心情也會不同,市場心情也會不同。
[02:47] 好,先不管颱風了,我們先回到盤面上,今天錢又回到電子股了哦,有好多的漲停板,今天最強的我一早上看到第一個感動到的就是大立光。
[02:59] 大立光今天後來漲停板在漲停板之前已經成功的過了他之前的高點6075,為什麼會感動?
[03:08] 因為我一直很喜歡大力光這家公司,那他曾經當股王,股王6075當時不可思議,現在當然萬元的都有,但當時真的不可思議,千元都已經不可思議了,還六千元。
[03:20] 那這個下來之後因為手機市場大家覺得不會再大幅成長了,給他的本益比的評價自然也就不好了,可是大力光一直都保持著四級五十趴的毛利率哦,這在蘋果供應鏈裡面是一個了不起的事情。
[03:34] 後來跌至1700-1800,真的好慘,公司第一次實施庫藏股,因為我喜歡它,我一直在follow它,我就一直講說它的庫藏股叫做大力光防線。
[03:45] 那當然後來漲起來了,你說能夠漲回6290,其實當初即使再怎麼喜歡大力光,我可能都沒有想到,但是它漲回來了,狹帶著它也切入了所謂的光通訊搭上AI的列車,因為這中間公司有很多的觸角,它去做隱形眼鏡,它也想做醫療級的光學。
[04:03] 其實都沒有給他非常非常大的斬貨。
[04:06] 那現在市場給他的評價就是正式的切入AI的領域這件事。
