[00:00] 歡迎收聽《照華於股貨》載地1171集,今天是2026年的8月27號。
[00:12] 好,我們昨天在講,就是揮打連續10季,開完法說,繳出財報,永遠都是高於市場預期,但是永遠都是先盤後下跌。
[00:21] 但這一次看來有點不一樣了,這一次繳出了超乎市場預期的財報,並且提供了明年成長70%的展望。
[00:31] 市場現在看來當然要等晚上美股再開盤,但至少盤後輝達是從本來的跌變成漲,漲了4%。
[00:40] 所以今天的台股一開始也是一個比較開心的開出來。
[00:44] 盤中其實差一點點要去挑戰前面那一個402,差13點、12點而已。
[00:51] 但是有一點點沙尾盤,有一點點氣勢到尾巴的時候脫了下來。
[00:56] 預估成交量今天也稍微放大到9000多億。
[00:59] 量放大卻有點沙尾盤,早上看到匯達財報的快樂到尾盤不見了,這到底有沒有什麼關係呢?
[01:08] 會不會談到這邊反而是一個無形的壓力鍋蓋在上頭?
[01:13] 那今天當然大家也有看到軍工股是因為立院正在審核所謂的無人機預算。
[01:18] 目前是通過了藍白共同審議的條款,6年2400億,當然這個條款裡面有很多的細節要再來討論,股票市場有時候也不管太多的細節,今天總之先壓住一下。
[01:34] 那我們有排名上談到這兒,感覺上百花齊放了,又很怕這個花沒有辦法開很久,怎麼辦呢?先來歡迎今天的來賓,今天是我們的新南股神,我兩個。
[01:46] 大家好,大家好。
[02:16] 聽到了太多風風雨雨嗎?尤其是輝達是非常重要,因為他後來就開始到處例如說收購、入股各種不同的公司,除了光通訊的公司、電力基建的公司、散熱型的公司,他所有AI相關的,他全部都入股之外,語言模型公司對不對,他也去構築了一個所謂的AI融資平台,除了跟六大金融巨頭之外,自己也講說,不管是Church GPT,這個背後的OpenAI,他都願意提供融資,對不對?
[02:45] 它變成全世界最大的AI債主,所以很多事情就會跟它跟一個全世界的發展綁在一起的時候,就會格外的希望如果今天市場能夠再度的肯定輝達的價值,那可能整體的AI股你要迎向下一個二度發育,應該就蠻有機會的。
[03:04] 所以我不曉得,我們先從就從輝達財報講起好了。
[03:07] 那你覺得這一次逆轉的氣勢好像在台股走一半,你會注意什麼樣的訊號?
[03:13] 其實觀察這幾年近幾季輝達的財報跟財策的效應,我覺得真的是越來越撲縮迷離。
[03:22] 怎麼說,因為其實以大概兩年前來看的話,輝達每一次的財報都是大幅度的超過市場預期。
[03:32] 大概到近一年還是能夠超過預期,可是超出預期的驚喜程度卻開始有點減少。
[03:40] 但事實上股價的表現又是一回事了,剛才提到大概兩年前三年前的時候是大幅度超過預期,但是公佈完之後反而呢,輝達通常股價會拉回。
[03:52] 那近一年呢,雖然說他的一個猜測呢,可能沒有太大太大的驚喜,不過也不表示這個隔天股價會跌,反而有時候能夠上漲。
[04:02] 預期
[04:32] 這次因為畢竟在公布財報之前,股價已經相對是有些蹲點下來了,所以我覺得可能在盤後能夠出現上漲。
[04:42] 但是更重要一件事情是,我說其實我們台灣的AI供應鏈老早就已經不是在看著輝達股價漲或跌來決定它能不能漲。
[04:52] 近期輝達顯然沒有創歷史新高,AI相關的比如散熱股的建策奇鴻創新高,CCL的台光電聯茂創新高,台耀也創新高,載板的新興、景碩創歷史新高,南電也是創新高。
[05:16] 大致上有非常多的AI的次族群都在強力上漲甚至創下波段或歷史新高。
[05:24] 所以我覺得輝達這次的猜測的內容最重要是讓大家確定了Vera Rubin因為開始量產,
[05:33] 這個部分終於讓市場找到一個更有底氣的著力點。
[05:39] 因為他在2028年的猜測預計營收可以成長70%。
[05:44] 這個部分是大大的超過市場預期成長45%
[05:48] 我看了都嚇到
[05:49] 這個真的是超出超出預期很多
[05:52] 明年還能成長70%
