[00:00] 歡迎收聽《照華語古惑》載訂1173集,今天是2026年的8月31號,今天也是8月最後一個交易日哦。
[00:16] 8月最後一個交易日,它有一點點的戲劇性的產生,因為今天也是MSCI的季度換股,所以今天的量能在尾盤是有往上拉的,有到1.2兆。
[00:26] 只是換股的量到底要不要算是一個量增呢?
[00:31] 等一下可以來探討一下啦!
[00:33] 那也因為這一次是意外的所謂的三種權重都上升喔!
[00:37] 因為之前大家有覺得台灣的權重可能會被調低嘛!
[00:40] 但因為這一次是三種都上升,所以我們是拉尾盤的喔!
[00:44] 本來盤中一直在跌這種500多點、600多點的情況,最後是拉升到只跌了202點!
[00:50] 今天的盤面上大家都知道上禮拜五我們有率先跟大家聊到的就是新興電子的搜索案在這個六日它有更多的進度
[01:00] 那顯見呢今天有掃到同族群的像載板族群但是也有一些六日我就收到很多小作文了
[01:08] 也有說因為這一次的重災區其實不是載板新興被掃到的是PCB類的或者是HDI版
[01:17] 6日就有很多人在沙盤推演說,那可能會轉單到哪裡啊?誰可能受惠啊?不過我想最麻煩的就是手上有星星的朋友,甚至投信,6日都有在討論到底要怎麼樣把星星處理掉,但顯然今天3000多張的話,投信是處理不完的,甚至一般的散戶朋友可能掛單也賣不掉了。
[01:36] 好,那到底接下來的態勢如何發展?我先來歡迎今天的來賓,禮拜一幾乎固定就是他啦,我們的題材獵人漢偉哥。
[01:44] 大家好,各位觀眾朋友大家好。
[02:14] 這幾個股市的股價跌停,根本就連個股市成交都沒有,那怎麼辦咧?就賣不掉。有時候賣不掉就算啦,因為怎樣也都賣不掉嘛。可是事情後面的發展可能就值得探討。我們一項一項來,因為禮拜五還有一個事情,就是全球央行總裁會議。那這件事情華許出來說話,我必須承認哦,他在說的時候我有看到收到那個嗎?立刻就會有那個簡報出來。我就說,這樣還好吧?對啊,不就一樣嗎?
[02:42] 但是奇怪的就是美股就開始跳水啦!然後還有FedWatch的9月升息機率就開始往上投啦!
[02:49] 我們常常講聽不懂但是你看指標最準對不對?每一站你聽不懂油價上去就有事,滑雪講話聽不懂但升息機率向上就有事。
[02:59] 所以我們先從大的好不好?大的就是滑雪的話,到底是不是又會為科技股或者是美股帶來一波的壓力?
[03:07] 我覺得當然會有啦,因為原本大家發現到8月份全球股市的反彈是因為大家期待9月份連準會不升息。
[03:14] 那現在看起來所謂華許在全球央行年會的一個談話之後,我看法跟趙華差不多啦,其實講的東西跟之前也沒有差多少。
[03:23] 對啊。
[03:24] 對,但是因為他這一次畢竟全球央行年會的演講,講的篇幅比較長,所以大家可以細細去解讀他話裡面的意思。
[03:32] 我看很多的投行評論說可能是因為他上一次聯準會的綠灰之後他的演講太短了,好像只有100多個字,跟市長的溝通不充分。
[03:44] 這次講法裡面比較多的側重於說可能看到美國的通膨還是比較黏著,所以可能會有一些更多的動作。
[03:53] 所以市長就把更多的動作解讀為聯準會就要升息了。
[03:57] 對,那我覺得這個狀況,當然他畢竟還是講到啦,就是說還是要看後面的經濟數據的發展,所以講了等於沒有講。
[04:06] 只要經濟數據如果維持一個,可能這個禮拜公布來的費用數據,又像上個月一樣出現了比較明顯的下滑,然後失業率上升,然後通膨如果沒有很嚴重的話,那9月份基本上這個升息機率也會重新再降低下來。
[04:19] 但我覺得這次大家比較失望的畢竟就是,被深特在之前針對美國的常在,做了很多的動作。
