[00:00] 歡迎收聽《照華語古惑》載地1176集,今天是2026年的9月3號。
[00:12] 今天的體感溫度不好,窗外也在嘩啦啦的下著大雨,不好的原因是因為開高走低。
[00:20] 雖然中場跌307點,以跌點來看不算很嚴重,但是因為今天一開盤的氣勢還不錯。
[00:26] 今天一開盤的時候其實我們有一度上漲到也是將近300點左右又傻傻來
[00:31] 那再加上昨天呢我們的狀況也是把前一天領先全世界漲的這些點數給通通吐回來了
[00:40] 所以如果加上昨天吐回來的話就這兩天其實高點到現在也是一個1000點的跌點
[00:47] 還有就是總經數據上面我們比較擔心的一些問題
[00:52] 昨天晚上其實是有一個數據,小飛農它是不如預期,是比較冷的。
[00:57] 好,數據變冷這件事情對於升息預期就有點幫助了嘛。
[01:02] 本來9月生意碼的機率是70%但現在降成60幾%了,這個有助於盤勢。
[01:09] 但顯然現在全世界還是籠罩在資金可能要緊縮的這個議題上面。
[01:15] 再加上今天我們看到盤面上有很多的熱門族群也是開高走低,甚至像南電他有提到,
[01:22] 第四季的BT載板可能要動漲,大家聽不得耶,聽不得要動漲這件事情,馬上送南電一根跌停板,人家是洗產地被搜查跌停板,南電是因為第四季要動漲就跌停板,所以市場現在對一些利空訊息變敏感了。
[01:41] 我先來歡迎今天的來賓,今天來賓我的老朋友,我們等一下好好來討論景氣現在有沒有狀況,就是存股交付股運。
[01:51] 各位聽眾朋友大家好,我是古瑜。
[02:21] 這就是我們在這個時間中透落的感覺出來了。
[02:24] 因為我們過去在跟趙華在節目上或是Podcast上,我們有去聊過我在這一波景氣燈號的預期,它大概會延續多久的一個動能。
[02:37] 你還知道我們上次跟你這邊討論的時候,我講的那個數字是多少嗎?
[02:43] 哇塞,不是啊,你這樣沒有道義啊,我們沒有Re過啊。
[02:47] 沒有Re過是不是,來來來,沒關係沒關係。
[02:49] 現在是第八顆紅燈,已經八顆了,史上最長也九顆而已啊。
[02:54] 對,但是我們之前在討論的時候,那時候我就跟你說了,這一波的動能的話有可能會來到十顆的紅燈。
[03:03] 你神預言過了是不是?
[03:05] 對,沒有錯。
[03:06] 所以就創紀錄了耶。
[03:07] 對,已經創紀錄了。
[03:08] 還沒有已經啦,可能要創紀錄。
[03:11] 我們現在的話已經來到了8顆,那我們看這一波景氣的續航力的話,應該有機會可以來到10顆,甚至來到11顆這樣子的一個程度。
[03:22] 但是我想要提醒我們的聽眾朋友一件事情,就是景氣的燈號,它是統計目前的各項總經的數據,然後去把它判斷出來的結果。
[03:35] 這數據有所謂的遞延性,也就是說你今天看到的燈號至少是一個月前甚至兩個月前的數字,經過統計、預測或其他手法來呈現目前的狀況。
[03:55] 所以既然有遞延性的話就代表說我們現在看起來是熱呼呼的時候
[04:00] 那你就要去小心有沒有哪一個指標已經開始出現有疑似反轉的現象
[04:07] 那這個東西的話就會暗示說我們未來的方向可能會往哪裡走
[04:12] 所以我們在看這個指標的時候
[04:14] 有一個東西是我在看整體的總金數據的時候特別關注的
[04:21] 那個叫做資金的動能
[04:23] 是
[04:53] 這幾個字我特別看到了這句話,我把它給記了下來。其實這跟我們的投資有關係,你知道嗎?
[04:59] 一文錢逼死英雄好漢
[05:01] 對,沒有錯,當你口袋很多錢的時候,你會莫名其妙變得很勇敢。你有很多錢的時候,你會勇敢的去做各種各式各樣的一個投資。
[05:10] 難怪我看你都是永遠勇敢的
[05:13] 我是樂觀。
[05:15] 所以我們來看這個,我們把這件事情放在一起看的時候,簡單來說,如果市場的資金動能在持續膨脹,那就代表我們現在整體的景氣是屬於樂觀向上,而且你拿到錢的時候也會因為景氣轉好的關係,口袋的口口又多,你就會勇於去市場裡面尋找各種標的物。
[05:39] 可是你有沒有思考過一件事情?我們上次跟投資朋友在講資金動能指標的時候,我們那個時候是還在綠燈的時候,因為綠燈的時候我們就已經看到了這個數字每個月每個月發布都一直在往上走。
[06:00] 我那時候好像是問你說會不會到綠燈以後就上去了,對不對?不會再到藍燈了,說果然是從綠燈就上去了嗎?
